Nome: BAURU
Codigo Estacao: A705
Latitude: -22.358052
Longitude: -49.028877
Altitude: 636.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;937.395833;19.925;34.7;25.883333;21.3;71.625;35;12.4;.95;
2020-01-02;.2;937.304167;20.725;32.6;24.695833;21.3;80.75;48;12.9;.695833;
2020-01-03;3;939.275;19.875;28.3;22.566667;19.8;85.458333;60;6.8;1.183333;
2020-01-04;0;938.091667;18.504167;29.7;23.3375;19.2;75.291667;53;7.9;.908333;
2020-01-05;1;936.995833;19.166667;29.1;21.370833;18.3;87.833333;58;14.5;1.120833;
2020-01-06;9.8;937.808333;20.154167;31.9;23.775;18.2;82.375;50;7.7;1.3125;
2020-01-07;0;939.475;21.2375;31.6;25.520833;21;78.875;51;7.6;1.241667;
2020-01-08;0;940.333333;21.725;32.1;24.629167;21.7;85.25;52;11.7;1.391667;
2020-01-09;1.2;941.3875;22.045833;31.4;24.679167;22;86.583333;56;9.3;1.220833;
2020-01-10;12;941.2375;21.658333;30.5;23.891667;21.2;88.25;58;7.9;.866667;
2020-01-11;6;940.554167;22.316667;29.6;24.370833;21.8;89.041667;62;5.6;.579167;
2020-01-12;10.8;941.779167;22.420833;31.5;24.583333;22.1;88.375;56;9.2;.570833;
2020-01-13;26.2;943.054167;21.245833;27.8;23.658333;21.4;87.083333;67;6.7;.791667;
2020-01-14;0;942.608333;19.875;31.1;24.479167;19.5;76.666667;51;7.3;.970833;
2020-01-15;0;941.0875;20.35;34.4;26.070833;19.8;73.958333;39;12.5;1.025;
2020-01-16;4.6;942.329167;21.016667;35.2;26.279167;21.9;75.833333;33;11.5;.966667;
2020-01-17;6.6;944.579167;20.2625;28.1;23.520833;21.7;82.75;63;9.9;1.783333;
2020-01-18;0;944.958333;18.029167;29.7;23.420833;18.6;72.708333;55;10.5;1.9;
2020-01-19;0;942.875;19.341667;32.2;24.545833;18.5;74.416667;47;7.2;1.075;
2020-01-20;0;940.320833;19.4;33.2;25.4375;20.5;70.708333;47;8.8;1.520833;
2020-01-21;0;937.729167;17.733333;31.8;24.083333;16.9;69.375;46;10.8;1.520833;
2020-01-22;0;936.658333;18.070833;29.9;23.45;18.8;72.333333;56;9.6;1.85;
2020-01-23;1.8;935.991667;19.2875;23.4;20.3875;18.9;93.5;74;9.8;1.275;
2020-01-24;53;935.058333;18.658333;29.1;22.958333;18.2;78.416667;51;8.2;1.266667;
2020-01-25;0;938.558333;16.491667;29.9;22.416667;16;71.833333;41;7.4;1.2125;
2020-01-26;0;939.995833;16.0125;32.5;24.716667;18.8;61.416667;31;5.2;.433333;
2020-01-27;0;940.158333;12.9;34;25.8;19;47.666667;25;5.2;.745833;
2020-01-28;0;940.033333;14.645833;34.1;26.570833;19.8;49.541667;30;7.3;.770833;
2020-01-29;0;941.35;20.195833;31.8;25.6;20.8;73.791667;52;7.2;1.4125;
2020-01-30;0;942.395833;21.3625;30.3;23.329167;22.3;88.958333;62;17.4;1.083333;
2020-01-31;45.2;943.204167;21.470833;29.3;23.254167;20.4;90.166667;65;7.6;1.4125;
2020-02-01;8.2;943.15;22.116667;28.2;23.5125;21.4;92.125;75;5.1;.604167;
2020-02-02;14;943.1625;21.495833;28.4;22.954167;20.9;92.041667;66;9.2;1.025;
2020-02-03;22.2;942.25;20.929167;28.3;22.1375;20.3;93.208333;69;9;1.058333;
2020-02-04;13;942.158333;20.291667;29.5;22.941667;19.3;86.125;61;8.8;1.654167;
2020-02-05;.4;941.875;21.35;28.6;23.654167;20.8;87.458333;63;5.3;1.045833;
2020-02-06;.2;941.8;20.633333;30.4;23.9;20.3;83.416667;55;5.9;.7125;
2020-02-07;3.8;940.745833;20.408333;25.7;21.708333;20.3;92.583333;75;11.4;1.470833;
2020-02-08;11.4;940.491667;20.041667;29.7;23.383333;19.9;82.958333;54;7.9;1.779167;
2020-02-09;.4;940.966667;20.995833;27.8;23.1625;20.8;87.75;69;11.5;1.308333;
2020-02-10;42.2;941.875;21.254167;24.6;21.754167;21.2;97;95;6.7;.929167;
2020-02-11;71;942.925;18.516667;24.7;20.470833;18.1;88.916667;72;9;1.745833;
2020-02-12;.4;942.720833;17.366667;25.9;20.904167;17.8;80.458333;67;8.1;1.491667;
2020-02-13;0;942.558333;17.170833;29.6;22.2625;16.1;74.708333;47;7.3;1.204167;
2020-02-14;0;942.254167;18.170833;31.6;23.395833;17.7;75.041667;44;8.1;1.020833;
2020-02-15;0;941.379167;19.2;32.7;24.991667;18.6;72.583333;43;6.7;1.170833;
2020-02-16;0;940.695833;20.208333;32.8;25.166667;20.9;75.291667;47;11.6;.870833;
2020-02-17;7;940.770833;21.525;32.6;25.591667;21.5;79.666667;48;8.6;.7375;
2020-02-18;.6;941.466667;21.258333;32.6;25.975;20.9;76.708333;50;7.4;.575;
2020-02-19;0;940.075;21.895833;31.1;24.8875;22;83.916667;59;6.9;1.0875;
2020-02-20;0;939.770833;22;30.8;24.079167;21.7;88.791667;59;9;.466667;
2020-02-21;35.2;940.945833;21.783333;25.1;22.5625;21.9;95.333333;84;4.9;.291667;
2020-02-22;37.6;942.158333;20.429167;28.2;23.2375;20.6;85.291667;64;9.2;1.366667;
2020-02-23;.2;944.020833;16.7875;28.3;21.966667;17.8;73.208333;56;10.5;2.025;
2020-02-24;0;942.2875;18.8125;27.8;22.133333;18.2;81.708333;68;9.1;1.245833;
2020-02-25;1.4;941.125;21.529167;30.8;23.741667;21.7;88.583333;57;14.5;.8625;
2020-02-26;34.2;938.9625;21.35;25.6;22.016667;20.3;95.875;83;7.9;.8375;
2020-02-27;22.4;940.608333;18.445833;26.2;21.016667;17.1;85.958333;62;9.5;1.266667;
2020-02-28;0;943.254167;16.9625;28.2;20.620833;15.7;80.75;55;7.8;1.458333;
2020-02-29;0;943.991667;17.7;29;21.466667;16.2;80.75;47;8.1;.566667;
2020-03-01;0;944.020833;16.95;27;21.133333;17.1;77.875;60;9;1.870833;
2020-03-02;0;943.466667;16.779167;28.9;22.333333;17;72.625;46;10;1.758333;
2020-03-03;0;942.629167;16.558333;28.5;21.616667;16.2;74.291667;51;8.7;1.291667;
2020-03-04;0;942.479167;16.129167;29.6;21.758333;15.6;73;42;6.8;1.079167;
2020-03-05;0;943.491667;16.166667;30.3;22.675;16.7;69.166667;38;7.5;1.270833;
2020-03-06;0;943.670833;15.483333;29.5;21.758333;16.1;70.041667;38;8.3;1.475;
