Nome: BAURU
Codigo Estacao: A705
Latitude: -22.358052
Longitude: -49.028877
Altitude: 636.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.34;
2020-01-01;0100;-3.075;
2020-01-01;0200;-3.519;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.382;
2020-01-01;0500;-3.5;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.525;
2020-01-01;0800;-3.54;
2020-01-01;0900;1.186;
2020-01-01;1000;155.774;
2020-01-01;1100;1096.227;
2020-01-01;1200;1917.264;
2020-01-01;1300;2509.574;
2020-01-01;1400;2951.121;
2020-01-01;1500;3153.641;
2020-01-01;1600;2894.994;
2020-01-01;1700;2677.535;
2020-01-01;1800;1359.513;
2020-01-01;1900;358.622;
2020-01-01;2000;240.117;
2020-01-01;2100;235.274;
2020-01-01;2200;62.236;
2020-01-01;2300;-.105;
2020-01-02;0000;-2.64;
2020-01-02;0100;-3.138;
2020-01-02;0200;-3.389;
2020-01-02;0300;-2.968;
2020-01-02;0400;-3.351;
2020-01-02;0500;-3.357;
2020-01-02;0600;-2.938;
2020-01-02;0700;-3.375;
2020-01-02;0800;-3.378;
2020-01-02;0900;1.721;
2020-01-02;1000;124.049;
2020-01-02;1100;319.448;
2020-01-02;1200;749.678;
2020-01-02;1300;1286.511;
2020-01-02;1400;1326.293;
2020-01-02;1500;2577.334;
2020-01-02;1600;3116.439;
2020-01-02;1700;2808.281;
2020-01-02;1800;1781.037;
2020-01-02;1900;934.888;
2020-01-02;2000;196.753;
2020-01-02;2100;455.542;
2020-01-02;2200;155.577;
2020-01-02;2300;6.825;
2020-01-03;0000;2.753;
2020-01-03;0100;.168;
2020-01-03;0200;-.966;
2020-01-03;0300;-1.109;
2020-01-03;0400;-.935;
2020-01-03;0500;-.837;
2020-01-03;0600;-2.116;
2020-01-03;0700;-2.096;
2020-01-03;0800;-2.244;
2020-01-03;0900;2.771;
2020-01-03;1000;139.046;
2020-01-03;1100;255.192;
2020-01-03;1200;677.951;
2020-01-03;1300;947.602;
2020-01-03;1400;1317.871;
2020-01-03;1500;668.924;
2020-01-03;1600;600.236;
2020-01-03;1700;1182.038;
2020-01-03;1800;1765.95;
2020-01-03;1900;1427.058;
2020-01-03;2000;800.241;
2020-01-03;2100;461.173;
2020-01-03;2200;102.284;
