Nome: CAMPOS DO JORDAO
Codigo Estacao: A706
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.8;832.704167;15.682609;27.1;18.404167;15;85.73913;45;null;null;
2020-01-02;12;832.183333;null;20.5;16.541667;14.3;97.5;82;null;null;
2020-01-03;9;832.95;null;22.3;16.358333;15.1;null;70;null;null;
2020-01-04;10.6;831.758333;null;21.7;16.179167;13.8;null;71;null;null;
2020-01-05;16;831.229167;null;22.7;16.858333;13.7;91.357143;68;null;null;
2020-01-06;8.4;832.470833;null;23.1;18.270833;15.1;80.285714;60;null;null;
2020-01-07;.2;834.541667;null;27.2;19.504167;13.9;71.071429;48;null;null;
2020-01-08;2.6;835.070833;18.278947;26.6;19.341667;17.3;91.842105;55;null;null;
2020-01-09;25;835.566667;17.877778;24;19.379167;15.6;86.222222;62;null;null;
2020-01-10;1;835.341667;null;25.3;19.758333;16.2;84.461538;61;null;null;
2020-01-11;.6;834.958333;18.311111;26.8;19.5375;16;89.333333;55;null;null;
2020-01-12;3.8;836.029167;null;24.8;19.308333;16.8;null;63;null;null;
2020-01-13;14.8;836.7125;null;23.7;18.2625;15.7;90;72;null;null;
2020-01-14;2.2;836.491667;null;23.4;18.016667;15.2;90.142857;68;null;null;
2020-01-15;.2;835.629167;null;26.4;19.216667;13.2;76.928571;54;null;null;
2020-01-16;0;836.908333;17.240909;27.9;20.295833;15.8;82.590909;44;null;null;
2020-01-17;5.2;838.220833;null;19.4;16.5875;15.8;98.8;87;null;null;
2020-01-18;.8;838.541667;null;21.7;16.475;13.1;90.333333;67;null;null;
2020-01-19;.2;836.95;null;23.6;17.504167;14.7;90.8125;68;null;null;
2020-01-20;.2;834.483333;null;23.9;17.55;13.9;83;64;null;null;
2020-01-21;0;831.954167;13.85;24.6;16.4375;10.8;84.181818;47;null;null;
2020-01-22;0;831.504167;14.82;21.6;15.941667;11.4;90.1;63;null;null;
2020-01-23;15.6;830.45;null;17.5;15.0875;14.2;null;99;null;null;
2020-01-24;35.2;828.308333;null;20.3;15.595833;13.5;null;76;null;null;
2020-01-25;3.2;831.2625;null;22;15.391667;11.5;80.083333;63;null;null;
2020-01-26;0;833.904167;6.042105;24.2;16.004167;7.4;54.368421;16;null;null;
2020-01-27;0;834.7625;9.358333;26.2;17.2375;8.5;64.083333;20;null;null;
2020-01-28;0;835.329167;14.304167;27.1;18.595833;12.2;78.291667;42;null;null;
