Nome: PRESIDENTE PRUDENTE
Codigo Estacao: A707
Latitude: -22.11999999
Longitude: -51.40861111
Altitude: 431.92
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;958.15;19.0875;36.1;27.5625;24.5;62.583333;31;19.1;1.2;
2020-01-02;12.6;958.008333;21.395833;33.9;27.533333;22.1;73.333333;38;8.4;1.491667;
2020-01-03;12.4;959.329167;null;29.1;24.125;21.7;85.647059;60;10.2;1.404167;
2020-01-04;5.4;958.958333;19.645833;30.6;25.045833;21.1;74.333333;50;7;1.5125;
2020-01-05;11.8;957.558333;19.47619;30.5;23.8125;19.9;76.52381;48;10.8;1.3875;
2020-01-06;18;958.229167;null;34;25.9625;20.2;61.066667;28;8.4;1.4;
2020-01-07;1;959.704167;null;28.3;24.825;23.2;77.5625;64;12.3;1.395833;
2020-01-08;22.8;960.904167;null;31.1;25.454167;22.3;null;54;9.9;1.25;
2020-01-09;29.4;962.25;null;29.6;23.970833;21.6;null;68;10.8;.554167;
2020-01-10;41;962.104167;null;32.6;25.3875;21.7;71.538462;50;7;.875;
2020-01-11;0;961.25;22.416667;33.5;26.379167;24.4;79.708333;49;13.1;.920833;
2020-01-12;1.2;962.445833;23.166667;33.3;26.2375;23.9;82.666667;51;10;.625;
2020-01-13;47.2;963.7375;null;30.1;24.354167;22.4;null;58;8.9;.720833;
2020-01-14;63;963.3125;null;32.8;25.829167;21.8;66.214286;41;5.6;.829167;
2020-01-15;0;961.658333;20.4625;35.5;28.6875;23.7;63.333333;38;5.8;1.245833;
2020-01-16;0;962.9;21.020833;36.9;29.504167;26.6;62.166667;33;11.5;1.4125;
2020-01-17;1.2;965.233333;20.6125;31.1;26.2;23.2;72.125;55;9.8;1.645833;
2020-01-18;0;965.866667;17.929167;31.8;24.891667;19.4;66.375;45;9.4;2.241667;
2020-01-19;0;963.804167;18.945833;33.1;26.025;20.2;66.541667;42;8.8;1.8375;
2020-01-20;0;961.05;19.429167;33.6;27.266667;22.3;63.666667;42;8.7;1.770833;
2020-01-21;0;958.391667;18.1125;32.8;26.658333;20.8;60.458333;41;8.2;1.945833;
2020-01-22;0;956.720833;18.55;30.3;24.725;21;68.15;56;7.6;1.625;
2020-01-23;70.8;956.208333;null;24.3;21.825;20.1;97.466667;89;8.5;1.941667;
2020-01-24;.6;956.625;19.517391;30.1;24.520833;20.2;76.26087;47;7.8;1.816667;
2020-01-25;.2;959.779167;16.825;31.1;25.3;19.9;60.958333;38;6.1;1.3625;
2020-01-26;0;960.870833;14.975;33.7;27.241667;21;50.791667;25;6.7;.95;
2020-01-27;0;960.9125;13.975;34.4;28.304167;21.5;43.25;24;5.2;.516667;
2020-01-28;0;960.475;14.629167;34.5;29.3;24;42.541667;26;6.4;.875;
2020-01-29;0;961.541667;18.104167;32.9;27.525;24;58.041667;36;10.2;1.404167;
2020-01-30;0;962.870833;22.290476;32.6;25.495833;23.2;82.428571;49;14;2.004167;
2020-01-31;8.6;964.029167;null;32.1;25.7125;22.5;69.384615;51;9.9;2.008333;
2020-02-01;.6;963.916667;21.972222;32.1;26.016667;23.9;76.388889;51;6.6;.925;
2020-02-02;14;964.0625;null;27.8;24.045833;21.6;null;67;9.6;.916667;
2020-02-03;17.4;962.95;null;28.7;23.116667;20.6;null;65;10.9;1.054167;
2020-02-04;18.2;962.833333;21.452632;30.5;24.145833;20.4;83.526316;53;8.5;1.441667;
2020-02-05;.2;962.4;21.51;30.8;25.729167;22.3;76.6;52;6.3;1.158333;
2020-02-06;0;962.5875;21.613636;29.8;25.783333;22.9;78.090909;56;7.5;.879167;
2020-02-07;2;960.754167;20.829167;30.4;25.0625;21.7;78.75;52;7.4;1.433333;
2020-02-08;0;960.154167;20.025;30.7;24.9625;21.2;75.416667;51;10.6;1.6125;
2020-02-09;0;960.7875;21.558333;29.1;25.120833;22.2;81.458333;62;7.3;1.3625;
2020-02-10;7.8;961.991667;null;29.4;24.604167;22.6;null;66;6.9;1.675;
2020-02-11;2.6;963.825;19.104167;26.6;23.25;20.5;77.833333;67;9.2;1.975;
2020-02-12;0;963.491667;17.095833;30.2;23.845833;18.1;67.25;44;8.9;1.929167;
2020-02-13;0;963.7125;16.4875;30.9;24.516667;18.9;62.625;39;8.7;1.983333;
2020-02-14;0;963.2625;16.795833;32.2;25.4;19.1;61.25;36;7.9;1.683333;
2020-02-15;0;962.083333;16.829167;34.2;27.904167;22.1;52.125;34;5.9;1.025;
2020-02-16;0;961.258333;16.875;35.2;28.9625;23.1;48.916667;32;4.7;.954167;
2020-02-17;0;960.975;20.904167;34.8;27.8875;25.1;66.708333;43;9.1;1.195833;
2020-02-18;.4;961.791667;21.8125;34.5;26.479167;23.1;76.708333;45;8;1.025;
2020-02-19;10.8;960.354167;22.7;33.2;27.325;23.2;74.95;48;5.7;1.0625;
2020-02-20;0;960.3875;21.8;32.5;26.3875;23.7;76.583333;52;8.4;.8;
2020-02-21;4.4;961.408333;22.195;28.7;25.908333;23.3;79.5;62;7.7;.9125;
2020-02-22;0;962.491667;null;32.2;25.333333;23.4;83;47;13;.720833;
2020-02-23;47.4;964.591667;18.804545;28.8;23.1875;18.9;77.545455;55;9.2;1.645833;
2020-02-24;0;962.65;19.329167;29.1;24.5125;20.4;73.291667;60;7.6;1.35;
2020-02-25;.2;961.604167;null;30.5;24.375;22.5;null;60;9.9;1.058333;
2020-02-26;62.2;960.045833;null;26.9;23.445833;22.5;null;71;10.7;1.225;
2020-02-27;14.4;961.45;null;29.2;23.820833;20.7;70;48;9.9;1.183333;
2020-02-28;0;964.3125;16.545833;30.5;23.85;18.1;66.875;35;7.3;1.570833;
2020-02-29;0;965.491667;15.370833;29.5;23.683333;17.8;62.208333;36;8.1;1.7625;
2020-03-01;0;965.308333;16.191667;29.6;23.620833;18.9;64.166667;44;9.4;2.3125;
2020-03-02;0;964.745833;16.795833;29.4;22.416667;19.3;71.875;44;10.8;2.279167;
2020-03-03;6.8;963.9;16.8375;29.9;23.325;18.5;68.583333;44;10.2;1.8125;
2020-03-04;0;963.954167;16.0875;30.9;24.008333;17.9;63.458333;38;7.9;1.554167;
2020-03-05;0;964.2375;15.683333;31.8;25.525;20.6;56.625;29;6.5;.7375;
2020-03-06;0;964.333333;15.233333;30.5;24.9375;19.3;56.333333;37;9;1.65;
2020-03-07;0;962.7375;13.416667;31.6;25.2375;19.1;49.75;25;6.8;1.2875;
2020-03-08;0;962.93913;13.521739;30.9;25.130435;19.2;50.217391;32;8.4;1.343478;
2020-03-09;0;964.666667;13.7875;32;25.75;19.5;50.291667;25;7.5;1.079167;
2020-03-10;0;964.178261;15.391304;32.9;26.386957;20.9;52.652174;30;8.2;1.404348;
2020-03-11;0;962.279167;17.066667;33;27.704167;21.8;53.958333;36;10.2;1.5;
2020-03-12;0;963;17.620833;33.9;28.333333;22.3;54.125;34;7.8;1.395833;
2020-03-13;0;964.020833;16.133333;34.5;28.8;23;48.166667;27;6.8;1.183333;
2020-03-14;0;963.8125;13.6;35;27.795833;21;42.833333;26;7.4;1.195833;
2020-03-15;0;963.091667;17.120833;34.8;28.945833;24.5;49.833333;33;6.4;.975;
2020-03-16;0;962.979167;18.791667;33.3;27.608333;22.3;60.583333;37;7;1.2625;
2020-03-17;0;962.954167;19.470833;33.4;27.8375;22.9;61.875;40;6.2;1.008333;
2020-03-18;0;962.829167;20.604167;33.7;27.725;23;66.666667;41;5.9;1.008333;
2020-03-19;9;961.1625;null;31.7;25.729167;20.5;72.058824;51;12;1.4875;
2020-03-20;.2;959.516667;21.42381;29.6;24.308333;22.2;83.619048;57;7.6;.558333;
2020-03-21;.8;960.195833;21.75;30.9;25.2125;22;78.833333;49;6.3;.5875;
2020-03-22;0;963.933333;16.316667;31.3;25.304167;19.9;61;29;9.1;2.020833;
2020-03-23;0;966.116667;13.895833;30.1;24.1;18;55.208333;32;10.6;2.154167;
2020-03-24;0;964.991667;14.870833;30.5;24.3875;18.4;56.708333;36;9.8;2.075;
