Nome: PRESIDENTE PRUDENTE
Codigo Estacao: A707
Latitude: -22.11999999
Longitude: -51.40861111
Altitude: 431.92
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.425;
2020-01-01;0200;-3.278;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.498;
2020-01-01;0500;-3.491;
2020-01-01;0600;-2.942;
2020-01-01;0700;-2.344;
2020-01-01;0800;-2.843;
2020-01-01;0900;5.72;
2020-01-01;1000;116.351;
2020-01-01;1100;412.873;
2020-01-01;1200;675.619;
2020-01-01;1300;1379.233;
2020-01-01;1400;2466.302;
2020-01-01;1500;3597.787;
2020-01-01;1600;3041.66;
2020-01-01;1700;2838.145;
2020-01-01;1800;244.389;
2020-01-01;1900;647.871;
2020-01-01;2000;514.767;
2020-01-01;2100;143.569;
2020-01-01;2200;20.408;
2020-01-01;2300;-1.832;
2020-01-02;0000;-.693;
2020-01-02;0100;1.07;
2020-01-02;0200;-2.126;
2020-01-02;0300;-1.716;
2020-01-02;0400;-2.145;
2020-01-02;0500;-1.837;
2020-01-02;0600;-1.26;
2020-01-02;0700;-2.744;
2020-01-02;0800;-3.198;
2020-01-02;0900;6.356;
2020-01-02;1000;247.008;
2020-01-02;1100;312.989;
2020-01-02;1200;728.728;
2020-01-02;1300;1376.048;
2020-01-02;1400;2252.404;
2020-01-02;1500;2623.151;
2020-01-02;1600;2535.443;
2020-01-02;1700;2542.034;
2020-01-02;1800;2619.359;
2020-01-02;1900;2231.297;
2020-01-02;2000;1040.799;
2020-01-02;2100;343.74;
2020-01-02;2200;170.565;
2020-01-02;2300;-1.93;
2020-01-03;0000;-3.486;
2020-01-03;0100;-3.108;
2020-01-03;0200;-2.503;
2020-01-03;0300;-2.93;
2020-01-03;0400;-2.85;
2020-01-03;0500;-1.265;
2020-01-03;0600;-2.25;
2020-01-03;0700;-.289;
2020-01-03;0800;-2.174;
2020-01-03;0900;-.019;
2020-01-03;1000;4.325;
2020-01-03;1100;84.127;
2020-01-03;1200;113.933;
2020-01-03;1300;471.493;
2020-01-03;1400;498.711;
2020-01-03;1500;536.175;
2020-01-03;1600;770.807;
2020-01-03;1700;3057.798;
2020-01-03;1800;1784.407;
2020-01-03;1900;1497.158;
2020-01-03;2000;276.362;
2020-01-03;2100;313.182;
2020-01-03;2200;136.489;
2020-01-03;2300;-.412;
2020-01-04;0000;-3.384;
2020-01-04;0100;-2.157;
2020-01-04;0200;-2.287;
2020-01-04;0300;-3.289;
2020-01-04;0400;-3.231;
2020-01-04;0500;-2.673;
2020-01-04;0600;-1.341;
2020-01-04;0700;-2.05;
2020-01-04;0800;-2.636;
2020-01-04;0900;5.401;
2020-01-04;1000;166.632;
2020-01-04;1100;299.203;
2020-01-04;1200;616.806;
2020-01-04;1300;1150.096;
2020-01-04;1400;2293.049;
2020-01-04;1500;2574.74;
2020-01-04;1600;2028.978;
2020-01-04;1700;2084.839;
2020-01-04;1800;1287.792;
2020-01-04;1900;1338.088;
2020-01-04;2000;1354.759;
2020-01-04;2100;976.092;
2020-01-04;2200;270.319;
2020-01-04;2300;1.329;
2020-01-05;0000;-3.343;
2020-01-05;0100;-3.397;
2020-01-05;0200;-2.885;
2020-01-05;0300;-2.679;
2020-01-05;0400;-2.83;
2020-01-05;0500;-3.162;
2020-01-05;0600;-3.54;
2020-01-05;0700;-3.199;
2020-01-05;0800;-3.257;
2020-01-05;0900;3.106;
2020-01-05;1000;250.537;
2020-01-05;1100;229.781;
2020-01-05;1200;54.25;
2020-01-05;1300;364.944;
2020-01-05;1400;1567.694;
2020-01-05;1500;2079.947;
2020-01-05;1600;3712.672;
2020-01-05;1700;3583.238;
2020-01-05;1800;3374.864;
2020-01-05;1900;1648.844;
2020-01-05;2000;656.033;
2020-01-05;2100;267.945;
2020-01-05;2200;350.12;
2020-01-05;2300;2.157;
2020-01-06;0000;-3.218;
2020-01-06;0100;-2.944;
2020-01-06;0200;-3.531;
2020-01-06;0300;-3.537;
2020-01-06;0400;-3.528;
2020-01-06;0500;-3.528;
2020-01-06;0600;-3.458;
2020-01-06;0700;-3.531;
2020-01-06;0800;-3.448;
2020-01-06;0900;6.684;
2020-01-06;1000;134.652;
2020-01-06;1100;445.12;
2020-01-06;1200;317.918;
2020-01-06;1300;1137.21;
2020-01-06;1400;2392.992;
2020-01-06;1500;3320.484;
2020-01-06;1600;2578.558;
2020-01-06;1700;2749.411;
2020-01-06;1800;2925.109;
2020-01-06;1900;2798.996;
2020-01-06;2000;1998.461;
2020-01-06;2100;1133.418;
2020-01-06;2200;324.495;
2020-01-06;2300;2.041;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.432;
2020-01-07;0200;-3.521;
2020-01-07;0300;-3.5;
2020-01-07;0400;-3.514;
2020-01-07;0500;-3.428;
2020-01-07;0600;-3.53;
2020-01-07;0700;-3.346;
2020-01-07;0800;-3.351;
2020-01-07;0900;4.288;
2020-01-07;1000;136.141;
2020-01-07;1100;361.393;
2020-01-07;1200;852.349;
2020-01-07;1300;794.007;
2020-01-07;1400;813.5;
2020-01-07;1500;774.839;
2020-01-07;1600;950.266;
2020-01-07;1700;223.963;
2020-01-07;1800;570.495;
2020-01-07;1900;65.904;
2020-01-07;2000;207.962;
2020-01-07;2100;252.092;
2020-01-07;2200;112.248;
2020-01-07;2300;-.712;
2020-01-08;0000;-1.252;
2020-01-08;0100;-3.114;
2020-01-08;0200;-2.12;
2020-01-08;0300;-2.648;
2020-01-08;0400;-2.61;
2020-01-08;0500;-2.758;
2020-01-08;0600;-2.085;
2020-01-08;0700;-2.503;
2020-01-08;0800;-1.827;
2020-01-08;0900;.951;
2020-01-08;1000;103.502;
2020-01-08;1100;359.16;
2020-01-08;1200;644.565;
2020-01-08;1300;1261.741;
2020-01-08;1400;1148.415;
2020-01-08;1500;1302.186;
2020-01-08;1600;2228.034;
2020-01-08;1700;1906.635;
2020-01-08;1800;1730.875;
2020-01-08;1900;1817.328;
2020-01-08;2000;699.567;
2020-01-08;2100;504.902;
2020-01-08;2200;145.45;
2020-01-08;2300;-2.349;
2020-01-09;0000;-.949;
2020-01-09;0100;-1.464;
2020-01-09;0200;-1.673;
2020-01-09;0300;-.55;
2020-01-09;0400;-1.238;
2020-01-09;0500;-.804;
2020-01-09;0600;-2.289;
2020-01-09;0700;-2.547;
2020-01-09;0800;-1.014;
2020-01-09;0900;2.936;
2020-01-09;1000;107.434;
2020-01-09;1100;316.452;
2020-01-09;1200;613.177;
2020-01-09;1300;930.084;
2020-01-09;1400;1156.192;
2020-01-09;1500;1451.676;
2020-01-09;1600;121.665;
2020-01-09;1700;88.126;
2020-01-09;1800;169.065;
2020-01-09;1900;544.125;
2020-01-09;2000;709.687;
2020-01-09;2100;446.641;
2020-01-09;2200;133.76;
2020-01-09;2300;-.789;
2020-01-10;0000;-.435;
2020-01-10;0100;-1.327;
2020-01-10;0200;-2.275;
2020-01-10;0300;-.848;
2020-01-10;0400;-1.996;
2020-01-10;0500;-2.127;
2020-01-10;0600;-1.193;
2020-01-10;0700;-2.355;
2020-01-10;0800;-1.943;
2020-01-10;0900;1.533;
2020-01-10;1000;72.384;
2020-01-10;1100;380.9;
2020-01-10;1200;1011.619;
2020-01-10;1300;1323.775;
2020-01-10;1400;2293.938;
2020-01-10;1500;3299.821;
2020-01-10;1600;2442.58;
2020-01-10;1700;3070.14;
2020-01-10;1800;2783.921;
2020-01-10;1900;2450.131;
2020-01-10;2000;1165.535;
2020-01-10;2100;304.972;
2020-01-10;2200;74.514;
2020-01-10;2300;7.935;
2020-01-11;0000;-3.527;
2020-01-11;0100;-3.48;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.469;
2020-01-11;0400;-2.943;
2020-01-11;0500;-2.857;
2020-01-11;0600;-3.072;
2020-01-11;0700;-2.836;
2020-01-11;0800;-2.853;
2020-01-11;0900;-.452;
2020-01-11;1000;89.752;
2020-01-11;1100;352.894;
2020-01-11;1200;818.118;
2020-01-11;1300;1008.916;
2020-01-11;1400;1924.606;
2020-01-11;1500;3270.648;
2020-01-11;1600;2977.367;
2020-01-11;1700;2092.86;
2020-01-11;1800;537.823;
2020-01-11;1900;525.384;
2020-01-11;2000;180.763;
2020-01-11;2100;141.817;
2020-01-11;2200;71.311;
2020-01-11;2300;-1.887;
2020-01-12;0000;-2.628;
2020-01-12;0100;-2.62;
2020-01-12;0200;-2.482;
2020-01-12;0300;-3.015;
2020-01-12;0400;-2.255;
2020-01-12;0500;-3.414;
2020-01-12;0600;-3.166;
2020-01-12;0700;-3.502;
2020-01-12;0800;-2.817;
2020-01-12;0900;-.172;
2020-01-12;1000;144.336;
2020-01-12;1100;514.575;
2020-01-12;1200;354.175;
2020-01-12;1300;377.108;
2020-01-12;1400;544.429;
2020-01-12;1500;1169.941;
2020-01-12;1600;1858.006;
2020-01-12;1700;1773.683;
2020-01-12;1800;2143.944;
2020-01-12;1900;1945.288;
2020-01-12;2000;1074.949;
2020-01-12;2100;135.678;
2020-01-12;2200;5.666;
2020-01-12;2300;-2.463;
2020-01-13;0000;-2.112;
2020-01-13;0100;-1.518;
2020-01-13;0200;-.807;
2020-01-13;0300;-2.015;
2020-01-13;0400;-2.142;
2020-01-13;0500;-2.442;
2020-01-13;0600;-2.538;
2020-01-13;0700;-1.789;
2020-01-13;0800;-.805;
2020-01-13;0900;2.201;
2020-01-13;1000;187.517;
2020-01-13;1100;548.54;
2020-01-13;1200;785.834;
2020-01-13;1300;1248.41;
2020-01-13;1400;1180.017;
2020-01-13;1500;2115.908;
2020-01-13;1600;2182.508;
2020-01-13;1700;1542.787;
2020-01-13;1800;1356.522;
2020-01-13;1900;770.529;
2020-01-13;2000;499.292;
2020-01-13;2100;50.71;
2020-01-13;2200;23.067;
2020-01-13;2300;-1.92;
2020-01-14;0000;-2.344;
2020-01-14;0100;-1.544;
2020-01-14;0200;-1.94;
2020-01-14;0300;-2.896;
2020-01-14;0400;-2.058;
2020-01-14;0500;-2.372;
2020-01-14;0600;-1.866;
2020-01-14;0700;-2.945;
2020-01-14;0800;-2.243;
2020-01-14;0900;1.555;
2020-01-14;1000;129.175;
2020-01-14;1100;446.338;
2020-01-14;1200;806.438;
2020-01-14;1300;1187.568;
2020-01-14;1400;1317.324;
2020-01-14;1500;2752.056;
2020-01-14;1600;3285.701;
2020-01-14;1700;2259.536;
2020-01-14;1800;2232.519;
2020-01-14;1900;2989.476;
2020-01-14;2000;1981.852;
2020-01-14;2100;1217.981;
2020-01-14;2200;280.276;
2020-01-14;2300;-2.081;
2020-01-15;0000;-3.54;
2020-01-15;0100;-3.48;
2020-01-15;0200;-3.54;
2020-01-15;0300;-3.54;
2020-01-15;0400;-3.54;
2020-01-15;0500;-3.539;
2020-01-15;0600;-3.54;
2020-01-15;0700;-3.54;
2020-01-15;0800;-3.398;
2020-01-15;0900;1.909;
2020-01-15;1000;213.15;
2020-01-15;1100;242.216;
2020-01-15;1200;421.249;
2020-01-15;1300;1151.603;
2020-01-15;1400;1642.738;
2020-01-15;1500;3585.3;
2020-01-15;1600;3521.874;
2020-01-15;1700;2723.208;
2020-01-15;1800;2893.936;
2020-01-15;1900;2006.493;
2020-01-15;2000;2028.852;
2020-01-15;2100;890.035;
2020-01-15;2200;236.08;
2020-01-15;2300;-.267;
2020-01-16;0000;-3.54;
2020-01-16;0100;-3.539;
2020-01-16;0200;-3.54;
2020-01-16;0300;-3.54;
2020-01-16;0400;-3.54;
2020-01-16;0500;-3.54;
2020-01-16;0600;-3.54;
2020-01-16;0700;-3.54;
2020-01-16;0800;-3.54;
2020-01-16;0900;.591;
2020-01-16;1000;203.393;
2020-01-16;1100;454.796;
2020-01-16;1200;498.574;
2020-01-16;1300;1554.289;
2020-01-16;1400;1711.175;
2020-01-16;1500;3416.606;
2020-01-16;1600;3601.753;
2020-01-16;1700;3466.727;
2020-01-16;1800;3213.25;
2020-01-16;1900;2058.121;
2020-01-16;2000;924.178;
2020-01-16;2100;210.802;
2020-01-16;2200;48.044;
2020-01-16;2300;-.176;
2020-01-17;0000;-3.351;
2020-01-17;0100;-3.497;
2020-01-17;0200;-3.54;
2020-01-17;0300;-3.54;
2020-01-17;0400;-3.54;
2020-01-17;0500;-3.539;
2020-01-17;0600;-3.54;
2020-01-17;0700;-3.54;
2020-01-17;0800;-3.54;
2020-01-17;0900;.26;
2020-01-17;1000;119.595;
2020-01-17;1100;357.382;
2020-01-17;1200;648.516;
2020-01-17;1300;1131.603;
2020-01-17;1400;1262.593;
2020-01-17;1500;1632.984;
2020-01-17;1600;1995.502;
2020-01-17;1700;1501.757;
2020-01-17;1800;1750.987;
2020-01-17;1900;2619.292;
2020-01-17;2000;1640.464;
2020-01-17;2100;1087.333;
2020-01-17;2200;273.351;
2020-01-17;2300;-.248;
2020-01-18;0000;-3.536;
2020-01-18;0100;-3.54;
2020-01-18;0200;-3.54;
2020-01-18;0300;-3.535;
2020-01-18;0400;-3.54;
2020-01-18;0500;-3.54;
2020-01-18;0600;-3.517;
2020-01-18;0700;-3.501;
2020-01-18;0800;-3.521;
2020-01-18;0900;-.544;
2020-01-18;1000;197.479;
2020-01-18;1100;293.992;
2020-01-18;1200;370.717;
2020-01-18;1300;1411.079;
2020-01-18;1400;1503.464;
2020-01-18;1500;3457.021;
2020-01-18;1600;3625.605;
2020-01-18;1700;2590.834;
2020-01-18;1800;1571.172;
2020-01-18;1900;1645.785;
2020-01-18;2000;1673.855;
2020-01-18;2100;841.395;
2020-01-18;2200;245.508;
2020-01-18;2300;-.266;
2020-01-19;0000;-3.54;
