Nome: IVINHEMA
Codigo Estacao: A709
Latitude: -22.30055555
Longitude: -53.82277777
Altitude: 377.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;964.729167;20.720833;35.8;27.558333;22.8;68.916667;36;10.4;2.65;
2020-01-02;0;964.404167;20.516667;34.4;27.933333;22.8;67;36;11.2;2.504167;
2020-01-03;0;965.270833;21.620833;31.7;26.083333;23.6;76.791667;57;10;2.429167;
2020-01-04;29.8;965.05;20.775;31.5;25.35;21.8;76.791667;53;8.1;2.233333;
2020-01-05;.8;962.920833;20.3625;33.3;26.1;22.4;72.208333;43;14.8;1.754167;
2020-01-06;.8;963.141667;20.5375;35.2;27.375;21.4;69.583333;36;10.6;2.554167;
2020-01-07;11;964.704167;21.545833;28.3;23.770833;22.8;87.708333;65;11.2;2.383333;
2020-01-08;32.4;966.454167;22.008333;31.9;24.604167;20.9;86.541667;53;11.5;2.079167;
2020-01-09;0;967.391667;22.4;32.7;26.791667;22.4;78.083333;50;11.7;2.320833;
2020-01-10;0;967.295833;22.645833;34.4;28.2;23.8;73.541667;46;8.7;2.604167;
2020-01-11;0;966.729167;22.6;35.2;28.716667;24.4;71.291667;43;9.5;2.325;
2020-01-12;1.4;968.2125;22.056522;35.3;27.6625;22.9;73.043478;42;13.7;2.345833;
2020-01-13;51.6;969.216667;22.204167;32.3;26.079167;22.9;80.875;48;11.4;2.15;
2020-01-14;.2;968.829167;21.841667;34.1;26.275;22.1;78.166667;48;13.1;1.995833;
2020-01-15;.6;967.2625;22.566667;35.2;28.816667;23.6;70.875;45;9;2.0125;
2020-01-16;0;968.775;22.225;36.9;30.733333;26.2;62.791667;31;11.2;2.583333;
2020-01-17;0;970.8;22.175;33.7;27.854167;23.8;72.375;51;8.5;1.966667;
2020-01-18;0;971.6125;20.320833;32.7;26.7;21.6;69.416667;48;9.6;3.004167;
2020-01-19;0;969.858333;20.125;33.8;27.595833;22;65.708333;41;7.1;2.479167;
2020-01-20;0;967.120833;19.866667;34.6;28.379167;23.3;61.666667;37;7;2.0125;
2020-01-21;0;963.979167;19.720833;35.5;28.504167;23.5;60.5;39;8.2;2.55;
