Nome: SAO CARLOS
Codigo Estacao: A711
Latitude: -21.980353
Longitude: -47.883927
Altitude: 859.29
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.8;914.725;18.383333;31.6;24.379167;20;70.583333;41;9.6;1.220833;
2020-01-02;0;914.554167;19.129167;29.4;23.075;20.5;79.125;52;13.4;1.333333;
2020-01-03;43.6;916.233333;18.266667;26.4;21.229167;18.1;83.958333;63;8.2;1.25;
2020-01-04;.2;914.708333;17.6125;28.1;22.125;18.2;76.458333;58;9.6;1.375;
2020-01-05;24.8;914.125;18.508333;28.2;21.404167;18.1;84.875;56;15.1;1.541667;
2020-01-06;18;915.295833;18.466667;29.1;21.8875;17.8;82.166667;52;14.8;1.475;
2020-01-07;10.8;917.020833;19.554167;30.4;24.008333;17.8;77.625;52;9.4;1.5;
2020-01-08;39.6;917.7;20.258333;28.2;22.725;20.1;86.625;64;8;1.295833;
2020-01-09;10;918.583333;20.4625;27.2;22.770833;20.6;87.375;68;5.4;.754167;
2020-01-10;2.4;918.220833;19.875;29.7;23.754167;19.9;80.666667;49;8.3;.8625;
2020-01-11;0;917.4625;20.445833;29.3;24.470833;20.4;79.375;52;7.6;.720833;
2020-01-12;0;918.683333;20.316667;31.9;24.441667;21;79.625;46;9.9;.766667;
2020-01-13;61.8;919.554167;19.816667;27.5;23.225;20.1;81.791667;62;5.8;1.0875;
2020-01-14;0;919.170833;19.270833;29.6;23.754167;19.5;77.208333;52;7.2;1.195833;
2020-01-15;0;917.875;18.845833;32.7;25.845833;19.8;68.125;37;7.5;1.045833;
2020-01-16;0;918.908333;19.020833;33.2;26.4;20.8;66.541667;35;10.4;1.333333;
2020-01-17;0;920.795833;19.108333;26.3;23.054167;21.4;78.833333;66;11.5;2.658333;
2020-01-18;0;921.266667;17.483333;29.4;22.920833;18;72.625;54;9.7;2.554167;
2020-01-19;0;919.408333;18.725;30.6;23.733333;18.8;74.833333;51;8.4;1.408333;
2020-01-20;1.2;916.991667;19.3125;29.7;23.225;19.4;79.25;55;7;1.545833;
2020-01-21;38.4;914.391667;17.629167;30.5;22.983333;16.6;73.5;47;8.9;1.6875;
2020-01-22;0;913.6375;18.2125;27.6;22.095833;18.5;78.958333;60;9.3;2.095833;
2020-01-23;13.2;913.083333;18.691667;23.5;20.220833;18.9;91;81;6.7;1.05;
2020-01-24;35;911.7875;17.741667;26.4;21.1625;18;82.083333;59;8.8;1.983333;
2020-01-25;0;915.1875;14.775;28.2;21.416667;16.2;68.291667;41;10.4;1.625;
2020-01-26;0;917.095833;13.2875;29.6;22.879167;15.9;58.375;31;5.3;.825;
2020-01-27;0;917.304167;12.341667;31.1;23.491667;15.3;52.291667;31;6.4;.883333;
2020-01-28;0;917.1875;16.5625;31.6;24.058333;18.3;64.416667;38;9.3;1.379167;
2020-01-29;2.2;918.954167;19.316667;27.5;23.170833;20.4;79.458333;62;7.9;2.125;
2020-01-30;5.8;920.125;20.116667;27.2;22.425;20.5;87;70;8.4;1.566667;
2020-01-31;9.2;920.429167;19.445833;27.7;22.725;19.8;82.5;63;8.4;1.529167;
2020-02-01;5.8;920.4;19.9625;26.3;21.958333;20.3;88.75;70;9.9;.491667;
2020-02-02;24.6;920.004167;19.570833;29;23.175;19.6;81.416667;55;7.5;.670833;
2020-02-03;0;919.091667;19.416667;28.6;22.6;19.8;82.75;58;14.8;1.179167;
2020-02-04;2.2;918.979167;19.116667;29.4;22.716667;19.7;81.5;53;7.7;1.345833;
2020-02-05;11.8;918.8375;19.4875;29.9;22.6625;19.9;83.416667;49;5.7;.933333;
2020-02-06;43.4;918.954167;19.533333;25.7;21.479167;19.7;88.958333;70;6.9;.908333;
2020-02-07;55.6;918.104167;18.325;26.2;20.920833;18.3;85.875;61;8.6;2.4625;
2020-02-08;.8;917.9;18.116667;27.9;22.3875;19.2;77.5;56;9.2;2.016667;
2020-02-09;.6;918.704167;18.866667;25;21.629167;20.2;84.583333;75;10.8;2.425;
2020-02-10;11.4;919.658333;19.754167;22.9;20.833333;20.1;93.583333;90;9;2.129167;
2020-02-11;39.8;919.654167;18.175;21.9;19.558333;17.6;91.916667;84;8.9;1.35;
2020-02-12;.6;919.304167;16.629167;22.9;19.179167;16.7;85.291667;76;9.2;1.895833;
2020-02-13;0;919.141667;16.770833;28.9;21.216667;16.5;77.416667;47;9.2;1.570833;
2020-02-14;0;918.9875;17.15;30.7;22.866667;17.2;72.5;41;9.6;1.379167;
2020-02-15;0;918.166667;18.2;31.1;24.6;19;69.166667;43;7.3;1.266667;
2020-02-16;0;917.491667;18.945833;32;25.65;20.4;68.208333;36;6.4;1.041667;
2020-02-17;0;917.779167;18.820833;31.8;24.158333;19.7;74.375;42;10;1.516667;
2020-02-18;9.8;918.566667;19.970833;31.6;24.595833;20.3;76.916667;48;7.6;1.654167;
2020-02-19;1.6;917.3375;20.158333;30.2;23.4875;20.7;82.541667;54;12.9;1.3875;
2020-02-20;15.6;916.783333;19.8875;30.5;23.854167;19.9;79.833333;51;10.2;1.058333;
2020-02-21;77.2;918.066667;19.808333;24.2;21.333333;19.8;91.208333;76;8.1;.725;
2020-02-22;2.2;918.916667;18.9125;27.7;22.166667;19.3;82.958333;56;10.5;1.295833;
2020-02-23;0;920.570833;16.6125;28.3;21.0375;16.5;76.666667;56;9.8;2.358333;
2020-02-24;3.4;919.425;18.716667;24.6;21.341667;18.7;85.125;75;7.8;1.566667;
2020-02-25;8;918.379167;20.066667;28.4;23.254167;20.3;83.083333;59;8.1;1.6;
2020-02-26;9.8;916.604167;19.925;24.4;20.958333;20.9;93.833333;79;9.7;1.1875;
2020-02-27;108.6;917.325;17.625;23.5;20.033333;17.2;86.458333;71;10.8;2.320833;
2020-02-28;0;919.983333;16.8875;21.9;18.7375;16.2;89.166667;82;8.1;1.575;
2020-02-29;5.2;920.654167;17.795833;26.8;20.954167;17.5;83;61;6.6;.954167;
2020-03-01;0;920.225;17.516667;27.1;21.270833;17.9;80;60;11.9;2.5125;
2020-03-02;1;919.8375;15.966667;26.4;20.983333;16.8;74.75;50;9.3;2.329167;
2020-03-03;0;919.083333;16.083333;26.5;20.483333;16.2;76.75;54;9.6;1.879167;
2020-03-04;0;918.870833;15.8125;29;21.75;15.9;71.333333;41;9;1.445833;
2020-03-05;0;920.0375;14.3625;28.3;21.891667;16;65.208333;35;8.3;1.983333;
2020-03-06;0;920.0125;13.808333;27.8;20.8625;15.4;66.166667;39;8.6;1.829167;
2020-03-07;0;918.2125;13.816667;28.5;21.329167;14.6;65;34;8;1.541667;
2020-03-08;0;918.195833;14.941667;29.3;22.229167;17;66.583333;31;7.8;1.895833;
2020-03-09;0;920.158333;15.55;29.7;22.295833;16.5;67.708333;33;8.3;1.679167;
2020-03-10;0;920.158333;16.429167;30.8;23.795833;18.5;65.583333;37;9.1;1.729167;
2020-03-11;0;918.895833;16.604167;30.6;24.429167;19.7;63.583333;34;9.3;1.679167;
2020-03-12;0;919.716667;16.395833;30.9;24.541667;19.6;62.458333;36;9;1.725;
2020-03-13;0;920.220833;16.483333;31.5;24.25;18.7;63.916667;34;8;1.320833;
2020-03-14;0;920.3875;16.825;31.3;25.1125;20.4;61.916667;34;10;1.6375;
2020-03-15;0;919.729167;17.525;31.6;24.970833;20.7;64.458333;42;6.7;1.541667;
2020-03-16;3.2;919.566667;18.4875;30.3;23.683333;19.5;74.291667;48;9.5;1.616667;
2020-03-17;0;919.583333;18.2375;29.9;23.4875;20.1;73.541667;50;7.4;1.191667;
2020-03-18;0;919.358333;18.825;30.7;22.770833;19.4;79.375;49;8.1;1.016667;
2020-03-19;.4;917.0875;18.891667;27.8;22.733333;18.9;79.666667;59;9.5;.454167;
2020-03-20;3.4;915.15;19.75;27.1;22.3875;19.9;85.541667;61;6;.875;
2020-03-21;21.4;916.445833;18.845833;26.2;21.979167;19.9;83.083333;63;9.1;1.266667;
2020-03-22;0;919.7;14.833333;27.4;21.766667;17.5;66.458333;43;7.9;2.070833;
2020-03-23;0;921.6875;14.591667;27.3;21.033333;15.8;68.625;44;9.9;2.183333;
2020-03-24;0;921.291667;12.420833;27.2;20.845833;15.3;61.25;32;10.1;2.095833;
2020-03-25;0;920.129167;11.566667;27.1;20.7125;15.4;58.583333;32;8.9;1.908333;
2020-03-26;0;919.620833;12.466667;27.8;21.054167;15.4;60.5;31;8.5;1.733333;
2020-03-27;0;919.2375;13.141667;28.1;21.725;16.9;59.916667;34;10.4;2.266667;
2020-03-28;0;920.454167;16.120833;29.8;22.8875;17.5;66.875;41;8.8;1.6;
2020-03-29;1.8;922.420833;18.758333;26.1;20.895833;20.4;88;68;5.5;.8;
2020-03-30;63.4;921.225;17.975;27.8;21.795833;18.4;80.208333;57;4.5;.920833;
2020-03-31;.2;919.304167;17.841667;30.1;23.308333;18.3;73.458333;47;6.1;1.195833;
2020-04-01;0;919.216667;16.954167;30.5;23.8375;18.2;67.625;33;6.8;.979167;
2020-04-02;0;918.970833;18.041667;30.7;24.208333;19.3;69.541667;46;9.6;1.470833;
2020-04-03;0;915.429167;18.504167;29.6;23.8;19.9;73.75;48;14.3;1.941667;
2020-04-04;0;916.8375;11.733333;28.9;21.295833;15.3;58.25;22;6.9;1.133333;
2020-04-05;0;919.566667;12.5;29.8;21.85;15.5;58.458333;31;6.3;.916667;
