Nome: ITAPEVA
Codigo Estacao: A714
Latitude: -23.98194443
Longitude: -48.88583333
Altitude: 743.33
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.54;
2020-01-01;0900;23.233;
2020-01-01;1000;487.447;
2020-01-01;1100;1179.163;
2020-01-01;1200;2168.738;
2020-01-01;1300;2740.038;
2020-01-01;1400;3431.364;
2020-01-01;1500;3458.749;
2020-01-01;1600;2816.527;
2020-01-01;1700;1818.874;
2020-01-01;1800;2604.532;
2020-01-01;1900;1243.649;
2020-01-01;2000;418.136;
2020-01-01;2100;486.805;
2020-01-01;2200;166.995;
2020-01-01;2300;-1.693;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.497;
2020-01-02;0200;-3.536;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.523;
2020-01-02;0600;-3.533;
2020-01-02;0700;-3.54;
2020-01-02;0800;-3.501;
2020-01-02;0900;4.198;
2020-01-02;1000;118.584;
2020-01-02;1100;396.459;
2020-01-02;1200;1237.836;
2020-01-02;1300;2387.408;
2020-01-02;1400;2771.445;
2020-01-02;1500;3308.317;
2020-01-02;1600;1758.208;
2020-01-02;1700;917.221;
2020-01-02;1800;67.589;
2020-01-02;1900;91.287;
2020-01-02;2000;134.319;
2020-01-02;2100;242.956;
2020-01-02;2200;165.123;
2020-01-02;2300;-.306;
2020-01-03;0000;-2.977;
2020-01-03;0100;-3.1;
2020-01-03;0200;-2.665;
2020-01-03;0300;-2.379;
2020-01-03;0400;-2.401;
2020-01-03;0500;-2.711;
2020-01-03;0600;-2.46;
2020-01-03;0700;-2.989;
2020-01-03;0800;-3.174;
