Nome: OURINHOS
Codigo Estacao: A716
Latitude: -22.94888888
Longitude: -49.89444444
Altitude: 443.49
Situacao: Temporariamente Fechada
Data Inicial: 2020-01-01
Data Final: 2020-08-19
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;965.125;20.070833;35.9;26.766667;20.8;68.708333;37;9;.829167;
2020-01-02;0;965.120833;20.929167;33.1;25.458333;22.2;77.333333;50;10;.691667;
2020-01-03;2.4;967.529167;18.966667;28;24.6125;21.4;71.416667;58;8.8;1.441667;
2020-01-04;2.8;966.445833;18.520833;31.2;24.420833;19;71.416667;46;7.4;.7;
2020-01-05;6;965.391667;19.2125;28.4;22.841667;19;80.916667;51;8.6;.6125;
2020-01-06;7.6;965.7125;20.45;32.5;25.3;19.4;76.666667;46;7.5;.666667;
2020-01-07;0;967.195833;21.958333;31.6;24.795833;22;85.083333;59;8.7;.408333;
2020-01-08;16.2;968.075;22.479167;29.8;24.329167;21.6;89.875;70;4.6;.116667;
2020-01-09;2.2;969.270833;22.229167;30.1;24.583333;22.2;87.25;65;6.8;.5;
2020-01-10;.2;968.925;22.258333;32.2;25.816667;22.4;81.875;56;6.3;.4125;
2020-01-11;2;968.316667;22.9375;30.8;25.616667;22.7;85.708333;65;5.8;.2375;
2020-01-12;.2;969.570833;21.545833;33.5;25.141667;21.8;81.916667;53;8.1;.55;
2020-01-13;12.4;971.175;21.3;31.7;25.004167;22;80.958333;53;8.5;.625;
