Nome: NHUMIRIM
Codigo Estacao: A717
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;12.8;996.8;22.979167;35.2;27.254167;21.8;80;45;3.5;.008333;
2020-01-02;2.8;996.366667;23.354167;35.6;28.366667;23.7;76.083333;42;7.8;.045833;
2020-01-03;.2;997.041667;21.1625;35.3;28.779167;23.2;68.333333;33;6.8;.020833;
2020-01-04;0;995.6;19.566667;35.7;28.2625;22.2;63.083333;30;6.6;.025;
2020-01-05;0;993.841667;18.795833;36.5;28.3625;19.6;61.833333;27;6.9;.079167;
2020-01-06;0;993.975;22.533333;34.2;29.004167;25;69;50;8.6;.145833;
2020-01-07;0;996.15;23.0625;34.7;27.579167;26.1;77.416667;52;11.3;.166667;
2020-01-08;40;997.654167;23.3;32.1;26.545833;22.9;83.333333;60;4.4;.029167;
2020-01-09;.2;998.491667;23.095833;34;28.191667;24.3;75.625;50;6.7;.191667;
2020-01-10;.4;997.858333;23.104167;35.7;30.270833;26;67.625;41;8.3;.054167;
2020-01-11;0;997.270833;23.716667;37.1;30.679167;25.4;68.666667;38;4.8;.008333;
2020-01-12;0;998.208333;23.854167;35.8;30.229167;25.3;70.25;46;5.5;.104167;
2020-01-13;1.8;999.333333;24.154167;33.1;27.9;24.7;80.958333;58;4.8;.0375;
2020-01-14;1.2;998.7625;22.141667;36.5;29.183333;23.6;68.791667;37;7;.120833;
2020-01-15;0;997.2875;22.591667;37;29.670833;23.3;68.833333;38;7.5;.0375;
2020-01-16;0;999.05;23.125;38.4;30.945833;24;67.375;35;4.1;.025;
2020-01-17;.4;1001.241667;24.183333;35.3;29.3875;25.9;74.5;50;4.3;.079167;
2020-01-18;0;1000.708333;23.070833;38.3;28.516667;24.1;75.5;37;11;.025;
2020-01-19;7.6;999.108333;23.625;37.6;29.383333;24;74.416667;39;4;.020833;
2020-01-20;null;996.565;24.14;37;null;24.7;71.55;44;4.2;.005;
2020-01-21;null;null;null;37;null;26.4;71.875;45;6.8;null;
2020-01-22;null;null;null;null;null;null;84.076923;73;12.2;null;
2020-01-23;null;null;null;null;null;null;71.933333;53;7.7;null;
2020-01-24;null;null;null;30.4;null;23.8;77.466667;65;6.2;null;
2020-01-25;null;996.495;22.215;36.1;null;23.7;66.05;39;3.9;0;
2020-01-26;null;996.594444;21.4;38.1;null;23.3;58.166667;28;5;.005556;
2020-01-27;null;null;null;38.4;null;24.6;58.1875;31;5.5;null;
2020-01-28;null;null;null;null;null;25.4;69.846154;47;6.4;null;
2020-01-29;null;null;null;null;null;null;73.2;57;7.4;null;
2020-01-30;null;999.994737;23.257895;34.2;null;24.8;80.052632;51;7.8;.136842;
2020-01-31;null;null;null;33.9;null;22.3;76.9375;54;2.6;null;
2020-02-01;null;1000.795238;23.433333;34;null;21.8;80.142857;54;6;.02381;
2020-02-02;1.2;1000.352174;24.047826;32.9;27.713043;24.4;81.695652;59;6.8;0;
2020-02-03;.4;999.604545;24.218182;33.8;27.536364;25.6;82.863636;59;1.3;.013636;
2020-02-04;null;null;null;33.8;null;24;71.705882;52;6.4;null;
2020-02-05;3.8;997.941667;24.083333;33.4;27.45;24.7;82.75;51;6.5;.129167;
2020-02-06;3.4;999.041667;23.904167;32;27.1625;24.6;83.125;62;5.2;.016667;
2020-02-07;1.6;997.179167;24.054167;35.4;27.570833;24.6;82.333333;51;5;.045833;
2020-02-08;1.6;995.3875;23.445833;35.4;28.158333;23.7;77.666667;47;4.4;.016667;
2020-02-09;2.4;996.579167;23.895833;32.8;26.795833;24.6;84.666667;58;3.1;.008333;
2020-02-10;32.2;998.908333;23.933333;32.1;27;24.8;84;62;5.1;.041667;
2020-02-11;4;999.595833;24.0875;32;27.316667;24.6;83.125;64;5.5;.033333;
2020-02-12;0;998.525;24.341667;31.1;26.741667;24.3;87;66;2.7;.0125;
2020-02-13;8.4;998.466667;23.808333;33.8;27.854167;24.1;80.166667;55;6;.041667;
2020-02-14;.2;998.545833;24.125;35.2;29.1375;25.4;76.5;45;4.3;.016667;
2020-02-15;0;997.495833;23.920833;36.9;30.6125;25.7;70.541667;39;5.9;.095833;
2020-02-16;0;997.116667;24.229167;36.5;29.045833;25.8;76.625;48;5.9;.041667;
2020-02-17;4.6;996.491667;24.079167;35.9;30.2875;25.9;72.166667;45;6.1;.029167;
2020-02-18;.2;997.3;23.791667;36.9;30.4125;25;70.416667;43;6.6;.033333;
2020-02-19;0;997.154167;23.875;35.1;28.608333;24.8;76.666667;49;5.3;.0375;
2020-02-20;.2;997.120833;24.229167;32.9;26.445833;24.9;88.125;65;7.9;.0125;
2020-02-21;null;998.905556;24.111111;32.4;null;23.4;82.611111;60;1.1;0;
2020-02-22;null;1001.952381;20.028571;27.3;null;21.6;77.333333;61;3.4;.061905;
2020-02-23;0;1001.2;18.956522;31;24.791304;20.3;71.608696;50;3.1;.017391;
2020-02-24;0;998.716667;22.366667;32.8;27.2625;22.5;76.083333;54;6.6;.0125;
2020-02-25;0;997.833333;24.058333;34.4;28.5625;25;78.291667;51;9.4;.095833;
2020-02-26;.4;998.391667;23.375;30.2;26.1625;24.4;84.958333;72;6.4;.033333;
2020-02-27;null;999.705;20.015;32.5;null;19.9;71.2;41;5.7;.085;
2020-02-28;0;1000.158333;18.941667;34.3;25.795833;18.9;70.75;35;3;0;
2020-02-29;0;1000.995455;20.690909;34.9;27.695455;20.9;69.409091;37;4.1;.022727;
2020-03-01;null;1001.247619;19.161905;34.2;null;20.1;65.52381;31;5.1;.014286;
2020-03-02;null;1000.29;19.03;34.4;null;20.1;64.8;32;4.2;.03;
2020-03-03;null;999.54;20.115;33.9;null;19.6;68.3;39;4.1;.035;
2020-03-04;null;999.87619;20.385714;35.6;null;21.1;67.666667;34;3.7;.014286;
2020-03-05;null;1000.188889;18.566667;36.7;null;19.5;57.722222;25;3;.005556;
2020-03-06;null;null;null;37.3;null;19.2;53.875;22;3.6;null;
2020-03-07;null;null;null;null;null;null;51;28;1.2;null;
2020-03-08;null;null;null;null;null;null;55.071429;31;7;null;
2020-03-09;null;null;null;null;null;null;44.5;25;4.9;null;
2020-03-10;null;null;null;null;null;null;44.428571;27;4.3;null;
2020-03-11;null;null;null;null;null;null;44.769231;22;4.8;null;
2020-03-12;null;null;null;null;null;null;null;39;4.4;null;
2020-03-13;null;null;null;null;null;null;56.833333;37;5.1;null;
2020-03-14;null;null;null;null;null;null;48.5;28;4.8;null;
2020-03-15;null;null;null;null;null;null;null;38;4.6;null;
2020-03-16;null;null;null;null;null;null;null;47;5.1;null;
2020-03-17;null;null;null;null;null;null;59.428571;37;5.8;null;
2020-03-18;null;null;null;36.7;null;23.3;64.6;41;7;null;
2020-03-19;null;null;null;36.7;null;24.4;64;41;3.8;null;
2020-03-20;null;null;null;null;null;null;91.333333;73;1.4;null;
2020-03-21;null;null;null;null;null;null;78.571429;61;3.4;null;
2020-03-22;null;999.538889;24.255556;32.6;null;24.4;81;59;2.8;.027778;
2020-03-23;null;null;null;34.6;null;24.1;70.235294;47;6.5;null;
2020-03-24;null;999.344444;18.25;34.4;null;19.9;58.777778;31;4.9;.072222;
2020-03-25;null;null;null;34.4;null;20.4;68.375;49;6.4;null;
2020-03-26;null;null;null;36;null;23.7;64.533333;41;6.9;null;
2020-03-27;null;null;null;31.7;null;24.8;78;63;.9;null;
2020-03-28;null;null;null;null;null;null;68.928571;50;7.6;null;
2020-03-29;null;null;null;34.4;null;24;71.9375;51;4.6;null;
2020-03-30;null;null;null;36;null;24.4;64.714286;43;4.4;null;
2020-03-31;null;null;null;null;null;null;null;47;4.2;null;
2020-04-01;null;null;null;null;null;null;null;39;3.5;null;
2020-04-02;null;null;null;null;null;null;null;45;2.7;null;
2020-04-03;null;null;null;null;null;null;null;62;.9;null;
2020-04-04;null;null;null;null;null;null;57.333333;45;3.9;null;
2020-04-05;null;null;null;null;null;null;58.083333;43;8.3;null;
2020-04-06;null;null;null;null;null;null;null;48;4.8;null;
2020-04-07;null;null;null;null;null;null;75.307692;64;6.2;null;
2020-04-08;null;null;null;null;null;null;61.071429;47;5.8;null;
2020-04-09;null;null;null;31.6;null;18;57.3125;42;3.8;null;
2020-04-10;null;null;null;null;null;16.1;55.615385;35;4.1;null;
2020-04-11;null;null;null;null;null;null;48.416667;33;3.5;null;
2020-04-12;null;null;null;null;null;null;null;34;5;null;
2020-04-13;null;null;null;null;null;null;null;38;5.5;null;
2020-04-14;null;null;null;null;null;null;null;62;7.1;null;
2020-04-15;null;null;null;null;null;null;49.857143;31;7.6;null;
2020-04-16;null;null;null;null;null;null;48.785714;26;5.8;null;
2020-04-17;null;null;null;null;null;null;null;25;4.8;null;
2020-04-18;null;null;null;null;null;null;null;37;2.1;null;
2020-04-19;null;null;null;null;null;null;null;43;4.6;null;
2020-04-20;null;null;null;null;null;null;null;42;4.8;null;
2020-04-21;null;null;null;null;null;null;null;31;2.3;null;
2020-04-22;null;null;null;null;null;null;null;22;2.9;null;
2020-04-23;null;null;null;null;null;null;null;29;3.8;null;
2020-04-24;null;null;null;null;null;null;null;37;5.4;null;
2020-04-25;null;null;null;null;null;null;null;32;5.7;null;
2020-04-26;null;null;null;null;null;null;null;47;2.8;null;
2020-04-27;null;null;null;null;null;null;null;29;4;null;
2020-04-28;null;null;null;null;null;null;null;30;9;null;
2020-04-29;null;null;null;null;null;null;null;35;1.5;null;
2020-04-30;null;null;null;null;null;null;null;34;3.9;null;
2020-05-01;null;null;null;null;null;null;null;30;4.3;null;
2020-05-02;null;null;null;null;null;null;null;32;1;null;
2020-05-03;null;null;null;null;null;null;null;29;4;null;
2020-05-04;null;null;null;null;null;null;null;29;2.6;null;
2020-05-05;null;null;null;null;null;null;null;33;4;null;
2020-05-06;null;null;null;null;null;null;null;92;.5;null;
2020-05-07;null;null;null;null;null;null;null;45;8.7;null;
2020-05-08;null;null;null;null;null;null;null;28;3.4;null;
2020-05-09;null;null;null;null;null;null;null;33;2.3;null;
2020-05-10;null;null;null;null;null;null;null;39;6;null;
2020-05-11;null;null;null;null;null;null;null;null;null;null;
2020-05-12;null;null;null;null;null;null;null;null;null;null;
2020-05-13;null;null;null;null;null;null;null;null;null;null;
2020-05-14;null;null;null;null;null;null;null;null;null;null;
2020-05-15;null;null;null;null;null;null;null;null;null;null;
2020-05-16;null;null;null;null;null;null;null;null;null;null;
2020-05-17;null;null;null;null;null;null;null;null;null;null;
