Nome: RANCHARIA
Codigo Estacao: A718
Latitude: -22.37277777
Longitude: -50.97472221
Altitude: 398.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.424;
2020-01-01;0100;-2.865;
2020-01-01;0200;-3.306;
2020-01-01;0300;-3.493;
2020-01-01;0400;-3.385;
2020-01-01;0500;-3.21;
2020-01-01;0600;-3.051;
2020-01-01;0700;-2.593;
2020-01-01;0800;-2.394;
2020-01-01;0900;14.327;
2020-01-01;1000;239.85;
2020-01-01;1100;840.817;
2020-01-01;1200;1978.055;
2020-01-01;1300;2695.776;
2020-01-01;1400;2935.291;
2020-01-01;1500;2649.332;
2020-01-01;1600;1950.016;
2020-01-01;1700;1548.128;
2020-01-01;1800;477.371;
2020-01-01;1900;470.119;
2020-01-01;2000;499.39;
2020-01-01;2100;234.588;
2020-01-01;2200;88.769;
2020-01-01;2300;-1.6;
2020-01-02;0000;-2.651;
2020-01-02;0100;-2.687;
2020-01-02;0200;-2.39;
2020-01-02;0300;-2.83;
2020-01-02;0400;-2.691;
2020-01-02;0500;-2.082;
2020-01-02;0600;-2.215;
2020-01-02;0700;-3.349;
2020-01-02;0800;-3.523;
2020-01-02;0900;5.606;
2020-01-02;1000;210.245;
2020-01-02;1100;549.082;
2020-01-02;1200;1317.431;
2020-01-02;1300;2678.863;
2020-01-02;1400;2495.59;
2020-01-02;1500;2156.112;
2020-01-02;1600;2905.57;
2020-01-02;1700;2281.293;
2020-01-02;1800;1839.916;
2020-01-02;1900;2232.967;
2020-01-02;2000;1302.85;
2020-01-02;2100;1023.714;
2020-01-02;2200;225.895;
2020-01-02;2300;1.524;
2020-01-03;0000;-3.259;
2020-01-03;0100;-2.624;
2020-01-03;0200;-2.284;
2020-01-03;0300;-2.197;
2020-01-03;0400;1.357;
2020-01-03;0500;3.089;
2020-01-03;0600;2.326;
2020-01-03;0700;-.531;
2020-01-03;0800;-2.397;
2020-01-03;0900;53.21;
2020-01-03;1000;239.347;
2020-01-03;1100;188.888;
2020-01-03;1200;626.616;
2020-01-03;1300;1539.733;
2020-01-03;1400;2614.535;
2020-01-03;1500;1174.445;
2020-01-03;1600;1618.377;
2020-01-03;1700;1076.646;
2020-01-03;1800;309.683;
2020-01-03;1900;36.606;
2020-01-03;2000;42.106;
2020-01-03;2100;276.747;
2020-01-03;2200;177.425;
2020-01-03;2300;6.032;
2020-01-04;0000;.084;
2020-01-04;0100;2.824;
2020-01-04;0200;2.195;
2020-01-04;0300;-1.945;
2020-01-04;0400;-2.299;
2020-01-04;0500;-1.736;
2020-01-04;0600;-1.429;
2020-01-04;0700;1.154;
2020-01-04;0800;2.164;
2020-01-04;0900;5.453;
2020-01-04;1000;175.655;
2020-01-04;1100;1369.784;
2020-01-04;1200;2100.65;
2020-01-04;1300;2310.085;
2020-01-04;1400;3210.372;
2020-01-04;1500;2302.975;
2020-01-04;1600;1898.129;
2020-01-04;1700;1414.992;
2020-01-04;1800;2187.443;
2020-01-04;1900;3187.949;
2020-01-04;2000;1381.697;
2020-01-04;2100;940.283;
2020-01-04;2200;220.836;
2020-01-04;2300;6.449;
2020-01-05;0000;-2.961;
2020-01-05;0100;-3.351;
2020-01-05;0200;-2.795;
2020-01-05;0300;-2.224;
2020-01-05;0400;-1.24;
2020-01-05;0500;-1.642;
2020-01-05;0600;-2.987;
2020-01-05;0700;-2.921;
2020-01-05;0800;-1.623;
2020-01-05;0900;2.34;
2020-01-05;1000;179.264;
2020-01-05;1100;1335.648;
2020-01-05;1200;1396.306;
2020-01-05;1300;381.441;
2020-01-05;1400;769.83;
2020-01-05;1500;1748.983;
2020-01-05;1600;2285.017;
2020-01-05;1700;3025.611;
2020-01-05;1800;3153.36;
2020-01-05;1900;2163.006;
2020-01-05;2000;1963.38;
2020-01-05;2100;808.879;
2020-01-05;2200;65.843;
2020-01-05;2300;8.696;
2020-01-06;0000;-3.055;
2020-01-06;0100;-3.225;
2020-01-06;0200;-3.31;
2020-01-06;0300;-3.144;
2020-01-06;0400;-2.821;
2020-01-06;0500;-3.014;
2020-01-06;0600;-2.937;
2020-01-06;0700;-3.105;
2020-01-06;0800;-3.012;
2020-01-06;0900;6.534;
2020-01-06;1000;460.385;
2020-01-06;1100;1170.974;
2020-01-06;1200;2225.985;
2020-01-06;1300;2615.912;
2020-01-06;1400;3100.678;
2020-01-06;1500;3047.209;
2020-01-06;1600;2255.612;
2020-01-06;1700;2761.634;
2020-01-06;1800;2573.177;
2020-01-06;1900;2029.542;
2020-01-06;2000;497.117;
2020-01-06;2100;813.635;
2020-01-06;2200;203.816;
2020-01-06;2300;2.977;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.538;
2020-01-07;0200;-3.385;
2020-01-07;0300;-2.427;
2020-01-07;0400;-2.892;
2020-01-07;0500;-2.728;
2020-01-07;0600;-3.335;
2020-01-07;0700;-3.54;
2020-01-07;0800;-3.315;
2020-01-07;0900;5.065;
2020-01-07;1000;271.847;
2020-01-07;1100;204.498;
2020-01-07;1200;882.704;
2020-01-07;1300;1248.808;
2020-01-07;1400;1558.985;
2020-01-07;1500;1147.225;
2020-01-07;1600;742.273;
2020-01-07;1700;449.713;
2020-01-07;1800;330.648;
2020-01-07;1900;383.014;
2020-01-07;2000;74.704;
2020-01-07;2100;189.182;
2020-01-07;2200;150.187;
2020-01-07;2300;8.56;
2020-01-08;0000;.325;
2020-01-08;0100;-1.523;
2020-01-08;0200;-1.543;
2020-01-08;0300;-2.081;
2020-01-08;0400;-2.322;
2020-01-08;0500;-2.307;
2020-01-08;0600;-1.502;
2020-01-08;0700;-1.01;
2020-01-08;0800;-.469;
2020-01-08;0900;2.739;
2020-01-08;1000;115.723;
2020-01-08;1100;472.008;
2020-01-08;1200;1009.946;
2020-01-08;1300;1213.69;
2020-01-08;1400;1902.516;
2020-01-08;1500;2023.21;
2020-01-08;1600;1443.819;
2020-01-08;1700;1614.171;
2020-01-08;1800;922.791;
2020-01-08;1900;525.778;
2020-01-08;2000;658.57;
2020-01-08;2100;468.209;
2020-01-08;2200;218.187;
2020-01-08;2300;8.856;
2020-01-09;0000;-2.626;
2020-01-09;0100;-1.365;
2020-01-09;0200;-2.126;
2020-01-09;0300;-2.645;
2020-01-09;0400;-1.537;
2020-01-09;0500;-1.122;
2020-01-09;0600;-2.578;
2020-01-09;0700;-1.562;
2020-01-09;0800;-1.737;
2020-01-09;0900;.196;
2020-01-09;1000;243.058;
2020-01-09;1100;826.336;
2020-01-09;1200;966.361;
2020-01-09;1300;1085.076;
2020-01-09;1400;1391.466;
2020-01-09;1500;2106.554;
2020-01-09;1600;2088.965;
2020-01-09;1700;1205.185;
2020-01-09;1800;1217.802;
2020-01-09;1900;1788.932;
2020-01-09;2000;896.569;
2020-01-09;2100;391.05;
2020-01-09;2200;145.931;
2020-01-09;2300;3.938;
2020-01-10;0000;.731;
2020-01-10;0100;-1.04;
2020-01-10;0200;1.076;
2020-01-10;0300;-1.323;
2020-01-10;0400;-.885;
2020-01-10;0500;-1.445;
2020-01-10;0600;.029;
2020-01-10;0700;-1.952;
2020-01-10;0800;-1.264;
2020-01-10;0900;-.237;
2020-01-10;1000;106.383;
2020-01-10;1100;709.379;
2020-01-10;1200;2162.731;
2020-01-10;1300;2341.135;
2020-01-10;1400;3416.918;
2020-01-10;1500;2248.114;
2020-01-10;1600;1788.072;
2020-01-10;1700;1647.713;
2020-01-10;1800;1886.194;
2020-01-10;1900;792.469;
2020-01-10;2000;417.904;
2020-01-10;2100;287.057;
2020-01-10;2200;145.787;
2020-01-10;2300;26.635;
2020-01-11;0000;-1.174;
2020-01-11;0100;-.422;
2020-01-11;0200;-1.51;
2020-01-11;0300;-1.541;
2020-01-11;0400;-1.926;
2020-01-11;0500;-2.144;
2020-01-11;0600;-1.994;
2020-01-11;0700;-1.885;
2020-01-11;0800;-.819;
2020-01-11;0900;.078;
2020-01-11;1000;71.724;
2020-01-11;1100;550.167;
2020-01-11;1200;1002.532;
2020-01-11;1300;1903.404;
2020-01-11;1400;2675.079;
2020-01-11;1500;2517.563;
2020-01-11;1600;1765.418;
2020-01-11;1700;872.586;
2020-01-11;1800;170.039;
2020-01-11;1900;38.545;
2020-01-11;2000;40.784;
2020-01-11;2100;52.616;
2020-01-11;2200;53.779;
2020-01-11;2300;4.834;
2020-01-12;0000;-1.249;
2020-01-12;0100;-2.643;
2020-01-12;0200;-1.827;
2020-01-12;0300;-2.357;
2020-01-12;0400;-2.69;
2020-01-12;0500;-2.46;
2020-01-12;0600;-2.451;
2020-01-12;0700;-2.117;
2020-01-12;0800;-1.972;
2020-01-12;0900;-.525;
2020-01-12;1000;110.272;
2020-01-12;1100;451.086;
2020-01-12;1200;1005.381;
2020-01-12;1300;1049.451;
2020-01-12;1400;1291.149;
2020-01-12;1500;1398.904;
2020-01-12;1600;2300.986;
2020-01-12;1700;2491.194;
2020-01-12;1800;2055.145;
2020-01-12;1900;1894.968;
2020-01-12;2000;1690.633;
2020-01-12;2100;244.215;
2020-01-12;2200;24.99;
2020-01-12;2300;4.215;
2020-01-13;0000;1.72;
2020-01-13;0100;.738;
2020-01-13;0200;1.207;
2020-01-13;0300;.406;
2020-01-13;0400;-.697;
2020-01-13;0500;-.782;
2020-01-13;0600;-1.759;
2020-01-13;0700;-1.867;
2020-01-13;0800;-1.981;
2020-01-13;0900;-.217;
2020-01-13;1000;151.969;
2020-01-13;1100;420.968;
2020-01-13;1200;1119.071;
2020-01-13;1300;1327.965;
2020-01-13;1400;1486.332;
2020-01-13;1500;1401.844;
2020-01-13;1600;2730.636;
2020-01-13;1700;1222.771;
2020-01-13;1800;1271.684;
2020-01-13;1900;1443.528;
2020-01-13;2000;2007.898;
2020-01-13;2100;1023.414;
2020-01-13;2200;257.508;
2020-01-13;2300;9.334;
2020-01-14;0000;.991;
2020-01-14;0100;.857;
2020-01-14;0200;-1.59;
2020-01-14;0300;-2.08;
2020-01-14;0400;-1.364;
2020-01-14;0500;-1.302;
2020-01-14;0600;-1.093;
2020-01-14;0700;-2.65;
2020-01-14;0800;-2.629;
2020-01-14;0900;-.12;
2020-01-14;1000;111.629;
2020-01-14;1100;672.797;
2020-01-14;1200;1054.335;
2020-01-14;1300;1788.841;
2020-01-14;1400;2617.613;
2020-01-14;1500;2693.959;
2020-01-14;1600;2512.266;
2020-01-14;1700;2675.317;
2020-01-14;1800;2722.614;
2020-01-14;1900;2196.208;
2020-01-14;2000;2101.129;
2020-01-14;2100;1054.013;
2020-01-14;2200;147.513;
2020-01-14;2300;3.702;
2020-01-15;0000;-3.298;
2020-01-15;0100;-1.852;
2020-01-15;0200;-1.992;
2020-01-15;0300;-2.181;
2020-01-15;0400;-1.875;
2020-01-15;0500;-2.2;
2020-01-15;0600;-2.005;
2020-01-15;0700;-2.294;
2020-01-15;0800;-2.558;
2020-01-15;0900;3.716;
2020-01-15;1000;435.055;
2020-01-15;1100;1189.197;
2020-01-15;1200;1968.455;
2020-01-15;1300;2670.661;
2020-01-15;1400;2655.38;
2020-01-15;1500;3280.226;
2020-01-15;1600;3648.457;
2020-01-15;1700;2839.809;
2020-01-15;1800;2437.518;
2020-01-15;1900;1600.172;
2020-01-15;2000;708.222;
2020-01-15;2100;787.1;
2020-01-15;2200;258.396;
2020-01-15;2300;3.997;
2020-01-16;0000;-3.345;
2020-01-16;0100;-3.495;
2020-01-16;0200;-2.885;
2020-01-16;0300;-1.758;
2020-01-16;0400;-2.428;
2020-01-16;0500;-2.276;
2020-01-16;0600;-2.19;
2020-01-16;0700;-2.571;
2020-01-16;0800;-3.195;
2020-01-16;0900;1.206;
2020-01-16;1000;379.337;
2020-01-16;1100;1183.663;
2020-01-16;1200;2028.044;
2020-01-16;1300;2897.756;
2020-01-16;1400;2927.202;
2020-01-16;1500;3283.835;
2020-01-16;1600;3380.089;
2020-01-16;1700;2773.141;
2020-01-16;1800;2166.759;
2020-01-16;1900;1503.467;
2020-01-16;2000;771.894;
2020-01-16;2100;101.758;
2020-01-16;2200;34.452;
2020-01-16;2300;-.621;
2020-01-17;0000;-2.59;
2020-01-17;0100;-2.826;
2020-01-17;0200;-3.212;
2020-01-17;0300;-2.991;
2020-01-17;0400;-2.984;
2020-01-17;0500;-2.495;
2020-01-17;0600;-2.832;
2020-01-17;0700;-2.445;
2020-01-17;0800;-2.277;
2020-01-17;0900;1.918;
2020-01-17;1000;163.811;
2020-01-17;1100;378.336;
2020-01-17;1200;1434.463;
2020-01-17;1300;1080.889;
2020-01-17;1400;1788.316;
2020-01-17;1500;1550.952;
2020-01-17;1600;1568.544;
2020-01-17;1700;2123.323;
2020-01-17;1800;1877.679;
2020-01-17;1900;2212.961;
2020-01-17;2000;1991.848;
2020-01-17;2100;974.19;
2020-01-17;2200;202.228;
2020-01-17;2300;5.808;
2020-01-18;0000;-3.54;
2020-01-18;0100;-3.54;
2020-01-18;0200;-3.54;
2020-01-18;0300;-3.54;
2020-01-18;0400;-3.54;
2020-01-18;0500;-3.54;
2020-01-18;0600;-3.54;
2020-01-18;0700;-3.54;
2020-01-18;0800;-3.54;
2020-01-18;0900;-.309;
2020-01-18;1000;337.834;
2020-01-18;1100;1133.308;
2020-01-18;1200;2030.049;
2020-01-18;1300;2862.426;
2020-01-18;1400;2994.061;
2020-01-18;1500;3332.501;
2020-01-18;1600;3589.534;
2020-01-18;1700;2290.811;
2020-01-18;1800;2488.633;
2020-01-18;1900;2623.739;
2020-01-18;2000;1080.873;
2020-01-18;2100;814.71;
2020-01-18;2200;204.469;
2020-01-18;2300;5.019;
2020-01-19;0000;-3.54;
