Nome: PORTO MURTINHO
Codigo Estacao: A723
Latitude: -21.70583333
Longitude: -57.88666666
Altitude: 78.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;null;
2020-01-01;0100;null;
2020-01-01;0200;null;
2020-01-01;0300;null;
2020-01-01;0400;null;
2020-01-01;0500;null;
2020-01-01;0600;null;
2020-01-01;0700;null;
2020-01-01;0800;null;
2020-01-01;0900;null;
2020-01-01;1000;null;
2020-01-01;1100;null;
2020-01-01;1200;null;
2020-01-01;1300;null;
2020-01-01;1400;null;
2020-01-01;1500;null;
2020-01-01;1600;null;
2020-01-01;1700;null;
2020-01-01;1800;null;
2020-01-01;1900;null;
2020-01-01;2000;null;
2020-01-01;2100;null;
2020-01-01;2200;null;
2020-01-01;2300;null;
2020-01-02;0000;null;
2020-01-02;0100;null;
2020-01-02;0200;null;
2020-01-02;0300;null;
2020-01-02;0400;null;
2020-01-02;0500;null;
2020-01-02;0600;null;
2020-01-02;0700;null;
2020-01-02;0800;null;
2020-01-02;0900;null;
2020-01-02;1000;null;
2020-01-02;1100;null;
2020-01-02;1200;null;
2020-01-02;1300;null;
2020-01-02;1400;null;
2020-01-02;1500;null;
2020-01-02;1600;null;
2020-01-02;1700;null;
2020-01-02;1800;null;
2020-01-02;1900;null;
2020-01-02;2000;null;
2020-01-02;2100;null;
2020-01-02;2200;null;
2020-01-02;2300;null;
2020-01-03;0000;null;
2020-01-03;0100;null;
2020-01-03;0200;null;
2020-01-03;0300;null;
2020-01-03;0400;null;
2020-01-03;0500;null;
2020-01-03;0600;null;
2020-01-03;0700;null;
2020-01-03;0800;null;
2020-01-03;0900;null;
2020-01-03;1000;null;
2020-01-03;1100;null;
2020-01-03;1200;326.684;
2020-01-03;1300;2275.325;
2020-01-03;1400;2871.59;
2020-01-03;1500;3349.929;
2020-01-03;1600;3589.716;
2020-01-03;1700;3363.049;
2020-01-03;1800;3267.776;
2020-01-03;1900;2701.289;
2020-01-03;2000;2053.733;
2020-01-03;2100;641.284;
2020-01-03;2200;266.233;
2020-01-03;2300;46.631;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.54;
2020-01-04;0300;-3.54;
2020-01-04;0400;-3.54;
2020-01-04;0500;-3.54;
2020-01-04;0600;-3.538;
2020-01-04;0700;-3.54;
2020-01-04;0800;-3.54;
2020-01-04;0900;-3.54;
2020-01-04;1000;82.031;
2020-01-04;1100;260.726;
2020-01-04;1200;620.74;
2020-01-04;1300;2258.93;
2020-01-04;1400;2831.229;
2020-01-04;1500;3284.184;
2020-01-04;1600;3206.132;
2020-01-04;1700;3464.227;
2020-01-04;1800;3241.88;
2020-01-04;1900;2744.239;
2020-01-04;2000;2038.22;
2020-01-04;2100;695.983;
2020-01-04;2200;180.989;
2020-01-04;2300;25.448;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.54;
2020-01-05;0500;-3.54;
2020-01-05;0600;-3.54;
2020-01-05;0700;-3.529;
2020-01-05;0800;-3.54;
2020-01-05;0900;-3.54;
2020-01-05;1000;84.108;
2020-01-05;1100;269.926;
2020-01-05;1200;758.988;
2020-01-05;1300;2301.307;
2020-01-05;1400;2864.404;
2020-01-05;1500;3301.633;
2020-01-05;1600;3521.857;
2020-01-05;1700;3428.441;
2020-01-05;1800;3221.185;
2020-01-05;1900;2754.226;
2020-01-05;2000;2058.97;
2020-01-05;2100;697.543;
2020-01-05;2200;188.693;
2020-01-05;2300;25.248;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.429;
2020-01-06;0600;-2.883;
2020-01-06;0700;-3.369;
2020-01-06;0800;-2.644;
2020-01-06;0900;-3.383;
2020-01-06;1000;78.269;
2020-01-06;1100;328.257;
2020-01-06;1200;739.84;
2020-01-06;1300;1951.342;
2020-01-06;1400;2802.96;
2020-01-06;1500;2764.809;
2020-01-06;1600;2951.835;
2020-01-06;1700;1554.461;
2020-01-06;1800;1371.726;
2020-01-06;1900;2419.208;
2020-01-06;2000;1337.531;
2020-01-06;2100;620.647;
2020-01-06;2200;221.475;
2020-01-06;2300;28.143;
