Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;956.1125;18.908333;37;27.8375;23.3;61.208333;26;13.3;1.466667;
2020-01-02;0;956.254167;20;33.9;26.183333;23.5;70.208333;38;11;.7625;
2020-01-03;79.2;957.925;20.083333;28.7;23.970833;20.4;79.791667;59;8.1;1.675;
2020-01-04;0;956.8125;18.175;30.3;24.916667;20.6;67.291667;46;7.5;1.675;
2020-01-05;1.6;955.8;19.308333;30.3;23.7375;20.7;76.791667;53;12.6;1.770833;
2020-01-06;9.4;956.633333;19.429167;33.4;25.804167;20.2;70.916667;34;7.5;.9875;
2020-01-07;.2;958.375;21.241667;32.4;26.233333;22.6;75.25;49;6.3;.895833;
2020-01-08;1.4;959.341667;21.695833;32.5;25.208333;22.7;81.583333;48;6.8;.7125;
2020-01-09;2.4;960.420833;21.5375;32.8;26.291667;23.2;76.833333;46;9.8;1.0625;
2020-01-10;5;960.291667;20.75;32.4;26.004167;21.7;74.541667;46;6.7;1.216667;
2020-01-11;0;959.391667;21.1;32.4;27.245833;23.6;70.291667;48;6.6;1.0625;
2020-01-12;0;960.454167;21.4875;34.8;26.720833;24;74.291667;44;8.9;1.116667;
2020-01-13;8.2;961.875;20.945833;29.9;25.5625;22.4;76.583333;56;5.6;1.5875;
2020-01-14;0;961.1625;19.5875;33.7;26.75;21.8;66.583333;38;6.9;1.8625;
2020-01-15;0;959.8125;19.145833;36;28.6375;21.6;59.75;30;6.2;1.445833;
2020-01-16;0;960.945833;20.079167;37.3;29.229167;24;61.208333;28;12.9;1.204167;
2020-01-17;6.4;963.029167;20.245833;30.2;25.508333;22.7;73.541667;55;9.2;2.445833;
2020-01-18;0;963.425;17.7125;31.6;25.295833;19.5;63.875;46;9.5;2.8125;
2020-01-19;0;961.4375;18.883333;32.1;26.4375;20.7;64.5;47;7.3;2.175;
2020-01-20;0;958.745833;19.245833;33.8;26.566667;21.8;65.375;38;9.4;2.333333;
2020-01-21;2.2;956.158333;17.891667;32.8;26.133333;20;62.083333;40;8.1;2.341667;
2020-01-22;0;955.020833;18.158333;31.3;25.433333;20.4;65.083333;48;7.6;1.85;
2020-01-23;39.6;954.341667;19.416667;24.9;21.883333;20.5;86.125;75;8.4;2.491667;
2020-01-24;4.8;953.7625;18.033333;30.7;24.729167;20.2;68.333333;43;8.6;2.495833;
2020-01-25;0;957.504167;15.833333;31.7;24.941667;18.5;59.541667;33;7.2;1.975;
2020-01-26;0;958.891667;15.691667;33.1;26.191667;19.5;55.916667;26;4.8;.679167;
2020-01-27;0;958.9625;14.225;35;27.175;20.1;48.833333;23;8.4;.645833;
2020-01-28;0;958.8125;15.045833;35.2;27.758333;20.3;49.166667;24;5.9;.670833;
2020-01-29;0;959.983333;19.904167;33.9;27.65;22.8;63.833333;42;6.4;1.175;
2020-01-30;.2;961.354167;21.054167;32.9;26.070833;23.6;75.458333;48;12.6;1.204167;
2020-01-31;78.2;962.6375;20.9375;31.4;24.395833;21.3;82.208333;52;8.4;1.066667;
2020-02-01;5.4;962.225;21.508333;30.1;23.966667;22.9;86.458333;62;6.2;.733333;
2020-02-02;17.8;962.083333;20.625;32.1;25.725;22.3;75.291667;47;5.2;1.104167;
2020-02-03;0;960.945833;20.75;31.7;25.133333;22.3;77.791667;50;12.5;1.383333;
2020-02-04;43;960.675;20.1125;31.6;24.954167;19.7;76.083333;48;6.6;1.479167;
2020-02-05;.6;960.6375;20.5875;31.2;25.15;22.2;76.958333;49;9.5;1.158333;
2020-02-06;0;960.5375;20.895833;31.2;25.495833;22.4;76.666667;50;8.2;.945833;
2020-02-07;4.6;959.1;19.9625;28.1;23.141667;21.2;82.708333;61;10.8;1.679167;
2020-02-08;1.8;958.8;18.608333;31.4;25.195833;20.8;68.708333;45;9.7;2.145833;
2020-02-09;0;959.65;20.6125;28.8;24.35;21.9;79.833333;67;10.2;1.4375;
2020-02-10;47.2;960.645833;21.483333;29.1;24.070833;22.1;85.833333;64;7.6;1.133333;
2020-02-11;24.2;961.641667;19.5;25;22.3375;19.3;84.333333;72;7.5;2.3375;
2020-02-12;.6;961.420833;17.091667;27.4;22.620833;18.5;71.375;60;8;2.579167;
2020-02-13;0;961.366667;16.4375;30.9;23.791667;18;65.458333;39;7.2;2.2375;
2020-02-14;0;961.0375;17.2625;33.1;25.4875;19.1;62.916667;36;8.3;2.025;
2020-02-15;0;959.991667;18.204167;35;27.308333;21.2;60.083333;32;6.6;1.733333;
2020-02-16;0;959.308333;18.341667;36;28.275;22.6;56;34;9.1;1.579167;
2020-02-17;0;959.354167;19.970833;35.5;27.595833;22.5;65.291667;37;8.7;.883333;
2020-02-18;0;960.154167;20.2;34.4;27.620833;22.1;66.75;37;6.1;1.208333;
2020-02-19;0;958.775;20.975;34.1;27.341667;23.1;69.708333;45;7.8;1.191667;
2020-02-20;0;958.445833;20.658333;34.2;27.229167;23.5;68.875;40;8.3;1.033333;
2020-02-21;59.4;959.858333;20.85;28.8;25.166667;22.1;77.5;60;4.9;.570833;
2020-02-22;.6;960.6375;20.870833;31.7;25.4375;22.3;77.25;51;7.6;.895833;
2020-02-23;24.4;962.470833;17.420833;29.8;23.6375;19.3;69.083333;50;10.1;2.691667;
2020-02-24;.2;961.016667;18.983333;29.6;23.620833;20.7;75.583333;59;9.8;1.758333;
2020-02-25;4;960.066667;21.454167;32.2;25.141667;21.7;80.708333;52;8;.7625;
