Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.493;
2020-01-01;0100;-3.329;
2020-01-01;0200;-3.533;
2020-01-01;0300;-3.534;
2020-01-01;0400;-3.539;
2020-01-01;0500;-3.537;
2020-01-01;0600;-3.536;
2020-01-01;0700;-3.52;
2020-01-01;0800;-3.536;
2020-01-01;0900;-2.857;
2020-01-01;1000;153.925;
2020-01-01;1100;631.523;
2020-01-01;1200;1136.341;
2020-01-01;1300;1596.013;
2020-01-01;1400;2566.119;
2020-01-01;1500;3273.779;
2020-01-01;1600;3856.531;
2020-01-01;1700;3666.017;
2020-01-01;1800;3372.277;
2020-01-01;1900;2933.134;
2020-01-01;2000;2206.022;
2020-01-01;2100;1430.709;
2020-01-01;2200;219.279;
2020-01-01;2300;9.124;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.455;
2020-01-02;0200;-3.396;
2020-01-02;0300;-3.166;
2020-01-02;0400;-3.384;
2020-01-02;0500;-3.524;
2020-01-02;0600;-3.518;
2020-01-02;0700;-3.358;
2020-01-02;0800;-3.267;
2020-01-02;0900;-2.087;
2020-01-02;1000;127.168;
2020-01-02;1100;787.358;
2020-01-02;1200;2017.925;
2020-01-02;1300;937.995;
2020-01-02;1400;947.645;
2020-01-02;1500;337.222;
2020-01-02;1600;826.152;
2020-01-02;1700;2121.202;
2020-01-02;1800;3101.471;
2020-01-02;1900;2456.578;
2020-01-02;2000;918.589;
2020-01-02;2100;558.273;
2020-01-02;2200;286.524;
2020-01-02;2300;8.734;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.367;
2020-01-03;0200;-3.521;
2020-01-03;0300;-3.509;
2020-01-03;0400;-3.523;
2020-01-03;0500;-3.086;
2020-01-03;0600;-2.953;
2020-01-03;0700;-1.317;
2020-01-03;0800;-1.596;
2020-01-03;0900;-1.383;
2020-01-03;1000;95.193;
2020-01-03;1100;813.367;
2020-01-03;1200;1869.342;
2020-01-03;1300;2686.336;
2020-01-03;1400;2931.607;
2020-01-03;1500;3471.661;
2020-01-03;1600;4194.327;
2020-01-03;1700;1936.544;
2020-01-03;1800;2546.748;
2020-01-03;1900;2784.919;
2020-01-03;2000;2213.298;
2020-01-03;2100;1380.362;
2020-01-03;2200;404.68;
2020-01-03;2300;7.121;
2020-01-04;0000;-3.537;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.539;
2020-01-04;0300;-3.467;
2020-01-04;0400;-3.353;
2020-01-04;0500;-3.371;
2020-01-04;0600;-1.684;
2020-01-04;0700;-3.315;
2020-01-04;0800;-3.221;
2020-01-04;0900;-2.663;
2020-01-04;1000;102.232;
2020-01-04;1100;785.902;
2020-01-04;1200;1848.16;
2020-01-04;1300;2596.929;
2020-01-04;1400;2300.067;
2020-01-04;1500;2306.157;
2020-01-04;1600;2912.545;
2020-01-04;1700;2849.777;
2020-01-04;1800;2927.859;
2020-01-04;1900;2680.7;
2020-01-04;2000;2226.93;
2020-01-04;2100;1262.542;
2020-01-04;2200;411.663;
2020-01-04;2300;21.49;
2020-01-05;0000;-3.409;
2020-01-05;0100;-3.48;
2020-01-05;0200;-2.833;
2020-01-05;0300;-1.685;
2020-01-05;0400;-3.27;
2020-01-05;0500;-3.54;
2020-01-05;0600;-3.48;
2020-01-05;0700;-3.515;
2020-01-05;0800;-3.518;
2020-01-05;0900;-3.178;
2020-01-05;1000;90.07;
2020-01-05;1100;790.542;
2020-01-05;1200;1840.639;
2020-01-05;1300;2662.831;
2020-01-05;1400;3337.421;
2020-01-05;1500;3853.767;
2020-01-05;1600;4085.233;
2020-01-05;1700;3692.378;
2020-01-05;1800;3422.11;
2020-01-05;1900;3062.24;
2020-01-05;2000;2147.569;
2020-01-05;2100;1355.241;
2020-01-05;2200;472.57;
2020-01-05;2300;10.088;
2020-01-06;0000;-3.512;
2020-01-06;0100;-3.48;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.364;
2020-01-06;0500;-3.301;
2020-01-06;0600;-3.147;
2020-01-06;0700;-2.794;
2020-01-06;0800;-2.762;
2020-01-06;0900;-1.63;
2020-01-06;1000;142.292;
2020-01-06;1100;755.527;
2020-01-06;1200;1309.127;
2020-01-06;1300;1813.992;
2020-01-06;1400;2341.15;
2020-01-06;1500;2062.749;
2020-01-06;1600;3139.646;
2020-01-06;1700;2364.106;
2020-01-06;1800;2312.455;
2020-01-06;1900;1657.562;
2020-01-06;2000;833.847;
2020-01-06;2100;75.223;
2020-01-06;2200;29.871;
2020-01-06;2300;34.141;
2020-01-07;0000;-3.173;
2020-01-07;0100;-3.253;
2020-01-07;0200;-3.072;
2020-01-07;0300;-3.075;
2020-01-07;0400;-3.076;
2020-01-07;0500;-2.057;
2020-01-07;0600;-1.556;
2020-01-07;0700;-2.309;
2020-01-07;0800;-2.551;
2020-01-07;0900;-.52;
2020-01-07;1000;109.898;
2020-01-07;1100;467.104;
2020-01-07;1200;999.42;
2020-01-07;1300;1424.818;
2020-01-07;1400;614.455;
2020-01-07;1500;1584.401;
2020-01-07;1600;3488.229;
2020-01-07;1700;2421.252;
2020-01-07;1800;2551.828;
2020-01-07;1900;1110.92;
2020-01-07;2000;1535.935;
2020-01-07;2100;296.532;
2020-01-07;2200;71.039;
2020-01-07;2300;6.839;
2020-01-08;0000;-2.005;
2020-01-08;0100;-3.013;
2020-01-08;0200;-2.93;
2020-01-08;0300;-2.667;
2020-01-08;0400;-2.005;
2020-01-08;0500;-1.785;
2020-01-08;0600;-1.704;
2020-01-08;0700;-2.03;
2020-01-08;0800;-2.847;
2020-01-08;0900;-1.626;
2020-01-08;1000;68.903;
2020-01-08;1100;603.636;
2020-01-08;1200;1510.382;
2020-01-08;1300;819.801;
2020-01-08;1400;1125.632;
2020-01-08;1500;1643.211;
2020-01-08;1600;2362.71;
2020-01-08;1700;2879.823;
2020-01-08;1800;2854.694;
2020-01-08;1900;2053.064;
2020-01-08;2000;2177.309;
2020-01-08;2100;731.622;
2020-01-08;2200;83.577;
2020-01-08;2300;1.025;
2020-01-09;0000;-3.068;
2020-01-09;0100;-2.573;
2020-01-09;0200;-2.861;
2020-01-09;0300;-3.031;
2020-01-09;0400;-3.103;
2020-01-09;0500;-3.337;
2020-01-09;0600;-2.716;
2020-01-09;0700;-2.216;
2020-01-09;0800;-2.878;
2020-01-09;0900;-1.928;
2020-01-09;1000;52.292;
2020-01-09;1100;485.976;
2020-01-09;1200;1286.026;
2020-01-09;1300;1694.781;
2020-01-09;1400;2550.613;
2020-01-09;1500;1800.162;
2020-01-09;1600;1648.748;
2020-01-09;1700;2250.216;
2020-01-09;1800;3351.443;
2020-01-09;1900;2670.505;
2020-01-09;2000;1479.643;
2020-01-09;2100;750.904;
2020-01-09;2200;248.629;
2020-01-09;2300;15.751;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.52;
2020-01-10;0200;-2.72;
2020-01-10;0300;-1.336;
2020-01-10;0400;-1.188;
2020-01-10;0500;-2.396;
2020-01-10;0600;-2.628;
2020-01-10;0700;-2.261;
2020-01-10;0800;-2.685;
2020-01-10;0900;-2.618;
2020-01-10;1000;160.493;
2020-01-10;1100;629.365;
2020-01-10;1200;1333.097;
2020-01-10;1300;2425.85;
2020-01-10;1400;2194.066;
2020-01-10;1500;3126.8;
2020-01-10;1600;3467.835;
2020-01-10;1700;1579.012;
2020-01-10;1800;1312.188;
2020-01-10;1900;2129.35;
2020-01-10;2000;1522.933;
2020-01-10;2100;858.149;
2020-01-10;2200;403.929;
2020-01-10;2300;29.56;
2020-01-11;0000;-3.537;
2020-01-11;0100;-3.289;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.474;
2020-01-11;0400;-2.628;
2020-01-11;0500;-3.435;
2020-01-11;0600;-3.22;
2020-01-11;0700;-1.128;
2020-01-11;0800;-1.576;
2020-01-11;0900;-3.019;
2020-01-11;1000;72.106;
2020-01-11;1100;376.177;
2020-01-11;1200;757.968;
2020-01-11;1300;1011.727;
2020-01-11;1400;1498.734;
2020-01-11;1500;1875.148;
2020-01-11;1600;3631.671;
2020-01-11;1700;3768.83;
2020-01-11;1800;2837.141;
2020-01-11;1900;2483.775;
2020-01-11;2000;1221.633;
2020-01-11;2100;467.884;
2020-01-11;2200;119.665;
2020-01-11;2300;3.356;
2020-01-12;0000;-3.3;
2020-01-12;0100;-3.043;
2020-01-12;0200;-3.33;
2020-01-12;0300;-3.531;
2020-01-12;0400;-3.539;
2020-01-12;0500;-2.393;
2020-01-12;0600;-.227;
2020-01-12;0700;-1.113;
2020-01-12;0800;-.805;
2020-01-12;0900;-1.58;
2020-01-12;1000;5.891;
2020-01-12;1100;28.762;
2020-01-12;1200;66.438;
2020-01-12;1300;251.031;
2020-01-12;1400;744.701;
2020-01-12;1500;2110.248;
2020-01-12;1600;3132.221;
2020-01-12;1700;3182.373;
2020-01-12;1800;2772.531;
2020-01-12;1900;3289.327;
2020-01-12;2000;1178.998;
2020-01-12;2100;599.87;
2020-01-12;2200;243.202;
2020-01-12;2300;8.645;
2020-01-13;0000;-3.399;
2020-01-13;0100;-2.628;
2020-01-13;0200;-3.313;
2020-01-13;0300;-3.314;
2020-01-13;0400;-3.365;
2020-01-13;0500;-3.455;
2020-01-13;0600;-2.463;
2020-01-13;0700;-2.576;
2020-01-13;0800;-2.417;
2020-01-13;0900;-3.13;
2020-01-13;1000;7.179;
2020-01-13;1100;125.273;
2020-01-13;1200;390.018;
2020-01-13;1300;540.953;
2020-01-13;1400;1247.798;
2020-01-13;1500;1954.399;
2020-01-13;1600;1310.941;
2020-01-13;1700;1848.345;
2020-01-13;1800;2275.722;
2020-01-13;1900;1624.042;
2020-01-13;2000;1805.511;
2020-01-13;2100;1499.41;
2020-01-13;2200;498.81;
2020-01-13;2300;7.617;
2020-01-14;0000;-3.54;
2020-01-14;0100;-2.805;
2020-01-14;0200;-3.449;
2020-01-14;0300;-2.582;
2020-01-14;0400;-3.243;
2020-01-14;0500;-3.408;
2020-01-14;0600;-3.18;
2020-01-14;0700;-3.151;
2020-01-14;0800;-2.078;
2020-01-14;0900;-2.338;
2020-01-14;1000;69.043;
2020-01-14;1100;719.312;
2020-01-14;1200;1755.823;
2020-01-14;1300;2596.617;
2020-01-14;1400;3224.452;
2020-01-14;1500;3713.786;
2020-01-14;1600;3447.73;
2020-01-14;1700;3972.66;
2020-01-14;1800;3366.169;
2020-01-14;1900;2724.242;
2020-01-14;2000;1482.58;
2020-01-14;2100;1331.587;
2020-01-14;2200;541.417;
2020-01-14;2300;11.24;
2020-01-15;0000;-3.54;
2020-01-15;0100;-3.537;
2020-01-15;0200;-3.345;
2020-01-15;0300;-2.938;
2020-01-15;0400;-2.562;
2020-01-15;0500;-3.505;
2020-01-15;0600;-3.495;
2020-01-15;0700;-3.185;
2020-01-15;0800;-2.992;
2020-01-15;0900;-2.781;
2020-01-15;1000;82.845;
2020-01-15;1100;842.353;
2020-01-15;1200;1798.437;
2020-01-15;1300;2567.1;
2020-01-15;1400;3204.755;
2020-01-15;1500;3655.135;
2020-01-15;1600;3810.172;
2020-01-15;1700;4133.968;
2020-01-15;1800;1127.187;
2020-01-15;1900;2059.833;
2020-01-15;2000;2625.482;
2020-01-15;2100;1498.28;
2020-01-15;2200;494.984;
2020-01-15;2300;5.711;
2020-01-16;0000;-3.54;
2020-01-16;0100;-3.54;
2020-01-16;0200;-3.54;
2020-01-16;0300;-3.54;
2020-01-16;0400;-3.415;
2020-01-16;0500;-3.323;
2020-01-16;0600;-3.28;
2020-01-16;0700;-3.218;
2020-01-16;0800;-2.475;
2020-01-16;0900;-2.844;
2020-01-16;1000;76.358;
2020-01-16;1100;785.034;
2020-01-16;1200;1479.94;
2020-01-16;1300;2472.268;
2020-01-16;1400;3192.646;
2020-01-16;1500;3266.662;
2020-01-16;1600;843.617;
2020-01-16;1700;3651.054;
2020-01-16;1800;3007.564;
2020-01-16;1900;3006.646;
2020-01-16;2000;2390.325;
2020-01-16;2100;1135.456;
2020-01-16;2200;143.294;
2020-01-16;2300;.636;
2020-01-17;0000;-1.99;
2020-01-17;0100;-2.293;
2020-01-17;0200;-.241;
2020-01-17;0300;-1.779;
2020-01-17;0400;-1.097;
2020-01-17;0500;-1.531;
2020-01-17;0600;-2.482;
2020-01-17;0700;-1.95;
2020-01-17;0800;-1.032;
2020-01-17;0900;-2.305;
2020-01-17;1000;53.804;
2020-01-17;1100;368.255;
2020-01-17;1200;1046.335;
2020-01-17;1300;1456.729;
2020-01-17;1400;1841.529;
2020-01-17;1500;3316.169;
2020-01-17;1600;3311.925;
2020-01-17;1700;3476.298;
2020-01-17;1800;2406.171;
2020-01-17;1900;1325.253;
2020-01-17;2000;1064.774;
2020-01-17;2100;430.467;
2020-01-17;2200;232.209;
2020-01-17;2300;8.19;
2020-01-18;0000;-3.54;
2020-01-18;0100;-3.525;
2020-01-18;0200;-3.505;
2020-01-18;0300;-3.134;
2020-01-18;0400;-3.116;
2020-01-18;0500;-2.807;
2020-01-18;0600;-2.97;
2020-01-18;0700;null;
2020-01-18;0800;null;
2020-01-18;0900;null;
2020-01-18;1000;null;
2020-01-18;1100;null;
2020-01-18;1200;null;
2020-01-18;1300;null;
2020-01-18;1400;null;
2020-01-18;1500;null;
2020-01-18;1600;null;
2020-01-18;1700;null;
2020-01-18;1800;null;
2020-01-18;1900;null;
2020-01-18;2000;null;
2020-01-18;2100;null;
2020-01-18;2200;null;
2020-01-18;2300;null;
2020-01-19;0000;null;
2020-01-19;0100;null;
2020-01-19;0200;null;
2020-01-19;0300;null;
2020-01-19;0400;null;
2020-01-19;0500;null;
2020-01-19;0600;null;
2020-01-19;0700;null;
2020-01-19;0800;null;
2020-01-19;0900;null;
2020-01-19;1000;null;
2020-01-19;1100;null;
2020-01-19;1200;null;
2020-01-19;1300;null;
2020-01-19;1400;null;
2020-01-19;1500;null;
2020-01-19;1600;null;
2020-01-19;1700;null;
2020-01-19;1800;null;
2020-01-19;1900;null;
2020-01-19;2000;null;
2020-01-19;2100;null;
2020-01-19;2200;null;
2020-01-19;2300;null;
2020-01-20;0000;null;
2020-01-20;0100;null;
2020-01-20;0200;null;
2020-01-20;0300;null;
2020-01-20;0400;null;
2020-01-20;0500;null;
2020-01-20;0600;null;
2020-01-20;0700;null;
2020-01-20;0800;null;
2020-01-20;0900;null;
2020-01-20;1000;null;
2020-01-20;1100;null;
2020-01-20;1200;140.621;
2020-01-20;1300;2457.939;
2020-01-20;1400;3282.348;
2020-01-20;1500;3727.97;
2020-01-20;1600;3039.171;
2020-01-20;1700;2878.412;
2020-01-20;1800;2524.451;
2020-01-20;1900;2176.253;
2020-01-20;2000;2546.379;
