Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;960.943478;21.034783;35.1;26.747826;22;73.043478;34;9.5;2.217391;
2020-01-02;7.2;961.075;21.725;33;26.1625;22.7;78.375;47;17.9;1.745833;
2020-01-03;25;962.345833;21.570833;30.8;23.916667;20.6;87.458333;59;10.7;2.0625;
2020-01-04;26.2;961.469565;20.9;30.5;24.469565;21;81.782609;53;6;1.869565;
2020-01-05;0;960.326087;21.1;29.9;24.130435;21.1;83.869565;59;15.1;1.765217;
2020-01-06;29.4;961.486957;20.965217;33.3;25.930435;20.2;76.304348;40;12.5;2.586957;
2020-01-07;0;963.1625;22.141667;32.4;25.883333;22.2;81.25;53;10.5;2.225;
2020-01-08;2.6;964.256522;22.978261;30;24.847826;22.9;89.913043;67;11.5;1.669565;
2020-01-09;30.8;965.3125;22.604167;31.8;25.2625;22.4;86.375;58;11.7;1.858333;
2020-01-10;27.4;965.241667;21.766667;31.8;26.020833;21.7;79.875;46;7.5;1.5625;
2020-01-11;.8;964.0875;22.8375;32.8;26.783333;22.8;80.625;54;6.7;1.458333;
2020-01-12;0;965.170833;23.283333;33.3;26.058333;23.6;85.416667;54;14.3;1.804167;
2020-01-13;null;null;null;null;null;22;null;90;6.2;null;
2020-01-14;null;null;null;null;null;null;null;null;null;null;
2020-01-15;null;null;null;null;null;null;null;null;null;null;
2020-01-16;null;null;null;null;null;null;null;null;null;null;
2020-01-17;null;null;null;null;null;null;null;null;null;null;
2020-01-18;null;null;null;null;null;null;null;null;null;null;
2020-01-19;null;null;null;null;null;null;null;null;null;null;
2020-01-20;null;null;null;null;null;null;62.928571;43;6.8;null;
2020-01-21;0;960.691304;20.765217;32.9;26.443478;20.9;72.304348;47;7.5;2.430435;
2020-01-22;0;959.55;20.8;32.7;24.875;21;79.041667;53;7.9;2.204167;
2020-01-23;29.2;958.734783;21.53913;28.5;23.273913;21.8;90.217391;69;8.8;2.295652;
2020-01-24;29;958.345833;20.416667;30;24.2;20.8;80.875;55;7.5;2.2875;
2020-01-25;0;962.175;18.5;31.1;24.683333;18.6;70.416667;41;9.8;2.091667;
2020-01-26;0;963.625;18.3625;32.6;25.491667;18.3;69.375;34;5.3;1.295833;
2020-01-27;0;963.779167;16.9875;33.1;25.708333;17.8;64;27;6.2;1.133333;
2020-01-28;0;963.525;17.554167;34.5;26.270833;17.4;63.583333;31;6;1.704167;
2020-01-29;0;964.666667;21.429167;33.8;27.3625;22.6;71.916667;43;7;2.0875;
2020-01-30;0;966.459091;21.945455;31.5;26.245455;23.2;78.590909;51;10.6;2.536364;
2020-01-31;32.6;967.516667;21.883333;31.1;24.820833;21.5;84.916667;56;9.5;2.016667;
2020-02-01;0;966.9125;22.079167;32;25.479167;22.5;82.5;50;7.6;1.616667;
2020-02-02;.4;966.825;21.095833;32.4;26.5125;22.2;74.666667;41;8.9;1.575;
2020-02-03;0;965.556522;22.013043;32.4;26.030435;23.1;80;46;10.8;1.930435;
2020-02-04;1.4;965.15;21.486364;32.1;24.631818;21.3;84.045455;52;10.8;1.781818;
2020-02-05;37.6;965.343478;21.826087;31.1;24.878261;20.3;84.304348;55;7.5;1.547826;
2020-02-06;.4;965.308333;22.029167;30.6;24.808333;22.2;85.291667;57;8.8;1.541667;
2020-02-07;null;null;null;null;null;20.7;null;88;7.9;null;
2020-02-08;null;null;null;null;null;null;null;null;null;null;
2020-02-09;null;null;null;null;null;null;null;null;null;null;
2020-02-10;null;null;null;null;null;null;null;null;null;null;
2020-02-11;null;null;null;null;null;null;null;null;null;null;
2020-02-12;null;null;null;null;null;null;null;null;null;null;
2020-02-13;null;null;null;null;null;null;null;null;null;null;
2020-02-14;null;null;null;null;null;null;null;null;null;null;
2020-02-15;null;null;null;null;null;null;null;null;null;null;
2020-02-16;null;null;null;null;null;null;null;36;9.1;null;
2020-02-17;null;963.763158;21.978947;34.8;null;22.8;77.578947;44;12.6;1.721053;
2020-02-18;null;964.914286;22.109524;33.8;null;21.5;74.714286;46;5.7;1.571429;
2020-02-19;.2;963.566667;22.133333;32.9;26.958333;22.2;76.875;49;6.4;1.825;
2020-02-20;.2;963.245455;22.090909;32.9;26.281818;22.9;79.045455;51;8.4;1.909091;
2020-02-21;37;964.295;21.765;29.8;null;22;85.2;61;8.5;1.765;
2020-02-22;null;965.391667;22.029167;32.1;25.45;22.7;82.458333;53;9.4;1.55;
2020-02-23;3;966.979167;19.858333;30.1;24.2125;20.4;77.666667;57;8.8;2.570833;
2020-02-24;6.8;965.725;21.308333;27.6;23.2125;20.6;89.125;76;6.8;1.720833;
2020-02-25;24;964.8625;22.345833;31.1;25.2;20.8;85.125;59;9.6;1.825;
2020-02-26;0;963.304167;22.316667;31.3;24.504167;23;88.333333;57;15.9;2.4125;
2020-02-27;25;963.929167;21.35;27.4;23.825;21;86.666667;68;9.3;2.104167;
2020-02-28;0;966.373684;18.952632;29.9;null;18.5;80.315789;51;8.7;2.673684;
2020-02-29;null;967.665217;19.291304;29.6;23.086957;19.4;80.869565;47;5.8;1.847826;
2020-03-01;0;967.245833;19.345833;28.2;23.204167;19.4;79.625;62;8.3;2.883333;
2020-03-02;null;null;null;null;null;null;null;48;9.2;null;
2020-03-03;null;965.870833;17.925;30;23.708333;17.6;71.458333;49;9.3;2.733333;
2020-03-04;0;966.133333;17.8625;31.3;23.770833;17.3;72.166667;40;6.6;2.066667;
2020-03-05;0;966.804167;17.3875;31.2;23.754167;16.8;71.375;32;6.4;1.908333;
2020-03-06;0;966.833333;16.791667;30.4;23.7625;18;67.083333;38;9.2;2.958333;
2020-03-07;0;965.366667;15.354167;30.6;23.129167;16.4;65.416667;30;7.1;2.2625;
2020-03-08;0;965.266667;15.641667;31.2;22.7125;14.7;69.125;30;5.7;1.170833;
2020-03-09;0;966.8875;16.966667;32.3;23.679167;16.3;70.125;30;6.3;1.466667;
2020-03-10;0;966.466667;18.245833;34.3;25.3625;18.8;68.791667;31;6.1;1.495833;
2020-03-11;0;964.916667;18.920833;34.1;26.633333;20.8;65.958333;33;8.6;2.2625;
2020-03-12;0;965.717391;19.426087;34.4;26.904348;21.6;66.608696;36;7.5;2.352174;
2020-03-13;0;967.1;18.916667;34.6;null;20.8;68.111111;30;6.2;1.683333;
2020-03-14;null;null;null;null;null;null;48.583333;31;7.9;null;
2020-03-15;null;null;null;null;null;23;null;63;5;null;
2020-03-16;null;null;null;null;null;null;null;50;14.6;null;
2020-03-17;26;965.879167;20.75;34;26.466667;20;74.208333;38;6.2;1.429167;
2020-03-18;0;965.3875;21.208333;34.2;27.1625;21.7;72.375;43;7.1;1.8625;
2020-03-19;0;963.647826;21.821739;32.2;26.065217;22.3;78.565217;52;7.9;1.421739;
2020-03-20;10.8;962.3;21.665217;31.2;24.673913;22;84.782609;55;9.7;1.63913;
2020-03-21;1.2;962.983333;21.483333;31.1;25.2625;22.2;80.916667;53;5.2;1.529167;
2020-03-22;0;966.031818;18.640909;30.8;25.277273;20.8;68.318182;40;8.5;2.572727;
2020-03-23;0;968.165217;17.791304;31.9;23.882609;17.2;70.217391;44;8.2;2.847826;
2020-03-24;0;967.441667;16.2;31.3;24.0875;17.9;62.958333;36;9.1;2.925;
