Nome: IBITINGA
Codigo Estacao: A737
Latitude: -21.85555555
Longitude: -48.79972221
Altitude: 496.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;952.179167;19.329167;34.2;25.45;20.7;70.666667;39;19.5;1.129167;
2020-01-02;null;952.0625;20.6;31.8;24.916667;20.1;78.333333;49;8.3;1.029167;
2020-01-03;null;953.9375;19.558333;27.7;23.120833;19.9;81.333333;62;9.3;.804167;
2020-01-04;null;952.579167;18.220833;30.2;24.229167;19.4;70.5;49;8;.5875;
2020-01-05;null;951.645833;19.25;31.9;23.016667;19.8;81.083333;47;15.8;1.383333;
2020-01-06;null;952.6;19.2375;32.3;24.3;18.1;76.208333;41;7.4;.6375;
2020-01-07;null;954.366667;20.4;33.3;25.429167;20.7;75.666667;46;15;.8;
2020-01-08;null;955.254167;21.220833;32.1;24.845833;21.1;81.708333;51;9.5;.741667;
2020-01-09;null;956.245833;21.6;31.6;25.154167;22.1;82.083333;49;10.5;.845833;
2020-01-10;null;956.041667;21.075;32.6;25.595833;21.6;77.958333;48;5.9;.295833;
2020-01-11;null;955.283333;21.904167;31.2;25.779167;22.2;80.125;54;6.2;.529167;
2020-01-12;null;956.375;21.766667;33.8;25.666667;22.6;80.916667;44;13.4;.9625;
2020-01-13;null;957.608333;21.633333;29.6;24.2;21;86.208333;59;6.2;.770833;
2020-01-14;null;957.141667;20.320833;30.3;24.8875;20.1;76.833333;55;5.5;.591667;
2020-01-15;null;955.666667;19.341667;34.7;26.7125;19.7;67.916667;33;8;.083333;
2020-01-16;null;956.995833;20.104167;35.4;27.158333;21.6;68.541667;33;11.9;1.05;
2020-01-17;null;958.925;20.283333;28.7;24.025;21.7;80.375;60;9.4;3.008333;
2020-01-18;null;959.354167;18.266667;31.3;24.079167;18;71;48;9.3;2.8125;
2020-01-19;null;957.291667;19.416667;32;25.016667;18.7;72.458333;49;7.1;1.975;
2020-01-20;null;954.633333;19.658333;32.8;25.975;20.2;69.75;44;6.4;2.325;
2020-01-21;null;952.083333;18.3125;31.7;24.7;17.9;69.166667;47;9.9;1.520833;
2020-01-22;null;951.1375;18.479167;31.7;23.791667;18.2;73.041667;49;9.9;2.441667;
2020-01-23;null;950.529167;19.754167;24;21.220833;19.9;91.333333;76;8.1;2.2;
2020-01-24;null;949.495833;18.729167;29;23.370833;18.8;77;53;8.3;2.645833;
2020-01-25;null;953.308333;16.308333;29.8;23.129167;16.7;68;42;10;1.570833;
