Nome: ITUVERAVA
Codigo Estacao: A753
Latitude: -20.35972222
Longitude: -47.77527777
Altitude: 610.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;11.8;940.141667;20.216667;32.7;25.420833;19.8;75.083333;41;6.8;1.3875;
2020-01-02;3.4;940.275;20.3625;28.8;23.616667;20.6;82.916667;54;10.5;1.529167;
2020-01-03;10;941.095833;20.183333;28.4;22.85;19.9;85.583333;64;10.4;1.495833;
2020-01-04;5.6;939.875;19.491667;29.4;22.533333;18.5;83.708333;59;11.7;2.008333;
2020-01-05;20;939.520833;20.404167;28.2;23.120833;19.7;85.375;64;8.4;1.3875;
2020-01-06;12;940.679167;19.770833;31.3;23.633333;18.1;80.541667;52;8.7;1.6125;
2020-01-07;.2;942.491667;21.1125;31;24.079167;20.4;84.375;62;13.7;1.258333;
2020-01-08;17.4;943.2875;20.925;30.5;23.420833;20.1;86.375;62;9;1.320833;
2020-01-09;1.4;943.820833;21.375;31.2;24.116667;20.4;86.041667;55;8.3;1.129167;
2020-01-10;9;943.608333;21.454167;31.3;24.654167;20.6;83.375;56;5.5;1.075;
2020-01-11;0;942.508333;21.133333;33.5;26.266667;19.8;76.083333;43;5.5;1.2375;
2020-01-12;0;943.783333;22.375;31.2;25.108333;22.2;85.583333;59;8.6;1.454167;
2020-01-13;2;944.058333;21.016667;34;25.5875;20.8;78.166667;46;14.1;1.575;
2020-01-14;30.8;943.7;20.275;34.3;25.9375;18.9;74.416667;39;5.9;1.266667;
2020-01-15;0;942.933333;20.479167;34.9;26.425;19.7;72.75;35;6.2;1.270833;
2020-01-16;0;944.1;21.204167;34.9;27.254167;20;72.208333;38;5;1.183333;
2020-01-17;0;945.291667;20.941667;29.4;25.316667;21.4;77.125;62;13.6;2.145833;
2020-01-18;13.8;945.883333;21.254167;31.6;23.991667;21.7;85.625;53;11.3;1.6375;
2020-01-19;21.6;944.15;20.8125;32.5;25.179167;20.2;79.166667;48;11.8;1.545833;
2020-01-20;35.2;941.6375;20.933333;31.6;24.516667;20;81.666667;57;13.8;1.483333;
2020-01-21;16.8;938.995833;21.045833;31.1;24.866667;20.1;80.666667;56;13.8;1.583333;
2020-01-22;32.6;938.2375;20.3375;31.9;24.016667;19.3;81.583333;51;10.6;1.704167;
2020-01-23;2.6;937.408333;20.579167;28.6;22.695833;21;88.291667;62;9.4;.966667;
2020-01-24;31.6;936.15;21.158333;25.6;22.316667;21;93.208333;80;9.1;1.4125;
2020-01-25;33.4;939.866667;19.55;30.5;23.6125;18.3;80.416667;46;6.1;1.4375;
2020-01-26;.2;942.008333;17.0375;31.3;22.970833;15.5;72.916667;32;5.6;1.095833;
2020-01-27;0;942.104167;17.975;33;23.9375;16.4;72.416667;39;7;1.441667;
2020-01-28;0;942.458333;20.433333;31.9;25.458333;19.7;75.416667;50;7.9;1.466667;
2020-01-29;67.4;944.766667;20.691667;29.9;23.833333;19.8;84;58;11.7;1.583333;
2020-01-30;12.2;945.65;21.066667;31.5;23.825;20.8;85.5;55;9.7;1.454167;
2020-01-31;8;945.816667;20.625;32.3;24.895833;20.5;79.333333;47;6.4;1.225;
2020-02-01;0;945.258333;21.3;32.8;25.683333;22.1;78.458333;48;6.8;1.158333;
2020-02-02;.4;944.804167;20.433333;33.7;25.366667;19.7;76.333333;43;11.9;1.275;
2020-02-03;27;943.920833;20.520833;33.7;24;19.4;83.041667;47;21.1;1.720833;
2020-02-04;42.2;943.816667;20.4;32.4;23.7125;18.8;83.083333;52;9.2;1.429167;
2020-02-05;17.8;944.258333;20.508333;31.1;23.1875;21.1;86.166667;54;13;1.370833;
2020-02-06;9.8;943.875;20.6375;30.5;23.9125;21.1;83.291667;53;8;1.4375;
2020-02-07;2.2;942.708333;19.1375;26.2;22.245833;20.1;83.083333;64;8.7;1.670833;
2020-02-08;2.4;942.820833;18.429167;27.4;23.395833;20.2;74.375;59;9.9;1.8375;
2020-02-09;0;944.291667;19.658333;27.4;23.2125;20.6;80.875;64;11;1.991667;
2020-02-10;6.6;945.366667;20.825;26.6;22.7875;21.1;88.708333;70;10.7;1.3125;
2020-02-11;12;944.629167;21.316667;27.9;23.175;20.9;89.625;69;7.6;1.5375;
2020-02-12;8.6;943.441667;21.016667;29.1;23.770833;20.5;85.5;63;6.3;1.045833;
2020-02-13;3;943.608333;20.604167;29.7;23.866667;20.4;83.208333;59;8.2;1.775;
2020-02-14;.6;943.658333;19.779167;33;24.45;17.4;77.666667;44;5.6;1.1375;
2020-02-15;0;943.070833;20.191667;34.5;25.983333;19;73.708333;33;7;1.291667;
2020-02-16;0;942.8875;20.233333;33.9;25.775;19.2;73.833333;43;6.6;1.466667;
2020-02-17;0;943.258333;20.5625;31.6;24.191667;20.2;81.125;53;11.4;1.604167;
2020-02-18;31.6;944.104167;20.525;31.1;24.691667;20;79.208333;52;6.5;1.3375;
2020-02-19;10.8;942.6375;20.295833;32.7;24.125;19.4;80.75;46;7.9;1.329167;
2020-02-20;.2;941.870833;20.816667;31.4;24.954167;20.8;78.833333;54;5.7;1.220833;
2020-02-21;39.4;943.4875;20.466667;27.8;22.379167;20.4;89.333333;67;11.7;1.429167;
2020-02-22;8.2;944.2375;20.35;28.3;22.233333;19.8;89.708333;65;9.8;.9625;
2020-02-23;16.4;944.983333;20.679167;29.7;23.4875;20.7;85.333333;56;5.8;1.095833;
