Nome: SIDROLANDIA
Codigo Estacao: A754
Latitude: -20.98166666
Longitude: -54.97194443
Altitude: 471.43
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;955.533333;21.504167;32.4;25.133333;20.3;82;51;5.4;1.120833;
2020-01-02;null;955.15;21;32.9;25.966667;22.7;75.458333;44;16.3;1.008333;
2020-01-03;null;955.758333;20.916667;32.3;26.591667;22;73.166667;43;6.4;1.095833;
2020-01-04;null;954.595833;20.8;30.4;25.0125;21.3;78.75;54;9;1.433333;
2020-01-05;null;952.866667;20.0125;32.5;25.8125;19.7;72.625;44;7.4;1.3375;
2020-01-06;null;953.220833;20.020833;32.1;26.275;20.8;69.125;52;11.2;2.279167;
2020-01-07;null;955.125;21.254167;26.7;22.895833;22.7;90.541667;75;8.4;2.179167;
2020-01-08;null;956.629167;21.433333;27.8;23.954167;20.5;86.291667;72;8.2;2.05;
2020-01-09;null;957.4875;21.683333;31.6;26.1375;22.6;77.75;53;10.4;2.570833;
2020-01-10;null;957.366667;22.145833;32.9;27.779167;23.9;72.291667;52;7.8;1.95;
2020-01-11;null;956.8625;22.316667;33.9;28.154167;23.3;72.041667;50;8.1;1.495833;
2020-01-12;null;958.216667;22.425;32.7;27.0875;22.6;76.791667;51;12.4;1.6125;
2020-01-13;null;958.941667;21.2375;30.2;25.445833;22;78.208333;57;10;2.275;
2020-01-14;null;958.341667;21.4875;34;27.308333;22;72.333333;43;7.1;1.595833;
2020-01-15;null;957.041667;21.483333;34.7;28.483333;23.3;67.875;41;7.6;1.754167;
2020-01-16;null;958.958333;21.708333;35.9;29.208333;23.7;65.791667;38;6.9;1.241667;
2020-01-17;null;960.591667;21.766667;34.5;27.208333;23.7;73.625;44;9.9;1.843478;
2020-01-18;null;960.541667;21.879167;31.9;25.983333;22.1;79.5;54;7.7;1.854167;
2020-01-19;null;959.075;21.304167;34.6;27.754167;21.9;70;42;6.6;1.566667;
2020-01-20;null;956.7375;20.2;34.9;27.475;21.3;66.583333;39;6.8;1.682609;
2020-01-21;null;953.595833;20.854167;35.3;28.216667;22.3;65.833333;41;6.9;1.445833;
2020-01-22;null;952.170833;21.333333;29.5;23.808333;20.4;86.583333;66;17.7;2.204167;
2020-01-23;null;951.041667;22.379167;29.5;24.045833;21.2;90.875;65;8.7;1.55;
2020-01-24;null;953.3;20.616667;30.2;24.8;21.5;78.958333;55;8.8;2.975;
2020-01-25;null;955.891667;19.358333;32;25.8875;19.8;69.875;41;6;1.156522;
2020-01-26;null;956.675;18.479167;33.5;26.491667;19.2;64.458333;36;6.4;1.125;
2020-01-27;null;956.770833;19.883333;33.8;27.3125;21.2;65.708333;40;6.8;1.266667;
2020-01-28;null;956.125;20.916667;33.9;27.416667;21.8;69.541667;43;8.5;1.516667;
2020-01-29;null;956.916667;21.5;32.2;26.454167;23.2;74.875;55;9.6;2.025;
2020-01-30;null;958.7125;21.220833;28.8;23.283333;22.7;88.416667;68;11.7;2.254167;
2020-01-31;null;960.3;20.829167;29.3;23.658333;20.5;85.083333;61;5.3;.954167;
2020-02-01;null;959.579167;21.920833;31.2;25.745833;21.3;80.333333;58;9;1.6875;
2020-02-02;null;959.4125;21.870833;30.9;25.620833;22;80.833333;58;8.9;2.020833;
2020-02-03;null;958.766667;21.429167;30.3;25.204167;21.7;80.458333;59;6.6;1.4625;
2020-02-04;null;958.0125;21.625;31.5;25.3625;21;81.125;56;8;1.725;
2020-02-05;null;957.616667;21.733333;29.9;25.183333;22;81.958333;62;8.4;1.45;
2020-02-06;null;958.15;21.4375;32.4;25.9875;22.2;77.125;49;7.8;1.579167;
2020-02-07;null;956.304167;21.695833;32.7;26.758333;22.2;75.083333;50;6.3;.995833;
2020-02-08;null;954.879167;21.341667;30.9;24.995833;20.9;81.583333;53;8.7;1.279167;
2020-02-09;null;955.55;21.9;31.7;25.445833;20.9;81.875;54;7.2;1.354167;
2020-02-10;null;957.791667;22.370833;31.4;25.845833;22.4;81.875;59;7.6;1.929167;
2020-02-11;null;958.904167;21.345833;29.7;24.616667;20.8;83.166667;58;8.3;1.325;
2020-02-12;null;958.066667;21.770833;31.4;26.108333;23.2;78.041667;53;6.2;1.8;
2020-02-13;null;958.158333;21.079167;31.7;25.679167;20.9;76.541667;54;6;1.370833;
2020-02-14;null;958.120833;20.8625;32.2;27.125;22.6;68.958333;52;8.5;2.095833;
2020-02-15;null;957.395833;22.016667;33.8;27.958333;23.8;71.166667;48;6.1;1.4;
2020-02-16;null;956.816667;22.479167;33.5;27.754167;23.1;74.333333;50;8.1;1.791667;
2020-02-17;null;956.179167;21.920833;34.4;28.8125;24.2;67.916667;44;9.9;1.991667;
2020-02-18;null;957.083333;21.879167;35.1;28.8625;23.8;67.541667;41;9.1;1.75;
2020-02-19;null;956.4125;21.841667;33.3;26.775;21.9;75.208333;52;8.9;1.808333;
2020-02-20;null;956.3125;22.1625;33.7;25.870833;23.7;81.125;44;13.5;1.429167;
2020-02-21;null;957.6625;22.220833;31.6;24.929167;20.9;85.75;55;8.4;1.3375;
2020-02-22;null;960.220833;14.658333;30.7;23.691667;17.5;60.208333;30;11;3.0125;
2020-02-23;null;959.670833;14.2625;30.9;23.179167;15.9;58.958333;35;6.7;1.866667;
2020-02-24;null;957.5125;21.066667;31.7;26.395833;22;73.541667;51;7.7;1.566667;
2020-02-25;null;957.0375;22.0625;32.2;25.566667;22.7;81.875;54;9;2.016667;
2020-02-26;null;956.904167;20.5;25.3;22.045833;21.8;91.041667;76;12.7;2.325;
2020-02-27;null;958.15;16.475;30.6;23.225;17.6;70.833333;28;7;1.5375;
2020-02-28;null;959.325;16.308333;31.6;24.458333;18.6;61.875;40;5.6;1.104167;
2020-02-29;null;960.758333;15.725;33.6;25.720833;20.1;58.083333;27;8.5;1.770833;
2020-03-01;null;960.783333;16.2875;32.5;25.0625;18.5;60.958333;33;8.3;1.766667;
2020-03-02;0;960.020833;16.795833;31.6;24.05;18.5;66.125;39;7.9;2.158333;
2020-03-03;0;959.225;16.55;32.2;24.4875;18.4;64.083333;33;9.5;2.191667;
2020-03-04;0;959.408333;16.945833;33.3;24.804167;19;64.541667;32;5.2;1.270833;
