Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.235222
Longitude: -49.965111
Altitude: 660
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.59;
2020-01-01;0100;-2.9;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.597;
2020-01-01;0400;-3.596;
2020-01-01;0500;-3.581;
2020-01-01;0600;-3.6;
2020-01-01;0700;-3.6;
2020-01-01;0800;-3.6;
2020-01-01;0900;10.179;
2020-01-01;1000;379.654;
2020-01-01;1100;1148.694;
2020-01-01;1200;2183.247;
2020-01-01;1300;2859.474;
2020-01-01;1400;3384.303;
2020-01-01;1500;3705.912;
2020-01-01;1600;3698.843;
2020-01-01;1700;3590.838;
2020-01-01;1800;1792.615;
2020-01-01;1900;279.401;
2020-01-01;2000;572.514;
2020-01-01;2100;326.478;
2020-01-01;2200;130.56;
2020-01-01;2300;-.873;
2020-01-02;0000;-3.226;
2020-01-02;0100;-3.454;
2020-01-02;0200;-2.451;
2020-01-02;0300;-3.496;
2020-01-02;0400;-2.899;
2020-01-02;0500;-3.445;
2020-01-02;0600;-2.821;
2020-01-02;0700;-2.631;
2020-01-02;0800;-3.204;
2020-01-02;0900;3.826;
2020-01-02;1000;145.49;
2020-01-02;1100;605.055;
2020-01-02;1200;1209.934;
2020-01-02;1300;2096.171;
2020-01-02;1400;2467.313;
2020-01-02;1500;3604.573;
2020-01-02;1600;2751.069;
2020-01-02;1700;1659.265;
2020-01-02;1800;542.285;
2020-01-02;1900;705.195;
2020-01-02;2000;828.326;
2020-01-02;2100;884.398;
2020-01-02;2200;170.054;
2020-01-02;2300;-1.456;
2020-01-03;0000;-.755;
2020-01-03;0100;.128;
2020-01-03;0200;-.416;
2020-01-03;0300;-.638;
2020-01-03;0400;-1.383;
2020-01-03;0500;-1.125;
2020-01-03;0600;-1.552;
2020-01-03;0700;-1.224;
2020-01-03;0800;-1.843;
2020-01-03;0900;12.197;
2020-01-03;1000;303.502;
2020-01-03;1100;526.636;
2020-01-03;1200;669.358;
2020-01-03;1300;491.819;
2020-01-03;1400;596.617;
2020-01-03;1500;912.231;
2020-01-03;1600;1079.522;
2020-01-03;1700;1838.791;
2020-01-03;1800;2148.184;
2020-01-03;1900;1032.802;
2020-01-03;2000;591.228;
2020-01-03;2100;247.443;
2020-01-03;2200;90.661;
2020-01-03;2300;2.272;
2020-01-04;0000;-2.993;
2020-01-04;0100;-3.395;
2020-01-04;0200;-2.601;
2020-01-04;0300;-3.481;
2020-01-04;0400;-3.6;
2020-01-04;0500;-3.6;
2020-01-04;0600;-3.595;
2020-01-04;0700;-3.6;
2020-01-04;0800;-3.519;
2020-01-04;0900;-.186;
2020-01-04;1000;62.927;
2020-01-04;1100;1226.836;
2020-01-04;1200;2163.224;
2020-01-04;1300;2656.11;
2020-01-04;1400;2311.836;
2020-01-04;1500;2408.878;
2020-01-04;1600;951.002;
2020-01-04;1700;1589.764;
2020-01-04;1800;1399.997;
2020-01-04;1900;1200.569;
2020-01-04;2000;1203.858;
2020-01-04;2100;981.171;
2020-01-04;2200;110.484;
2020-01-04;2300;-.356;
2020-01-05;0000;-3.598;
2020-01-05;0100;-3.07;
2020-01-05;0200;-3.597;
2020-01-05;0300;-3.523;
2020-01-05;0400;-3.142;
2020-01-05;0500;-2.959;
2020-01-05;0600;-3.6;
2020-01-05;0700;-3.598;
2020-01-05;0800;-3.292;
2020-01-05;0900;1.487;
2020-01-05;1000;253.003;
2020-01-05;1100;1167.326;
2020-01-05;1200;1864.888;
2020-01-05;1300;2928.092;
2020-01-05;1400;1888.042;
2020-01-05;1500;949.319;
2020-01-05;1600;331.462;
2020-01-05;1700;2084.538;
2020-01-05;1800;1811.257;
2020-01-05;1900;2178.626;
2020-01-05;2000;1736.662;
2020-01-05;2100;1031.989;
2020-01-05;2200;169.108;
2020-01-05;2300;.252;
2020-01-06;0000;-3.56;
2020-01-06;0100;-3.569;
2020-01-06;0200;-3.6;
2020-01-06;0300;-3.6;
2020-01-06;0400;-3.6;
2020-01-06;0500;-3.6;
2020-01-06;0600;-3.6;
2020-01-06;0700;-3.6;
2020-01-06;0800;-3.598;
