Nome: BEBEDOURO
Codigo Estacao: A764
Latitude: -20.94805555
Longitude: -48.47138888
Altitude: 542
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.146;
2020-01-01;0100;4.376;
2020-01-01;0200;.486;
2020-01-01;0300;-3.222;
2020-01-01;0400;-1.508;
2020-01-01;0500;-2.401;
2020-01-01;0600;-2.355;
2020-01-01;0700;-2.77;
2020-01-01;0800;-2.618;
2020-01-01;0900;23.385;
2020-01-01;1000;406.463;
2020-01-01;1100;840.654;
2020-01-01;1200;2177.15;
2020-01-01;1300;2463.31;
2020-01-01;1400;3432.981;
2020-01-01;1500;3772.613;
2020-01-01;1600;1745;
2020-01-01;1700;2400.212;
2020-01-01;1800;2185.823;
2020-01-01;1900;1115.683;
2020-01-01;2000;317.709;
2020-01-01;2100;231.436;
2020-01-01;2200;106.924;
2020-01-01;2300;-1.819;
2020-01-02;0000;-2.6;
2020-01-02;0100;-3.547;
2020-01-02;0200;-2.63;
2020-01-02;0300;-3.571;
2020-01-02;0400;-3.563;
2020-01-02;0500;-3.579;
2020-01-02;0600;-3.578;
2020-01-02;0700;-3.499;
2020-01-02;0800;-2.639;
2020-01-02;0900;4.303;
2020-01-02;1000;207.834;
2020-01-02;1100;791.271;
2020-01-02;1200;1679.069;
2020-01-02;1300;1710.887;
2020-01-02;1400;894.633;
2020-01-02;1500;1840.033;
2020-01-02;1600;2099.142;
2020-01-02;1700;2807.247;
2020-01-02;1800;1064.248;
2020-01-02;1900;2676.846;
2020-01-02;2000;782.604;
2020-01-02;2100;458.819;
2020-01-02;2200;105.907;
2020-01-02;2300;-2.036;
2020-01-03;0000;-2.663;
2020-01-03;0100;-.327;
2020-01-03;0200;-1.261;
2020-01-03;0300;-.197;
2020-01-03;0400;-.489;
2020-01-03;0500;-.587;
2020-01-03;0600;-.759;
2020-01-03;0700;-.166;
2020-01-03;0800;-.626;
2020-01-03;0900;12.561;
2020-01-03;1000;141.431;
2020-01-03;1100;349.682;
2020-01-03;1200;922.271;
2020-01-03;1300;655.206;
2020-01-03;1400;803.939;
2020-01-03;1500;2823.746;
2020-01-03;1600;3085.109;
2020-01-03;1700;917.998;
2020-01-03;1800;1296.683;
2020-01-03;1900;2266.575;
2020-01-03;2000;1594.304;
2020-01-03;2100;504.466;
2020-01-03;2200;17.777;
2020-01-03;2300;-3.102;
2020-01-04;0000;-.11;
2020-01-04;0100;-.588;
2020-01-04;0200;-1.204;
2020-01-04;0300;-1.668;
2020-01-04;0400;-2.503;
2020-01-04;0500;-2.271;
2020-01-04;0600;-3.135;
2020-01-04;0700;-2.218;
2020-01-04;0800;-.801;
2020-01-04;0900;9.791;
2020-01-04;1000;243.629;
2020-01-04;1100;944.863;
2020-01-04;1200;1860.363;
2020-01-04;1300;2215.076;
2020-01-04;1400;2857.78;
2020-01-04;1500;2898.619;
2020-01-04;1600;3153.825;
2020-01-04;1700;2757.851;
2020-01-04;1800;2984.983;
2020-01-04;1900;633.009;
2020-01-04;2000;135.985;
2020-01-04;2100;103.821;
2020-01-04;2200;174.035;
2020-01-04;2300;1.436;
2020-01-05;0000;-2.123;
2020-01-05;0100;-2.116;
2020-01-05;0200;-2.35;
2020-01-05;0300;-1.197;
2020-01-05;0400;-1.771;
2020-01-05;0500;.352;
2020-01-05;0600;.509;
2020-01-05;0700;.14;
2020-01-05;0800;-2.096;
2020-01-05;0900;6.421;
2020-01-05;1000;184.94;
2020-01-05;1100;910.047;
2020-01-05;1200;1311.99;
2020-01-05;1300;1358.354;
2020-01-05;1400;2383.719;
2020-01-05;1500;3740.002;
2020-01-05;1600;3254.986;
2020-01-05;1700;3328.829;
2020-01-05;1800;2729.253;
2020-01-05;1900;768.666;
2020-01-05;2000;551.355;
2020-01-05;2100;806.072;
2020-01-05;2200;146.49;
2020-01-05;2300;-1.897;
2020-01-06;0000;-3.354;
2020-01-06;0100;-3.6;
2020-01-06;0200;-3.6;
2020-01-06;0300;-3.6;
2020-01-06;0400;-3.6;
2020-01-06;0500;-3.6;
2020-01-06;0600;-3.486;
2020-01-06;0700;-1.432;
2020-01-06;0800;-1.556;
2020-01-06;0900;8.357;
2020-01-06;1000;179.591;
2020-01-06;1100;850.896;
2020-01-06;1200;2118.476;
2020-01-06;1300;2553.68;
2020-01-06;1400;2560.437;
2020-01-06;1500;2692.85;
2020-01-06;1600;3643.212;
2020-01-06;1700;3561.395;
2020-01-06;1800;3009.521;
2020-01-06;1900;1447.872;
2020-01-06;2000;1879.846;
2020-01-06;2100;450.333;
2020-01-06;2200;245.627;
2020-01-06;2300;-2.445;
2020-01-07;0000;-3.6;
2020-01-07;0100;-3.6;
2020-01-07;0200;-3.597;
2020-01-07;0300;-3.6;
2020-01-07;0400;-3.597;
2020-01-07;0500;-3.6;
2020-01-07;0600;-3.571;
2020-01-07;0700;-3.429;
2020-01-07;0800;-3.599;
2020-01-07;0900;5.82;
2020-01-07;1000;188.799;
2020-01-07;1100;866.222;
2020-01-07;1200;2170.603;
2020-01-07;1300;2215.843;
2020-01-07;1400;2341.384;
2020-01-07;1500;3333.462;
2020-01-07;1600;3099.771;
2020-01-07;1700;2527.386;
2020-01-07;1800;2752.66;
2020-01-07;1900;2033.232;
2020-01-07;2000;1048.058;
2020-01-07;2100;242.622;
2020-01-07;2200;64.213;
2020-01-07;2300;.939;
2020-01-08;0000;-1.466;
2020-01-08;0100;-.951;
2020-01-08;0200;-.908;
2020-01-08;0300;-.928;
2020-01-08;0400;-2.413;
2020-01-08;0500;-2.65;
2020-01-08;0600;-1.692;
2020-01-08;0700;-2.678;
2020-01-08;0800;-2.792;
2020-01-08;0900;6.343;
2020-01-08;1000;123.474;
2020-01-08;1100;733.132;
2020-01-08;1200;1585.263;
2020-01-08;1300;1356.394;
