Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;943.1;18.691667;34.9;26.520833;20;65.25;36;10.8;1.95;
2020-01-02;5.2;943.3875;20.845833;30.5;23.383333;20.4;86.833333;54;6.9;1.095833;
2020-01-03;14.8;945.179167;20.941667;26.8;22.129167;20.9;93.333333;69;8;.666667;
2020-01-04;12.4;943.979167;19.883333;27.9;22.3125;19.1;87.125;64;7.7;1.120833;
2020-01-05;1.8;942.833333;20.733333;31.4;23.533333;20.1;85.666667;50;13.1;1.129167;
2020-01-06;11.6;943.866667;20.158333;31.9;23.833333;19.8;81.958333;46;14.7;1.9625;
2020-01-07;7.2;944.945833;20.529167;34.4;26.079167;19.1;75.041667;40;12.1;1.454167;
2020-01-08;32.6;946.25;21.8375;33.1;24.108333;21.2;88.666667;49;16.6;1.4125;
2020-01-09;3.8;946.679167;21.616667;32.5;24.870833;21.4;84.166667;50;8.8;.85;
2020-01-10;1.6;946.079167;21.808333;33.8;25.841667;20.3;80.25;47;7.2;.833333;
2020-01-11;.2;945.383333;21.783333;34.4;25.2625;20.8;83.5;44;20.1;1.320833;
2020-01-12;17.8;947.2625;22.2875;32.1;24.245833;21.2;90.25;54;9.1;.879167;
