Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;1.2;999.558333;22.179167;34.5;27.241667;24.3;74.458333;50;11.2;1.825;
2020-01-02;.6;1006.179167;19.083333;27.8;23.7875;21.2;75.333333;58;12.5;2.5;
2020-01-03;1.2;1010.691667;17.416667;27.9;22.945833;19.5;71.958333;50;13.3;2.558333;
2020-01-04;.2;1008.091667;18.1;29.1;23.754167;20.5;71.75;52;12.5;2.408333;
2020-01-05;.2;1001.845833;18.320833;33.1;25.354167;19.5;67.75;41;9.2;1.6;
2020-01-06;0;998.491667;19.0375;37;27.845833;21.3;62.333333;30;11.9;1.754167;
2020-01-07;.2;1001.5625;20.320833;31.4;26.395833;23.2;70.791667;50;9.9;1.483333;
2020-01-08;0;1004.791667;17.875;31.7;25.316667;20.6;65.125;45;10.7;2.075;
2020-01-09;0;1002.9875;20.033333;38.1;28.516667;21.4;63.416667;31;8.1;1.504167;
2020-01-10;.6;1002.704167;21.991667;36.8;28.1125;25.7;72.166667;41;10.6;1.820833;
2020-01-11;17.8;1003.9875;22.220833;31.8;25.829167;22.1;82;54;8.2;1.429167;
2020-01-12;3.6;1008.304167;19.420833;32.7;27.041667;22.3;66.875;31;7.2;1.466667;
2020-01-13;0;1010.458333;18.158333;31.6;25.320833;20.6;65.833333;46;10.3;1.825;
2020-01-14;0;1007.045833;18.945833;35;26.2375;20;66.5;41;8.8;1.795833;
2020-01-15;0;1001.591667;20.9625;35;28.025;23.9;67.916667;45;14.6;2.4;
2020-01-16;18.4;1008.4625;16.708333;25.4;23.008333;21.9;70.291667;40;10.1;1.845833;
2020-01-17;0;1015.454167;11.970833;26.9;20.566667;14.6;59.166667;36;7;1.204167;
2020-01-18;0;1012.9875;14.870833;30.9;23.058333;16.8;61.583333;40;8.8;1.645833;
2020-01-19;0;1008.983333;18.466667;34.4;25.583333;19.1;67.125;40;8.1;1.4375;
2020-01-20;0;1005.370833;20.0875;35.6;27.270833;21.7;67.166667;34;8.2;1.6;
2020-01-21;0;1003.179167;21.233333;30.9;25.358333;22.9;79.166667;57;9.4;1.375;
2020-01-22;7.2;1005.233333;19.1;29.4;23.883333;21.3;75.958333;46;10;2.045833;
2020-01-23;0;1007.925;18.583333;28.2;23.5;20.6;74.416667;57;11;2.629167;
2020-01-24;1.8;1006.441667;17.683333;30.3;23.866667;18.9;70.208333;43;8.6;1.95;
2020-01-25;.2;1003.45;17.354167;31.9;24.595833;18;67.666667;29;7.2;1.4125;
2020-01-26;0;1002.85;18.0875;34.2;27.9625;21.9;56.208333;39;7.4;1.329167;
2020-01-27;0;1003.704167;21.141667;33.2;26.1875;24.1;74.5;49;9.9;1.525;
2020-01-28;15.8;1006.7875;19.108333;30.6;24.879167;20.6;71.583333;49;10.2;1.883333;
2020-01-29;0;1003.933333;20.175;27.6;24.195833;22;78.708333;59;7.4;1.270833;
2020-01-30;2.4;1003.233333;21.016667;28.5;24.7625;22.4;80.125;65;8.5;1.370833;
2020-01-31;7.6;1005.383333;21.5875;30.3;24.4875;22.1;84.625;61;10.8;1.391667;
2020-02-01;3.6;1008.841667;19.808333;30.1;24.554167;20.6;76.083333;54;8.9;1.295833;
2020-02-02;0;1008.429167;19.1875;33;25.5625;20.1;69.166667;48;10.5;1.833333;
2020-02-03;0;1009.695833;19.920833;32;25.708333;22.1;71.833333;49;11.2;2.395833;
2020-02-04;.2;1009.975;20.041667;33;26.1375;21.8;70.958333;42;12.3;2.2625;
2020-02-05;0;1008.241667;20.225;35.1;27.25;22.5;67.5;37;11.8;2.0625;
2020-02-06;0;1008.1625;21.179167;36;27.858333;22.4;69;42;10.6;1.670833;
2020-02-07;0;1007.229167;21.808333;34.8;27.920833;23.9;71.041667;44;8.9;1.858333;
2020-02-08;0;1004.279167;21.4625;36.3;28.075;23.8;69.916667;36;10.4;1.420833;
2020-02-09;30.2;1006.5625;20.125;27.9;24.5375;22.5;78.083333;49;11.5;2.041667;
2020-02-10;0;1011.908333;16.2;27.4;22.104167;18.3;69.916667;50;9;1.475;
2020-02-11;0;1012.820833;16.4;27.9;22.370833;18;70.083333;49;12.5;2.070833;
2020-02-12;0;1010.983333;17.145833;29.5;23.6;19.1;68.25;45;11.2;2.116667;
2020-02-13;0;1009.291667;16.7;32.7;24.9875;19.2;62.416667;35;10;1.6;
2020-02-14;0;1006.604167;17.466667;30.6;25.479167;19.9;62.583333;43;7.5;1.325;
2020-02-15;.2;1004.708333;20.041667;35.2;28.120833;23.1;63.375;39;6.6;1.220833;
2020-02-16;0;1004.020833;20.004167;37.2;29.5625;24.1;58;37;8.3;1.325;
2020-02-17;0;1003.204167;21.429167;37.9;28.920833;24.2;65.916667;37;14.9;1.3875;
2020-02-18;.6;1001.354167;21.995833;34;26.870833;24.7;75.291667;52;8.7;1.595833;
2020-02-19;9.6;1003.904167;20.116667;31.9;25.7625;22.1;72.541667;45;7.2;1.466667;
2020-02-20;0;1005.491667;18.825;30.5;24.2875;20;72.916667;45;10.4;1.575;
2020-02-21;0;1010.495833;11.170833;26.5;21.491667;18.4;52.75;35;8.5;1.829167;
2020-02-22;0;1014;10.495833;25.4;19.154167;14.7;58;37;10.7;1.858333;
2020-02-23;0;1013.004167;14.5125;28.1;21.266667;15.7;67.583333;42;10;1.479167;
2020-02-24;0;1005.954167;16.208333;34.4;24.279167;17.5;64;32;8.5;1.258333;
2020-02-25;1.4;1001.816667;20.3;33.8;25.95;21.7;72.875;43;12.2;1.391667;
2020-02-26;40.8;1004.495833;17.025;26;21.845833;19.8;76.416667;46;10.4;1.804762;
2020-02-27;0;1009.354167;14.020833;27.9;20.591667;15.5;68.083333;42;6.8;1.045833;
2020-02-28;0;1011.283333;14.2;29.9;22.254167;15.8;63.25;34;8.3;1.341667;
2020-02-29;0;1013.020833;15.6375;30.6;22.833333;16.2;66.708333;34;7.8;1.545833;
2020-03-01;0;1015.0375;16.445833;30.8;23.7625;17.8;66.833333;35;9.3;1.633333;
2020-03-02;0;1015.1125;17.283333;29.2;23.891667;20.1;68.25;44;13.7;2.204167;
2020-03-03;0;1012.279167;16.7875;30.1;23.483333;18.5;68.416667;42;10.8;1.7;
2020-03-04;0;1010.5125;16.529167;29.8;23.208333;19.6;67.833333;39;8.6;2.120833;
2020-03-05;0;1012.7;15.370833;28.8;22.279167;17.4;66.583333;44;9.3;1.791667;
2020-03-06;0;1011.6;17.2625;29.9;23.041667;18.7;71.333333;47;9.6;1.75;
2020-03-07;0;1007.283333;17.233333;31.3;23.616667;18.4;69.208333;43;9.7;1.65;
2020-03-08;0;1006.195833;17.841667;34.9;25.7125;19.4;65.041667;33;7.3;1.233333;
2020-03-09;0;1008.2625;17.675;36.1;27.4625;20.2;58.791667;27;6.7;1.3125;
2020-03-10;0;1010.254167;19.3;31.7;26.208333;21.3;66.5;44;12.4;1.616667;
2020-03-11;0;1009;19.3;32.6;25.445833;20.8;70.875;42;11.7;1.870833;
2020-03-12;0;1006.85;19.041667;37.2;27.708333;20.5;63.958333;27;7.1;1.2875;
2020-03-13;0;1008.495833;21.625;34.5;27.991667;23.5;69.458333;51;8.4;1.579167;
2020-03-14;0;1007.858333;19.783333;38.4;28.2375;21.5;66;27;8.5;1.3125;
2020-03-15;0;1007.608333;21.845833;30;25.975;23.9;78.5;47;8.2;1.4125;
2020-03-16;1.4;1009.395833;19.470833;24.7;21.458333;20.7;88.625;80;7.4;1.475;
2020-03-17;6;1008.945833;19.054167;27.4;22.295833;18.4;82.708333;64;9.5;1.920833;
2020-03-18;1.2;1004.583333;20.7875;28.9;23.608333;20.9;84.708333;65;9;1.295833;
2020-03-19;9.8;1002.025;19.75;30.3;25.5125;21.5;73.208333;43;9;1.808333;
2020-03-20;0;1004.7375;15.925;27.2;22.116667;18;68.75;47;7.1;1.354167;
2020-03-21;4.4;1008.033333;17.729167;28.2;21.666667;17.5;79.916667;53;7.4;1.025;
2020-03-22;0;1011.379167;17.633333;29.8;23.079167;17.8;73.083333;48;10.4;1.383333;
2020-03-23;0;1012.883333;18.3125;30.8;24.05;19.4;72.291667;47;9.5;1.9375;
2020-03-24;0;1012.320833;17.195833;30.9;23.958333;19.2;67.958333;40;8.7;1.558333;
2020-03-25;0;1009.525;16.641667;32.4;23.65;17.8;67.666667;32;7.8;1.408333;
2020-03-26;0;1009.195833;17.591667;31.2;23.516667;17.9;71.958333;33;7.1;1.225;
2020-03-27;0;1008.675;18.679167;31.5;24.129167;20.1;73.625;45;9.5;1.625;
2020-03-28;0;1008.370833;17.554167;32.5;25.145833;21.1;64.833333;37;7.2;1.266667;
2020-03-29;.6;1009.4875;19.916667;30.9;25.579167;22.2;72.25;50;7.1;1.108333;
2020-03-30;0;1009.386957;19.226087;34.3;25.86087;20.4;68.956522;39;7.5;1.2;
2020-03-31;0;1008.886957;20.769565;31.4;25.382609;21.4;76.695652;54;9.8;1.813043;
2020-04-01;0;1008.7875;20.045833;29.3;24.504167;21.7;76.791667;60;9.7;2.304167;
2020-04-02;9.2;1003.1125;18.529167;27.8;23.570833;20.9;75.5;40;14.1;1.991667;
2020-04-03;0;1005.308333;12.054167;24.5;19.416667;15.9;62.791667;50;11.7;2.645833;
