Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.555;
2020-01-01;0100;-3.594;
2020-01-01;0200;-3.596;
2020-01-01;0300;-3.144;
2020-01-01;0400;-3.163;
2020-01-01;0500;-3.593;
2020-01-01;0600;-3.591;
2020-01-01;0700;-3.496;
2020-01-01;0800;-3.534;
2020-01-01;0900;22.434;
2020-01-01;1000;371.219;
2020-01-01;1100;1338.679;
2020-01-01;1200;1968.045;
2020-01-01;1300;2770.446;
2020-01-01;1400;2833.223;
2020-01-01;1500;3147.926;
2020-01-01;1600;3640.79;
2020-01-01;1700;1556.712;
2020-01-01;1800;1928.314;
2020-01-01;1900;1116.041;
2020-01-01;2000;1378.33;
2020-01-01;2100;922.528;
2020-01-01;2200;332.127;
2020-01-01;2300;16.558;
2020-01-02;0000;-3.513;
2020-01-02;0100;-3.554;
2020-01-02;0200;-3.302;
2020-01-02;0300;-3.538;
2020-01-02;0400;-3.571;
2020-01-02;0500;-3.409;
2020-01-02;0600;-3.255;
2020-01-02;0700;-2.546;
2020-01-02;0800;-3.59;
2020-01-02;0900;28.803;
2020-01-02;1000;351.201;
2020-01-02;1100;769.901;
2020-01-02;1200;1522.816;
2020-01-02;1300;2414.323;
2020-01-02;1400;2296.583;
2020-01-02;1500;3757.052;
2020-01-02;1600;3386.984;
2020-01-02;1700;3622.227;
2020-01-02;1800;3096.341;
2020-01-02;1900;1689.425;
2020-01-02;2000;1807.819;
2020-01-02;2100;1094.972;
2020-01-02;2200;283.591;
2020-01-02;2300;22.685;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.6;
2020-01-03;0200;-3.6;
2020-01-03;0300;-3.6;
2020-01-03;0400;-3.6;
2020-01-03;0500;-3.6;
2020-01-03;0600;-3.6;
2020-01-03;0700;-3.6;
2020-01-03;0800;-3.6;
2020-01-03;0900;25.012;
2020-01-03;1000;486.469;
2020-01-03;1100;1345.335;
2020-01-03;1200;1727.826;
2020-01-03;1300;2120.216;
2020-01-03;1400;1905.661;
2020-01-03;1500;1879.399;
2020-01-03;1600;2378.042;
2020-01-03;1700;1969.546;
2020-01-03;1800;1708.894;
2020-01-03;1900;1063.649;
2020-01-03;2000;1445.167;
2020-01-03;2100;1316.807;
2020-01-03;2200;253.923;
2020-01-03;2300;56.64;
2020-01-04;0000;-3.6;
2020-01-04;0100;-3.6;
2020-01-04;0200;-3.6;
2020-01-04;0300;-3.449;
2020-01-04;0400;-3.541;
2020-01-04;0500;-3.6;
2020-01-04;0600;-3.6;
2020-01-04;0700;-3.6;
2020-01-04;0800;-3.6;
2020-01-04;0900;25.999;
2020-01-04;1000;400.567;
2020-01-04;1100;1263.43;
2020-01-04;1200;1192.003;
2020-01-04;1300;1365.172;
2020-01-04;1400;2942.788;
2020-01-04;1500;3087.838;
2020-01-04;1600;2451.37;
2020-01-04;1700;2618.483;
2020-01-04;1800;3163.239;
2020-01-04;1900;2615.634;
2020-01-04;2000;2007.492;
2020-01-04;2100;1019.163;
2020-01-04;2200;193.808;
2020-01-04;2300;30.007;
2020-01-05;0000;-3.6;
2020-01-05;0100;-3.6;
2020-01-05;0200;-3.6;
2020-01-05;0300;-3.6;
2020-01-05;0400;-3.6;
2020-01-05;0500;-3.6;
2020-01-05;0600;-3.6;
2020-01-05;0700;-3.6;
2020-01-05;0800;-3.6;
2020-01-05;0900;23.261;
2020-01-05;1000;473.978;
2020-01-05;1100;1322.198;
2020-01-05;1200;2141.444;
2020-01-05;1300;2850.836;
2020-01-05;1400;3195.4;
2020-01-05;1500;3089.998;
2020-01-05;1600;3015.349;
2020-01-05;1700;2724.26;
2020-01-05;1800;3409.267;
2020-01-05;1900;2812.916;
