Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;985.541667;19.775;26.5;23.0375;21.3;82.166667;66;13.6;3.8625;
2020-01-02;1;991.166667;15.795833;28.7;22.425;17.2;69.041667;37;12.3;4.675;
2020-01-03;0;994.245833;14.729167;29.2;21.9125;15.1;66.791667;38;15.1;4.470833;
2020-01-04;0;990.604167;15.379167;30.7;22.4875;15;67.125;36;8.2;2.75;
2020-01-05;0;983.7875;16.725;32;24.7;17.1;64.041667;34;9.9;2.270833;
2020-01-06;0;981.433333;17.1375;31.4;24.066667;18.9;66;45;10.5;2.854167;
2020-01-07;.8;986.8375;11.1625;27.9;21.7125;16.1;53.625;29;7;2.716667;
2020-01-08;0;987.329167;12.658333;31.1;23.120833;14.1;54.875;28;8.3;2.433333;
2020-01-09;0;985.625;18.020833;33.9;25.104167;18.9;66.25;41;14.6;2.4125;
2020-01-10;.2;986.35;21.008333;30.8;23.141667;20.9;88.125;67;17.6;1.504167;
2020-01-11;17;988.545833;19.408333;30.7;24.325;18.9;76.916667;43;7;1.629167;
2020-01-12;.2;991.466667;17.325;32;25.433333;18.3;63.875;31;8.5;2.5625;
2020-01-13;0;992.295833;16.004167;31.8;24.916667;18.6;61.125;29;9;3.2875;
2020-01-14;0;988.5625;19.158333;32.7;24.9375;17.7;71.583333;50;8.8;2.758333;
2020-01-15;0;984.1875;21.104167;31.7;24.241667;22.6;83.5;60;18.4;3.695833;
