Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.85444444
Longitude: -53.7911111
Altitude: 489.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.6;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.6;
2020-01-01;0400;-3.6;
2020-01-01;0500;-3.6;
2020-01-01;0600;-3.6;
2020-01-01;0700;-3.589;
2020-01-01;0800;-3.6;
2020-01-01;0900;5.746;
2020-01-01;1000;161.198;
2020-01-01;1100;532.265;
2020-01-01;1200;791.434;
2020-01-01;1300;1357.68;
2020-01-01;1400;2651.245;
2020-01-01;1500;2228.727;
2020-01-01;1600;1993.44;
2020-01-01;1700;3616.455;
2020-01-01;1800;1099.509;
2020-01-01;1900;2878.651;
2020-01-01;2000;2171.134;
2020-01-01;2100;1415.976;
2020-01-01;2200;421.663;
2020-01-01;2300;44.738;
2020-01-02;0000;-3.6;
2020-01-02;0100;-3.6;
2020-01-02;0200;-3.6;
2020-01-02;0300;-3.6;
2020-01-02;0400;-3.6;
2020-01-02;0500;-3.6;
2020-01-02;0600;-3.6;
2020-01-02;0700;-3.6;
2020-01-02;0800;-3.6;
2020-01-02;0900;11.836;
2020-01-02;1000;317.859;
2020-01-02;1100;829.761;
2020-01-02;1200;1115.347;
2020-01-02;1300;1949.883;
2020-01-02;1400;2820.256;
2020-01-02;1500;2862.692;
2020-01-02;1600;1693.969;
2020-01-02;1700;2135.177;
2020-01-02;1800;2125.623;
2020-01-02;1900;2389.459;
2020-01-02;2000;1513.675;
2020-01-02;2100;772.687;
2020-01-02;2200;543.718;
2020-01-02;2300;52.401;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.6;
2020-01-03;0200;-3.6;
2020-01-03;0300;-3.6;
2020-01-03;0400;-3.6;
2020-01-03;0500;-3.6;
2020-01-03;0600;-3.6;
2020-01-03;0700;-3.6;
2020-01-03;0800;-3.6;
2020-01-03;0900;8.356;
2020-01-03;1000;155.34;
2020-01-03;1100;949.993;
2020-01-03;1200;2047.55;
2020-01-03;1300;2772.825;
2020-01-03;1400;3227.052;
2020-01-03;1500;3174.696;
2020-01-03;1600;3854.972;
2020-01-03;1700;3224.634;
2020-01-03;1800;2412.393;
2020-01-03;1900;2788.672;
2020-01-03;2000;2236.587;
2020-01-03;2100;1421.668;
2020-01-03;2200;595.153;
2020-01-03;2300;49.027;
2020-01-04;0000;-3.6;
2020-01-04;0100;-3.6;
2020-01-04;0200;-3.6;
2020-01-04;0300;-3.6;
2020-01-04;0400;-3.6;
2020-01-04;0500;-3.6;
2020-01-04;0600;-3.593;
2020-01-04;0700;-3.172;
2020-01-04;0800;-3.532;
2020-01-04;0900;8.646;
2020-01-04;1000;332.105;
