Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.60253
Longitude: -48.620096
Altitude: 4.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1005.5375;21.829167;33.2;26.7625;25.3;75.166667;52;7.9;2.066667;
2020-01-02;7;1007.8625;20.75;29.4;24.8875;23.2;78.208333;52;13.9;3.9375;
2020-01-03;1.6;1013.808333;19.8125;26.7;23.816667;21.8;78.541667;65;12.2;3.9375;
2020-01-04;9.8;1012.508333;19.858333;26.9;24.504167;22.3;75.5;64;11.1;3.883333;
2020-01-05;.6;1008.725;19.291667;30.1;24.329167;20.3;74.625;51;6.6;1.8125;
2020-01-06;0;1006.504167;20.154167;31.3;25.904167;21.3;71.875;52;11.4;1.9375;
2020-01-07;0;1006.825;21.575;34.6;26.9;23.2;73.666667;41;12.4;2.295833;
2020-01-08;22;1010.791667;21.470833;28.9;25.558333;23.2;78.375;63;8.4;2.2875;
2020-01-09;2.2;1010.191667;21.866667;33.1;27.504167;23.4;72.583333;49;6.6;1.6375;
2020-01-10;0;1008.766667;23.2375;31.2;27.8625;25.2;76.25;63;11;2.379167;
2020-01-11;30.8;1008.633333;22.2;30.2;26.45;23.2;78.041667;66;12.4;2.6125;
2020-01-12;0;1012.9625;20.6875;30.4;26.166667;21.5;72.416667;57;10;2.254167;
2020-01-13;0;1016.1625;18.154167;29.7;25.0125;19.6;66.916667;40;8.5;2.495833;
2020-01-14;.2;1015.2875;19.070833;30.5;26.533333;22.9;64.958333;37;10.2;2.2125;
2020-01-15;0;1011.120833;19.775;31.5;26.716667;22.3;66.541667;45;12.9;2.904167;
2020-01-16;1;1012.183333;19.979167;29.2;25.404167;24.8;72.625;46;14.8;3.45;
2020-01-17;.2;1020.4625;13.045833;26.1;22.754167;20.1;54.666667;39;10.9;2.625;
2020-01-18;0;1020.3875;15.041667;27.4;23.166667;18.8;60.75;48;7.5;1.745833;
2020-01-19;0;1017.245833;17.9;29.2;24.904167;20.9;65.541667;50;11.5;2.083333;
2020-01-20;0;1013.795833;19.479167;30.5;25.870833;21.4;68.666667;50;10.2;2.158333;
2020-01-21;0;1011.204167;18.195833;29.6;26.108333;24;62.25;49;9.1;2.404167;
2020-01-22;1.4;1011.904167;19.033333;25.5;22.716667;21.5;80.291667;57;8.4;1.195833;
2020-01-23;27.8;1011.5625;19.066667;23.8;21.420833;19.9;86.541667;76;11.3;2.5125;
2020-01-24;20.2;1009.720833;19.05;26.6;23.0375;19.5;78.75;64;11.1;3.125;
2020-01-25;.6;1009.025;16.5375;29.3;23.891667;17.2;65.375;41;9.5;1.529167;
2020-01-26;0;1009.566667;19.370833;32;25.345833;20;70.625;48;8.6;1.683333;
2020-01-27;0;1009.8125;21.029167;31.1;25.758333;22.5;76.041667;58;9.8;1.8625;
2020-01-28;6;1012.325;20.5125;28.6;24.854167;21.6;77.25;64;8.2;1.795833;
2020-01-29;0;1011.65;21.3375;29.1;24.975;22.8;80.541667;65;6.4;1.229167;
2020-01-30;8.8;1009.2875;21.704167;32.6;26.045833;23.1;78;52;13.1;1.975;
2020-01-31;1;1010.1125;21.354167;30.2;26.108333;22.7;75.666667;60;7.2;1.8875;
2020-02-01;0;1013.75;19.875;28.4;25.658333;21.6;70.833333;57;10.8;2.879167;
2020-02-02;0;1015.491667;20.141667;28.5;24.995833;21.6;74.541667;65;7.8;2.091667;
2020-02-03;2;1016.558333;20.15;29;25.283333;22.7;74.041667;52;8.3;2.179167;
2020-02-04;2.8;1017.041667;20.579167;25.5;23.129167;21.8;85.833333;70;8.4;1.629167;
2020-02-05;66.6;1015.7375;21.554167;28.3;24.995833;21.5;81.375;69;8.9;1.85;
2020-02-06;16.8;1015.129167;22.491667;28.9;25.15;23.3;85.583333;68;6.4;1.325;
2020-02-07;47.2;1014.758333;22.208333;30;25.629167;23.2;82.041667;62;9.5;1.366667;
2020-02-08;18.2;1011.908333;22.120833;29.9;26.6625;23.9;76.625;59;10.1;2.283333;
2020-02-09;.2;1010.070833;21.675;29;25.795833;25.1;78.291667;62;13.6;3.004167;
2020-02-10;5.6;1016.454167;16.75;25.1;23.4875;22.2;66.25;58;10.4;3.041667;
2020-02-11;0;1018.295833;16.6625;27.1;23.325;19.3;66.75;51;7.9;2.070833;
2020-02-12;2.6;1017.8875;17.833333;27.4;22.179167;19.5;77.416667;48;9;1.595833;
2020-02-13;1.2;1017.441667;17.354167;27.7;22.666667;17.9;73.291667;54;7.8;1.641667;
2020-02-14;0;1014.733333;18.808333;29.8;24.6625;20;71.166667;47;9.7;1.7875;
2020-02-15;0;1011.925;20.258333;31.6;25.975;21.5;71.75;48;9.6;1.645833;
2020-02-16;0;1011.733333;21.6375;31.6;27.158333;23.4;72.291667;55;8.8;2.245833;
2020-02-17;0;1011.35;21.729167;31.6;27.345833;23.3;72.125;55;10;2.2;
2020-02-18;0;1009;23.033333;32.3;28.025;24.2;74.875;57;11.8;2.220833;
2020-02-19;.6;1008.65;22.495833;30;27.191667;24.8;75.791667;61;10;2.754167;
2020-02-20;1.2;1009.9375;21.9125;31.7;26.208333;23.4;77.875;54;10;2.679167;
2020-02-21;0;1013.5125;16.870833;26.8;23.6125;23;66;57;11.9;3.891667;
2020-02-22;0;1016.941667;12.408333;25.1;21.7125;18.2;55.958333;38;14.5;2.975;
2020-02-23;0;1019.1375;13.970833;26.5;21.429167;15.8;63.166667;47;10.1;1.8375;
2020-02-24;.2;1015.004167;17.4125;29.2;23.725;18.5;69.041667;47;10.8;1.983333;
2020-02-25;.4;1010.491667;20.2;28.6;25.295833;23;73.625;63;8.3;1.954167;
2020-02-26;25.4;1007.3125;18.554167;26;22.654167;20.8;78.75;46;14.8;2.645833;
2020-02-27;3;1014.191667;13.925;26.6;21.858333;16.4;61.458333;43;11.1;2.445833;
2020-02-28;0;1017.454167;15.095833;29.3;23.25;17.6;62.5;29;8.1;1.616667;
2020-02-29;0;1018.966667;17.2625;29.3;23.720833;18.9;68.125;44;7.6;1.804167;
2020-03-01;0;1020.8;17.516667;27.5;23.420833;18.5;70.208333;53;8.8;2.245833;
2020-03-02;2.4;1021.391667;17.85;26;22.541667;19.4;75.458333;55;10;2.529167;
2020-03-03;18.4;1018.233333;18.716667;26.2;21.8;19.5;83.083333;67;8.7;1.704167;
2020-03-04;3.2;1015.104167;17.516667;27.5;22.9125;18.5;72.375;54;9.8;2.025;
2020-03-05;0;1017.341667;17.129167;26.5;23.3125;19.7;68.875;44;9.6;2.641667;
2020-03-06;0;1017.35;16.820833;27;22.166667;17.3;72.291667;53;8.9;2.220833;
2020-03-07;0;1014.920833;17.758333;28.5;23.854167;19.7;69.791667;48;8.8;1.75;
2020-03-08;0;1014.5125;18.425;28.3;24.4875;20.3;69.833333;52;10.4;1.9625;
2020-03-09;0;1016.058333;18.3375;30.8;24.983333;19.5;68.333333;40;10.1;2.170833;
2020-03-10;0;1016.0875;19.345833;31.1;25.316667;20.2;71.666667;42;8;1.729167;
2020-03-11;0;1015.6375;19.633333;30.6;25.670833;21.7;70.583333;49;9.4;1.904167;
2020-03-12;.4;1015.6375;19.845833;30.6;25.641667;21.6;71.625;46;10.6;2.283333;
2020-03-13;0;1015.504167;19.966667;31.1;25.916667;21.6;70.5;50;8.2;2.141667;
2020-03-14;0;1016.208333;19.916667;31.6;26.208333;22;69.833333;43;10.1;2.3;
2020-03-15;0;1013.004167;20.929167;32.1;27.120833;22.6;70.083333;46;8.6;2.220833;
2020-03-16;0;1012.833333;21.466667;30.2;25.454167;22.6;79.166667;56;9.1;2.133333;
2020-03-17;6.2;1014.8875;20.983333;27.2;24.258333;23.1;82.083333;71;8.1;2.35;
2020-03-18;0;1013.183333;21.383333;27.5;24.404167;22.1;83.375;72;8.2;1.6;
2020-03-19;.6;1007.4625;21.229167;32.1;26.545833;22.6;73.458333;48;7.9;1.895833;
2020-03-20;.2;1008.366667;19.120833;27.3;24.7875;22.6;71.583333;51;13.1;2.979167;
2020-03-21;0;1013.2125;16.575;27.8;23.408333;18;66.208333;49;10;2.125;
2020-03-22;5.6;1017.7375;18.6;29.3;24;20.4;72.875;53;6.2;1.570833;
2020-03-23;0;1020.583333;17.645833;29.4;24.766667;20.3;65.791667;43;8.5;1.6;
2020-03-24;0;1019.9625;17.645833;28.3;23.35;19.9;71.208333;50;7.2;1.729167;
2020-03-25;.8;1017.275;16.4;28.5;24.191667;20.3;63.291667;44;8.9;1.9125;
2020-03-26;0;1016.216667;16.325;30.7;24.508333;19.6;62.333333;35;8.6;1.795833;
2020-03-27;1.8;1016.595833;18.1875;28.5;24.8;20.9;67.583333;51;7.5;1.683333;
2020-03-28;0;1016.895833;18.558333;29.8;23.804167;19.3;73.375;53;9.2;1.695833;
2020-03-29;0;1017.0375;19.820833;28;24.45;21.1;75.916667;61;5.8;1.266667;
2020-03-30;0;1015.508333;20.666667;32;26.129167;21.8;73.166667;49;7;1.733333;
2020-03-31;0;1014.079167;20.6875;32.1;26.0875;21.6;73.708333;47;6;1.4125;
2020-04-01;0;1015.2375;20.408333;30.2;25.745833;23.5;72.958333;50;8.2;1.945833;
2020-04-02;.4;1009.620833;21.004167;27.9;25.445833;23.8;76.625;64;11.7;2.6375;
2020-04-03;0;1006.670833;12.470833;29.6;23.633333;18.2;52.708333;28;9.6;2.304167;
2020-04-04;0;1012.341667;12.220833;27.5;22.225;17.7;53.958333;32;11;2.758333;
2020-04-05;0;1015.333333;15.483333;28;21.933333;16.5;68.041667;47;9.4;1.629167;
2020-04-06;0;1013.970833;18.116667;26.9;22.6625;21;76.208333;58;8.4;1.916667;
2020-04-07;9.8;1015.8875;15.8375;22.9;20.575;17.6;75.208333;59;12.9;3.254167;
2020-04-08;0;1017.991667;9.608333;24.7;19.495833;14.3;54.041667;31;11;2.408333;
2020-04-09;0;1016.616667;10.945833;24.8;19.291667;12.1;59.458333;42;9.6;2.091667;
2020-04-10;0;1016.175;12.825;24.4;20.266667;14.9;63.166667;45;9.5;2.104167;
2020-04-11;0;1017.2125;12.841667;24.8;19.275;13.3;67.458333;46;8.1;1.833333;
2020-04-12;0;1018.929167;14.066667;27.1;20.633333;14.7;68;37;6.7;1.458333;
2020-04-13;0;1017.083333;16.175;26.7;21.416667;16.7;73.291667;51;9.8;1.604167;
