Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;906.091667;null;32.2;24.675;20.7;61;34;10.9;1.858333;
2020-01-02;5.2;906.941667;null;25.9;21.366667;19.7;null;65;9.9;1.783333;
2020-01-03;13.2;910.579167;15.177778;23.9;19.133333;16.7;75.333333;58;10.5;2.570833;
2020-01-04;.4;909.0125;null;24.6;18.329167;17.1;null;62;8.1;1.358333;
2020-01-05;11.2;906.8125;null;26.4;19.7125;14.4;65.2;44;6.9;1.025;
2020-01-06;.2;906.658333;15.072222;30;23.1375;18.2;57.222222;34;9.2;1.891667;
2020-01-07;0;908;17.684211;29.6;23.366667;20.3;69.789474;41;13.9;1.525;
2020-01-08;4.8;909.066667;null;29.4;22.958333;20.3;71.857143;50;7.7;1.645833;
2020-01-09;0;910.066667;null;32.2;23.3;19.9;null;41;9.4;1.570833;
2020-01-10;59;909.441667;null;31.1;23.675;20.6;null;46;10.4;1.15;
2020-01-11;27.8;908.816667;null;30.4;23.466667;20.5;null;42;12.3;2.05;
2020-01-12;1.8;911.633333;null;29.8;22.483333;19.5;68.166667;47;9.9;1.429167;
2020-01-13;0;913.541667;14.957895;27.6;21.6625;18.7;64.421053;42;9;1.808333;
2020-01-14;0;913.016667;14.6375;27.4;20.608333;16.4;69.75;50;7.2;1.741667;
2020-01-15;0;910.629167;17.678947;29.6;22.529167;17.3;71.210526;48;8.9;1.279167;
2020-01-16;0;911.8625;18.577778;30.6;23.208333;21.7;71.333333;46;17.3;2.191667;
2020-01-17;36.6;916.3125;null;18.7;16.420833;15.1;82.230769;73;9;2.145833;
2020-01-18;0;916.4875;null;21.4;17.5125;15.2;76.428571;66;9.1;1.829167;
2020-01-19;0;914.154167;null;25.7;19.625;16.3;73.941176;54;8.2;1.491667;
2020-01-20;0;911.570833;null;26.9;21.191667;18;65.294118;41;8;1.908333;
2020-01-21;0;908.804167;14.579167;25.1;20.254167;17;71.333333;48;7.8;2.0375;
2020-01-22;0;908.4625;13.845833;20;17.975;16.9;77.083333;67;8.8;2.1125;
2020-01-23;.2;907.425;null;20.6;17.933333;16.3;null;71;7.7;1.4625;
2020-01-24;2;906.7;null;24;18.620833;15.7;69.285714;56;8.7;1.933333;
2020-01-25;0;907.925;11.405263;28.1;20.675;14.2;54.684211;28;7.3;1.3125;
2020-01-26;0;908.85;14.45;31.6;23.204167;15.9;58.2;27;6.8;1.408333;
2020-01-27;0;909.241667;14.7;31.1;24.6;18;56.625;32;9.6;1.866667;
2020-01-28;0;910.454167;null;28.9;21.666667;18.8;74.25;51;8.5;1.791667;
2020-01-29;20.2;910.604167;null;30.4;22.804167;18.6;null;35;12;1.725;
2020-01-30;8;910.020833;null;28.9;22.770833;20.3;null;55;12;1.733333;
2020-01-31;18;910.158333;null;29.7;24.075;20.7;60.625;45;11.8;2.970833;
2020-02-01;0;911.891667;null;29.8;23.054167;19.5;68.125;44;8.8;1.154167;
2020-02-02;1.4;912.983333;null;21;19.733333;19.3;null;80;6.4;1.116667;
2020-02-03;9.8;913.258333;null;23.3;19.445833;17.7;76.538462;68;8.2;1.875;
2020-02-04;3.2;913.204167;null;23.3;19.295833;17;null;62;8;1.5625;
2020-02-05;.2;912.35;null;24.9;20.620833;17.7;null;63;7.5;1.770833;
2020-02-06;8.4;912.166667;null;28.4;21.6125;18.8;null;46;11.7;1;
2020-02-07;2.8;911.416667;null;24.9;20.704167;18.6;null;61;8.1;1.716667;
2020-02-08;7.2;910.304167;null;28.6;22.654167;18.6;60.857143;44;7.9;1.341667;
2020-02-09;0;909.745833;null;29.6;22.691667;19.5;null;46;10.6;2.3125;
2020-02-10;22.8;913.008333;null;20.1;17.4625;16.9;null;74;9.9;2.183333;
2020-02-11;.4;914.366667;13.16;20.8;16.95;15.1;77.3;65;8;2.145833;
2020-02-12;.2;913.841667;12.680952;23.5;18.170833;14.7;70.238095;49;8.1;2.079167;
2020-02-13;0;913.729167;13.8;25.2;19.075;15;69.157895;47;8.5;1.545833;
2020-02-14;0;912.6125;null;27.1;20.220833;14.5;67.125;41;6.4;1.175;
2020-02-15;0;911.275;15.195;28.9;22.570833;17.4;63;34;7.3;1.104167;
2020-02-16;0;910.954167;null;31;23.704167;19.4;55.5625;30;7.4;.945833;
2020-02-17;0;910.525;15.883333;32.4;24.625;19;57.5;28;7.4;1.170833;
2020-02-18;1.2;910.266667;null;32.5;25.508333;20.6;58.25;39;13.1;1.816667;
2020-02-19;11.2;908.583333;19.115;30;23.933333;20;73.05;51;9.8;1.05;
2020-02-20;6;908.904167;null;31.2;24.545833;21;64.666667;33;8.6;1.404167;
2020-02-21;0;910.691667;null;27.4;21.491667;19.7;79.058824;58;9.6;1.958333;
2020-02-22;8.4;913.295833;null;19.2;16.420833;14.8;80;72;9.1;1.804167;
2020-02-23;.4;914.858333;null;22.4;17.154167;12.6;70.294118;51;8.9;1.970833;
2020-02-24;0;912.433333;14.955556;24.9;18.983333;15;75.722222;57;7.4;1.679167;
2020-02-25;0;909.954167;null;24.1;20.225;17.9;null;72;6.5;.7875;
2020-02-26;15;906.120833;null;22.4;20.104167;19.6;null;70;9.7;1.4375;
2020-02-27;12;911.4875;11.280952;23.4;16.9375;11.6;68.952381;44;9.3;1.5875;
2020-02-28;.2;914.158333;null;25.2;17.133333;11.2;63.1875;36;8.8;1.2625;
2020-02-29;0;915.358333;13.357895;23.2;17.766667;14.2;72.736842;56;8.3;1.570833;
2020-03-01;0;916.295833;null;21.4;17.025;14.6;75.470588;55;9.8;2.045833;
