Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.536;
2020-01-01;0300;-2.745;
2020-01-01;0400;-2.297;
2020-01-01;0500;-3.518;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;22.497;
2020-01-01;0900;304.391;
2020-01-01;1000;693.084;
2020-01-01;1100;1379.381;
2020-01-01;1200;2416.086;
2020-01-01;1300;3598.866;
2020-01-01;1400;3656.755;
2020-01-01;1500;2881.895;
2020-01-01;1600;1912.715;
2020-01-01;1700;2272.368;
2020-01-01;1800;674.526;
2020-01-01;1900;587.756;
2020-01-01;2000;348.802;
2020-01-01;2100;135.937;
2020-01-01;2200;-1.657;
2020-01-01;2300;-3.532;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.181;
2020-01-02;0200;-3.457;
2020-01-02;0300;-3.233;
2020-01-02;0400;-3.328;
2020-01-02;0500;-2.81;
2020-01-02;0600;-2.661;
2020-01-02;0700;-3.059;
2020-01-02;0800;39;
2020-01-02;0900;542.58;
2020-01-02;1000;1410.38;
2020-01-02;1100;1299.162;
2020-01-02;1200;1383.851;
2020-01-02;1300;1312.979;
2020-01-02;1400;1382.704;
2020-01-02;1500;301.077;
2020-01-02;1600;779.732;
2020-01-02;1700;738.51;
2020-01-02;1800;1745.112;
2020-01-02;1900;477.172;
2020-01-02;2000;168.252;
2020-01-02;2100;12.605;
2020-01-02;2200;-1.95;
2020-01-02;2300;-3.153;
2020-01-03;0000;-3.186;
2020-01-03;0100;-2.832;
2020-01-03;0200;-.484;
2020-01-03;0300;-1.194;
2020-01-03;0400;-2.332;
2020-01-03;0500;-2.82;
2020-01-03;0600;-2.579;
2020-01-03;0700;-2.824;
2020-01-03;0800;20.856;
