Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;1.8;1000.6125;22.2375;36.1;27.304167;23.1;76.5;38;7.2;1.2125;
2020-01-02;87;1005.833333;21.108333;26.6;23.291667;21.8;88.041667;67;10.6;1.975;
2020-01-03;13;1011.1875;19.691667;27;22.4625;20.2;85.083333;64;10.7;1.604167;
2020-01-04;13.6;1009.645833;19.9125;25.3;21.5;20.2;90.916667;73;5.3;.808333;
2020-01-05;23.2;1004.947368;19.473684;29.2;null;19.3;81.263158;54;6.2;1.231579;
2020-01-06;null;null;null;null;null;null;null;null;null;null;
2020-01-07;null;null;null;null;null;null;null;null;null;null;
2020-01-08;null;null;null;null;null;null;null;null;null;null;
2020-01-09;null;null;null;null;null;null;null;null;null;null;
2020-01-10;null;null;null;null;null;null;null;null;null;null;
2020-01-11;null;null;null;null;null;null;null;null;null;null;
2020-01-12;null;null;null;null;null;null;null;null;null;null;
2020-01-13;null;null;null;null;null;null;null;null;null;null;
2020-01-14;null;null;null;null;null;null;null;null;null;null;
2020-01-15;null;null;null;null;null;null;null;30;null;null;
2020-01-16;null;1009.066667;20.525;27.4;23.083333;22.9;86.208333;59;10.3;null;
2020-01-17;3;1017.0375;14.158333;26.5;20.266667;15.1;71.083333;40;7;.995833;
2020-01-18;0;1015.391667;16.358333;29;22.170833;15.8;71.333333;45;7;1.2875;
2020-01-19;0;1011.6125;18.2875;32.4;24.1375;17.3;72.833333;38;6;1.079167;
2020-01-20;0;1008.195833;19.541667;33;25.3375;19.1;73.25;39;5.5;1.070833;
2020-01-21;0;1005.5875;19.841667;31.6;25.475;21.3;72.541667;45;6.2;1.3375;
