Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.531;
2020-01-01;0100;-3.213;
2020-01-01;0200;-2.908;
2020-01-01;0300;-3.509;
2020-01-01;0400;-3.27;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.161;
2020-01-01;0700;-2.707;
2020-01-01;0800;-3.373;
2020-01-01;0900;44.785;
2020-01-01;1000;208.265;
2020-01-01;1100;756.775;
2020-01-01;1200;1963.54;
2020-01-01;1300;3092.671;
2020-01-01;1400;2799.521;
2020-01-01;1500;3577.546;
2020-01-01;1600;4008.226;
2020-01-01;1700;3178.89;
2020-01-01;1800;821.845;
2020-01-01;1900;829.409;
2020-01-01;2000;475.538;
2020-01-01;2100;635.682;
2020-01-01;2200;49.722;
2020-01-01;2300;-.982;
2020-01-02;0000;-2.557;
2020-01-02;0100;-.971;
2020-01-02;0200;-.547;
2020-01-02;0300;-.852;
2020-01-02;0400;-.792;
2020-01-02;0500;-1.111;
2020-01-02;0600;-1.222;
2020-01-02;0700;-1.381;
2020-01-02;0800;-.813;
2020-01-02;0900;32.844;
2020-01-02;1000;189.367;
2020-01-02;1100;460.866;
2020-01-02;1200;1054.971;
2020-01-02;1300;1455.402;
2020-01-02;1400;1782.614;
2020-01-02;1500;1525.331;
2020-01-02;1600;1890.781;
2020-01-02;1700;2428.18;
2020-01-02;1800;2200.055;
2020-01-02;1900;1847.014;
2020-01-02;2000;1080.71;
2020-01-02;2100;529.455;
2020-01-02;2200;135.266;
2020-01-02;2300;3.629;
2020-01-03;0000;-1.868;
2020-01-03;0100;-2.84;
2020-01-03;0200;-3.336;
2020-01-03;0300;-2.454;
2020-01-03;0400;-2.622;
2020-01-03;0500;-2.18;
2020-01-03;0600;-2.607;
2020-01-03;0700;-3.017;
2020-01-03;0800;-2.486;
2020-01-03;0900;20.153;
2020-01-03;1000;580.759;
2020-01-03;1100;947.659;
2020-01-03;1200;1630.7;
2020-01-03;1300;1582.057;
2020-01-03;1400;3277.485;
2020-01-03;1500;2739.277;
2020-01-03;1600;3926.191;
2020-01-03;1700;3456.425;
2020-01-03;1800;2973.078;
2020-01-03;1900;1409.22;
2020-01-03;2000;1171.819;
2020-01-03;2100;435.531;
2020-01-03;2200;158.938;
2020-01-03;2300;1.905;
2020-01-04;0000;-2.05;
2020-01-04;0100;-1.971;
2020-01-04;0200;-2.665;
2020-01-04;0300;-2.282;
2020-01-04;0400;-2.6;
2020-01-04;0500;-2.696;
2020-01-04;0600;-1.588;
2020-01-04;0700;-2.317;
2020-01-04;0800;-3.227;
2020-01-04;0900;9.963;
2020-01-04;1000;153.835;
2020-01-04;1100;228.646;
2020-01-04;1200;399.245;
2020-01-04;1300;669.022;
2020-01-04;1400;793.726;
2020-01-04;1500;1026.72;
2020-01-04;1600;2634.156;
2020-01-04;1700;642.027;
2020-01-04;1800;637.359;
2020-01-04;1900;1060.909;
2020-01-04;2000;870.061;
2020-01-04;2100;434.623;
2020-01-04;2200;191.933;
2020-01-04;2300;-1.911;
2020-01-05;0000;-3.303;
2020-01-05;0100;-2.839;
2020-01-05;0200;-2.84;
2020-01-05;0300;-2.351;
2020-01-05;0400;-2.491;
2020-01-05;0500;-1.867;
2020-01-05;0600;-2.571;
2020-01-05;0700;-2.378;
2020-01-05;0800;-3.54;
2020-01-05;0900;27.444;
2020-01-05;1000;347.607;
2020-01-05;1100;1343.376;
2020-01-05;1200;1327.457;
2020-01-05;1300;2929.457;
2020-01-05;1400;2859.945;
2020-01-05;1500;1603.054;
2020-01-05;1600;2083.743;
2020-01-05;1700;1927.926;
2020-01-05;1800;2657.243;
2020-01-05;1900;1330.022;
2020-01-05;2000;null;
2020-01-05;2100;null;
2020-01-05;2200;null;
2020-01-05;2300;null;
2020-01-06;0000;null;
2020-01-06;0100;null;
2020-01-06;0200;null;
2020-01-06;0300;null;
2020-01-06;0400;null;
2020-01-06;0500;null;
2020-01-06;0600;null;
2020-01-06;0700;null;
2020-01-06;0800;null;
2020-01-06;0900;null;
2020-01-06;1000;null;
2020-01-06;1100;null;
2020-01-06;1200;null;
2020-01-06;1300;null;
2020-01-06;1400;null;
2020-01-06;1500;null;
2020-01-06;1600;null;
2020-01-06;1700;null;
2020-01-06;1800;null;
2020-01-06;1900;null;
2020-01-06;2000;null;
2020-01-06;2100;null;
2020-01-06;2200;null;
2020-01-06;2300;null;
2020-01-07;0000;null;
2020-01-07;0100;null;
2020-01-07;0200;null;
2020-01-07;0300;null;
2020-01-07;0400;null;
2020-01-07;0500;null;
2020-01-07;0600;null;
2020-01-07;0700;null;
2020-01-07;0800;null;
2020-01-07;0900;null;
2020-01-07;1000;null;
2020-01-07;1100;null;
2020-01-07;1200;null;
2020-01-07;1300;null;
2020-01-07;1400;null;
2020-01-07;1500;null;
2020-01-07;1600;null;
2020-01-07;1700;null;
2020-01-07;1800;null;
2020-01-07;1900;null;
2020-01-07;2000;null;
2020-01-07;2100;null;
2020-01-07;2200;null;
2020-01-07;2300;null;
2020-01-08;0000;null;
2020-01-08;0100;null;
2020-01-08;0200;null;
2020-01-08;0300;null;
2020-01-08;0400;null;
2020-01-08;0500;null;
2020-01-08;0600;null;
2020-01-08;0700;null;
2020-01-08;0800;null;
2020-01-08;0900;null;
2020-01-08;1000;null;
2020-01-08;1100;null;
2020-01-08;1200;null;
2020-01-08;1300;null;
2020-01-08;1400;null;
2020-01-08;1500;null;
2020-01-08;1600;null;
2020-01-08;1700;null;
2020-01-08;1800;null;
2020-01-08;1900;null;
2020-01-08;2000;null;
2020-01-08;2100;null;
2020-01-08;2200;null;
2020-01-08;2300;null;
2020-01-09;0000;null;
2020-01-09;0100;null;
2020-01-09;0200;null;
2020-01-09;0300;null;
2020-01-09;0400;null;
2020-01-09;0500;null;
2020-01-09;0600;null;
2020-01-09;0700;null;
2020-01-09;0800;null;
2020-01-09;0900;null;
2020-01-09;1000;null;
2020-01-09;1100;null;
2020-01-09;1200;null;
2020-01-09;1300;null;
2020-01-09;1400;null;
2020-01-09;1500;null;
2020-01-09;1600;null;
2020-01-09;1700;null;
2020-01-09;1800;null;
2020-01-09;1900;null;
2020-01-09;2000;null;
2020-01-09;2100;null;
2020-01-09;2200;null;
2020-01-09;2300;null;
2020-01-10;0000;null;
2020-01-10;0100;null;
2020-01-10;0200;null;
2020-01-10;0300;null;
2020-01-10;0400;null;
2020-01-10;0500;null;
2020-01-10;0600;null;
2020-01-10;0700;null;
2020-01-10;0800;null;
2020-01-10;0900;null;
2020-01-10;1000;null;
2020-01-10;1100;null;
2020-01-10;1200;null;
2020-01-10;1300;null;
2020-01-10;1400;null;
2020-01-10;1500;null;
2020-01-10;1600;null;
2020-01-10;1700;null;
2020-01-10;1800;null;
2020-01-10;1900;null;
2020-01-10;2000;null;
2020-01-10;2100;null;
2020-01-10;2200;null;
2020-01-10;2300;null;
2020-01-11;0000;null;
2020-01-11;0100;null;
2020-01-11;0200;null;
2020-01-11;0300;null;
2020-01-11;0400;null;
2020-01-11;0500;null;
2020-01-11;0600;null;
2020-01-11;0700;null;
2020-01-11;0800;null;
2020-01-11;0900;null;
2020-01-11;1000;null;
2020-01-11;1100;null;
2020-01-11;1200;null;
2020-01-11;1300;null;
2020-01-11;1400;null;
2020-01-11;1500;null;
2020-01-11;1600;null;
2020-01-11;1700;null;
2020-01-11;1800;null;
2020-01-11;1900;null;
2020-01-11;2000;null;
2020-01-11;2100;null;
2020-01-11;2200;null;
2020-01-11;2300;null;
2020-01-12;0000;null;
2020-01-12;0100;null;
2020-01-12;0200;null;
2020-01-12;0300;null;
2020-01-12;0400;null;
2020-01-12;0500;null;
2020-01-12;0600;null;
2020-01-12;0700;null;
2020-01-12;0800;null;
2020-01-12;0900;null;
2020-01-12;1000;null;
2020-01-12;1100;null;
2020-01-12;1200;null;
2020-01-12;1300;null;
2020-01-12;1400;null;
2020-01-12;1500;null;
2020-01-12;1600;null;
2020-01-12;1700;null;
2020-01-12;1800;null;
2020-01-12;1900;null;
2020-01-12;2000;null;
2020-01-12;2100;null;
2020-01-12;2200;null;
