Nome: CASTRO
Codigo Estacao: A819
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 993.6
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2022-04-28
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;899.404167;18.241667;30.6;23;18.5;76;45;10.4;1.904167;
2020-01-02;0;899.431818;18.654545;31.6;22.677273;18.8;79.818182;45;9.6;1.95;
2020-01-03;.6;902.7625;15.7125;21.9;18.683333;17;83.166667;70;9.4;2.666667;
2020-01-04;0;901.35;15.404167;28.1;19.333333;15.8;79.458333;49;13.1;1.5875;
2020-01-05;0;899.470833;16.058333;25.5;19.308333;15.2;82.208333;58;7.7;1.2625;
2020-01-06;1;899.708333;16.408333;30.1;21.908333;15.9;74.458333;38;8.1;1.854167;
2020-01-07;0;901.091667;18.141667;26.2;20.5625;16.2;86.625;64;7.8;1.333333;
2020-01-08;3.2;901.666667;19.1375;29.2;22.816667;18.8;81.208333;54;7.8;1.4875;
2020-01-09;.4;902.925;19.908333;29.7;23.329167;20.6;82.208333;55;13.6;1.85;
2020-01-10;1.6;902.579167;20.125;31.4;23.4375;20;83.083333;50;6.7;1.275;
2020-01-11;2.6;902.166667;19.641667;28.4;21.766667;19;88.625;55;16;1.65;
2020-01-12;19.2;904.0125;20.170833;28.5;21.766667;19.3;90.916667;66;9.3;.916667;
2020-01-13;43;905.808333;17.9125;26.3;21.55;18;80.791667;61;7.1;1.733333;
2020-01-14;0;905.3875;17.054167;28.1;21.145833;16.4;78.75;51;6.7;1.7375;
2020-01-15;2.4;903.55;18.141667;30.3;21.754167;17.1;81.375;49;10.7;1.7;
2020-01-16;4;904.9125;19.491667;30.2;22.045833;18.3;87;53;12.5;1.9;
2020-01-17;12.2;908.133333;15.954167;20;17.904167;15.9;88.625;78;9.8;2.291667;
2020-01-18;0;908.6875;15.091667;21.1;17.608333;15;85.5;73;7.6;2.291667;
2020-01-19;.2;906.479167;16.095833;26;19.454167;15.5;82.333333;55;6.1;1.9375;
2020-01-20;.2;903.979167;15.770833;26.9;20.991667;17.4;74.041667;46;6.5;1.954167;
2020-01-21;0;901.045833;15.141667;27.6;20.458333;15.7;73.541667;45;7.2;1.854167;
2020-01-22;0;900.5375;14.841667;20.9;17.745833;15.9;83.5;67;8.4;2.570833;
2020-01-23;2.6;899.683333;15.820833;23.6;17.9125;15.6;88;62;11.5;1.8875;
2020-01-24;3;899.145833;14.995833;25.1;18.645833;15.5;80.416667;56;7.8;1.708333;
2020-01-25;0;900.9375;13.175;28.3;19.270833;12;72.208333;34;7;.991667;
2020-01-26;0;901.975;13.583333;31.5;21.720833;13.5;65.541667;29;5.8;.979167;
2020-01-27;0;902.404167;14.5875;30.9;22.5;14.3;65.375;31;8.1;1.554167;
2020-01-28;0;902.620833;16.016667;32;22.404167;16;70.833333;29;8.2;1.216667;
2020-01-29;0;903.345833;17.779167;30.4;23.0625;18.5;74.25;44;9.4;1.595833;
2020-01-30;0;903.175;19.395833;26;21.595833;19;87.625;68;11.5;1.691667;
2020-01-31;6;903.508333;18.55;28.6;22.933333;19.6;77.916667;53;11.4;3.204167;
2020-02-01;.2;904.4875;17.983333;28.8;22.9375;17.6;75.583333;51;4.7;1.116667;
2020-02-02;22.4;905.479167;18.104167;22.7;19.270833;17.3;93.083333;83;7;1.329167;
2020-02-03;12.4;905.425;17.0125;22.4;19.025;17.6;88.333333;74;8.7;2.191667;
2020-02-04;3.6;905.4;16.816667;24.2;19.2125;16.7;86.291667;70;8.8;2.254167;
2020-02-05;.8;904.641667;17.975;28.5;21.216667;18.2;82.708333;54;7.7;1.879167;
2020-02-06;.2;904.795833;17.895833;28.2;21.304167;18.6;81.916667;57;8.6;1.320833;
2020-02-07;1.2;903.5625;18.191667;27.6;21.008333;18.2;84.791667;59;8;1.775;
2020-02-08;12.2;902.941667;18.2375;27.4;21.866667;18.6;81.125;57;6.8;1.479167;
2020-02-09;3.8;902.5375;17.954167;29.4;22.216667;15.9;78.875;50;8.7;1.495833;
2020-02-10;.2;904.975;16.408333;21.9;18.6625;17;87.208333;69;7.4;2.3625;
2020-02-11;.4;906.433333;14.766667;22.5;17.383333;14.6;85.166667;66;7.2;2.2875;
2020-02-12;.2;905.991667;13.870833;25;18.3;14;77.041667;49;7.8;2.170833;
2020-02-13;0;906.025;13.591667;26.5;18.616667;13.4;74.916667;43;7.6;1.591667;
2020-02-14;0;905.191667;14.8625;28;20.545833;15.6;72.833333;39;6.6;1.554167;
2020-02-15;0;904.233333;16.175;28.1;21.395833;17;74.541667;43;5.4;1.166667;
2020-02-16;0;903.695833;16.716667;30.8;22.545833;16.8;73.125;39;5.9;.7;
2020-02-17;0;903.329167;18.4875;31.1;23.408333;18.7;76.083333;39;6.8;.925;
2020-02-18;6.4;903.325;18.908333;31.8;24.3625;17.8;73.958333;40;8.5;1.541667;
2020-02-19;0;901.525;19.466667;32.4;23.204167;20;80.833333;43;9.8;1.358333;
2020-02-20;3.4;901.620833;18.620833;32.3;24.279167;19.4;74.541667;34;8.8;1.329167;
2020-02-21;0;903.020833;18.641667;30.2;22.391667;18.7;80.666667;51;6.8;1.295833;
2020-02-22;11.6;905.2625;15.933333;21.1;17.733333;16.9;89.333333;81;7;2.216667;
