Nome: MAL. CANDIDO RONDON
Codigo Estacao: A820
Latitude: -24.53333333
Longitude: -54.01916666
Altitude: 392.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.537;
2020-01-01;0200;-3.538;
2020-01-01;0300;-3.418;
2020-01-01;0400;-2.634;
2020-01-01;0500;-2.375;
2020-01-01;0600;-3.26;
2020-01-01;0700;-2.805;
2020-01-01;0800;-3.413;
2020-01-01;0900;-1.063;
2020-01-01;1000;235.907;
2020-01-01;1100;520.62;
2020-01-01;1200;1812.482;
2020-01-01;1300;2577.937;
2020-01-01;1400;2487.559;
2020-01-01;1500;2394.963;
2020-01-01;1600;2636.958;
2020-01-01;1700;2275.218;
2020-01-01;1800;2557.117;
2020-01-01;1900;2214.327;
2020-01-01;2000;1199.878;
2020-01-01;2100;654.424;
2020-01-01;2200;439.762;
2020-01-01;2300;69.317;
2020-01-02;0000;-2.729;
2020-01-02;0100;-2.529;
2020-01-02;0200;-2.558;
2020-01-02;0300;-2.499;
2020-01-02;0400;-2.852;
2020-01-02;0500;-2.466;
2020-01-02;0600;-1.214;
2020-01-02;0700;-.211;
2020-01-02;0800;-.659;
2020-01-02;0900;.235;
2020-01-02;1000;56.315;
2020-01-02;1100;227.14;
2020-01-02;1200;840.416;
2020-01-02;1300;1353.449;
2020-01-02;1400;1660.299;
2020-01-02;1500;1248.837;
2020-01-02;1600;2341.883;
2020-01-02;1700;1226.58;
2020-01-02;1800;962.894;
2020-01-02;1900;1551.496;
2020-01-02;2000;1318.72;
2020-01-02;2100;764.003;
2020-01-02;2200;543.758;
2020-01-02;2300;44.828;
2020-01-03;0000;-2.237;
2020-01-03;0100;-2.327;
2020-01-03;0200;-2.366;
2020-01-03;0300;-2.202;
2020-01-03;0400;-3.017;
2020-01-03;0500;-3.522;
2020-01-03;0600;-3.538;
2020-01-03;0700;-3.088;
2020-01-03;0800;-3.017;
2020-01-03;0900;-1.686;
2020-01-03;1000;67.892;
2020-01-03;1100;529.916;
2020-01-03;1200;1854.965;
2020-01-03;1300;2522.181;
2020-01-03;1400;1826.849;
2020-01-03;1500;1518.306;
2020-01-03;1600;884.15;
2020-01-03;1700;1528.308;
2020-01-03;1800;2008.549;
2020-01-03;1900;1308.434;
2020-01-03;2000;2201.338;
2020-01-03;2100;944.466;
2020-01-03;2200;191.083;
2020-01-03;2300;30.779;
2020-01-04;0000;-3.51;
2020-01-04;0100;-3.149;
2020-01-04;0200;-3.538;
2020-01-04;0300;-3.156;
2020-01-04;0400;-3.285;
2020-01-04;0500;-3.489;
2020-01-04;0600;-3.535;
2020-01-04;0700;-3.509;
2020-01-04;0800;-3.381;
2020-01-04;0900;-1.387;
2020-01-04;1000;204.547;
2020-01-04;1100;536.737;
2020-01-04;1200;826.279;
2020-01-04;1300;2055.943;
2020-01-04;1400;2829.613;
2020-01-04;1500;3587.004;
2020-01-04;1600;3358.606;
2020-01-04;1700;3223.806;
2020-01-04;1800;2353.828;
2020-01-04;1900;2908.645;
2020-01-04;2000;1068.502;
2020-01-04;2100;881.531;
2020-01-04;2200;629.249;
2020-01-04;2300;52.402;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.523;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.538;
2020-01-05;0500;-1.834;
2020-01-05;0600;-3.54;
2020-01-05;0700;-3.54;
2020-01-05;0800;-3.24;
2020-01-05;0900;-2.385;
2020-01-05;1000;240.677;
2020-01-05;1100;1011.097;
2020-01-05;1200;1883.475;
2020-01-05;1300;2650.657;
2020-01-05;1400;3258.995;
2020-01-05;1500;3680.198;
2020-01-05;1600;3757.735;
2020-01-05;1700;3244.652;
2020-01-05;1800;3029.925;
2020-01-05;1900;3131.343;
2020-01-05;2000;2264.621;
2020-01-05;2100;1527.355;
2020-01-05;2200;582.772;
2020-01-05;2300;59.174;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.537;
2020-01-06;0800;-3.538;
2020-01-06;0900;-1.659;
2020-01-06;1000;196.622;
2020-01-06;1100;738.454;
2020-01-06;1200;1861.153;
2020-01-06;1300;2647.763;
2020-01-06;1400;3255.393;
2020-01-06;1500;3665.627;
2020-01-06;1600;3823.085;
2020-01-06;1700;3740.34;
2020-01-06;1800;3412.509;
2020-01-06;1900;2739.57;
2020-01-06;2000;1028.933;
2020-01-06;2100;918.17;
2020-01-06;2200;277.367;
2020-01-06;2300;9.947;
