Nome: JOAQUIM TAVORA
Codigo Estacao: A821
Latitude: -23.505266
Longitude: -49.946387
Altitude: 512.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.524;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.538;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.536;
2020-01-01;0900;39.803;
2020-01-01;1000;699.325;
2020-01-01;1100;1026.903;
2020-01-01;1200;1830.343;
2020-01-01;1300;2810.815;
2020-01-01;1400;3225.321;
2020-01-01;1500;3549.581;
2020-01-01;1600;3342.729;
2020-01-01;1700;704.638;
2020-01-01;1800;125.767;
2020-01-01;1900;361.465;
2020-01-01;2000;632.738;
2020-01-01;2100;541.234;
2020-01-01;2200;100.567;
2020-01-01;2300;-3.175;
2020-01-02;0000;-3.144;
2020-01-02;0100;-2.187;
2020-01-02;0200;-3.517;
2020-01-02;0300;-3.349;
2020-01-02;0400;-3.111;
2020-01-02;0500;-2.578;
2020-01-02;0600;-1.764;
2020-01-02;0700;-2.209;
2020-01-02;0800;-2.914;
2020-01-02;0900;19.152;
2020-01-02;1000;254.073;
2020-01-02;1100;654.229;
2020-01-02;1200;1355.162;
2020-01-02;1300;2606.122;
2020-01-02;1400;2997.44;
2020-01-02;1500;2670.128;
2020-01-02;1600;3594.414;
2020-01-02;1700;2527.251;
2020-01-02;1800;1164.333;
2020-01-02;1900;653.128;
2020-01-02;2000;1613.997;
2020-01-02;2100;293.495;
2020-01-02;2200;106.316;
2020-01-02;2300;6.354;
2020-01-03;0000;-.663;
2020-01-03;0100;2.808;
2020-01-03;0200;-1.927;
2020-01-03;0300;-3.511;
2020-01-03;0400;-3.461;
2020-01-03;0500;-3.387;
2020-01-03;0600;-2.789;
2020-01-03;0700;-2.724;
2020-01-03;0800;-2.758;
