Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;4.2;981.320833;20.483333;25.8;22.808333;21;87.208333;63;14.1;3.925;
2020-01-02;1.4;987.8375;15.666667;28;21.254167;16.3;73.208333;40;13.8;6.095833;
2020-01-03;.4;991.520833;15.791667;27.1;21.133333;16.2;73.875;46;15.6;5.691667;
2020-01-04;0;987.370833;16.108333;29.8;22.525;16.3;69.708333;42;10.2;3.9;
2020-01-05;0;980.616667;14.991667;32.2;24.7;17.5;59.791667;29;10.2;3.3;
2020-01-06;0;977.583333;17.2;32.7;25.108333;21.1;62.666667;40;13.7;5.245833;
2020-01-07;.4;982.7375;11.808333;28.3;21.758333;13.4;57.416667;27;8.7;2.270833;
2020-01-08;0;984.045833;12.545833;32.2;24.2375;17;52.125;26;8.9;4.133333;
2020-01-09;0;982.345833;18.179167;36;26.208333;19.5;63.833333;33;12.3;4.645833;
2020-01-10;0;982.829167;20.504167;32.6;24.45;20.6;79.958333;54;13.8;2.241667;
2020-01-11;33;984.9625;19.191667;31.2;24.533333;19.1;75.5;38;8.8;2.358333;
2020-01-12;0;988.245833;17.2;32.7;26.041667;20.2;63.125;28;10.3;3.466667;
2020-01-13;0;989.716667;16.516667;30.9;23.683333;17.4;67.708333;33;10.1;3.933333;
2020-01-14;0;985.304167;17.758333;34;25.2625;17.9;65.208333;45;11.4;4.0875;
2020-01-15;0;980.15;21.608333;32.2;25.304167;23;81.166667;58;17.7;5.225;
