Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.53;
2020-01-01;0200;-3.332;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.153;
2020-01-01;0600;-3.32;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.371;
2020-01-01;0900;.767;
2020-01-01;1000;263.534;
2020-01-01;1100;999.045;
2020-01-01;1200;1815.777;
2020-01-01;1300;2653.794;
2020-01-01;1400;2927.511;
2020-01-01;1500;2624.647;
2020-01-01;1600;2403.019;
2020-01-01;1700;1928.346;
2020-01-01;1800;1608.929;
2020-01-01;1900;1664.341;
2020-01-01;2000;1919.464;
2020-01-01;2100;1410.662;
2020-01-01;2200;543.46;
2020-01-01;2300;90.438;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.362;
2020-01-02;0500;-3.172;
2020-01-02;0600;-3.54;
2020-01-02;0700;-3.54;
2020-01-02;0800;-3.54;
2020-01-02;0900;.531;
2020-01-02;1000;324.708;
2020-01-02;1100;680.597;
2020-01-02;1200;851.74;
2020-01-02;1300;1368.299;
2020-01-02;1400;2013.006;
2020-01-02;1500;3174.526;
2020-01-02;1600;2383.859;
2020-01-02;1700;3223.093;
2020-01-02;1800;2943.238;
2020-01-02;1900;2738.46;
2020-01-02;2000;2274.801;
2020-01-02;2100;1528.624;
2020-01-02;2200;783.073;
2020-01-02;2300;119.889;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.54;
2020-01-03;0500;-3.54;
2020-01-03;0600;-3.54;
2020-01-03;0700;-3.54;
2020-01-03;0800;-3.54;
2020-01-03;0900;.344;
2020-01-03;1000;258.994;
2020-01-03;1100;995.138;
2020-01-03;1200;1843.513;
2020-01-03;1300;2426.938;
2020-01-03;1400;3203.211;
2020-01-03;1500;3519.463;
2020-01-03;1600;3608.102;
2020-01-03;1700;3552.195;
2020-01-03;1800;3265.28;
2020-01-03;1900;2652.022;
2020-01-03;2000;1727.055;
2020-01-03;2100;1589.736;
2020-01-03;2200;796.498;
2020-01-03;2300;122.579;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.54;
2020-01-04;0300;-3.54;
2020-01-04;0400;-3.54;
2020-01-04;0500;-3.54;
2020-01-04;0600;-3.54;
2020-01-04;0700;-3.54;
2020-01-04;0800;-3.54;
2020-01-04;0900;-.112;
2020-01-04;1000;244.522;
2020-01-04;1100;977.516;
2020-01-04;1200;1826.664;
2020-01-04;1300;2576.734;
2020-01-04;1400;3175.722;
2020-01-04;1500;3577.971;
2020-01-04;1600;3313.996;
2020-01-04;1700;2150.943;
2020-01-04;1800;2863.914;
2020-01-04;1900;2911.183;
2020-01-04;2000;2443.068;
2020-01-04;2100;1623.27;
2020-01-04;2200;784.454;
2020-01-04;2300;120.665;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.54;
2020-01-05;0500;-3.54;
2020-01-05;0600;-3.54;
2020-01-05;0700;-3.54;
2020-01-05;0800;-3.54;
2020-01-05;0900;-.523;
2020-01-05;1000;235.058;
2020-01-05;1100;950.824;
2020-01-05;1200;1775.866;
2020-01-05;1300;2533.515;
2020-01-05;1400;3135.689;
2020-01-05;1500;3523.478;
2020-01-05;1600;3561.417;
2020-01-05;1700;3356.153;
2020-01-05;1800;3763.585;
2020-01-05;1900;3200.338;
2020-01-05;2000;2473.214;
2020-01-05;2100;1633.799;
2020-01-05;2200;791.272;
2020-01-05;2300;119.474;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.54;
2020-01-06;0900;-.178;
2020-01-06;1000;143.034;
2020-01-06;1100;712.452;
2020-01-06;1200;1757.066;
2020-01-06;1300;2515.401;
2020-01-06;1400;3120.421;
2020-01-06;1500;3615.582;
2020-01-06;1600;2246.633;
2020-01-06;1700;2510.504;
2020-01-06;1800;1234.482;
2020-01-06;1900;1281.614;
2020-01-06;2000;1078.805;
2020-01-06;2100;572.15;
2020-01-06;2200;157.431;
2020-01-06;2300;42.105;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.54;
2020-01-07;0200;-3.54;
2020-01-07;0300;-3.54;
2020-01-07;0400;-3.54;
2020-01-07;0500;-3.54;
2020-01-07;0600;-3.54;
2020-01-07;0700;-3.54;
2020-01-07;0800;-3.54;
2020-01-07;0900;-.176;
2020-01-07;1000;192.158;
2020-01-07;1100;915.548;
2020-01-07;1200;1759.641;
2020-01-07;1300;2545.192;
2020-01-07;1400;3208.678;
2020-01-07;1500;3597.621;
2020-01-07;1600;3840.878;
2020-01-07;1700;3823.633;
2020-01-07;1800;3549.102;
2020-01-07;1900;3079.871;
2020-01-07;2000;2353.913;
2020-01-07;2100;1558.552;
2020-01-07;2200;723.834;
2020-01-07;2300;98.064;
2020-01-08;0000;-3.54;
2020-01-08;0100;-3.54;
2020-01-08;0200;-3.54;
2020-01-08;0300;-3.54;
2020-01-08;0400;-3.54;
2020-01-08;0500;-3.54;
2020-01-08;0600;-3.54;
2020-01-08;0700;-3.54;
2020-01-08;0800;-3.54;
2020-01-08;0900;-.9;
2020-01-08;1000;187.359;
2020-01-08;1100;828.758;
2020-01-08;1200;1708.33;
2020-01-08;1300;2418.351;
2020-01-08;1400;3135.066;
2020-01-08;1500;3565.849;
2020-01-08;1600;3765.593;
2020-01-08;1700;3746.259;
2020-01-08;1800;3559.842;
2020-01-08;1900;3068.409;
2020-01-08;2000;2382.687;
2020-01-08;2100;1570.891;
2020-01-08;2200;738.571;
2020-01-08;2300;110.122;
2020-01-09;0000;-3.54;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.54;
2020-01-09;0300;-3.54;
2020-01-09;0400;-3.538;
2020-01-09;0500;-3.54;
2020-01-09;0600;-3.54;
2020-01-09;0700;-3.51;
2020-01-09;0800;-3.54;
2020-01-09;0900;-1.491;
2020-01-09;1000;222.45;
2020-01-09;1100;679.813;
2020-01-09;1200;1444.092;
2020-01-09;1300;1594.114;
2020-01-09;1400;1645.389;
2020-01-09;1500;2249.97;
2020-01-09;1600;2794.409;
2020-01-09;1700;2354.644;
2020-01-09;1800;2922.157;
2020-01-09;1900;2098.812;
2020-01-09;2000;2526.72;
2020-01-09;2100;1628.051;
2020-01-09;2200;664.375;
2020-01-09;2300;71.392;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.54;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.54;
2020-01-10;0400;-3.54;
2020-01-10;0500;-3.388;
2020-01-10;0600;-3.061;
2020-01-10;0700;-3.54;
2020-01-10;0800;-3.54;
2020-01-10;0900;-1.544;
2020-01-10;1000;124.804;
2020-01-10;1100;664.255;
2020-01-10;1200;1624.472;
2020-01-10;1300;2029.471;
2020-01-10;1400;2025.241;
2020-01-10;1500;2483.844;
2020-01-10;1600;2898.865;
2020-01-10;1700;2630.109;
2020-01-10;1800;529.719;
2020-01-10;1900;101.157;
2020-01-10;2000;15.829;
2020-01-10;2100;25.287;
2020-01-10;2200;10.46;
2020-01-10;2300;8.149;
2020-01-11;0000;-2.579;
2020-01-11;0100;-2.919;
2020-01-11;0200;-3.292;
2020-01-11;0300;-3.437;
2020-01-11;0400;-2.115;
2020-01-11;0500;-1.781;
2020-01-11;0600;-1.032;
2020-01-11;0700;-.254;
2020-01-11;0800;-1.467;
2020-01-11;0900;-.128;
2020-01-11;1000;114.889;
2020-01-11;1100;538.912;
2020-01-11;1200;1173.901;
2020-01-11;1300;1927.774;
2020-01-11;1400;1792.593;
2020-01-11;1500;2203.157;
2020-01-11;1600;2618.148;
2020-01-11;1700;2079.198;
2020-01-11;1800;2255.023;
2020-01-11;1900;2565.585;
2020-01-11;2000;1987.481;
2020-01-11;2100;1478.25;
2020-01-11;2200;653.655;
2020-01-11;2300;142.491;
2020-01-12;0000;-3.532;
2020-01-12;0100;-3.54;
2020-01-12;0200;-3.54;
2020-01-12;0300;-3.54;
2020-01-12;0400;-3.54;
2020-01-12;0500;-3.54;
2020-01-12;0600;-3.54;
2020-01-12;0700;-3.54;
2020-01-12;0800;-3.54;
2020-01-12;0900;-2.344;
2020-01-12;1000;181.868;
2020-01-12;1100;873.558;
2020-01-12;1200;1700.587;
2020-01-12;1300;2496.604;
2020-01-12;1400;3115.815;
2020-01-12;1500;3350.361;
2020-01-12;1600;3508.308;
2020-01-12;1700;3376.847;
2020-01-12;1800;2765.653;
2020-01-12;1900;2540.992;
2020-01-12;2000;1237.823;
2020-01-12;2100;703.439;
2020-01-12;2200;384.714;
2020-01-12;2300;48.534;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.54;
2020-01-13;0300;-3.54;
2020-01-13;0400;-3.54;
2020-01-13;0500;-3.54;
2020-01-13;0600;-3.54;
2020-01-13;0700;-3.54;
2020-01-13;0800;-3.54;
2020-01-13;0900;-1.38;
2020-01-13;1000;164.59;
2020-01-13;1100;604.993;
2020-01-13;1200;1656.264;
2020-01-13;1300;2459.825;
2020-01-13;1400;3062.721;
2020-01-13;1500;3527.027;
2020-01-13;1600;3738.761;
2020-01-13;1700;3720.948;
2020-01-13;1800;3460.32;
2020-01-13;1900;2729.22;
2020-01-13;2000;2241.673;
2020-01-13;2100;1072.964;
2020-01-13;2200;359.94;
2020-01-13;2300;44.314;
2020-01-14;0000;-3.444;
2020-01-14;0100;-2.667;
2020-01-14;0200;-2.615;
2020-01-14;0300;-2.87;
2020-01-14;0400;-1.444;
2020-01-14;0500;-3.54;
2020-01-14;0600;-3.54;
2020-01-14;0700;-3.54;
2020-01-14;0800;-3.54;
2020-01-14;0900;-1.919;
2020-01-14;1000;124.944;
2020-01-14;1100;859.024;
2020-01-14;1200;1552.291;
2020-01-14;1300;2193.52;
2020-01-14;1400;2567.162;
2020-01-14;1500;2876.638;
2020-01-14;1600;3505.206;
2020-01-14;1700;2450.315;
2020-01-14;1800;1434.067;
2020-01-14;1900;1519.959;
2020-01-14;2000;794.088;
2020-01-14;2100;1151.179;
2020-01-14;2200;1003.075;
2020-01-14;2300;165.765;
2020-01-15;0000;-3.492;
2020-01-15;0100;-3.54;
2020-01-15;0200;-3.54;
2020-01-15;0300;-3.54;
2020-01-15;0400;-3.54;
2020-01-15;0500;-3.54;
2020-01-15;0600;-3.54;
2020-01-15;0700;-3.54;
2020-01-15;0800;-3.54;
2020-01-15;0900;-2.198;
2020-01-15;1000;177.165;
2020-01-15;1100;836.931;
2020-01-15;1200;1651.262;
2020-01-15;1300;2364.726;
2020-01-15;1400;2997.248;
2020-01-15;1500;2984.312;
2020-01-15;1600;2388.181;
2020-01-15;1700;3266.175;
2020-01-15;1800;2845.243;
2020-01-15;1900;2573.089;
2020-01-15;2000;1694.037;
2020-01-15;2100;298.735;
