Nome: MARINGA
Codigo Estacao: A835
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 548.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.525;
2020-01-01;0200;-3.337;
2020-01-01;0300;-3.466;
2020-01-01;0400;-3.097;
2020-01-01;0500;-3.167;
2020-01-01;0600;-3.012;
2020-01-01;0700;-3.447;
2020-01-01;0800;-3.54;
2020-01-01;0900;22.939;
2020-01-01;1000;486.495;
2020-01-01;1100;1152.148;
2020-01-01;1200;1396.817;
2020-01-01;1300;2942.339;
2020-01-01;1400;3198.508;
2020-01-01;1500;2930.563;
2020-01-01;1600;4056.972;
2020-01-01;1700;2840.54;
2020-01-01;1800;173.643;
2020-01-01;1900;133.821;
2020-01-01;2000;186.542;
2020-01-01;2100;236.963;
2020-01-01;2200;21.586;
2020-01-01;2300;-3.409;
2020-01-02;0000;-1.016;
2020-01-02;0100;-1.464;
2020-01-02;0200;-2.226;
2020-01-02;0300;-2.115;
2020-01-02;0400;-3.259;
2020-01-02;0500;-3.264;
2020-01-02;0600;-3.232;
2020-01-02;0700;-2.934;
2020-01-02;0800;-3.15;
2020-01-02;0900;11.584;
2020-01-02;1000;425.198;
2020-01-02;1100;901.052;
2020-01-02;1200;1150.758;
2020-01-02;1300;2392.921;
2020-01-02;1400;2423.286;
2020-01-02;1500;3479.172;
2020-01-02;1600;2571.1;
2020-01-02;1700;1471.753;
2020-01-02;1800;1935.065;
2020-01-02;1900;2173.689;
2020-01-02;2000;1245.869;
2020-01-02;2100;511.296;
2020-01-02;2200;96.606;
2020-01-02;2300;4.306;
2020-01-03;0000;-3.031;
2020-01-03;0100;-3.522;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.321;
2020-01-03;0400;-2.961;
2020-01-03;0500;-2.92;
2020-01-03;0600;-3.05;
2020-01-03;0700;-.901;
2020-01-03;0800;-1.775;
2020-01-03;0900;6.68;
2020-01-03;1000;221.067;
2020-01-03;1100;477.331;
2020-01-03;1200;2208.824;
2020-01-03;1300;3175.38;
2020-01-03;1400;2422.268;
2020-01-03;1500;1083.582;
2020-01-03;1600;729.438;
2020-01-03;1700;911.935;
2020-01-03;1800;1113.329;
2020-01-03;1900;1231.244;
2020-01-03;2000;515.517;
2020-01-03;2100;152.14;
2020-01-03;2200;201.484;
2020-01-03;2300;5.272;
2020-01-04;0000;-1.156;
2020-01-04;0100;-3.079;
2020-01-04;0200;-3.49;
2020-01-04;0300;-3.54;
2020-01-04;0400;-3.54;
2020-01-04;0500;-3.539;
2020-01-04;0600;-3.54;
2020-01-04;0700;-3.536;
2020-01-04;0800;-3.54;
2020-01-04;0900;9.5;
2020-01-04;1000;298.48;
2020-01-04;1100;1376.793;
2020-01-04;1200;2253.279;
2020-01-04;1300;2988.322;
2020-01-04;1400;3073.116;
2020-01-04;1500;2454.962;
2020-01-04;1600;3016.999;
2020-01-04;1700;2462.697;
2020-01-04;1800;2110.575;
2020-01-04;1900;851.74;
2020-01-04;2000;682.101;
2020-01-04;2100;1313.861;
2020-01-04;2200;343.293;
2020-01-04;2300;2.498;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.534;
2020-01-05;0200;-2.128;
2020-01-05;0300;-3.188;
2020-01-05;0400;-2.702;
2020-01-05;0500;-2.414;
2020-01-05;0600;-3.354;
2020-01-05;0700;-3.262;
2020-01-05;0800;-2.624;
2020-01-05;0900;7.785;
2020-01-05;1000;199.054;
2020-01-05;1100;442.549;
2020-01-05;1200;774.731;
2020-01-05;1300;2067.016;
2020-01-05;1400;3105.438;
2020-01-05;1500;3636.371;
2020-01-05;1600;3571.213;
2020-01-05;1700;3098.039;
2020-01-05;1800;2325.41;
2020-01-05;1900;1294.513;
2020-01-05;2000;685.665;
2020-01-05;2100;555.267;
2020-01-05;2200;194.414;
2020-01-05;2300;6.222;
2020-01-06;0000;-3.537;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.54;
2020-01-06;0900;7.366;
2020-01-06;1000;449.356;
2020-01-06;1100;1350.697;
2020-01-06;1200;1707.812;
2020-01-06;1300;2607.817;
2020-01-06;1400;3526.393;
2020-01-06;1500;3244.993;
2020-01-06;1600;4025.603;
2020-01-06;1700;2745.108;
2020-01-06;1800;977.573;
2020-01-06;1900;2836.074;
