Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.807953
Longitude: -51.83424
Altitude: 92.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;17.2;995.145833;22.1125;31.5;24.483333;21.7;87.458333;65;12.2;1.9375;
2020-01-02;.2;1002.620833;18.054167;26.7;22.641667;20.2;76.041667;60;12.3;3.279167;
2020-01-03;1.2;1007.054167;17.479167;27.1;21.841667;17.4;77.791667;53;10.4;2.0625;
2020-01-04;1;1003.966667;18.320833;27.8;22.708333;19.1;77.541667;56;9.2;1.733333;
2020-01-05;.2;997.483333;18.216667;30.5;23.633333;17.3;74.666667;38;8.6;1.258333;
2020-01-06;.2;993.641667;19.733333;35.6;25.520833;20.3;74.333333;36;12.6;1.283333;
2020-01-07;.6;997.216667;19.1375;30.2;23.725;19.8;78.541667;41;8.7;1.366667;
2020-01-08;.2;1000.783333;17.641667;28.9;22.745833;16.6;75.458333;42;7.5;1.2125;
2020-01-09;0;998.533333;21.0625;35.7;25.2125;19;80.125;45;14.7;1.075;
2020-01-10;8.6;998.3;22.8;33.1;24.516667;21.4;91.125;61;12.7;.7375;
2020-01-11;39.6;999.991667;21.85;29.6;23.904167;20;89;69;7.5;1.229167;
2020-01-12;1.6;1003.995833;19.770833;31.3;24.4875;20.3;78.5;39;7.3;.895833;
2020-01-13;0;1006.408333;18.829167;28.3;22.679167;18.5;80.416667;55;7.6;1.220833;
