Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.515;
2020-01-01;0100;-3.595;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.6;
2020-01-01;0400;-3.6;
2020-01-01;0500;-3.6;
2020-01-01;0600;-3.594;
2020-01-01;0700;-3.596;
2020-01-01;0800;-3.562;
2020-01-01;0900;14.033;
2020-01-01;1000;436.054;
2020-01-01;1100;1073.217;
2020-01-01;1200;1543.071;
2020-01-01;1300;2905.068;
2020-01-01;1400;3609.715;
2020-01-01;1500;2663.996;
2020-01-01;1600;3178.186;
2020-01-01;1700;3029.477;
2020-01-01;1800;1051.889;
2020-01-01;1900;2945.587;
2020-01-01;2000;1624.606;
2020-01-01;2100;897.287;
2020-01-01;2200;400.415;
2020-01-01;2300;28.695;
2020-01-02;0000;-.873;
2020-01-02;0100;-2.84;
2020-01-02;0200;-3.509;
2020-01-02;0300;-2.129;
2020-01-02;0400;-2.122;
2020-01-02;0500;-1.966;
2020-01-02;0600;-2.682;
2020-01-02;0700;-1.001;
2020-01-02;0800;-1.733;
2020-01-02;0900;7.641;
2020-01-02;1000;173.288;
2020-01-02;1100;479.823;
2020-01-02;1200;1019.066;
2020-01-02;1300;1742.821;
2020-01-02;1400;3220.728;
2020-01-02;1500;2672.743;
2020-01-02;1600;2781.479;
2020-01-02;1700;2595.293;
2020-01-02;1800;2331.909;
2020-01-02;1900;2658.762;
2020-01-02;2000;1347.096;
2020-01-02;2100;933.915;
2020-01-02;2200;297.856;
2020-01-02;2300;22.967;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.6;
2020-01-03;0200;-3.6;
2020-01-03;0300;-3.6;
2020-01-03;0400;-3.6;
2020-01-03;0500;-3.6;
2020-01-03;0600;-3.6;
2020-01-03;0700;-3.285;
2020-01-03;0800;-3.6;
2020-01-03;0900;19.175;
2020-01-03;1000;233.113;
2020-01-03;1100;656.413;
2020-01-03;1200;1136.858;
2020-01-03;1300;1579.12;
2020-01-03;1400;2809.88;
2020-01-03;1500;3523.418;
2020-01-03;1600;2951.128;
2020-01-03;1700;3530.452;
2020-01-03;1800;2912.337;
2020-01-03;1900;2675.768;
2020-01-03;2000;1949.046;
2020-01-03;2100;974.091;
2020-01-03;2200;378.094;
2020-01-03;2300;26.561;
2020-01-04;0000;-3.6;
2020-01-04;0100;-3.572;
2020-01-04;0200;-2.217;
2020-01-04;0300;-2.994;
2020-01-04;0400;-3.558;
2020-01-04;0500;-3.599;
2020-01-04;0600;-3.6;
2020-01-04;0700;-3.493;
2020-01-04;0800;-3.6;
2020-01-04;0900;16.385;
2020-01-04;1000;428.2;
2020-01-04;1100;826.333;
2020-01-04;1200;1399.134;
2020-01-04;1300;2327.384;
2020-01-04;1400;2424.072;
2020-01-04;1500;2333;
2020-01-04;1600;1863.93;
2020-01-04;1700;1349.046;
2020-01-04;1800;291.192;
2020-01-04;1900;316.332;
2020-01-04;2000;387.103;
2020-01-04;2100;1267.57;
2020-01-04;2200;577.474;
2020-01-04;2300;20.684;
2020-01-05;0000;-3.6;
2020-01-05;0100;-3.6;
2020-01-05;0200;-3.6;
2020-01-05;0300;-3.6;
2020-01-05;0400;-3.6;
2020-01-05;0500;-3.6;
2020-01-05;0600;-3.6;
2020-01-05;0700;-3.6;
2020-01-05;0800;-3.6;
2020-01-05;0900;15.797;
2020-01-05;1000;441.274;
2020-01-05;1100;1343.868;
2020-01-05;1200;2170.426;
2020-01-05;1300;2868.953;
2020-01-05;1400;3415.576;
2020-01-05;1500;2847.149;
2020-01-05;1600;3742.751;
2020-01-05;1700;3955.097;
2020-01-05;1800;2690.097;
2020-01-05;1900;1087.927;
2020-01-05;2000;1910.707;
2020-01-05;2100;1557.394;
2020-01-05;2200;568.425;
2020-01-05;2300;20.249;
2020-01-06;0000;-3.6;
2020-01-06;0100;-3.6;
2020-01-06;0200;-3.6;
2020-01-06;0300;-3.6;
2020-01-06;0400;-3.6;
2020-01-06;0500;-3.6;
2020-01-06;0600;-3.6;
2020-01-06;0700;-3.6;
2020-01-06;0800;-3.6;
2020-01-06;0900;13.254;
2020-01-06;1000;432.433;
2020-01-06;1100;1324.711;
2020-01-06;1200;2142.594;
2020-01-06;1300;2848.454;
2020-01-06;1400;3400.481;
2020-01-06;1500;3815.049;
2020-01-06;1600;3893.847;
2020-01-06;1700;2759.171;
2020-01-06;1800;1906.374;
2020-01-06;1900;2675.624;
2020-01-06;2000;1051.977;
2020-01-06;2100;932.679;
2020-01-06;2200;414.404;
2020-01-06;2300;14.366;
2020-01-07;0000;-3.585;
2020-01-07;0100;-3.231;
2020-01-07;0200;-3.6;
2020-01-07;0300;-3.6;
2020-01-07;0400;-3.6;
2020-01-07;0500;-3.6;
2020-01-07;0600;-3.6;
2020-01-07;0700;-3.6;
2020-01-07;0800;-3.6;
2020-01-07;0900;11.942;
2020-01-07;1000;250.938;
2020-01-07;1100;1197.817;
2020-01-07;1200;2069.213;
2020-01-07;1300;2774.04;
2020-01-07;1400;3010.459;
2020-01-07;1500;3753.614;
2020-01-07;1600;3797.838;
2020-01-07;1700;3027.884;
2020-01-07;1800;3329.501;
2020-01-07;1900;2395.608;
2020-01-07;2000;2085.641;
2020-01-07;2100;1100.162;
2020-01-07;2200;459.008;
2020-01-07;2300;26.731;
2020-01-08;0000;-3.6;
2020-01-08;0100;-3.6;
2020-01-08;0200;-3.6;
2020-01-08;0300;-3.6;
2020-01-08;0400;-3.6;
2020-01-08;0500;-3.6;
2020-01-08;0600;-3.6;
2020-01-08;0700;-3.6;
2020-01-08;0800;-3.6;
2020-01-08;0900;13.59;
2020-01-08;1000;315.899;
2020-01-08;1100;1128.058;
2020-01-08;1200;1840.559;
2020-01-08;1300;2609.587;
2020-01-08;1400;3006.695;
2020-01-08;1500;3203.054;
2020-01-08;1600;2780.182;
2020-01-08;1700;3393.31;
2020-01-08;1800;1706.102;
2020-01-08;1900;1797.316;
2020-01-08;2000;1918.14;
2020-01-08;2100;1324.298;
2020-01-08;2200;461.731;
2020-01-08;2300;36.174;
2020-01-09;0000;-3.6;
2020-01-09;0100;-3.6;
2020-01-09;0200;-3.6;
2020-01-09;0300;-3.6;
2020-01-09;0400;-3.6;
2020-01-09;0500;-3.6;
2020-01-09;0600;-3.6;
2020-01-09;0700;-3.6;
2020-01-09;0800;-3.6;
2020-01-09;0900;15.299;
2020-01-09;1000;389.25;
2020-01-09;1100;1227.478;
2020-01-09;1200;2047.507;
2020-01-09;1300;2517.272;
2020-01-09;1400;2684.165;
2020-01-09;1500;2890.169;
2020-01-09;1600;2133.718;
2020-01-09;1700;2689.709;
2020-01-09;1800;2537.743;
2020-01-09;1900;1855.498;
2020-01-09;2000;1788.513;
2020-01-09;2100;630.012;
2020-01-09;2200;353.532;
2020-01-09;2300;8.354;
2020-01-10;0000;-3.58;
2020-01-10;0100;-3.368;
2020-01-10;0200;.216;
2020-01-10;0300;-1.296;
2020-01-10;0400;-2.551;
2020-01-10;0500;-3.37;
2020-01-10;0600;-3.469;
2020-01-10;0700;-2.711;
2020-01-10;0800;-3.575;
2020-01-10;0900;6.146;
2020-01-10;1000;339.558;
2020-01-10;1100;1318.552;
2020-01-10;1200;2226.652;
2020-01-10;1300;2349.925;
2020-01-10;1400;1975.282;
2020-01-10;1500;1121.077;
2020-01-10;1600;1060.788;
2020-01-10;1700;961.371;
2020-01-10;1800;1570.557;
2020-01-10;1900;416.111;
2020-01-10;2000;226.482;
2020-01-10;2100;99.315;
2020-01-10;2200;27.389;
2020-01-10;2300;-.399;
2020-01-11;0000;-.26;
2020-01-11;0100;-1.239;
2020-01-11;0200;-1.925;
2020-01-11;0300;-2.203;
2020-01-11;0400;-3.362;
2020-01-11;0500;-3.547;
2020-01-11;0600;-3.429;
2020-01-11;0700;-1.584;
2020-01-11;0800;-.6;
2020-01-11;0900;4.334;
2020-01-11;1000;98.554;
2020-01-11;1100;316.222;
2020-01-11;1200;612.192;
2020-01-11;1300;1495.946;
2020-01-11;1400;1336.408;
2020-01-11;1500;1422.087;
2020-01-11;1600;1913.461;
2020-01-11;1700;2487.086;
2020-01-11;1800;2767.89;
2020-01-11;1900;1758.845;
2020-01-11;2000;881.469;
2020-01-11;2100;1509.103;
2020-01-11;2200;390.467;
2020-01-11;2300;33.256;
2020-01-12;0000;-3.6;
2020-01-12;0100;-3.6;
2020-01-12;0200;-3.6;
2020-01-12;0300;-3.6;
2020-01-12;0400;-3.6;
2020-01-12;0500;-3.6;
2020-01-12;0600;-3.6;
2020-01-12;0700;-3.6;
2020-01-12;0800;-3.6;
2020-01-12;0900;20.04;
2020-01-12;1000;384.558;
2020-01-12;1100;855.397;
2020-01-12;1200;1924.676;
2020-01-12;1300;2829.463;
2020-01-12;1400;2822.41;
2020-01-12;1500;2801.386;
2020-01-12;1600;3701.423;
2020-01-12;1700;3825.794;
2020-01-12;1800;3415.127;
2020-01-12;1900;2879.537;
2020-01-12;2000;1945.778;
2020-01-12;2100;1413.149;
2020-01-12;2200;447.663;
2020-01-12;2300;15.95;
2020-01-13;0000;-3.6;
2020-01-13;0100;-3.6;
2020-01-13;0200;-3.6;
2020-01-13;0300;-3.6;
2020-01-13;0400;-3.6;
2020-01-13;0500;-3.6;
2020-01-13;0600;-3.6;
2020-01-13;0700;-3.6;
2020-01-13;0800;-3.6;
2020-01-13;0900;7.782;
2020-01-13;1000;385.502;
2020-01-13;1100;1272.902;
2020-01-13;1200;2058.902;
2020-01-13;1300;2640.298;
2020-01-13;1400;3290.914;
2020-01-13;1500;3676.375;
2020-01-13;1600;3871.912;
2020-01-13;1700;3776.435;
2020-01-13;1800;3488.166;
2020-01-13;1900;2803.852;
2020-01-13;2000;2288.666;
2020-01-13;2100;1426.771;
2020-01-13;2200;580.927;
2020-01-13;2300;27.776;
2020-01-14;0000;-3.6;
2020-01-14;0100;-3.6;
2020-01-14;0200;-3.6;
2020-01-14;0300;-3.6;
2020-01-14;0400;-3.6;
2020-01-14;0500;-3.6;
2020-01-14;0600;-3.6;
2020-01-14;0700;-3.6;
2020-01-14;0800;-3.6;
2020-01-14;0900;9.696;
2020-01-14;1000;355.254;
2020-01-14;1100;1220.701;
2020-01-14;1200;2033.179;
2020-01-14;1300;2761.5;
2020-01-14;1400;3326.712;
2020-01-14;1500;3678.453;
2020-01-14;1600;3849.72;
2020-01-14;1700;3593.356;
2020-01-14;1800;3346.092;
2020-01-14;1900;2015.918;
2020-01-14;2000;1538.681;
2020-01-14;2100;1339.236;
2020-01-14;2200;417.537;
2020-01-14;2300;13.727;
2020-01-15;0000;-3.6;
2020-01-15;0100;-3.6;
2020-01-15;0200;-3.6;
2020-01-15;0300;-3.6;
2020-01-15;0400;-3.6;
2020-01-15;0500;-3.6;
2020-01-15;0600;-3.6;
2020-01-15;0700;-3.6;
2020-01-15;0800;-3.6;
2020-01-15;0900;8.194;
2020-01-15;1000;430.698;
2020-01-15;1100;913.971;
2020-01-15;1200;1096.6;
2020-01-15;1300;1286.408;
2020-01-15;1400;1446.653;
2020-01-15;1500;1250.057;
2020-01-15;1600;1945.13;
2020-01-15;1700;2752.301;
2020-01-15;1800;2138.72;
2020-01-15;1900;2335.65;
2020-01-15;2000;1364.14;
2020-01-15;2100;316.108;
2020-01-15;2200;36.169;
2020-01-15;2300;.554;
2020-01-16;0000;-2.764;
2020-01-16;0100;-1.218;
2020-01-16;0200;-.907;
2020-01-16;0300;-1.378;
2020-01-16;0400;-1.337;
2020-01-16;0500;-.972;
2020-01-16;0600;-.451;
2020-01-16;0700;-.732;
2020-01-16;0800;-1.005;
2020-01-16;0900;5.229;
2020-01-16;1000;102.225;
2020-01-16;1100;207.268;
2020-01-16;1200;482.866;
2020-01-16;1300;1251.908;
2020-01-16;1400;1753.564;
2020-01-16;1500;826.346;
2020-01-16;1600;1207.833;
2020-01-16;1700;949.402;
2020-01-16;1800;710.704;
2020-01-16;1900;905.551;
2020-01-16;2000;874.279;
2020-01-16;2100;557.163;
2020-01-16;2200;258.992;
2020-01-16;2300;18.454;
2020-01-17;0000;-3.6;
2020-01-17;0100;-3.6;
2020-01-17;0200;-3.6;
2020-01-17;0300;-3.6;
2020-01-17;0400;-3.6;
2020-01-17;0500;-3.6;
2020-01-17;0600;-3.6;
2020-01-17;0700;-3.6;
2020-01-17;0800;-3.6;
2020-01-17;0900;6.148;
2020-01-17;1000;313.392;
2020-01-17;1100;1115.996;
2020-01-17;1200;2010.936;
2020-01-17;1300;2810.107;
2020-01-17;1400;3412.571;
2020-01-17;1500;3814.026;
2020-01-17;1600;3954.649;
2020-01-17;1700;3803.794;
2020-01-17;1800;3473.293;
2020-01-17;1900;2953.311;
2020-01-17;2000;2213.591;
2020-01-17;2100;1363.332;
2020-01-17;2200;511.072;
2020-01-17;2300;28.679;
2020-01-18;0000;-3.6;
2020-01-18;0100;-3.6;
2020-01-18;0200;-3.6;
2020-01-18;0300;-3.6;
2020-01-18;0400;-3.6;
2020-01-18;0500;-3.6;
2020-01-18;0600;-3.6;
2020-01-18;0700;-3.6;
2020-01-18;0800;-3.6;
2020-01-18;0900;4.084;
2020-01-18;1000;236.299;
2020-01-18;1100;1095.142;
2020-01-18;1200;1889.184;
2020-01-18;1300;2600.169;
2020-01-18;1400;3270.66;
2020-01-18;1500;3558.593;
2020-01-18;1600;3610.411;
