Nome: BOM JARDIM DA SERRA - MORRO DA IGREJA
Codigo Estacao: A845
Latitude: -28.12694443
Longitude: -49.47972221
Altitude: 1790.38
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;65.2;817.341667;15.0375;23.5;17.5625;13.7;85.541667;57;14.8;4.229167;
2020-01-02;11.6;817.6875;13.8125;16.4;13.8125;13.9;99.958333;94;30;8.658333;
2020-01-03;70.8;820.679167;11.079167;12.3;11.079167;9.7;100;100;28.9;9.604167;
2020-01-04;96.4;819.941667;11.595833;14.5;11.595833;10.1;100;100;25.3;6.066667;
2020-01-05;8.2;817.05;12.525;19.3;13.241667;10.4;95.708333;69;11.3;5.1375;
2020-01-06;4.2;816.725;14.020833;23.8;15.7875;11.7;90.583333;44;17.8;7.4125;
2020-01-07;.2;818.141667;15.295833;20.6;16.458333;14.1;93.25;70;18.7;7.225;
2020-01-08;8.8;819.825;15.308333;18.8;15.333333;13.5;99.833333;96;9.4;3.8;
2020-01-09;7.8;820.916667;15.7;22.8;17.133333;13.6;91.833333;68;16.1;6.533333;
2020-01-10;.2;820.670833;14.133333;24.9;18.0875;16;78.75;51;14;5.679167;
2020-01-11;34.8;819.066667;15.591667;19.7;16.0875;14.8;97.083333;82;18;7.070833;
2020-01-12;13.6;822.283333;14.05;18.2;14.816667;12.5;95.291667;80;15.4;5.195833;
2020-01-13;0;823.904167;6.2;19;14.904167;10.7;60.708333;16;14.3;4.983333;
2020-01-14;3;822.879167;12.475;21.1;15.454167;10.2;84.25;43;13.5;5.054167;
2020-01-15;0;820.475;12.091667;24.6;17.6625;12.2;72.291667;28;19;7.954167;
2020-01-16;10.8;821.35;13.470833;17.9;13.595833;15.1;99.291667;88;22.8;8.516667;
2020-01-17;10;824.7375;8.070833;14.3;9.033333;5.3;94.041667;70;13.7;3.4625;
2020-01-18;1;824.945833;10.1;18.7;11.366667;7.7;92.583333;67;16.4;6.204167;
2020-01-19;.2;823.829167;11.429167;18.9;14.254167;9;86.416667;22;10.6;3.058333;
2020-01-20;.2;821.908333;12.254167;21.3;15.6625;10.3;82.125;44;10.6;3.75;
2020-01-21;0;819.258333;12.95;20.3;14.708333;11.5;90.333333;38;13;3.908333;
2020-01-22;2.8;819.0375;10.833333;14;11.2125;10.2;97.75;71;10.9;4.395833;
2020-01-23;39.4;818.575;10.270833;11;10.270833;8.6;100;100;27.5;9.983333;
2020-01-24;95.2;817.483333;10.4125;12.8;10.479167;8;99.583333;89;20;8.725;
2020-01-25;23;817.441667;6;20.2;13.829167;7.9;63.791667;30;16.3;5.2375;
2020-01-26;.2;819.441667;10.141667;22;16.2375;12.9;68.625;24;13.3;4.6875;
2020-01-27;0;819.979167;13.175;21.9;15.845833;12.9;85.75;47;18;7.1;
2020-01-28;0;820.983333;13.541667;19.2;14.204167;12.1;95.875;74;11.4;3.983333;
2020-01-29;5.2;819.845833;13.675;17.6;13.991667;12.1;98.041667;72;25.4;11.716667;
2020-01-30;9.6;819.1625;15.108333;20.1;15.383333;13.8;98.333333;82;23.7;10.341667;
2020-01-31;3;820.375;13.575;21.3;16.125;13.3;85.458333;63;11.9;5.216667;
2020-02-01;.8;822.220833;12.208333;18.3;13.945833;11.2;90.333333;55;14;4.1625;
2020-02-02;2.6;823.025;13.6875;18.6;13.9875;11.1;98.125;83;14.7;5.404167;
2020-02-03;9.6;823.85;13.616667;16.1;13.620833;13.3;100;100;15.2;4.104167;
2020-02-04;3.6;824.145833;13.079167;16.1;13.079167;9.6;100;100;14;5.475;
2020-02-05;30;823.579167;13.925;17.2;13.929167;12.4;100;99;12.6;4.85;
2020-02-06;17.4;823.754167;15;18.4;15.004167;12.8;100;100;12.6;4.7;
2020-02-07;32;823.166667;15.166667;18;15.170833;13.7;100;100;12.1;4.4375;
2020-02-08;5.6;820.991667;15.5625;20.6;16.079167;14.2;96.958333;76;17.8;8.045833;
2020-02-09;3.2;819.783333;14.379167;16.8;14.395833;14;99.916667;97;27.2;9.2125;
2020-02-10;31.2;822.295833;9.233333;12.2;9.295833;7.2;99.583333;91;27.2;6.0875;
