Nome: BOM JARDIM DA SERRA - MORRO DA IGREJA
Codigo Estacao: A845
Latitude: -28.12694443
Longitude: -49.47972221
Altitude: 1790.38
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;.91;
2020-01-01;0100;2.253;
2020-01-01;0200;1.343;
2020-01-01;0300;.535;
2020-01-01;0400;0;
2020-01-01;0500;0;
2020-01-01;0600;0;
2020-01-01;0700;0;
2020-01-01;0800;0;
2020-01-01;0900;31.114;
2020-01-01;1000;203.597;
2020-01-01;1100;530.88;
2020-01-01;1200;1156.064;
2020-01-01;1300;1415.248;
2020-01-01;1400;2490.16;
2020-01-01;1500;1713.283;
2020-01-01;1600;1936.442;
2020-01-01;1700;2591.647;
2020-01-01;1800;1922.397;
2020-01-01;1900;785.877;
2020-01-01;2000;979.025;
2020-01-01;2100;479.628;
2020-01-01;2200;51.935;
2020-01-01;2300;8.512;
2020-01-02;0000;.003;
2020-01-02;0100;0;
2020-01-02;0200;.003;
2020-01-02;0300;.111;
2020-01-02;0400;1.111;
2020-01-02;0500;.3;
2020-01-02;0600;.042;
2020-01-02;0700;.637;
2020-01-02;0800;.069;
2020-01-02;0900;27.086;
2020-01-02;1000;256.168;
2020-01-02;1100;748.705;
2020-01-02;1200;1326.075;
2020-01-02;1300;1916.225;
2020-01-02;1400;2129.078;
2020-01-02;1500;2267.522;
2020-01-02;1600;2096.435;
2020-01-02;1700;1224.308;
2020-01-02;1800;899.881;
2020-01-02;1900;694.743;
2020-01-02;2000;435.448;
2020-01-02;2100;199.977;
2020-01-02;2200;68.842;
2020-01-02;2300;3.328;
2020-01-03;0000;.688;
2020-01-03;0100;.378;
2020-01-03;0200;.481;
2020-01-03;0300;.448;
2020-01-03;0400;.153;
2020-01-03;0500;.255;
2020-01-03;0600;.063;
2020-01-03;0700;.574;
2020-01-03;0800;.649;
2020-01-03;0900;10.864;
2020-01-03;1000;113.781;
2020-01-03;1100;340.719;
2020-01-03;1200;625.261;
2020-01-03;1300;1217.913;
2020-01-03;1400;1540.272;
2020-01-03;1500;1224.326;
2020-01-03;1600;1273.05;
2020-01-03;1700;1314.06;
2020-01-03;1800;1139.637;
2020-01-03;1900;749.075;
2020-01-03;2000;428.206;
2020-01-03;2100;297.783;
2020-01-03;2200;94.627;
2020-01-03;2300;5.548;
2020-01-04;0000;.108;
2020-01-04;0100;.324;
2020-01-04;0200;.454;
2020-01-04;0300;.243;
2020-01-04;0400;.066;
2020-01-04;0500;.384;
2020-01-04;0600;.024;
2020-01-04;0700;.339;
2020-01-04;0800;.288;
2020-01-04;0900;13.414;
2020-01-04;1000;214.53;
2020-01-04;1100;561.712;
2020-01-04;1200;747.834;
2020-01-04;1300;639.393;
2020-01-04;1400;1454.177;
2020-01-04;1500;2065.655;
2020-01-04;1600;1497.572;
2020-01-04;1700;1205.995;
2020-01-04;1800;772.839;
2020-01-04;1900;408.311;
2020-01-04;2000;748.996;
2020-01-04;2100;317.603;
2020-01-04;2200;136.503;
2020-01-04;2300;7.56;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;.006;
2020-01-05;0300;.048;
2020-01-05;0400;.003;
2020-01-05;0500;.003;
2020-01-05;0600;0;
2020-01-05;0700;.003;
2020-01-05;0800;0;
2020-01-05;0900;68.887;
2020-01-05;1000;670.234;
2020-01-05;1100;1554.199;
2020-01-05;1200;2399.727;
2020-01-05;1300;2885.62;
2020-01-05;1400;3308.684;
2020-01-05;1500;3490.274;
2020-01-05;1600;2906.599;
2020-01-05;1700;3119.253;
2020-01-05;1800;1745.263;
2020-01-05;1900;924.228;
2020-01-05;2000;1093.746;
2020-01-05;2100;473.545;
2020-01-05;2200;131.481;
2020-01-05;2300;4.797;
2020-01-06;0000;.601;
2020-01-06;0100;.562;
2020-01-06;0200;.006;
2020-01-06;0300;.799;
2020-01-06;0400;.045;
2020-01-06;0500;0;
2020-01-06;0600;0;
2020-01-06;0700;.03;
2020-01-06;0800;.18;
2020-01-06;0900;33.048;
2020-01-06;1000;180.674;
2020-01-06;1100;526.82;
2020-01-06;1200;1269.136;
2020-01-06;1300;1526.779;
2020-01-06;1400;3198.327;
2020-01-06;1500;3795.432;
2020-01-06;1600;2972.414;
2020-01-06;1700;3626.834;
2020-01-06;1800;3126.74;
2020-01-06;1900;2259.088;
2020-01-06;2000;859.666;
2020-01-06;2100;750.943;
2020-01-06;2200;438.788;
2020-01-06;2300;10.843;
2020-01-07;0000;0;
2020-01-07;0100;null;
2020-01-07;0200;0;
2020-01-07;0300;.135;
2020-01-07;0400;.126;
2020-01-07;0500;.018;
2020-01-07;0600;.024;
2020-01-07;0700;.009;
2020-01-07;0800;.003;
2020-01-07;0900;18.965;
2020-01-07;1000;150.274;
2020-01-07;1100;316.468;
2020-01-07;1200;939.245;
2020-01-07;1300;1605.244;
2020-01-07;1400;1609.446;
2020-01-07;1500;590.624;
2020-01-07;1600;2770.289;
2020-01-07;1700;2678.89;
2020-01-07;1800;1918.225;
2020-01-07;1900;1089.496;
2020-01-07;2000;1470.531;
2020-01-07;2100;872.284;
2020-01-07;2200;258.862;
2020-01-07;2300;4.538;
2020-01-08;0000;.198;
2020-01-08;0100;.033;
2020-01-08;0200;.012;
2020-01-08;0300;.033;
2020-01-08;0400;0;
2020-01-08;0500;.096;
2020-01-08;0600;.006;
2020-01-08;0700;.066;
2020-01-08;0800;.087;
2020-01-08;0900;11.804;
2020-01-08;1000;163.592;
2020-01-08;1100;314.053;
2020-01-08;1200;593.37;
2020-01-08;1300;937.786;
2020-01-08;1400;1904.114;
2020-01-08;1500;2145.262;
2020-01-08;1600;2728.158;
2020-01-08;1700;1956.893;
2020-01-08;1800;2011.942;
2020-01-08;1900;1149.255;
2020-01-08;2000;742.923;
2020-01-08;2100;196.656;
2020-01-08;2200;55.887;
2020-01-08;2300;13.75;
2020-01-09;0000;0;
2020-01-09;0100;0;
2020-01-09;0200;.03;
2020-01-09;0300;.021;
2020-01-09;0400;.027;
2020-01-09;0500;.027;
2020-01-09;0600;.135;
2020-01-09;0700;.147;
2020-01-09;0800;0;
2020-01-09;0900;43.071;
2020-01-09;1000;483.142;
2020-01-09;1100;1485.798;
2020-01-09;1200;2366.85;
2020-01-09;1300;2830.256;
2020-01-09;1400;3249.455;
2020-01-09;1500;2487.629;
2020-01-09;1600;1730.841;
2020-01-09;1700;3666.496;
2020-01-09;1800;3003.94;
2020-01-09;1900;2143.853;
2020-01-09;2000;1055.402;
2020-01-09;2100;235.158;
2020-01-09;2200;371.673;
2020-01-09;2300;10.152;
2020-01-10;0000;0;
2020-01-10;0100;0;
2020-01-10;0200;0;
2020-01-10;0300;0;
2020-01-10;0400;0;
2020-01-10;0500;0;
2020-01-10;0600;0;
2020-01-10;0700;0;
2020-01-10;0800;0;
2020-01-10;0900;15.042;
2020-01-10;1000;178.187;
2020-01-10;1100;412.546;
2020-01-10;1200;597.007;
2020-01-10;1300;1321.888;
2020-01-10;1400;1380.749;
2020-01-10;1500;3227.543;
2020-01-10;1600;4241.856;
2020-01-10;1700;3001.164;
2020-01-10;1800;2307.376;
2020-01-10;1900;1874.301;
2020-01-10;2000;1368.308;
2020-01-10;2100;196.163;
2020-01-10;2200;17.283;
2020-01-10;2300;.487;
2020-01-11;0000;1.898;
2020-01-11;0100;null;
2020-01-11;0200;.018;
2020-01-11;0300;.006;
2020-01-11;0400;0;
2020-01-11;0500;.003;
2020-01-11;0600;0;
2020-01-11;0700;.06;
2020-01-11;0800;.324;
2020-01-11;0900;41.957;
2020-01-11;1000;422.413;
2020-01-11;1100;745.921;
2020-01-11;1200;1978.804;
2020-01-11;1300;2275.493;
2020-01-11;1400;1528.701;
2020-01-11;1500;1797.076;
2020-01-11;1600;2327.416;
2020-01-11;1700;1253.016;
2020-01-11;1800;896.063;
2020-01-11;1900;652.411;
2020-01-11;2000;409.161;
2020-01-11;2100;232.728;
2020-01-11;2200;58.834;
2020-01-11;2300;2.337;
2020-01-12;0000;.006;
2020-01-12;0100;.144;
2020-01-12;0200;.057;
2020-01-12;0300;.027;
2020-01-12;0400;0;
2020-01-12;0500;0;
2020-01-12;0600;0;
2020-01-12;0700;0;
2020-01-12;0800;0;
2020-01-12;0900;30.066;
2020-01-12;1000;428.768;
2020-01-12;1100;1219.812;
2020-01-12;1200;2120.17;
2020-01-12;1300;2230.917;
2020-01-12;1400;2252.909;
2020-01-12;1500;2674.556;
2020-01-12;1600;1570.586;
2020-01-12;1700;1720.653;
2020-01-12;1800;1033.9;
2020-01-12;1900;562.607;
2020-01-12;2000;577.322;
2020-01-12;2100;297.861;
