Nome: DIAMANTE DO NORTE
Codigo Estacao: A849
Latitude: -22.63944444
Longitude: -52.89027777
Altitude: 368.22
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;965.683333;21.375;34.1;26.470833;22.4;75.25;45;13.6;1.6875;
2020-01-02;2.6;965.5;21.945833;32.5;26.2;22.4;79.125;47;9.9;1.675;
2020-01-03;0;966.5875;21.558333;29.6;24.841667;22.8;82.5;58;11.7;2.516667;
2020-01-04;10;966.504167;20.166667;30.9;24.983333;21.8;75.666667;50;8.3;2.391667;
2020-01-05;2;964.466667;20.645833;30.6;25.070833;20.7;77.291667;56;9.5;2.475;
2020-01-06;.2;964.854167;20.1125;34.8;26.470833;21.1;71.625;29;9.8;2.595833;
2020-01-07;6.8;966.141667;22.170833;26.2;23.95;22.8;89.791667;73;10.3;2.116667;
2020-01-08;11.2;967.829167;22.170833;31.5;24.816667;21.3;86.041667;60;10.8;.829167;
2020-01-09;8.4;968.958333;23.3375;32.1;26.520833;23.2;83.541667;59;7.5;2.316667;
2020-01-10;0;968.9375;22.825;33.1;26.979167;23.6;79.166667;54;11.6;2.379167;
2020-01-11;0;968.154167;23.279167;33.7;27.6125;24.4;78.333333;51;8.3;1.541667;
2020-01-12;2.8;969.475;23.258333;34.2;27.3125;23.8;79.875;51;8.6;1.820833;
2020-01-13;18.4;970.8875;22.4;29.8;24.7625;22.5;87.416667;62;9.2;2.075;
2020-01-14;29.2;970.441667;22.6125;31.4;26.220833;21.9;81.875;56;7.3;2.029167;
2020-01-15;0;968.770833;23.175;33.7;27.954167;23.7;76.333333;53;7.7;2.25;
2020-01-16;0;970.025;22.9375;35.4;29.1875;25.2;70.375;47;16.3;2.454167;
2020-01-17;0;972.375;22.220833;31.4;26.35;22.6;78.833333;60;9.3;2.604167;
2020-01-18;0;973.308333;19.2;31.1;25.279167;20;70.041667;47;11.9;3.858333;
2020-01-19;0;971.420833;19.520833;32.6;25.866667;20.5;69.625;43;9.6;2.5875;
2020-01-20;0;968.6;19.804167;33.2;26.85;22;66.916667;36;10.8;2.45;
2020-01-21;0;965.666667;19.2875;33.1;26.770833;21.4;64.875;44;14.1;2.7625;
2020-01-22;0;963.616667;19.941667;29.4;24.5875;21.7;75.75;61;10.1;3.658333;
2020-01-23;35;963.5125;20.004167;26.2;22.425;19.9;86.708333;71;12.4;4.1625;
2020-01-24;0;964.583333;19.7;31.9;25.0625;21.4;73.75;45;7.7;1.691667;
2020-01-25;0;967.170833;18.379167;31.8;25.329167;20.1;67.041667;39;9.4;2.354167;
2020-01-26;0;968.166667;18.179167;32.9;26.475;19.7;62.791667;34;6.7;1.058333;
2020-01-27;0;968.129167;18.191667;34.7;27.8;21.1;58.916667;29;5.4;1.2375;
2020-01-28;0;967.408333;18.820833;34.9;28.008333;21.2;60.458333;30;7.2;1.479167;
2020-01-29;0;968.858333;20.9375;30.1;24.470833;23.8;81.583333;50;14.7;1.216667;
2020-01-30;24.2;969.570833;22.358333;30;24.266667;21.4;89.666667;68;14.1;2.691667;
2020-01-31;13.4;971.420833;21.841667;29.6;24.625;21.9;85.458333;62;6.9;1.633333;
2020-02-01;30.8;971.016667;22.725;30.1;25.154167;22.7;87;68;5.5;.904167;
2020-02-02;41.4;970.783333;22.245833;28.7;23.983333;21.3;90.5;72;15.5;2.270833;
2020-02-03;21.8;970.204167;21.529167;30.2;23.820833;20.2;87.833333;60;10;1.233333;
2020-02-04;3.6;970.4;20.354167;29;23.9375;20.6;81.083333;61;9.9;2.520833;
2020-02-05;.2;969.5125;21.8125;31.3;25.3375;21.2;82.083333;57;7.8;2.616667;
2020-02-06;6.8;969.816667;21.979167;32.9;26.1625;21.7;79.791667;51;6;1.329167;
2020-02-07;0;968.1;21.125;31.2;26.0875;21.9;75.041667;56;9.4;3.0125;
2020-02-08;0;967.275;21.591667;30.4;25.629167;21.8;79.333333;61;8;2.9125;
2020-02-09;0;967.579167;21.55;31.7;26.525;22.6;75.583333;51;7.4;2.1375;
2020-02-10;0;969.033333;22.8625;30.8;26.304167;24.1;82.125;59;9.7;1.708333;
2020-02-11;.2;971.016667;19.995833;29;24.695833;20.8;75.708333;59;10.1;3.783333;
2020-02-12;0;970.904167;18.220833;30.4;24.425;18.6;70;45;10.6;3.495833;
