Nome: SAO LUIZ GONZAGA
Codigo Estacao: A852
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.6;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.6;
2020-01-01;0400;-3.6;
2020-01-01;0500;-3.6;
2020-01-01;0600;-3.6;
2020-01-01;0700;-3.6;
2020-01-01;0800;-3.6;
2020-01-01;0900;3.547;
2020-01-01;1000;322.127;
2020-01-01;1100;1099.463;
2020-01-01;1200;1964.296;
2020-01-01;1300;2884.357;
2020-01-01;1400;3045.968;
2020-01-01;1500;2917.961;
2020-01-01;1600;2925.842;
2020-01-01;1700;3260.484;
2020-01-01;1800;2417.321;
2020-01-01;1900;2286.161;
2020-01-01;2000;1778.053;
2020-01-01;2100;1197.652;
2020-01-01;2200;641.721;
2020-01-01;2300;52.793;
2020-01-02;0000;-3.6;
2020-01-02;0100;-3.6;
2020-01-02;0200;-3.6;
2020-01-02;0300;-3.579;
2020-01-02;0400;-3.598;
2020-01-02;0500;-3.599;
2020-01-02;0600;-3.6;
2020-01-02;0700;-3.6;
2020-01-02;0800;-3.6;
2020-01-02;0900;5.002;
2020-01-02;1000;195.358;
2020-01-02;1100;694.191;
2020-01-02;1200;1090.545;
2020-01-02;1300;1715.857;
2020-01-02;1400;2005.081;
2020-01-02;1500;2694.916;
2020-01-02;1600;2927.344;
2020-01-02;1700;2979.549;
2020-01-02;1800;2018.375;
2020-01-02;1900;1725.362;
2020-01-02;2000;2087.792;
2020-01-02;2100;1542.968;
2020-01-02;2200;630.522;
2020-01-02;2300;72.514;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.6;
2020-01-03;0200;-3.6;
2020-01-03;0300;-3.6;
2020-01-03;0400;-3.6;
2020-01-03;0500;-3.6;
2020-01-03;0600;-3.6;
2020-01-03;0700;-3.6;
2020-01-03;0800;-3.6;
2020-01-03;0900;4.339;
2020-01-03;1000;342.031;
2020-01-03;1100;1202.248;
2020-01-03;1200;1630.914;
2020-01-03;1300;2881.992;
2020-01-03;1400;3301.049;
2020-01-03;1500;3325.437;
2020-01-03;1600;3693.989;
2020-01-03;1700;2863.827;
2020-01-03;1800;2581.013;
2020-01-03;1900;2866.557;
2020-01-03;2000;2390.918;
2020-01-03;2100;1226.416;
2020-01-03;2200;627.921;
2020-01-03;2300;71.051;
2020-01-04;0000;-3.6;
2020-01-04;0100;-3.6;
2020-01-04;0200;-3.6;
2020-01-04;0300;-3.6;
2020-01-04;0400;-3.6;
2020-01-04;0500;-3.6;
2020-01-04;0600;-3.6;
2020-01-04;0700;-3.6;
2020-01-04;0800;-3.6;
2020-01-04;0900;2.776;
