Nome: PLANALTO
Codigo Estacao: A855
Latitude: -25.72194443
Longitude: -53.74805555
Altitude: 399.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;961.920833;21.566667;30.5;25.229167;21;80.75;61;12.9;.291667;
2020-01-02;1;962.095833;21.775;31.5;24.691667;22;84.708333;56;12.9;1.033333;
2020-01-03;2;964.570833;18.7125;30.4;24.808333;20.7;69.791667;49;8.2;2.116667;
2020-01-04;0;964.054167;17.3;32.4;24.95;19.3;64.75;39;8.7;1.6375;
2020-01-05;0;960.870833;17.9;33.7;25.579167;18.7;64.166667;33;7.1;1.604167;
2020-01-06;0;960.5625;18.991667;33.8;25.791667;20;68.125;37;11.3;2.7375;
2020-01-07;0;962.545833;19.495833;32.1;25.033333;20.5;72.875;48;8.2;.570833;
2020-01-08;0;963.3875;20.6;34.5;26.820833;20.7;70.958333;42;4.3;.016667;
2020-01-09;0;964.408333;22.004167;33.3;26.1;22.6;79.083333;51;11.6;.833333;
2020-01-10;15;964.2375;22.7;31.7;25.85;22.7;83.416667;61;10.1;1.420833;
2020-01-11;19.6;964.166667;22.975;31.2;24.979167;22.2;89.041667;69;12.9;1.070833;
2020-01-12;6.4;966.083333;22.758333;33.3;26.533333;22.7;81.125;56;10.1;.029167;
2020-01-13;0;967.016667;21.875;31.6;25.454167;23.2;81.333333;58;6.3;1.170833;
2020-01-14;20;966.804167;21.779167;29;24.004167;22.1;87.666667;69;8.9;.666667;
2020-01-15;15.8;964.545833;22.570833;33.2;26.391667;22.3;81;51;11.1;.95;
2020-01-16;.2;966.858333;22.6;32.6;25.2875;24.5;85.708333;59;20.7;1.4125;
2020-01-17;9.4;969.304167;20.654167;32.6;25.229167;19.8;77.833333;50;5.4;.120833;
2020-01-18;0;969.945833;19.008333;32.1;25.533333;20.1;68.291667;47;9.6;2.5875;
2020-01-19;0;968.291667;19.7625;33;26.491667;20.8;68.666667;41;6.8;1.075;
2020-01-20;0;965.691667;19.508333;33.2;26.333333;21;67.75;40;6.4;1.029167;
2020-01-21;0;962.2625;20.258333;30.9;25.754167;21.4;72.708333;54;7.4;1.3;
2020-01-22;15.4;960.808333;19.170833;25.5;21.608333;20.9;86.041667;75;11.7;3.895833;
2020-01-23;8.6;962.575;17.504167;22;20.175;19.2;84.875;74;11.4;2.541667;
2020-01-24;26;962.895833;16.945833;31.4;23.245833;16.7;70.166667;41;6.3;1.2375;
2020-01-25;0;963.845833;17.045833;32.1;24.5;17.3;65.625;37;6.5;.641667;
2020-01-26;0;964.629167;17.016667;33.8;25.4125;17.6;64.291667;26;7.5;.429167;
2020-01-27;0;964.970833;16.191667;34.5;26.35;17.6;57.375;29;7.2;.5125;
2020-01-28;0;963.9125;18.3375;35.5;27.341667;21.7;60.708333;31;8.7;1.295833;
2020-01-29;0;963.85;19.795833;33.8;25.608333;22.1;71.166667;48;10;1.925;
2020-01-30;34.8;965.470833;19.908333;28.8;22.120833;19.4;87.75;61;11;1.504167;
2020-01-31;9.8;967.275;19.65;31.1;23.75;19.3;79.875;49;5.9;.629167;
2020-02-01;0;967.1375;18.8;34.3;25.825;18.3;68.541667;38;5.1;.25;
2020-02-02;2.2;967.016667;21.5375;28.7;23.879167;22.6;86.958333;56;11.8;1.120833;
2020-02-03;31.2;967.508333;18.404167;31.7;24.233333;17.5;72.625;45;7.6;1.429167;
2020-02-04;0;967.079167;18.25;32.4;25.45;19.7;65.583333;44;9.5;2.595833;
2020-02-05;0;965.920833;19.470833;33.8;26.0125;20.6;69.25;42;8.5;1.7;
2020-02-06;0;966.6875;20.0875;34.7;27.154167;21.5;67.125;43;7;1.495833;
2020-02-07;0;965.275;18.991667;34;26.629167;21.5;64.791667;37;8.8;2.295833;
2020-02-08;0;964.291667;20.545833;34;27.1;22.3;68.666667;43;7.7;1.645833;
2020-02-09;0;964.6125;20.725;35.6;26.170833;22.1;74.125;40;12.9;.870833;
2020-02-10;5.4;966.3;20.041667;33.6;25.658333;20.8;72.833333;45;8.6;2.191667;
2020-02-11;0;967.904167;18.2125;32.2;25.3125;20.5;66.25;45;8.1;2.266667;
2020-02-12;0;967.5125;17.008333;34.5;25.429167;21.1;61.125;36;9;2.4125;
2020-02-13;0;967.454167;16.375;34.3;25.520833;19.8;59.916667;34;8.5;2.420833;
2020-02-14;0;967.016667;16.229167;31.5;25.1625;20.2;58.958333;39;8.5;1.9;
2020-02-15;0;965.733333;17.795833;32.8;26.325;21.6;60.583333;41;7.8;1.5875;
2020-02-16;0;965.391667;19.795833;34.2;25.391667;23.1;72.583333;40;11.8;2.945833;
2020-02-17;.2;963.729167;19.958333;38.3;27.779167;22.1;66.375;31;21.9;3.075;
2020-02-18;0;964.4875;20.816667;37.3;27.466667;23.5;69.25;37;15.5;3.145833;
2020-02-19;.2;964.145833;20.7875;35.8;26.920833;20.7;71.708333;42;8;1.325;
2020-02-20;0;964.220833;18.683333;38;28.55;22;61.416667;20;9.8;1.695833;
2020-02-21;0;966.808333;14.645833;34.1;26.079167;20.3;51.208333;28;11.7;2.354167;
2020-02-22;0;970.283333;7.554167;28.9;20.7875;13.3;45.083333;22;11.4;3.3125;
2020-02-23;0;968.320833;12.425;33.3;23.295833;13.7;52.5;30;11.7;2.120833;
2020-02-24;0;965.183333;17.791667;35;26.225;19.7;62.541667;33;11.2;1.833333;
2020-02-25;1.6;963.6375;21.3875;28;23.8;23.2;86.416667;62;12;1.325;
2020-02-26;61.2;963.145833;18.875;29.8;23.6;20.7;77.208333;44;9.8;2.545833;
2020-02-27;0;967.179167;11.766667;29.3;22.2875;15.8;56.375;23;7.9;1.658333;
2020-02-28;0;968.654167;13.6375;32.2;23.1125;14.3;57;32;6.7;2.054167;
2020-02-29;0;969.9125;14.925;34.1;25.370833;18.9;55.083333;26;8.8;2.1875;
2020-03-01;0;970.520833;13.845833;32.3;25.2625;19.7;51.125;29;10.5;3.3875;
2020-03-02;0;970.758333;14.316667;32.6;23.9375;17.8;56.375;33;11.5;3;
2020-03-03;0;969.291667;15.120833;32.5;23.625;17.4;62.083333;32;11.9;2.291667;
2020-03-04;0;968.329167;15.379167;31.8;24.15;18.2;61.166667;30;6.9;1.845833;
2020-03-05;0;968.379167;13.6875;33;25.304167;17.4;51.666667;27;7.7;1.679167;
2020-03-06;0;967.966667;14.033333;32.9;25.245833;19.8;52.5;26;10.1;1.975;
2020-03-07;0;965.5625;15.104167;32.7;25.216667;20.3;55.208333;34;8.6;1.875;
2020-03-08;0;966.279167;14.808333;33.5;24.870833;18.1;56.375;32;9.9;2.295833;
2020-03-09;0;968.670833;15.7;34.4;26.129167;19.8;55.583333;28;7.2;1.370833;
2020-03-10;0;968.8;12.8;35.1;27.1125;19.6;45.416667;19;10.5;1.516667;
2020-03-11;0;966.495833;13.995833;35.3;27.245833;21;46.333333;25;10.4;2.245833;
2020-03-12;0;966.904167;15.6125;36.9;28.15;22.6;48.083333;27;10;2.233333;
2020-03-13;0;968.108333;17.408333;37;28.5;22.8;53.875;25;7.8;1.154167;
2020-03-14;0;967.929167;11.666667;37.3;28.708333;22.4;41.083333;14;9;1.904167;
2020-03-15;0;966.833333;12.1625;36.8;28.0625;21;39;21;7.7;1.675;
2020-03-16;0;965.9125;15.929167;35.9;28.179167;21.4;50.25;24;8.6;1.779167;
2020-03-17;0;965.958333;17.333333;36.6;27.2125;21.5;56.833333;26;11.3;1.320833;
2020-03-18;4;966.1625;20.1375;26.6;22.816667;23.4;85.333333;62;18.4;1.5875;
2020-03-19;44.6;965.45;20.241667;25.5;21.95;19.3;90.125;76;5;.625;
2020-03-20;1.4;964.520833;14.604167;28.8;23.0625;17.6;63.541667;28;7.4;1.408333;
2020-03-21;0;965.1125;12.008333;30.2;21.891667;14.1;57.75;23;7.6;.333333;
2020-03-22;0;968.233333;14.316667;32.5;23.975;17.1;57.458333;27;9.1;1.675;
2020-03-23;0;970.766667;13.783333;31.8;24.883333;19.6;52.5;29;8.7;2.083333;
2020-03-24;0;970.183333;12.091667;29.8;23.520833;17.8;50.708333;26;10.4;3.5;
2020-03-25;0;967.825;12.85;31.4;23.804167;18.4;52.458333;30;9.8;2.975;
2020-03-26;0;967.704167;12.95;31.6;24.3625;19;51.5;25;10.3;1.85;
2020-03-27;0;966.570833;13.104167;31.8;24.141667;18.6;52.166667;30;9.2;1.9625;
2020-03-28;0;967.3125;15.704167;31.3;24.358333;21.1;59.875;38;11;2.916667;
2020-03-29;10.6;969.0875;19.7125;32.4;25.0875;20.4;74.416667;46;8.4;1.608333;
2020-03-30;0;969.541667;20.029167;32.3;26.091667;21.3;71.333333;46;5.5;.354167;
2020-03-31;0;967.795833;19.358333;33.6;26.379167;20.8;67.708333;39;7.9;1.270833;
2020-04-01;0;967.0375;18.379167;34.6;25.55;19.4;67.708333;34;11;1.308333;
2020-04-02;0;966.904167;19.433333;29;24.666667;22.4;73.208333;54;11.1;1.379167;
2020-04-03;0;967.720833;10.716667;25.1;19.225;12.7;60.625;33;9.4;3.125;
2020-04-04;0;966.845833;9.5875;27.7;18.7625;11.2;60.291667;25;7.6;.8125;
2020-04-05;0;966.516667;11.0625;32.2;22.5375;14.7;51.166667;27;8.6;1.554167;
2020-04-06;0;967.429167;17.179167;25.6;21.691667;20.7;77.208333;49;12.5;.904167;
2020-04-07;35.4;971.1;13.85;26.1;20.666667;16.8;68.5;30;9.8;2.270833;
2020-04-08;0;971.491667;8.083333;27.1;18.425;10.4;54.291667;25;8.3;2.008333;
2020-04-09;0;969.929167;6.5625;26.7;18.483333;10;48.291667;22;8.1;1.633333;
2020-04-10;0;969.295833;8.15;26.1;17.8375;11.5;56.458333;27;6.6;1.304167;
2020-04-11;0;968.379167;9.404167;26.9;18.820833;11;56.583333;30;7.3;.95;
2020-04-12;0;969.020833;12.166667;28.6;20.3;13.3;61.791667;35;10.1;2.108333;
2020-04-13;0;967.254167;14.3375;30.6;21.8;16.3;63.916667;41;7.8;2.533333;
2020-04-14;12;966.695833;13.35;24.6;17.970833;15.5;76.166667;46;10.6;2.745833;
2020-04-15;0;970.5625;6.795833;22.1;14.65;6.7;63.083333;30;7.4;1.204167;
2020-04-16;0;974.366667;6.883333;23.9;15.495833;7.5;59.916667;31;7;1.075;
2020-04-17;0;975.025;8.104167;27;17.479167;9.3;57.333333;28;9;.55;
2020-04-18;0;974.020833;10.158333;27.3;19.333333;12.9;57.25;32;9.6;2.320833;
2020-04-19;0;973.254167;12.054167;28;20.529167;15.5;60.125;35;9.7;2.558333;
2020-04-20;0;971.85;12.675;28.6;21.079167;15.6;60.541667;36;8;1.820833;
2020-04-21;0;970.7125;13.008333;29.2;21.408333;15.2;61.5;33;7.2;1.166667;
2020-04-22;0;969.7875;12.245833;29.8;21.570833;14.8;59.25;30;5.9;1.041667;
2020-04-23;0;969.075;11.491667;29.9;21.808333;16.3;55.083333;25;7.6;1.425;
2020-04-24;0;969.1;10.6875;29.7;21.533333;15.5;52;28;8.3;2.079167;
2020-04-25;0;970.2625;13.2;32.8;23.558333;16.8;53.625;36;7.7;2.375;
2020-04-26;0;972.2875;16.941667;32.4;25.841667;21.3;59.416667;36;6.9;1.904167;
2020-04-27;0;973.133333;13.441667;31;24.975;20.5;51.291667;30;10.9;2.604167;
2020-04-28;0;971.654167;14.1625;30.9;23.854167;18.8;56.916667;32;10.1;3.65;
2020-04-29;0;971.579167;14.475;30.7;23.641667;18.6;57.833333;37;8.1;1.495833;
