Nome: PLANALTO
Codigo Estacao: A855
Latitude: -25.72194443
Longitude: -53.74805555
Altitude: 399.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.169;
2020-01-01;0300;-3.536;
2020-01-01;0400;-3.527;
2020-01-01;0500;-2.769;
2020-01-01;0600;-2.946;
2020-01-01;0700;-3.483;
2020-01-01;0800;-3.54;
2020-01-01;0900;5.891;
2020-01-01;1000;305.505;
2020-01-01;1100;982.674;
2020-01-01;1200;1941.378;
2020-01-01;1300;2531.901;
2020-01-01;1400;2446.85;
2020-01-01;1500;1867.524;
2020-01-01;1600;1101.471;
2020-01-01;1700;1645.817;
2020-01-01;1800;1843.621;
2020-01-01;1900;979.575;
2020-01-01;2000;701.341;
2020-01-01;2100;1401.349;
2020-01-01;2200;397.547;
2020-01-01;2300;23.782;
2020-01-02;0000;-3.499;
2020-01-02;0100;-3.535;
2020-01-02;0200;-3.375;
2020-01-02;0300;-3.179;
2020-01-02;0400;-2.577;
2020-01-02;0500;-2.562;
2020-01-02;0600;-1.351;
2020-01-02;0700;-.47;
2020-01-02;0800;-.965;
2020-01-02;0900;3.278;
2020-01-02;1000;165.984;
2020-01-02;1100;439.879;
2020-01-02;1200;828.38;
2020-01-02;1300;1697.249;
2020-01-02;1400;2119.09;
2020-01-02;1500;3865.974;
2020-01-02;1600;4158.788;
2020-01-02;1700;994.37;
2020-01-02;1800;530.554;
2020-01-02;1900;633.38;
2020-01-02;2000;670.904;
2020-01-02;2100;387.091;
2020-01-02;2200;103.778;
2020-01-02;2300;28.985;
2020-01-03;0000;-2.34;
2020-01-03;0100;-3.538;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.203;
2020-01-03;0400;-3.477;
2020-01-03;0500;-3.538;
2020-01-03;0600;-3.54;
2020-01-03;0700;-3.54;
2020-01-03;0800;-3.54;
2020-01-03;0900;1.48;
