Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;14.4;938.145833;20.65;28.3;23.525;19.7;84.291667;69;10;1.2125;
2020-01-02;17.8;940.2625;18.620833;25.6;21.820833;19.3;82.791667;58;9;2.216667;
2020-01-03;0;943.125;15.729167;28;21.308333;16.2;72.583333;45;10.2;2.625;
2020-01-04;0;941.425;16.145833;29.2;22.0875;16.2;71.333333;42;8.1;2.2;
2020-01-05;0;937.379167;16.825;31;23.158333;16.2;69.916667;37;8.3;2.3625;
2020-01-06;0;936.545833;17.745833;31.7;24.9875;20.1;64.833333;42;11.4;3.791667;
2020-01-07;0;938.916667;18.741667;30.5;24.45;19;72.5;45;7.8;1.7;
2020-01-08;0;939.675;16.475;32.3;25.5625;18.7;58.958333;36;8.2;1.858333;
2020-01-09;0;940.2125;20.045833;32.7;27.229167;21.6;66.25;46;12.1;3.054167;
2020-01-10;3;940.541667;22.05;29.5;23.608333;21.2;91.5;69;9.9;1.916667;
2020-01-11;39;940.445833;21.129167;28.5;23.475;20.4;87.625;67;12.8;.983333;
2020-01-12;0;943.4625;19.725;30.2;24.595833;20;76.5;47;7.9;1.916667;
2020-01-13;0;944.029167;18.3125;31.2;24.870833;18;67.833333;50;8.9;2.3375;
2020-01-14;0;942.958333;19.241667;30.6;24.579167;18.9;73.041667;53;9.4;2.8625;
2020-01-15;0;940.345833;21.5125;29.4;24.491667;22.1;83.958333;69;13.6;4.204167;
2020-01-16;48.8;944.075;20.179167;23.5;20.675;20.3;97.125;88;9;2.358333;
2020-01-17;13.4;947.908333;14.579167;25;18.233333;11.7;79.791667;65;10.2;2.620833;
2020-01-18;0;946.670833;18.291667;29.3;22.083333;15.9;80.666667;59;7.8;2.170833;
2020-01-19;0;944.9;19.320833;30.7;24.958333;19.9;71.958333;53;7.4;1.925;
2020-01-20;0;942.413043;19.256522;30.4;25.326087;21.2;69.521739;49;7.6;2.230435;
2020-01-21;0;939.4125;19.5625;26.5;22.383333;20.6;84.333333;73;7.6;2.15;
2020-01-22;7.8;939.054167;17.625;21.4;18.275;18.5;96;89;9.6;2.191667;
2020-01-23;12.2;940.729167;15.616667;25.4;19.591667;14.5;78.958333;59;9.2;2.383333;
2020-01-24;0;941.020833;15.375;26.6;20.2875;14.4;74.333333;53;8.8;2.1375;
2020-01-25;0;940.558333;15.108333;28;21.941667;15.8;67.958333;37;7.5;1.8875;
2020-01-26;0;941.154167;14.083333;29.3;24.1625;19;54.166667;33;6;.879167;
2020-01-27;0;941.65;17.854167;30.2;24.820833;21.3;65.458333;52;10.1;1.291667;
2020-01-28;0;941.295833;17.175;30.8;23.579167;17.6;70.083333;39;7.4;1.870833;
2020-01-29;1.6;940.466667;18.958333;26.2;22.1875;20.4;82.541667;53;9.3;2.708333;
2020-01-30;24.4;940.991667;18.720833;25;20.270833;18.2;91.291667;70;13.7;3.8625;
2020-01-31;3.8;943.066667;18.7125;27.7;21.725;18;84.916667;53;10.9;2.220833;
2020-02-01;0;944.170833;17.275;28.7;22.804167;17.6;73.041667;47;5.8;1.1125;
2020-02-02;0;943.5875;17.795833;29.4;23.233333;18.1;72.166667;56;14;2.333333;
2020-02-03;0;944.866667;18.179167;29.1;22.779167;16.9;77.875;49;11.2;1.7;
2020-02-04;0;944.2;17.870833;29.6;23.179167;17.7;73.833333;49;9.8;2.604167;
2020-02-05;0;943.2;18.716667;30.4;23.5;17.9;75.708333;52;10.9;2.445833;
2020-02-06;0;943.870833;19.679167;31.1;24.879167;19.4;74.083333;48;8.3;2.1;
2020-02-07;0;942.941667;19.066667;30.3;24.308333;18.6;74.166667;49;8.4;2.325;
2020-02-08;0;941.345833;19.979167;31;23.870833;19.5;79.875;53;10.9;2.208333;
2020-02-09;3.4;941.904167;20.2125;27.3;23.3125;20.4;83.416667;64;11.3;2.366667;
2020-02-10;0;945.316667;14.804167;26;20.166667;15.2;73.333333;43;8.2;2.566667;
2020-02-11;0;945.6;14.591667;28.1;20.833333;14.7;70.416667;37;6.8;2.029167;
2020-02-12;0;944.325;15.245833;29.7;21.758333;15.8;69;39;10.9;2.658333;
2020-02-13;0;944.0875;15.8375;30.5;23.125;16.4;65.666667;39;9.4;2.4;
2020-02-14;0;943.4125;16.529167;29.4;23.95;19;63.958333;47;11.4;3.420833;
2020-02-15;2.8;942.525;18.229167;24.9;21.479167;19.8;82.208333;65;10.6;2.716667;
2020-02-16;8;942.2;19.729167;24.8;22.020833;19;86.958333;75;9.6;2.579167;
2020-02-17;3.2;940.479167;20.95;31.6;25.158333;19.5;79.25;56;11.5;3.3625;
2020-02-18;0;940.429167;21.2625;28.8;24.058333;23.5;84.916667;68;14.6;3.620833;
2020-02-19;2.8;941.229167;18.166667;27.9;21.570833;16.9;83.166667;50;6.9;.820833;
2020-02-20;.2;942.154167;16.079167;28.1;22.208333;17.1;70.458333;40;8.5;1.908333;
2020-02-21;0;945.570833;12.233333;22.5;17.845833;13.9;72.333333;37;9.6;1.679167;
2020-02-22;0;948.2375;7.479167;20.9;14.558333;8.9;64.625;33;9.6;3.2875;
2020-02-23;0;945.7625;11.291667;27.8;18.458333;10.5;65.291667;40;8.5;2.145833;
2020-02-24;0;941.620833;15.695833;30;22.641667;15.5;66;46;11.6;3.3;
2020-02-25;4.2;939.6;20.404167;29.3;22.516667;20.4;88.541667;64;11.7;2.7625;
2020-02-26;43;940.366667;16.233333;23.9;19.429167;16.5;83.458333;51;10.1;2.404167;
2020-02-27;.2;944.604167;11.133333;24.3;18.191667;12.5;66.333333;38;8.3;.925;
2020-02-28;0;945.845833;12.695833;27;20.5;14.3;62.291667;40;7.6;1.570833;
2020-02-29;0;947.275;13.504167;28.1;21.245833;15.1;63.333333;37;6.5;1.395833;
2020-03-01;0;948.616667;12.8;27.9;20.991667;14.6;63.041667;29;10.2;2.004167;
2020-03-02;0;948.375;13.616667;27.6;20.479167;13.7;66.916667;42;8.3;2.2125;
2020-03-03;0;946.316667;14.425;27.7;21.079167;14.6;67.958333;42;7.3;1.920833;
2020-03-04;0;944.870833;13.6375;28.3;22.133333;16.4;61.791667;31;7.1;1.8125;
2020-03-05;0;945.9625;13.816667;28.5;20.770833;14.3;67.791667;36;6.5;1.775;
2020-03-06;0;944.991667;13.920833;29.6;21.8875;15;63.75;33;7.8;2.225;
2020-03-07;0;942.154167;14.479167;28.8;21.975;16.1;63.541667;45;10.3;2.691667;
2020-03-08;0;942.620833;12.2375;31;23.091667;16.4;52.916667;29;9.7;2.808333;
2020-03-09;0;945.375;12.279167;32;25.983333;20.1;44.25;29;6.8;.479167;
2020-03-10;0;945.8375;11.970833;32.3;26.658333;19.8;41.458333;26;10.1;1.229167;
2020-03-11;0;943.733333;14.895833;32.9;25.495833;18.8;57.583333;27;9.5;2.495833;
2020-03-12;0;943.916667;13.920833;34.7;26.670833;19;47.458333;28;8.2;2.129167;
2020-03-13;0;945.041667;14.479167;35.3;28.783333;22.2;43.166667;25;7.9;1.820833;
2020-03-14;0;944.766667;12.470833;34.9;28.545833;21.3;39.625;21;12.1;2.604167;
2020-03-15;0;943.741667;15.416667;35;25.929167;19.8;56.458333;25;10;2.370833;
2020-03-16;0;943.1875;19.1625;29.1;22.608333;19.2;82.208333;54;9;2.158333;
2020-03-17;0;942.695833;17.070833;34.2;24.775;17.5;68.125;32;8.9;2.2625;
2020-03-18;30.2;941.504167;19.458333;28.3;22.3125;18.9;84.666667;47;15.9;2.9375;
2020-03-19;1;940.870833;18.45;29;22.5375;19.4;80.75;42;9.9;1.341667;
2020-03-20;0;941.283333;11.966667;25.5;19.1;12.5;65.333333;39;8.8;1.85;
2020-03-21;0;942.4125;11.020833;28.5;20.295833;14;59.416667;26;5.9;1.366667;
2020-03-22;0;945.2875;12.520833;30.7;22.333333;14.8;58.916667;25;7.7;1.5625;
2020-03-23;0;947.395833;12.879167;30.5;23.079167;16.2;56.166667;28;8.3;2.370833;
2020-03-24;0;946.908333;11.2875;29.4;23.2;16.8;49.625;27;8.6;3.204167;
2020-03-25;0;944.870833;10.9;29.4;22.645833;16.6;50.916667;23;9.3;2.370833;
2020-03-26;0;944.645833;10.35;29.8;22.991667;15.8;47.458333;23;8.2;2.158333;
2020-03-27;0;943.666667;11.2875;29.8;22.6125;15.4;51.5;29;9.5;2.133333;
2020-03-28;.4;944.558333;13.679167;27.5;21.720833;17;62.041667;34;9.8;2.870833;
2020-03-29;4;945.6625;18.004167;30.1;22.795833;17.4;76.833333;48;10.2;2.454167;
2020-03-30;.2;945.829167;19.216667;30.9;23.245833;20.1;79.375;51;13.5;2.258333;
2020-03-31;18.2;944.304167;17.9;31;24.320833;19.1;71.958333;32;7.6;1.108333;
2020-04-01;0;943.575;17.016667;31.9;24.420833;18.5;66.583333;31;8.4;2.491667;
2020-04-02;4.4;942.816667;18.620833;25.4;21.0375;20.4;86.625;59;10.9;1.604167;
2020-04-03;4.2;943.966667;9.5375;20.2;14.433333;9.2;73.25;53;9;2.5625;
2020-04-04;0;943.2625;10.083333;24.2;17.395833;11.9;64.916667;36;6.9;.629167;
2020-04-05;0;942.858333;9.120833;28.4;20.7625;14.2;50.166667;26;8.6;.995833;
2020-04-06;10;943.704167;13.9125;23.7;19.0375;15;77.791667;34;12.9;.945833;
2020-04-07;25.6;948.341667;9.2125;19.4;14.795833;11.2;72.958333;33;8.8;.658333;
2020-04-08;0;949.095833;4.416667;20.1;12.775;6.4;59.083333;31;6.6;.029167;
2020-04-09;0;947.554167;6.695833;21;13.645833;8.2;64.541667;40;7.9;.458333;
2020-04-10;0;946.775;8.466667;21.2;14.370833;9.3;70.333333;41;8.7;.066667;
2020-04-11;0;946.016667;8.504167;23.9;16.116667;9.9;64.458333;33;6.8;.133333;
2020-04-12;0;945.879167;8.933333;25.9;17.866667;10.5;60.833333;26;7.6;.266667;
2020-04-13;0;943.3375;11.8625;27.7;20.1375;14;60.541667;35;10.8;1.725;
2020-04-14;8.6;941.641667;11.320833;18.3;13.020833;10.7;90.375;59;11.8;.995833;
2020-04-15;1.2;945.291667;5.4;19.3;11.729167;6;69.875;32;8;.741667;
2020-04-16;0;950.083333;5.4625;20.6;13.9875;8.8;57.958333;34;6;.733333;
2020-04-17;0;952.233333;9.116667;22.6;15.65;10.7;66.333333;44;6.7;.708333;
2020-04-18;0;951.083333;10.916667;25.1;17.333333;11.2;70.375;33;7.7;.808333;
2020-04-19;0;949.820833;10.475;25.4;18.016667;11.6;64.041667;35;8.3;.520833;
2020-04-20;0;948.195833;11.5625;26.6;19.575;13.6;61.208333;40;6.2;.154167;
2020-04-21;0;947.075;11.45;27.4;21.15;16.2;55.458333;34;4.8;0;
