Nome: SAO MIGUEL DO OESTE
Codigo Estacao: A857
Latitude: -26.77638888
Longitude: -53.50416666
Altitude: 700
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;934.4125;20.495833;27.2;23.7125;22;82.416667;69;8.7;2.033333;
2020-01-02;8;935.220833;20.529167;27.8;23.3;21;85.166667;66;9.9;2.933333;
2020-01-03;0;937.795833;17.254167;27.8;22.245833;17.3;74.375;55;8.2;2.9;
2020-01-04;0;936.779167;16.429167;28.8;23.3375;18.7;67.125;40;7.9;1.7625;
2020-01-05;0;933.304167;16.470833;29.8;24.029167;19;63.75;38;10.4;2.575;
2020-01-06;0;932.820833;18.1875;31.8;25.408333;20.9;65.083333;37;12.3;3.154167;
2020-01-07;.2;935.0125;18.383333;29.6;24.745833;20.6;68.791667;50;10.8;1.7125;
2020-01-08;0;935.558333;19.354167;32.7;26.958333;21.9;64.875;42;6;1.8875;
2020-01-09;0;936.583333;20.908333;31.8;26.841667;23.5;70.458333;50;10.3;3.025;
2020-01-10;0;936.4625;21.866667;31.3;26.129167;22.8;78.083333;54;11.3;2.845833;
2020-01-11;22.2;936.370833;21.595833;28.8;24.154167;20.7;86.375;68;14;2.1875;
2020-01-12;0;938.8;21.804167;30.9;25.6;21.8;81.5;55;5.6;1.083333;
2020-01-13;0;939.545833;19.825;30.8;25.595833;21.7;70.791667;55;9.2;2.404167;
2020-01-14;22.8;939.025;20.829167;28.5;23.7;20;84.583333;63;11.5;2.141667;
2020-01-15;1;936.629167;21.441667;31.3;25.083333;21.7;81.166667;56;15.4;3.495833;
2020-01-16;3.6;939.783333;21.175;26.2;22.175;20.7;94.458333;80;13.5;2.85;
2020-01-17;29.4;942.491667;18.870833;25.7;20.375;16.2;91.583333;74;7.9;2.404167;
2020-01-18;0;942.154167;18.820833;30.1;23.729167;17;75.833333;52;7.9;2.158333;
2020-01-19;0;940.629167;18.633333;31;25.983333;20.8;65.125;38;5.9;1.65;
2020-01-20;0;938.2125;18.7625;30.3;26.125;21.7;64.541667;47;5.8;1.7625;
2020-01-21;0;934.958333;18.9375;27.4;24.65;22.6;70.916667;58;9.1;2.041667;
2020-01-22;5.4;933.8875;18.9375;22.7;19.8;19.1;94.958333;80;10.1;2.941667;
2020-01-23;9.8;935.4125;17.216667;25.8;20.325;16.6;83.958333;59;8.6;2.375;
