Nome: CACADOR
Codigo Estacao: A859
Latitude: -26.819156
Longitude: -50.98552
Altitude: 944.26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.541;
2020-01-01;0100;-1.995;
2020-01-01;0200;-1.759;
2020-01-01;0300;-3.044;
2020-01-01;0400;-3.056;
2020-01-01;0500;-3.159;
2020-01-01;0600;-3.248;
2020-01-01;0700;-2.998;
2020-01-01;0800;-2.437;
2020-01-01;0900;42.771;
2020-01-01;1000;479.596;
2020-01-01;1100;918.308;
2020-01-01;1200;1322.833;
2020-01-01;1300;1497.214;
2020-01-01;1400;2666.145;
2020-01-01;1500;1698.822;
2020-01-01;1600;1273.168;
2020-01-01;1700;1958.401;
2020-01-01;1800;2417.222;
2020-01-01;1900;1511.094;
2020-01-01;2000;871.838;
2020-01-01;2100;209.298;
2020-01-01;2200;281.31;
2020-01-01;2300;-.495;
2020-01-02;0000;-3.502;
2020-01-02;0100;-3.161;
2020-01-02;0200;-2.079;
2020-01-02;0300;-3.217;
2020-01-02;0400;-3.361;
2020-01-02;0500;-2.729;
2020-01-02;0600;-3.319;
2020-01-02;0700;-3.105;
2020-01-02;0800;-2.434;
2020-01-02;0900;27.768;
2020-01-02;1000;282.662;
2020-01-02;1100;483.287;
2020-01-02;1200;1009.019;
2020-01-02;1300;1860.246;
2020-01-02;1400;1766.071;
2020-01-02;1500;1495.371;
2020-01-02;1600;2173.94;
2020-01-02;1700;2551.206;
2020-01-02;1800;1765.973;
2020-01-02;1900;982.223;
2020-01-02;2000;1055.478;
2020-01-02;2100;350.615;
2020-01-02;2200;90.574;
2020-01-02;2300;-1.06;
2020-01-03;0000;-2.56;
2020-01-03;0100;-2.631;
2020-01-03;0200;-2.539;
2020-01-03;0300;-2.987;
2020-01-03;0400;-2.533;
2020-01-03;0500;-1.724;
2020-01-03;0600;-1.998;
2020-01-03;0700;-3.27;
2020-01-03;0800;-2.894;
2020-01-03;0900;51.463;
2020-01-03;1000;340.428;
2020-01-03;1100;805.543;
2020-01-03;1200;1377.985;
2020-01-03;1300;1644.255;
2020-01-03;1400;1571.143;
2020-01-03;1500;1195.786;
2020-01-03;1600;1658.121;
2020-01-03;1700;1397.283;
2020-01-03;1800;1899.667;
2020-01-03;1900;1035.104;
2020-01-03;2000;975.815;
2020-01-03;2100;483.253;
2020-01-03;2200;181.006;
2020-01-03;2300;-.9;
2020-01-04;0000;-3.241;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.54;
2020-01-04;0300;-3.244;
2020-01-04;0400;-3.163;
2020-01-04;0500;-3.208;
2020-01-04;0600;-3.161;
2020-01-04;0700;-1.955;
2020-01-04;0800;-.953;
2020-01-04;0900;25.628;
2020-01-04;1000;242.36;
2020-01-04;1100;511.813;
2020-01-04;1200;793.123;
2020-01-04;1300;980.813;
2020-01-04;1400;1873.437;
2020-01-04;1500;1057.741;
2020-01-04;1600;282.099;
2020-01-04;1700;296.358;
2020-01-04;1800;426.777;
2020-01-04;1900;632.265;
2020-01-04;2000;1438.734;
2020-01-04;2100;879.645;
2020-01-04;2200;202.333;
2020-01-04;2300;-.438;
2020-01-05;0000;-2.699;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.496;
2020-01-05;0300;-1.797;
2020-01-05;0400;-.566;
2020-01-05;0500;-1.617;
2020-01-05;0600;-2.074;
2020-01-05;0700;-3.44;
2020-01-05;0800;-2.819;
2020-01-05;0900;55.401;
2020-01-05;1000;420.818;
2020-01-05;1100;835.468;
2020-01-05;1200;1530.768;
2020-01-05;1300;2456.919;
2020-01-05;1400;2762.048;
2020-01-05;1500;3215.351;
2020-01-05;1600;3429.089;
2020-01-05;1700;3260.542;
2020-01-05;1800;1278.486;
2020-01-05;1900;635.669;
2020-01-05;2000;1741.499;
2020-01-05;2100;752.997;
2020-01-05;2200;123.276;
2020-01-05;2300;-1.202;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.113;
2020-01-06;0700;-3.422;
2020-01-06;0800;-3.18;
2020-01-06;0900;49.5;
2020-01-06;1000;399.889;
2020-01-06;1100;780.904;
2020-01-06;1200;1167.343;
2020-01-06;1300;2041.988;
2020-01-06;1400;2625.821;
2020-01-06;1500;2766.204;
2020-01-06;1600;1781.807;
2020-01-06;1700;2831.064;
2020-01-06;1800;2189.392;
2020-01-06;1900;1270.314;
2020-01-06;2000;531.546;
2020-01-06;2100;393.512;
2020-01-06;2200;208.203;
2020-01-06;2300;-2.722;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.54;
2020-01-07;0200;-3.54;
2020-01-07;0300;-3.536;
2020-01-07;0400;-3.454;
2020-01-07;0500;-3.507;
2020-01-07;0600;-3.137;
2020-01-07;0700;-2.325;
2020-01-07;0800;-2.913;
2020-01-07;0900;40.064;
2020-01-07;1000;189.554;
2020-01-07;1100;551.887;
2020-01-07;1200;740.46;
2020-01-07;1300;1201.742;
2020-01-07;1400;1393.543;
2020-01-07;1500;1374.512;
2020-01-07;1600;1249.313;
2020-01-07;1700;1376.616;
2020-01-07;1800;853.621;
2020-01-07;1900;428.873;
2020-01-07;2000;733.007;
2020-01-07;2100;404.792;
2020-01-07;2200;197.707;
2020-01-07;2300;3.374;
2020-01-08;0000;-2.098;
2020-01-08;0100;-2.68;
2020-01-08;0200;-3.54;
