Nome: LAGES
Codigo Estacao: A865
Latitude: -27.80222222
Longitude: -50.33555555
Altitude: 952.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;null;
2020-01-01;0100;-2.57;
2020-01-01;0200;-2.787;
2020-01-01;0300;-2.368;
2020-01-01;0400;-2.557;
2020-01-01;0500;-2.874;
2020-01-01;0600;-1.704;
2020-01-01;0700;-2.6;
2020-01-01;0800;-2.672;
2020-01-01;0900;24.653;
2020-01-01;1000;258.242;
2020-01-01;1100;1461.621;
2020-01-01;1200;1380.291;
2020-01-01;1300;2696.271;
2020-01-01;1400;2557.755;
2020-01-01;1500;3139.969;
2020-01-01;1600;3720.567;
2020-01-01;1700;1823.838;
2020-01-01;1800;2169.549;
2020-01-01;1900;2418.016;
2020-01-01;2000;697.513;
2020-01-01;2100;615.577;
2020-01-01;2200;356.639;
2020-01-01;2300;14.989;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.518;
2020-01-02;0200;-2.843;
2020-01-02;0300;-3.018;
2020-01-02;0400;-1.41;
2020-01-02;0500;-2.297;
2020-01-02;0600;-2.09;
2020-01-02;0700;-2.03;
2020-01-02;0800;-3.096;
2020-01-02;0900;47.728;
2020-01-02;1000;648.284;
2020-01-02;1100;1121.851;
2020-01-02;1200;1423.748;
2020-01-02;1300;2176.761;
2020-01-02;1400;2633.773;
2020-01-02;1500;3009.206;
2020-01-02;1600;2815.578;
2020-01-02;1700;2890.119;
2020-01-02;1800;2578.338;
2020-01-02;1900;2773.714;
2020-01-02;2000;1923.206;
2020-01-02;2100;1064.49;
2020-01-02;2200;365.796;
2020-01-02;2300;15.984;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.426;
2020-01-03;0200;-2.26;
2020-01-03;0300;-2.556;
2020-01-03;0400;-3.467;
2020-01-03;0500;-3.54;
2020-01-03;0600;-3.54;
2020-01-03;0700;-3.535;
2020-01-03;0800;-3.074;
2020-01-03;0900;23.684;
2020-01-03;1000;262.482;
2020-01-03;1100;1014.861;
2020-01-03;1200;1551.397;
2020-01-03;1300;2921.067;
2020-01-03;1400;2118.492;
2020-01-03;1500;2855.188;
2020-01-03;1600;3067.475;
2020-01-03;1700;2148.456;
2020-01-03;1800;2201.815;
2020-01-03;1900;1503.224;
2020-01-03;2000;779.58;
2020-01-03;2100;792.65;
2020-01-03;2200;201.948;
2020-01-03;2300;12.196;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.429;
2020-01-04;0200;-3.53;
2020-01-04;0300;-3.07;
2020-01-04;0400;-2.449;
