Nome: ARARANGUA
Codigo Estacao: A867
Latitude: -28.931353
Longitude: -49.49792
Altitude: 2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.545;
2020-01-01;0100;-.741;
2020-01-01;0200;-2.637;
2020-01-01;0300;-.789;
2020-01-01;0400;-1.92;
2020-01-01;0500;-3.395;
2020-01-01;0600;-3.432;
2020-01-01;0700;-3.429;
2020-01-01;0800;-2.757;
2020-01-01;0900;80.938;
2020-01-01;1000;255.859;
2020-01-01;1100;766.676;
2020-01-01;1200;1434.404;
2020-01-01;1300;2350.82;
2020-01-01;1400;3052.615;
2020-01-01;1500;3476.95;
2020-01-01;1600;2712.014;
2020-01-01;1700;2902.174;
2020-01-01;1800;2855.707;
2020-01-01;1900;363.634;
2020-01-01;2000;188.271;
2020-01-01;2100;101.182;
2020-01-01;2200;36.968;
2020-01-01;2300;.205;
2020-01-02;0000;-2.066;
2020-01-02;0100;-1.793;
2020-01-02;0200;1.401;
2020-01-02;0300;3.436;
2020-01-02;0400;1.734;
2020-01-02;0500;-.168;
2020-01-02;0600;.523;
2020-01-02;0700;-1.462;
2020-01-02;0800;.405;
2020-01-02;0900;81.744;
2020-01-02;1000;353.721;
2020-01-02;1100;917.135;
2020-01-02;1200;820.647;
2020-01-02;1300;2139.355;
2020-01-02;1400;2192.994;
2020-01-02;1500;2561.545;
2020-01-02;1600;2727.956;
2020-01-02;1700;2625.395;
2020-01-02;1800;2104.759;
2020-01-02;1900;1996.879;
2020-01-02;2000;1158.939;
2020-01-02;2100;460.001;
2020-01-02;2200;169.745;
2020-01-02;2300;.35;
2020-01-03;0000;-3.138;
2020-01-03;0100;-3.332;
2020-01-03;0200;-3.332;
2020-01-03;0300;-3.489;
2020-01-03;0400;-3.461;
2020-01-03;0500;-3.465;
2020-01-03;0600;-3.218;
2020-01-03;0700;-2.903;
2020-01-03;0800;-3.351;
2020-01-03;0900;82.494;
2020-01-03;1000;413.422;
2020-01-03;1100;1019.332;
2020-01-03;1200;1881.475;
2020-01-03;1300;2784.384;
2020-01-03;1400;2764.186;
2020-01-03;1500;2178.103;
2020-01-03;1600;2339.195;
2020-01-03;1700;2672.102;
2020-01-03;1800;2401.078;
2020-01-03;1900;1793.413;
2020-01-03;2000;1387.747;
2020-01-03;2100;460.182;
2020-01-03;2200;72.961;
2020-01-03;2300;-.631;
2020-01-04;0000;-1.746;
2020-01-04;0100;-1.328;
2020-01-04;0200;1.276;
2020-01-04;0300;-.386;
2020-01-04;0400;-1.879;
2020-01-04;0500;-3.22;
2020-01-04;0600;-3.512;
2020-01-04;0700;-3.088;
2020-01-04;0800;-2.325;
2020-01-04;0900;68.003;
2020-01-04;1000;372.33;
2020-01-04;1100;981.023;
2020-01-04;1200;863.217;
2020-01-04;1300;1862.676;
2020-01-04;1400;1553.555;
2020-01-04;1500;2167.676;
2020-01-04;1600;1540.902;
2020-01-04;1700;1663.265;
2020-01-04;1800;1831.018;
2020-01-04;1900;982.063;
2020-01-04;2000;534.493;
2020-01-04;2100;179.409;
2020-01-04;2200;131.162;
2020-01-04;2300;1.435;
2020-01-05;0000;-2.78;
2020-01-05;0100;-2.584;
2020-01-05;0200;-2.887;
2020-01-05;0300;-2.739;
2020-01-05;0400;-2.088;
2020-01-05;0500;-2.808;
2020-01-05;0600;-2.691;
2020-01-05;0700;-3.281;
2020-01-05;0800;-3.193;
2020-01-05;0900;83.802;
2020-01-05;1000;370.31;
2020-01-05;1100;1102.462;
2020-01-05;1200;2121.007;
2020-01-05;1300;2828.121;
2020-01-05;1400;2704.438;
2020-01-05;1500;2552.596;
2020-01-05;1600;3521.254;
2020-01-05;1700;3400.624;
2020-01-05;1800;2247.827;
2020-01-05;1900;1613.231;
2020-01-05;2000;1742.949;
2020-01-05;2100;838.939;
2020-01-05;2200;79.027;
2020-01-05;2300;-.17;
2020-01-06;0000;-3.536;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.504;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.538;
2020-01-06;0600;-3.51;
2020-01-06;0700;-3.425;
2020-01-06;0800;-3.04;
2020-01-06;0900;75.112;
2020-01-06;1000;476.753;
2020-01-06;1100;1498.762;
2020-01-06;1200;2303.964;
2020-01-06;1300;2965.063;
2020-01-06;1400;3484.435;
2020-01-06;1500;3757.927;
2020-01-06;1600;3815.55;
2020-01-06;1700;3628.057;
2020-01-06;1800;3224.903;
2020-01-06;1900;2603.67;
2020-01-06;2000;1851.511;
2020-01-06;2100;1024.692;
2020-01-06;2200;231.806;
2020-01-06;2300;-2.346;
2020-01-07;0000;-3.532;
2020-01-07;0100;-3.538;
2020-01-07;0200;-3.221;
2020-01-07;0300;-3.455;
2020-01-07;0400;-3.54;
2020-01-07;0500;-3.517;
2020-01-07;0600;-3.538;
2020-01-07;0700;-3.468;
2020-01-07;0800;-3.371;
2020-01-07;0900;77.9;
2020-01-07;1000;558.385;
2020-01-07;1100;1158.176;
2020-01-07;1200;1867.774;
2020-01-07;1300;2890.624;
2020-01-07;1400;3464.593;
2020-01-07;1500;3716.895;
2020-01-07;1600;1469.242;
2020-01-07;1700;945.385;
