Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1004.9125;22.3;33;26.016667;24.4;80.5;61;12.5;1.495833;
2020-01-02;35.6;1006.679167;21.258333;28.5;24.866667;21.7;80.958333;66;9.2;1.616667;
2020-01-03;.6;1012.1125;18.495833;28.9;24.491667;20.6;70.125;52;10.3;2.725;
2020-01-04;30;1010.829167;19.979167;26.7;22.654167;20.5;85.083333;70;10.7;2.3125;
2020-01-05;4.2;1007.5625;19.945833;28.4;23.6125;19.8;80.708333;64;7.9;2.154167;
2020-01-06;0;1005.779167;21.158333;32.1;25.454167;21;78.208333;58;8.3;1.879167;
2020-01-07;0;1006.2;22.116667;34.5;25.7875;22.7;81.125;50;11.8;1.6375;
2020-01-08;21.6;1009.5875;22.166667;27.8;24.8375;22.6;85.333333;77;6.5;1.329167;
2020-01-09;.2;1009.479167;22.754167;33.9;26.416667;22.4;81.083333;58;9.6;2.033333;
2020-01-10;0;1008.0375;23.916667;31.8;26.9875;23.9;83.666667;73;8.9;1.704167;
2020-01-11;4.6;1007.3125;23.1625;31.9;26.191667;23.5;83.791667;72;9.4;1.520833;
2020-01-12;4;1011.9125;21.3875;30.4;26.0875;22.2;76.041667;60;8.5;1.9875;
2020-01-13;.2;1015.045833;19.241667;29.6;24.370833;19.7;74.208333;54;8.7;2.1375;
2020-01-14;.2;1014.454167;19.304167;29.2;23.975;19.3;76.291667;56;8.5;1.816667;
2020-01-15;0;1010.654167;20.733333;31;25.116667;20.5;77.375;59;9.5;2.5375;
2020-01-16;0;1011.216667;21.275;29.4;24.508333;23.9;82.375;71;11;1.325;
2020-01-17;0;1019.420833;15.7875;25.8;21.104167;17.3;73.625;51;6;1.675;
2020-01-18;.8;1019.454167;17.020833;25.2;21.533333;17.9;75.958333;62;8.5;1.1625;
2020-01-19;.8;1016.479167;18.966667;27.2;22.666667;19.6;80.125;65;9.1;1.783333;
2020-01-20;.4;1012.895833;20.704167;29.8;24.433333;21.4;80.5;61;9.1;2.058333;
2020-01-21;0;1010.233333;19.179167;27.6;24.629167;21.2;72.291667;59;9.1;2.508333;
2020-01-22;0;1010.658333;18.841667;23.7;20.958333;20.2;87.708333;67;6.2;1.266667;
