Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.017;
2020-01-01;0100;-1.539;
2020-01-01;0200;-1.666;
2020-01-01;0300;-3.065;
2020-01-01;0400;-2.834;
2020-01-01;0500;-2.502;
2020-01-01;0600;-2.373;
2020-01-01;0700;-2.71;
2020-01-01;0800;-.956;
2020-01-01;0900;68.827;
2020-01-01;1000;293.609;
2020-01-01;1100;822.943;
2020-01-01;1200;1524.236;
2020-01-01;1300;2540.212;
2020-01-01;1400;2671.816;
2020-01-01;1500;3535.883;
2020-01-01;1600;3560.536;
2020-01-01;1700;3349.718;
2020-01-01;1800;2920.392;
2020-01-01;1900;869.606;
2020-01-01;2000;10.404;
2020-01-01;2100;147.728;
2020-01-01;2200;36.664;
2020-01-01;2300;-1.39;
2020-01-02;0000;-1.369;
2020-01-02;0100;-1.31;
2020-01-02;0200;-.291;
2020-01-02;0300;-.959;
2020-01-02;0400;-3.03;
2020-01-02;0500;-2.663;
2020-01-02;0600;-2.782;
2020-01-02;0700;-2.816;
2020-01-02;0800;-.178;
2020-01-02;0900;269.706;
2020-01-02;1000;978.095;
2020-01-02;1100;1328.396;
2020-01-02;1200;593.798;
2020-01-02;1300;1080.869;
2020-01-02;1400;2352.155;
2020-01-02;1500;1551.233;
2020-01-02;1600;1961.206;
2020-01-02;1700;781.172;
2020-01-02;1800;860.548;
2020-01-02;1900;962.415;
2020-01-02;2000;433.051;
2020-01-02;2100;194.168;
2020-01-02;2200;100.467;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.354;
2020-01-03;0100;-3.164;
2020-01-03;0200;-2.86;
2020-01-03;0300;-2.955;
2020-01-03;0400;-3.218;
2020-01-03;0500;-3.432;
2020-01-03;0600;-2.812;
2020-01-03;0700;-3.259;
2020-01-03;0800;-.442;
2020-01-03;0900;264.018;
2020-01-03;1000;932.954;
2020-01-03;1100;1964.659;
2020-01-03;1200;1987.009;
2020-01-03;1300;2072.087;
2020-01-03;1400;3002.119;
2020-01-03;1500;3698.967;
2020-01-03;1600;3423.576;
2020-01-03;1700;2697.413;
2020-01-03;1800;1882.962;
2020-01-03;1900;2245.943;
2020-01-03;2000;1216.108;
2020-01-03;2100;595.063;
2020-01-03;2200;80.182;
2020-01-03;2300;-3.54;
2020-01-04;0000;-3.522;
2020-01-04;0100;-2.634;
2020-01-04;0200;-2.536;
2020-01-04;0300;-1.944;
2020-01-04;0400;-1.846;
2020-01-04;0500;-1.959;
2020-01-04;0600;-1.987;
2020-01-04;0700;-1.046;
2020-01-04;0800;-2.078;
