Nome: CIDADE GAUCHA
Codigo Estacao: A869
Latitude: -23.35916666
Longitude: -52.93194443
Altitude: 365.79
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.419;
2020-01-01;0100;-3.479;
2020-01-01;0200;-2.844;
2020-01-01;0300;-3.137;
2020-01-01;0400;-3.077;
2020-01-01;0500;-3.027;
2020-01-01;0600;-3.323;
2020-01-01;0700;-3.532;
2020-01-01;0800;-3.376;
2020-01-01;0900;2.248;
2020-01-01;1000;215.806;
2020-01-01;1100;820.626;
2020-01-01;1200;1815.183;
2020-01-01;1300;2590.694;
2020-01-01;1400;3164.835;
2020-01-01;1500;3482.411;
2020-01-01;1600;2546.309;
2020-01-01;1700;2525.775;
2020-01-01;1800;2571.344;
2020-01-01;1900;2335.942;
2020-01-01;2000;443.789;
2020-01-01;2100;396.519;
2020-01-01;2200;79.524;
2020-01-01;2300;-2.511;
2020-01-02;0000;-2.271;
2020-01-02;0100;-3.001;
2020-01-02;0200;-3.213;
2020-01-02;0300;-3.012;
2020-01-02;0400;-3.365;
2020-01-02;0500;-3.275;
2020-01-02;0600;-2.965;
2020-01-02;0700;-3.458;
2020-01-02;0800;-.604;
2020-01-02;0900;2.261;
2020-01-02;1000;111.874;
2020-01-02;1100;317.924;
2020-01-02;1200;1322.948;
2020-01-02;1300;1870.791;
2020-01-02;1400;1812.173;
2020-01-02;1500;2024.554;
2020-01-02;1600;1696.36;
2020-01-02;1700;1763.377;
2020-01-02;1800;1631.948;
2020-01-02;1900;2368.848;
2020-01-02;2000;2077.197;
2020-01-02;2100;1356.241;
2020-01-02;2200;194.061;
2020-01-02;2300;6.157;
2020-01-03;0000;-2.892;
2020-01-03;0100;-2.61;
2020-01-03;0200;-3.103;
2020-01-03;0300;-3.538;
2020-01-03;0400;-3.531;
2020-01-03;0500;-3.534;
2020-01-03;0600;-3.467;
2020-01-03;0700;-2.193;
2020-01-03;0800;-2.283;
2020-01-03;0900;.883;
2020-01-03;1000;183.974;
2020-01-03;1100;989.443;
2020-01-03;1200;1396.074;
2020-01-03;1300;1388.48;
2020-01-03;1400;1862.052;
2020-01-03;1500;1255.217;
2020-01-03;1600;1123.004;
2020-01-03;1700;624;
2020-01-03;1800;1307.726;
2020-01-03;1900;477.187;
2020-01-03;2000;866.606;
2020-01-03;2100;619.799;
2020-01-03;2200;196.582;
2020-01-03;2300;9.855;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.54;
2020-01-04;0300;-3.265;
2020-01-04;0400;-2.883;
2020-01-04;0500;-3.54;
2020-01-04;0600;-3.54;
2020-01-04;0700;-3.516;
2020-01-04;0800;-3.485;
2020-01-04;0900;-.85;
2020-01-04;1000;189.45;
2020-01-04;1100;957.583;
2020-01-04;1200;1840.3;
2020-01-04;1300;2511.521;
2020-01-04;1400;2644.562;
2020-01-04;1500;2418.423;
2020-01-04;1600;2148.445;
2020-01-04;1700;1935.92;
2020-01-04;1800;2065.331;
2020-01-04;1900;1149.992;
2020-01-04;2000;858.095;
2020-01-04;2100;1304.234;
2020-01-04;2200;139.8;
2020-01-04;2300;11.857;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.537;
2020-01-05;0300;-3.327;
2020-01-05;0400;-2.444;
2020-01-05;0500;-3.521;
2020-01-05;0600;-2.595;
2020-01-05;0700;-3.474;
2020-01-05;0800;-3.54;
2020-01-05;0900;-.656;
2020-01-05;1000;281.013;
2020-01-05;1100;1023.273;
2020-01-05;1200;1917.373;
2020-01-05;1300;2781.988;
2020-01-05;1400;3173.103;
2020-01-05;1500;3050.625;
2020-01-05;1600;3293.973;
2020-01-05;1700;2650.042;
2020-01-05;1800;1727.656;
2020-01-05;1900;975.326;
2020-01-05;2000;1960.22;
2020-01-05;2100;1309.019;
2020-01-05;2200;125.847;
2020-01-05;2300;5.304;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.513;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.54;
2020-01-06;0900;1.262;
2020-01-06;1000;238.365;
2020-01-06;1100;1006.659;
2020-01-06;1200;1734.836;
2020-01-06;1300;2630.893;
2020-01-06;1400;3156.137;
2020-01-06;1500;3164.144;
2020-01-06;1600;3630.984;
2020-01-06;1700;3315.868;
2020-01-06;1800;3069.63;
2020-01-06;1900;2772.044;
2020-01-06;2000;1999.355;
2020-01-06;2100;1300.683;
2020-01-06;2200;149.829;
2020-01-06;2300;7.425;
2020-01-07;0000;-3.432;
2020-01-07;0100;-3.383;
2020-01-07;0200;-3.54;
2020-01-07;0300;-3.214;
2020-01-07;0400;-2.79;
2020-01-07;0500;-3.192;
2020-01-07;0600;-2.313;
2020-01-07;0700;-2.829;
2020-01-07;0800;-1.612;
2020-01-07;0900;1.365;
2020-01-07;1000;34.404;
2020-01-07;1100;48.265;
2020-01-07;1200;11.729;
2020-01-07;1300;34.76;
2020-01-07;1400;137.132;
2020-01-07;1500;326.753;
2020-01-07;1600;369.264;
2020-01-07;1700;1154.487;
2020-01-07;1800;1547.463;
2020-01-07;1900;1130.238;
2020-01-07;2000;825.435;
2020-01-07;2100;477.071;
2020-01-07;2200;269.485;
2020-01-07;2300;12.443;
2020-01-08;0000;-3.469;
2020-01-08;0100;-3.357;
2020-01-08;0200;-1.659;
2020-01-08;0300;-2.069;
2020-01-08;0400;-2.613;
2020-01-08;0500;-.749;
2020-01-08;0600;-1.632;
2020-01-08;0700;-1.307;
2020-01-08;0800;-.559;
2020-01-08;0900;2.985;
2020-01-08;1000;143.203;
2020-01-08;1100;381.79;
2020-01-08;1200;1009.122;
2020-01-08;1300;2249.938;
2020-01-08;1400;1471.672;
2020-01-08;1500;1629.239;
2020-01-08;1600;2393.117;
2020-01-08;1700;1961.892;
2020-01-08;1800;3140.946;
2020-01-08;1900;1930.125;
2020-01-08;2000;1762.413;
2020-01-08;2100;1213.041;
2020-01-08;2200;192.422;
2020-01-08;2300;15.872;
2020-01-09;0000;-3.532;
2020-01-09;0100;-3.089;
2020-01-09;0200;-3.168;
2020-01-09;0300;-2.528;
2020-01-09;0400;-2.807;
2020-01-09;0500;-3.025;
2020-01-09;0600;-3.289;
2020-01-09;0700;-2.875;
2020-01-09;0800;-2.62;
2020-01-09;0900;-1.512;
2020-01-09;1000;196.589;
2020-01-09;1100;912.408;
2020-01-09;1200;1051.048;
2020-01-09;1300;2109.385;
2020-01-09;1400;1447.157;
2020-01-09;1500;1665.285;
2020-01-09;1600;2721.283;
2020-01-09;1700;3008.743;
2020-01-09;1800;2978.002;
2020-01-09;1900;2166.146;
2020-01-09;2000;1632.803;
2020-01-09;2100;715.983;
2020-01-09;2200;463.498;
2020-01-09;2300;61.665;
2020-01-10;0000;-3.538;
2020-01-10;0100;-3.425;
2020-01-10;0200;-3.252;
2020-01-10;0300;-3.158;
2020-01-10;0400;-2.709;
2020-01-10;0500;-2.906;
2020-01-10;0600;-2.723;
2020-01-10;0700;-2.784;
2020-01-10;0800;-3.061;
2020-01-10;0900;-1.295;
2020-01-10;1000;160.481;
2020-01-10;1100;654.091;
2020-01-10;1200;1153.515;
2020-01-10;1300;2523.48;
2020-01-10;1400;2692.546;
2020-01-10;1500;3323.657;
2020-01-10;1600;3023.53;
2020-01-10;1700;3253.114;
2020-01-10;1800;3306.571;
2020-01-10;1900;2875.278;
2020-01-10;2000;2229.746;
2020-01-10;2100;1375.211;
2020-01-10;2200;291.367;
2020-01-10;2300;16.938;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.54;
2020-01-11;0200;-3.434;
2020-01-11;0300;-3.54;
2020-01-11;0400;-3.504;
2020-01-11;0500;-3.535;
2020-01-11;0600;-3.535;
2020-01-11;0700;-3.235;
2020-01-11;0800;-3.366;
2020-01-11;0900;-2.558;
2020-01-11;1000;176.773;
2020-01-11;1100;582.34;
2020-01-11;1200;1155.178;
2020-01-11;1300;2412.337;
2020-01-11;1400;2977.113;
2020-01-11;1500;2961.535;
2020-01-11;1600;3082.734;
2020-01-11;1700;3080.483;
2020-01-11;1800;2115.306;
2020-01-11;1900;2114.314;
2020-01-11;2000;134.792;
2020-01-11;2100;38.954;
2020-01-11;2200;20.397;
2020-01-11;2300;1.287;
2020-01-12;0000;.43;
2020-01-12;0100;4.073;
2020-01-12;0200;-1.523;
2020-01-12;0300;-2.05;
2020-01-12;0400;-2.167;
2020-01-12;0500;-2.424;
2020-01-12;0600;-2.351;
2020-01-12;0700;-2.581;
2020-01-12;0800;-2.656;
2020-01-12;0900;-.544;
2020-01-12;1000;122.967;
2020-01-12;1100;624.766;
2020-01-12;1200;1481.801;
2020-01-12;1300;2376.633;
2020-01-12;1400;2506.732;
2020-01-12;1500;2489.793;
2020-01-12;1600;3730.202;
2020-01-12;1700;3642.201;
2020-01-12;1800;3358.609;
2020-01-12;1900;2855.763;
2020-01-12;2000;2102.496;
2020-01-12;2100;908.901;
2020-01-12;2200;238.388;
2020-01-12;2300;20.496;
2020-01-13;0000;-.261;
2020-01-13;0100;-2.15;
2020-01-13;0200;-2.932;
2020-01-13;0300;-2.547;
2020-01-13;0400;-1.077;
2020-01-13;0500;-2.346;
2020-01-13;0600;-2.615;
2020-01-13;0700;-1.442;
2020-01-13;0800;-1.337;
2020-01-13;0900;-.512;
2020-01-13;1000;72.688;
2020-01-13;1100;226.225;
2020-01-13;1200;958.767;
2020-01-13;1300;1161.383;
2020-01-13;1400;2344.021;
2020-01-13;1500;2465.603;
2020-01-13;1600;1648.829;
2020-01-13;1700;2156.305;
2020-01-13;1800;2548.891;
2020-01-13;1900;235.471;
2020-01-13;2000;728.266;
2020-01-13;2100;1267.209;
2020-01-13;2200;463.772;
2020-01-13;2300;1.283;
2020-01-14;0000;-2.412;
2020-01-14;0100;-2.629;
2020-01-14;0200;-2.559;
2020-01-14;0300;-1.086;
2020-01-14;0400;-.976;
2020-01-14;0500;-2.422;
2020-01-14;0600;-2.608;
2020-01-14;0700;-2.416;
2020-01-14;0800;-2.897;
2020-01-14;0900;-.605;
2020-01-14;1000;167.096;
2020-01-14;1100;370.301;
2020-01-14;1200;379.163;
2020-01-14;1300;1083.188;
2020-01-14;1400;2372.378;
2020-01-14;1500;3398.414;
2020-01-14;1600;3598.407;
2020-01-14;1700;2557.713;
2020-01-14;1800;823.821;
2020-01-14;1900;661.845;
2020-01-14;2000;1347.946;
2020-01-14;2100;993.274;
2020-01-14;2200;426.905;
2020-01-14;2300;12.693;
2020-01-15;0000;-3.415;
2020-01-15;0100;-3.491;
2020-01-15;0200;-3.499;
2020-01-15;0300;-3.537;
2020-01-15;0400;-3.538;
2020-01-15;0500;-3.507;
2020-01-15;0600;-3.267;
2020-01-15;0700;-3.531;
