Nome: JAPIRA
Codigo Estacao: A871
Latitude: -23.77333332
Longitude: -50.18055554
Altitude: 692.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.51;
2020-01-01;0300;-3.527;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.54;
2020-01-01;0900;16.657;
2020-01-01;1000;301.99;
2020-01-01;1100;815.457;
2020-01-01;1200;1439.227;
2020-01-01;1300;2613.94;
2020-01-01;1400;3315.231;
2020-01-01;1500;3430.426;
2020-01-01;1600;2128.996;
2020-01-01;1700;182.107;
2020-01-01;1800;342.669;
2020-01-01;1900;1112.725;
2020-01-01;2000;1249.302;
2020-01-01;2100;806.45;
2020-01-01;2200;136.521;
2020-01-01;2300;-2.006;
2020-01-02;0000;-3.074;
2020-01-02;0100;-3.089;
2020-01-02;0200;-3.523;
2020-01-02;0300;-3.51;
2020-01-02;0400;-3.536;
2020-01-02;0500;-3.076;
2020-01-02;0600;-3.35;
2020-01-02;0700;-2.673;
2020-01-02;0800;-1.798;
2020-01-02;0900;9.104;
2020-01-02;1000;178.867;
2020-01-02;1100;555.503;
2020-01-02;1200;1068.34;
2020-01-02;1300;1775.743;
2020-01-02;1400;2476.406;
2020-01-02;1500;3712.323;
2020-01-02;1600;3088.259;
2020-01-02;1700;2721.922;
2020-01-02;1800;1252.457;
2020-01-02;1900;531.368;
2020-01-02;2000;1430.828;
2020-01-02;2100;406.968;
2020-01-02;2200;272.144;
2020-01-02;2300;14.737;
2020-01-03;0000;-1.477;
2020-01-03;0100;-1.088;
2020-01-03;0200;-.74;
2020-01-03;0300;-1.779;
2020-01-03;0400;-1.938;
2020-01-03;0500;-2.479;
2020-01-03;0600;-2.857;
2020-01-03;0700;-1.843;
2020-01-03;0800;-2.121;
