Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.641;
2020-01-01;0100;-2.041;
2020-01-01;0200;-2.23;
2020-01-01;0300;-2.958;
2020-01-01;0400;-3.424;
2020-01-01;0500;-3.296;
2020-01-01;0600;-2.444;
2020-01-01;0700;-3.118;
2020-01-01;0800;-3.165;
2020-01-01;0900;13.622;
2020-01-01;1000;310.342;
2020-01-01;1100;743.745;
2020-01-01;1200;1074.714;
2020-01-01;1300;1412.679;
2020-01-01;1400;1431.345;
2020-01-01;1500;1630.057;
2020-01-01;1600;2747.384;
2020-01-01;1700;3136.459;
2020-01-01;1800;1837.937;
2020-01-01;1900;2706.532;
2020-01-01;2000;1276.546;
2020-01-01;2100;315.973;
2020-01-01;2200;75.395;
2020-01-01;2300;4.808;
2020-01-02;0000;-3.534;
2020-01-02;0100;-2.717;
2020-01-02;0200;-3.18;
2020-01-02;0300;-2.966;
2020-01-02;0400;-3.489;
2020-01-02;0500;-3.525;
2020-01-02;0600;-1.487;
2020-01-02;0700;-1.642;
2020-01-02;0800;-1.213;
2020-01-02;0900;7.445;
2020-01-02;1000;188.715;
2020-01-02;1100;697.425;
2020-01-02;1200;952.9;
2020-01-02;1300;1183.772;
2020-01-02;1400;2640.887;
2020-01-02;1500;3441.195;
2020-01-02;1600;1923.453;
2020-01-02;1700;1258.548;
2020-01-02;1800;685.801;
2020-01-02;1900;1723.162;
2020-01-02;2000;920.608;
2020-01-02;2100;771.027;
2020-01-02;2200;195.645;
2020-01-02;2300;10.959;
2020-01-03;0000;-2.636;
2020-01-03;0100;-3.024;
2020-01-03;0200;-2.796;
2020-01-03;0300;-2.015;
2020-01-03;0400;-2.761;
2020-01-03;0500;-3.517;
2020-01-03;0600;-2.838;
2020-01-03;0700;-3.248;
2020-01-03;0800;-2.187;
2020-01-03;0900;9.516;
2020-01-03;1000;105.2;
2020-01-03;1100;836.878;
2020-01-03;1200;1776.558;
2020-01-03;1300;1695.171;
2020-01-03;1400;2112.075;
2020-01-03;1500;2453.103;
2020-01-03;1600;1081.26;
2020-01-03;1700;1212.815;
2020-01-03;1800;2551.461;
2020-01-03;1900;1101.725;
2020-01-03;2000;1578.584;
2020-01-03;2100;933.696;
2020-01-03;2200;416.511;
2020-01-03;2300;8.807;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.536;
2020-01-04;0200;-3.302;
2020-01-04;0300;-2.706;
2020-01-04;0400;-3.115;
2020-01-04;0500;-.801;
