Nome: MOSTARDAS
Codigo Estacao: A878
Latitude: -31.24833333
Longitude: -50.90638888
Altitude: 3.82
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;1004.577273;22.331818;31.4;25.895455;23.7;81.136364;61;15.8;null;
2020-01-02;.2;1012.347826;18.273913;26.3;23.752174;22.1;71.608696;61;15.4;9.769565;
2020-01-03;0;1017.455;17.685;25.9;null;21.5;71.75;56;18.9;10.335;
2020-01-04;null;null;null;26.2;null;21.1;67.823529;52;18.3;null;
2020-01-05;null;1008.338095;18.82381;28;null;21.9;72.285714;62;14.5;7.047619;
2020-01-06;null;1004.045455;20.445455;34.7;25.418182;22.8;75.909091;40;14.2;null;
2020-01-07;7;1006.820833;20.1625;28;24.2;21.9;79.083333;58;16.9;4.908333;
2020-01-08;0;1011.175;17.216667;27.5;23.841667;17.3;66.916667;56;16.9;5.854167;
2020-01-09;0;1009;21.734783;28.6;25.313043;23.1;80.695652;74;20.9;8.042105;
2020-01-10;.8;1008.305;22.87;28.9;null;23.9;88.9;76;11.8;null;
2020-01-11;null;1009.820833;21.95;28;24.558333;21.3;85.666667;76;14.3;5.166667;
2020-01-12;0;1013.9;20.175;29.2;25.0375;18.1;75.166667;60;16.4;4.179167;
2020-01-13;0;1016.729167;16.9375;26.1;24.058333;22.5;64.875;54;16;5.35;
2020-01-14;0;1013.633333;18.4125;28.3;25.004167;22.6;66.958333;60;17.6;10.4125;
2020-01-15;0;1005.929167;21.670833;35.2;27.891667;24;71.333333;45;18.4;6.426087;
2020-01-16;30;1013.4375;15.379167;25;22.666667;21.3;65.833333;41;19.2;8.933333;
2020-01-17;null;1020.626316;12.489474;26.2;null;16.5;56.578947;37;13.5;5.489474;
2020-01-18;0;1019.466667;14.714286;26.8;null;14.5;63.714286;52;20.6;6.328571;
2020-01-19;null;1015.15;19.595833;27.6;24.670833;21.7;73.625;68;21.3;9.029167;
