Nome: CANELA
Codigo Estacao: A879
Latitude: -29.36888888
Longitude: -50.82722221
Altitude: 830.93
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.113;
2020-01-01;0100;-3.371;
2020-01-01;0200;-3.468;
2020-01-01;0300;-3.47;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.139;
2020-01-01;0700;-3.201;
2020-01-01;0800;-3.396;
2020-01-01;0900;23.504;
2020-01-01;1000;308.75;
2020-01-01;1100;866.922;
2020-01-01;1200;1439.328;
2020-01-01;1300;1456.997;
2020-01-01;1400;2958.158;
2020-01-01;1500;3527.901;
2020-01-01;1600;2379.921;
2020-01-01;1700;1398.503;
2020-01-01;1800;2037.181;
2020-01-01;1900;2188.6;
2020-01-01;2000;615.069;
2020-01-01;2100;518.865;
2020-01-01;2200;55.075;
2020-01-01;2300;6.736;
2020-01-02;0000;.627;
2020-01-02;0100;.143;
2020-01-02;0200;.295;
2020-01-02;0300;1.307;
2020-01-02;0400;.689;
2020-01-02;0500;.25;
2020-01-02;0600;-.188;
2020-01-02;0700;-.014;
2020-01-02;0800;.5;
2020-01-02;0900;19.592;
2020-01-02;1000;101.328;
2020-01-02;1100;252.166;
2020-01-02;1200;576.732;
2020-01-02;1300;920.055;
2020-01-02;1400;1036.229;
2020-01-02;1500;1652.632;
2020-01-02;1600;2056.834;
2020-01-02;1700;1089.348;
2020-01-02;1800;756.89;
2020-01-02;1900;558.549;
2020-01-02;2000;463.54;
2020-01-02;2100;295.681;
2020-01-02;2200;38.646;
2020-01-02;2300;3.067;
2020-01-03;0000;.43;
2020-01-03;0100;-.095;
2020-01-03;0200;-.231;
2020-01-03;0300;-1.419;
2020-01-03;0400;-.799;
2020-01-03;0500;-.422;
2020-01-03;0600;-.876;
2020-01-03;0700;-.894;
2020-01-03;0800;.382;
2020-01-03;0900;16.387;
2020-01-03;1000;151.02;
2020-01-03;1100;424.11;
2020-01-03;1200;700.227;
2020-01-03;1300;1617.533;
2020-01-03;1400;2100.425;
2020-01-03;1500;1766.784;
2020-01-03;1600;1415.474;
2020-01-03;1700;1495.412;
2020-01-03;1800;1533.263;
2020-01-03;1900;1637.498;
2020-01-03;2000;686.84;
2020-01-03;2100;476.655;
2020-01-03;2200;75.406;
2020-01-03;2300;3.463;
2020-01-04;0000;-.087;
2020-01-04;0100;-.104;
2020-01-04;0200;-.854;
2020-01-04;0300;-2.146;
2020-01-04;0400;-.932;
2020-01-04;0500;-1.067;
2020-01-04;0600;-2.121;
2020-01-04;0700;-2.218;
2020-01-04;0800;-1.408;
2020-01-04;0900;37.404;
2020-01-04;1000;345.549;
2020-01-04;1100;730.982;
2020-01-04;1200;1223.084;
2020-01-04;1300;1559.216;
2020-01-04;1400;2056.882;
2020-01-04;1500;2575.504;
2020-01-04;1600;2379.579;
2020-01-04;1700;1391.398;
2020-01-04;1800;715.335;
2020-01-04;1900;513.44;
2020-01-04;2000;452.86;
2020-01-04;2100;827.897;
2020-01-04;2200;237.423;
2020-01-04;2300;11.519;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.54;
2020-01-05;0500;-3.54;
2020-01-05;0600;-3.54;
2020-01-05;0700;-3.54;
2020-01-05;0800;-3.54;
2020-01-05;0900;30.99;
2020-01-05;1000;485.887;
2020-01-05;1100;1530.778;
2020-01-05;1200;2258.088;
2020-01-05;1300;2722.227;
2020-01-05;1400;2706.748;
2020-01-05;1500;2455.772;
2020-01-05;1600;3795.274;
2020-01-05;1700;3682.415;
2020-01-05;1800;2505.565;
2020-01-05;1900;2623.128;
2020-01-05;2000;2070.854;
2020-01-05;2100;1262.2;
2020-01-05;2200;272.291;
2020-01-05;2300;8.61;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.54;
2020-01-06;0900;43.972;
2020-01-06;1000;449.743;
2020-01-06;1100;1512.114;
2020-01-06;1200;2151.809;
2020-01-06;1300;2580.76;
2020-01-06;1400;3194.325;
2020-01-06;1500;3800.895;
2020-01-06;1600;3556.55;
2020-01-06;1700;3460.684;
2020-01-06;1800;2271.177;
2020-01-06;1900;1226.899;
2020-01-06;2000;1512.519;
2020-01-06;2100;919.453;
2020-01-06;2200;273.174;
2020-01-06;2300;.2;
2020-01-07;0000;-3.54;
2020-01-07;0100;-2.639;
2020-01-07;0200;-1.049;
2020-01-07;0300;-3.336;
2020-01-07;0400;-3.503;
2020-01-07;0500;-3.536;
2020-01-07;0600;-3.538;
2020-01-07;0700;-3.507;
2020-01-07;0800;-3.334;
2020-01-07;0900;40.553;
2020-01-07;1000;289.558;
2020-01-07;1100;1205.267;
2020-01-07;1200;1695.708;
2020-01-07;1300;2342.026;
2020-01-07;1400;2340.424;
2020-01-07;1500;2526.317;
2020-01-07;1600;3133.447;
2020-01-07;1700;3504.573;
2020-01-07;1800;2419.661;
2020-01-07;1900;1346.574;
2020-01-07;2000;815.375;
2020-01-07;2100;211.807;
2020-01-07;2200;167.96;
2020-01-07;2300;10.642;
2020-01-08;0000;-3.067;
2020-01-08;0100;-3.455;
2020-01-08;0200;-3.54;
2020-01-08;0300;-3.406;
2020-01-08;0400;-3.54;
2020-01-08;0500;-3.54;
2020-01-08;0600;-3.048;
2020-01-08;0700;-3.531;
2020-01-08;0800;-3.4;
2020-01-08;0900;33.301;
2020-01-08;1000;258.918;
2020-01-08;1100;675.339;
2020-01-08;1200;845.717;
2020-01-08;1300;1709.114;
2020-01-08;1400;1317.818;
2020-01-08;1500;3377.668;
2020-01-08;1600;4316.227;
2020-01-08;1700;4054.202;
2020-01-08;1800;3051.519;
2020-01-08;1900;2672.926;
2020-01-08;2000;1988.029;
2020-01-08;2100;538.62;
2020-01-08;2200;292.122;
2020-01-08;2300;8.984;
2020-01-09;0000;-3.54;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.54;
2020-01-09;0300;-3.54;
2020-01-09;0400;-3.54;
2020-01-09;0500;-3.54;
2020-01-09;0600;-3.54;
2020-01-09;0700;-3.54;
2020-01-09;0800;-3.54;
2020-01-09;0900;32.784;
2020-01-09;1000;458.067;
2020-01-09;1100;1356.784;
2020-01-09;1200;2149.285;
2020-01-09;1300;2932.235;
2020-01-09;1400;2752.709;
2020-01-09;1500;2719.556;
2020-01-09;1600;4145.846;
2020-01-09;1700;2633.31;
2020-01-09;1800;2386.582;
2020-01-09;1900;1743.906;
2020-01-09;2000;1590.736;
2020-01-09;2100;813.722;
2020-01-09;2200;246.523;
2020-01-09;2300;.05;
2020-01-10;0000;-3.363;
2020-01-10;0100;-3.039;
2020-01-10;0200;-2.354;
2020-01-10;0300;-3.233;
2020-01-10;0400;-1.426;
2020-01-10;0500;-2.275;
2020-01-10;0600;-2.928;
2020-01-10;0700;-3.133;
2020-01-10;0800;-3.039;
2020-01-10;0900;21.719;
2020-01-10;1000;376.853;
2020-01-10;1100;1175.768;
2020-01-10;1200;2148.703;
2020-01-10;1300;2774.946;
2020-01-10;1400;3041.022;
2020-01-10;1500;3144.521;
2020-01-10;1600;3026.158;
2020-01-10;1700;1342.065;
2020-01-10;1800;1347.634;
2020-01-10;1900;904.644;
2020-01-10;2000;149.665;
2020-01-10;2100;77.658;
2020-01-10;2200;12.625;
2020-01-10;2300;.343;
2020-01-11;0000;-.469;
2020-01-11;0100;.472;
2020-01-11;0200;-.793;
2020-01-11;0300;-.492;
2020-01-11;0400;.076;
2020-01-11;0500;-1.163;
2020-01-11;0600;-2.563;
2020-01-11;0700;-1.968;
2020-01-11;0800;-1.097;
2020-01-11;0900;14.223;
2020-01-11;1000;152.724;
2020-01-11;1100;317.673;
2020-01-11;1200;570.117;
2020-01-11;1300;674.839;
2020-01-11;1400;936.304;
2020-01-11;1500;837.194;
2020-01-11;1600;1918.52;
2020-01-11;1700;948.949;
2020-01-11;1800;1755.047;
2020-01-11;1900;625.591;
2020-01-11;2000;733.341;
2020-01-11;2100;585.635;
2020-01-11;2200;110.004;
2020-01-11;2300;5.949;
2020-01-12;0000;-1.802;
2020-01-12;0100;-3.446;
2020-01-12;0200;-3.316;
2020-01-12;0300;-3.433;
2020-01-12;0400;-3.54;
2020-01-12;0500;-3.492;
2020-01-12;0600;-3.481;
2020-01-12;0700;-3.54;
2020-01-12;0800;-3.54;
2020-01-12;0900;30.693;
2020-01-12;1000;202.21;
2020-01-12;1100;831.028;
2020-01-12;1200;2131.773;
2020-01-12;1300;2852.011;
2020-01-12;1400;2588.606;
2020-01-12;1500;2871.914;
2020-01-12;1600;3782.743;
2020-01-12;1700;3616.123;
2020-01-12;1800;2635.309;
2020-01-12;1900;2642.244;
2020-01-12;2000;1914.76;
2020-01-12;2100;1170.185;
2020-01-12;2200;294.008;
2020-01-12;2300;2.618;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.54;
2020-01-13;0300;-3.54;
2020-01-13;0400;-3.54;
2020-01-13;0500;-3.54;
2020-01-13;0600;-3.54;
2020-01-13;0700;-3.522;
2020-01-13;0800;-3.54;
2020-01-13;0900;23.573;
2020-01-13;1000;462.174;
2020-01-13;1100;1470.358;
2020-01-13;1200;2115.496;
2020-01-13;1300;2910.656;
2020-01-13;1400;3301.559;
2020-01-13;1500;3540.897;
2020-01-13;1600;4267.376;
2020-01-13;1700;3885.949;
2020-01-13;1800;2798.912;
2020-01-13;1900;2467.52;
2020-01-13;2000;1787.942;
2020-01-13;2100;1164.759;
2020-01-13;2200;347.467;
2020-01-13;2300;7.91;
2020-01-14;0000;-3.533;
2020-01-14;0100;-3.54;
2020-01-14;0200;-3.54;
2020-01-14;0300;-3.54;
2020-01-14;0400;-3.54;
2020-01-14;0500;-3.54;
2020-01-14;0600;-3.54;
2020-01-14;0700;-3.54;
2020-01-14;0800;-3.54;
2020-01-14;0900;26.994;
2020-01-14;1000;459.883;
2020-01-14;1100;1408.061;
2020-01-14;1200;2130.511;
2020-01-14;1300;2926.576;
2020-01-14;1400;3231.689;
2020-01-14;1500;3521.626;
2020-01-14;1600;3899.117;
2020-01-14;1700;3442.903;
2020-01-14;1800;2602.648;
2020-01-14;1900;2073.817;
2020-01-14;2000;1413.768;
2020-01-14;2100;1068.207;
2020-01-14;2200;341.13;
2020-01-14;2300;1.897;
2020-01-15;0000;-3.54;
2020-01-15;0100;-3.54;
2020-01-15;0200;-3.54;
2020-01-15;0300;-3.54;
2020-01-15;0400;-3.54;
2020-01-15;0500;-3.54;
2020-01-15;0600;-3.54;
2020-01-15;0700;-3.54;
2020-01-15;0800;-3.54;
2020-01-15;0900;21.068;
2020-01-15;1000;463.073;
2020-01-15;1100;1411.693;
2020-01-15;1200;2233.703;
2020-01-15;1300;2601.425;
2020-01-15;1400;2555.886;
2020-01-15;1500;1792.681;
2020-01-15;1600;1898.401;
2020-01-15;1700;1662.259;
2020-01-15;1800;1894.907;
2020-01-15;1900;1616.397;
2020-01-15;2000;1008.12;
2020-01-15;2100;254.994;
2020-01-15;2200;36.673;
2020-01-15;2300;5.591;
2020-01-16;0000;-.776;
2020-01-16;0100;-1.8;
2020-01-16;0200;.208;
2020-01-16;0300;-.23;
2020-01-16;0400;.509;
2020-01-16;0500;-.848;
2020-01-16;0600;-.02;
2020-01-16;0700;-.483;
2020-01-16;0800;-.675;
2020-01-16;0900;7.559;
2020-01-16;1000;65.783;
2020-01-16;1100;161.464;
2020-01-16;1200;245.686;
2020-01-16;1300;428.222;
2020-01-16;1400;615.597;
2020-01-16;1500;786.825;
2020-01-16;1600;529.469;
2020-01-16;1700;1384.343;
2020-01-16;1800;994.438;
2020-01-16;1900;1332.121;
2020-01-16;2000;891.296;
2020-01-16;2100;604.327;
2020-01-16;2200;180.113;
2020-01-16;2300;2.439;
2020-01-17;0000;-3.54;
2020-01-17;0100;-3.54;
