Nome: DOM PEDRITO
Codigo Estacao: A881
Latitude: -31.0025
Longitude: -54.61805554
Altitude: 150
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.8;989.520833;20.6125;27.4;24.191667;22.5;80.833333;61;12.8;5.108333;
2020-01-02;0;995.65;15.129167;29.9;22.729167;16;66.083333;33;13.6;5.4125;
2020-01-03;0;999.029167;14.6625;30.5;22.45;15.4;65.25;34;13.7;5.683333;
2020-01-04;0;995.033333;15.195833;32.5;23.8375;15.4;62.166667;33;12.2;3.883333;
2020-01-05;0;988.341667;14.795833;35;26.35;16.7;54.375;24;10.6;2.679167;
2020-01-06;0;985.616667;17.0375;32.1;25.633333;20.3;59.458333;38;15.3;5.420833;
2020-01-07;5.2;991.020833;12.245833;29.7;22.5625;12.8;57.958333;26;9.7;2.841667;
2020-01-08;0;991.791667;12.608333;33.3;24.741667;15.9;52.041667;24;11.4;4.279167;
2020-01-09;0;990.079167;18.3125;37;27.258333;20.1;60.083333;33;14.9;3.941667;
2020-01-10;0;990.741667;21.029167;33.7;24.825;20.5;80.375;51;21.1;2.533333;
2020-01-11;34.2;992.954167;19.075;32.1;25.0625;19.5;73.291667;32;7.7;2.583333;
2020-01-12;.2;995.908333;17.279167;34.1;27.05;21;60.291667;27;9.8;3.429167;
2020-01-13;0;997.133333;15.5875;33.7;26.004167;18.8;56.875;24;11.5;3.783333;
2020-01-14;0;993.270833;18.7125;34.3;26.0875;17.9;65.375;46;11.4;3.629167;
2020-01-15;0;988.475;21.854167;33.2;25.725;24.3;80.208333;56;17.2;4.233333;
2020-01-16;32.6;997.870833;11.725;25.5;21.129167;16.7;60.291667;25;12.2;4.2625;
2020-01-17;0;1002.808333;9.8375;27;19.354167;10.4;59;28;8.3;2.55;
2020-01-18;0;999.6875;13.379167;31;22.245833;14.2;60.375;31;10.4;3.529167;
2020-01-19;0;995.879167;18.175;34;26.25;19;63.041667;39;9.4;2.079167;
2020-01-20;0;993.0625;20.833333;31.7;25.916667;22.2;74.875;53;15;2.045833;
2020-01-21;3.6;990.7;21.116667;31.8;24.716667;22;81.416667;53;12.4;2.1875;
2020-01-22;5;992.491667;18.916667;29.9;24.045833;19.5;75.208333;48;13.9;4.658333;
2020-01-23;0;995.783333;16.395833;30.5;23.825;17.6;66.541667;35;12.8;4.804167;
2020-01-24;0;994.808333;15.766667;30.6;23.570833;15.9;64.833333;35;9.8;2.729167;
2020-01-25;0;991.254167;16.879167;32;24.904167;16.7;64.166667;36;10.4;3.0125;
2020-01-26;9.4;990.291667;19.75;34.1;26.5625;19.5;69.541667;37;14.5;2.354167;
2020-01-27;0;993.079167;17.041667;29.6;24.770833;19.6;63;46;10.1;3.883333;
2020-01-28;0;994.3875;15.2625;31.5;22.6125;13.6;66.583333;38;10;2.666667;
2020-01-29;12;990.758333;18.875;30.8;24.545833;19.1;71.916667;44;11.1;2.954167;
2020-01-30;.8;991.666667;19.795833;27.4;23.645833;19.5;79.583333;61;10.9;4.058333;
2020-01-31;0;994.875;17.391667;29.2;23.458333;19.7;71.041667;41;8.1;3.158333;
2020-02-01;0;996.075;16.1125;31.6;24.120833;16.5;64.375;33;12;2.733333;
2020-02-02;0;995.966667;16.275;32.1;25.6375;18.7;59.791667;31;9.4;3.529167;
2020-02-03;0;996.916667;18;33;25.633333;17.7;65.916667;38;9.1;3.458333;
2020-02-04;0;995.383333;17.958333;34.1;27.0625;21.3;59.833333;38;16;7.6125;
2020-02-05;0;993.85;19.254167;34.6;27.804167;21.6;61.958333;38;14;6.6;
2020-02-06;0;994.420833;19.708333;36.4;28.554167;22.1;61.708333;32;12.1;4;
2020-02-07;0;994.370833;19.270833;36.8;29.275;22.2;58.791667;24;10.5;3.3375;
2020-02-08;0;992.591667;21.2125;35;26.8625;22.2;72.75;38;17.2;3.541667;
2020-02-09;0;996.570833;15.779167;28.8;23.129167;18.8;66.375;36;13.2;5.704167;
2020-02-10;0;1000.545833;11.85;28.5;20.583333;11.9;61.291667;32;10.8;4.070833;
2020-02-11;0;1000.529167;12.879167;29.9;21.4;12.8;62.875;30;11.1;3.8125;
2020-02-12;0;997.875;14.633333;31.7;22.779167;14.8;64.125;30;11.1;3.933333;
2020-02-13;0;994.875;16.5375;34.1;25.8625;18.7;59.625;30;11.4;4.691667;
2020-02-14;0;992.783333;18.3;28.4;25.225;24;66.333333;51;14.3;5.008333;
2020-02-15;.6;992.258333;20.095833;33.9;25.829167;19.1;73.083333;44;7.1;1.975;
2020-02-16;0;991.2875;21.116667;35.9;28.266667;23.5;68.125;38;8.6;2.6875;
2020-02-17;0;989.695833;21.583333;30.6;26.079167;23.6;77.125;54;9.6;4.15;
2020-02-18;34.6;989.629167;20.345833;27.6;24.145833;19.5;79.958333;60;29.6;4.85;
2020-02-19;.6;993.120833;14.475;28;21.45;13.5;67.25;38;6.9;1.6875;
2020-02-20;0;995.070833;13.670833;27.7;20.775;14.4;67.541667;30;12.3;4.333333;
