Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;11;996.6125;22.183333;32.8;26.458333;22.4;79.25;48;10.4;2.191667;
2020-01-02;9.8;1002.704167;19.175;28.7;23.920833;21;75.916667;52;11.3;3.045833;
2020-01-03;0;1006.854167;17.570833;28.1;23.091667;19.8;72.125;51;12;3.558333;
2020-01-04;0;1004.095833;18.029167;30.2;24.3375;20.2;69;45;9.1;2.766667;
2020-01-05;0;997.9625;16.945833;35;25.641667;17.6;64.25;25;7.6;1.783333;
2020-01-06;0;995.191667;18.2;36.4;27.841667;21.3;58.333333;32;14.6;2.466667;
2020-01-07;4.2;998.595833;18.1;32.7;25.816667;20.8;67.75;25;9.1;2.029167;
2020-01-08;0;1000.925;18.291667;32.2;25.404167;18.8;65.958333;49;7.5;2.104167;
2020-01-09;0;999.558333;20.8875;37.4;27.479167;19.8;70.208333;37;13.2;1.575;
2020-01-10;8.4;999.883333;22.0625;32.8;26.475;23.8;78.25;49;11.1;2.120833;
2020-01-11;30.6;1000.945833;21.833333;31.1;25.095833;22;83.25;61;6.4;1.404167;
2020-01-12;0;1004.879167;19.0375;32.2;26.229167;20.8;68.666667;29;7.8;1.691667;
2020-01-13;0;1006.595833;16.283333;32.1;24.075;15.3;65.125;34;9.8;2.2875;
2020-01-14;0;1003.208333;18.591667;35.8;26.445833;17.5;66.125;35;8.5;1.691667;
2020-01-15;0;998.666667;21.041667;35.4;28.108333;23.4;67;48;22.6;2.820833;
2020-01-16;33.2;1005.516667;19;25.6;22.383333;20.8;82.083333;53;7.8;2.229167;
2020-01-17;1.4;1011.970833;12.358333;26.8;19.291667;11.6;68.166667;39;8.2;1.8;
2020-01-18;0;1009.245833;15.983333;31;22.120833;14.1;70.291667;45;5.7;1.375;
2020-01-19;0;1005.408333;18.116667;34.9;25.941667;17.8;66.333333;27;5.3;1.425;
2020-01-20;0;1001.8875;19.4625;35.2;28.329167;21.6;61.375;34;7.8;1.6;
2020-01-21;19.6;1000.179167;21.483333;28.9;24.833333;22.6;82.125;66;8.1;1.566667;
2020-01-22;35.4;1001.8125;19.325;25.6;21.633333;20.2;87.208333;61;6.8;1.533333;
2020-01-23;4.4;1003.7125;17.445833;29.4;23.683333;19.4;70.166667;40;11.6;2.729167;
2020-01-24;.4;1003.133333;17.95;29.5;22.654167;18;76.666667;44;9.5;1.7;
2020-01-25;.4;1000.654167;17.116667;32;23.8125;16.1;70;38;5.3;1.308333;
2020-01-26;0;1000.0375;18.166667;34.3;25.670833;17.7;66.833333;35;6.1;1.375;
2020-01-27;0;1000.729167;20.433333;32.7;26.208333;21.7;72.125;43;11.3;1.879167;
2020-01-28;0;1003.041667;19.8;31.4;25.504167;20.9;71.875;51;8.6;2.2375;
2020-01-29;0;1000.758333;20.366667;27.9;23.354167;20.2;84;64;6.3;1.2375;
2020-01-30;5.4;1000.45;21.008333;28.4;24.35;21.1;82.458333;64;5.6;1.454167;
2020-01-31;0;1002.5;21.070833;29.2;24.6875;22.1;81.375;54;10.5;1.691667;
2020-02-01;2.6;1005.425;18.6;31.8;24.475;18.2;72.833333;41;6.9;1.5;
2020-02-02;0;1004.708333;18.9625;33.3;25.358333;18.3;70.916667;37;8.4;1.666667;
2020-02-03;0;1005.833333;20.4125;33.8;26.2125;21.2;72.625;46;8.4;1.825;
2020-02-04;0;1005.829167;18.066667;33.8;26.654167;18.5;61.625;38;7.7;1.816667;
2020-02-05;0;1004.208333;19.195833;35.4;27.2625;20;64.458333;35;7.9;1.625;
2020-02-06;0;1004.291667;18.970833;36.4;29.025;21.9;56.625;33;12.4;1.995833;
2020-02-07;0;1003.608333;20.704167;36;27.1875;20.6;70.041667;41;7.6;1.383333;
2020-02-08;1.6;1000.858333;21.1125;36.2;28.545833;24.1;66.041667;38;10.2;2.195833;
2020-02-09;10.6;1003.641667;20.329167;26.9;24.141667;23.3;80.291667;58;10.3;2.091667;
2020-02-10;0;1008.383333;15.4;28.8;22.195833;16.2;68;37;8.9;2.033333;
2020-02-11;0;1008.95;15.595833;29.9;22.154167;15;69.625;36;11;2.166667;
2020-02-12;0;1006.941667;16.225;31;23.6875;16.8;65.625;38;9.8;1.8875;
2020-02-13;0;1005.1875;15.616667;35.1;26.091667;18.3;56.416667;25;7.9;1.733333;
2020-02-14;0;1003.158333;17.204167;32.1;27.166667;22.9;55.333333;39;9.3;1.95;
2020-02-15;0;1001.645833;19.495833;34.8;27.666667;22.8;63.541667;35;8;1.716667;
2020-02-16;0;1001.033333;20.075;37.3;27.529167;21.4;67.458333;34;9.3;1.9;
2020-02-17;16.2;1000.058333;22.220833;36.6;25.991667;21.7;81.958333;40;17.5;1.545833;
2020-02-18;12.2;998.754167;21.454167;32.7;26.683333;24;74;54;14.1;3.145833;
2020-02-19;17.8;1000.995833;20.320833;31.2;24.983333;21.2;77.583333;48;5.5;1.225;
2020-02-20;0;1002.483333;18.3;31.1;23.816667;18;74.25;41;9;1.966667;
2020-02-21;0;1007.7;11.983333;25.4;21.229167;18.4;57.583333;33;9.3;2.75;
2020-02-22;0;1011.470833;9.645833;23.8;18.5625;13.8;58;33;6.3;1.804167;
2020-02-23;0;1009.341667;13.479167;29.4;20.141667;12.1;69.083333;37;8.4;1.704167;
2020-02-24;0;1002.375;16.391667;34.5;23.641667;14.8;67.875;32;8.5;1.795833;
2020-02-25;.4;998.958333;20.391667;31.7;25.45;21.8;74.458333;51;12.7;2.2375;
2020-02-26;31.4;1001.741667;16.6625;26.3;21.5;19.3;76.541667;44;9.3;2.133333;
2020-02-27;0;1006.370833;13.608333;27.2;19.854167;13.2;71.25;37;5.4;1.166667;
2020-02-28;0;1007.95;13.954167;30.3;21.570833;13.8;66.5;34;7.1;1.475;
2020-02-29;0;1009.583333;14.158333;30.3;21.929167;14;65.416667;28;7.5;1.679167;
2020-03-01;0;1011.433333;14.083333;30.4;22.104167;13.9;65.041667;31;9.1;2.008333;
2020-03-02;0;1011.258333;16.004167;30.7;22.475;14.6;69.666667;42;9.2;1.895833;
2020-03-03;1.4;1008.704167;15.2;30.2;22.391667;14.5;67.708333;37;6.7;1.529167;
2020-03-04;0;1007;16.0125;29.2;22.154167;16.5;71;41;9.3;1.920833;
2020-03-05;0;1009.1125;14.916667;29.2;21.475;13.5;69.708333;35;9.1;2.091667;
2020-03-06;0;1007.8;15.175;31.8;22.2875;13.6;67.916667;35;8.5;1.875;
2020-03-07;0;1003.5125;16.541667;32.2;23.0625;15.2;69.666667;38;6.8;1.3875;
2020-03-08;0;1002.6625;16.275;35.6;26.291667;17.5;60.291667;23;9.2;1.733333;
2020-03-09;0;1004.966667;15.3;37;27.258333;18.6;54;20;6.1;1.7625;
2020-03-10;0;1006.533333;17.491667;35.1;25.870833;18.4;62.5;33;10.7;2.058333;
2020-03-11;0;1005.204167;17.666667;35;25.8875;18.4;64.25;35;10.4;1.8625;
2020-03-12;0;1003.491667;15.525;38.9;27.975;18.2;55.875;13;7.8;1.9125;
2020-03-13;0;1004.7875;17.633333;38.3;28.033333;20;56.208333;25;8.5;1.8375;
2020-03-14;0;1004.275;17.233333;40.2;28.9375;19.9;57.5;20;8.1;1.795833;
2020-03-15;0;1004.341667;20.241667;32.5;26.745833;22.7;68.291667;45;8.6;2.020833;
2020-03-16;1;1005.9125;19.7;25.1;22.104167;21.5;86.416667;77;6.7;2.325;
2020-03-17;0;1005.104167;18.508333;31.5;23.104167;17.5;77.333333;51;8.9;1.804167;
2020-03-18;9.6;1001.2125;20.620833;30.5;23.5625;19.8;84.791667;58;10.7;1.495833;
2020-03-19;11.2;999.820833;19.1625;30.5;25.5;20.4;70.541667;40;9.6;2.5;
2020-03-20;0;1002.308333;14.425;27;21.266667;16.4;66.375;42;6.3;1.608333;
2020-03-21;0;1004.695833;15.6125;29.3;21.654167;15;72.083333;38;7.4;1.675;
2020-03-22;0;1007.708333;16.6;32.1;22.870833;15.4;71.333333;35;7.9;1.704167;
2020-03-23;0;1009.016667;17.216667;33.6;24.295833;17.1;69.708333;32;7.8;1.495833;
2020-03-24;0;1008.3;15.5125;33.6;25.375;18.5;58.291667;28;8.3;2.020833;
2020-03-25;0;1005.8875;14.329167;33.6;24.891667;16.5;57.083333;25;9.7;2.191667;
2020-03-26;0;1005.675;14.733333;34.1;24.508333;15.6;59.208333;27;10.6;2.170833;
