Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-1.353;
2020-01-01;0100;-2.549;
2020-01-01;0200;-3.112;
2020-01-01;0300;-3.179;
2020-01-01;0400;-3.174;
2020-01-01;0500;-3.445;
2020-01-01;0600;-2.231;
2020-01-01;0700;-2.542;
2020-01-01;0800;-2.475;
2020-01-01;0900;15.816;
2020-01-01;1000;310.176;
2020-01-01;1100;783.9;
2020-01-01;1200;2114.307;
2020-01-01;1300;2658.971;
2020-01-01;1400;2990.254;
2020-01-01;1500;1405.372;
2020-01-01;1600;1381.598;
2020-01-01;1700;1976.842;
2020-01-01;1800;1772.837;
2020-01-01;1900;2046.953;
2020-01-01;2000;1438.111;
2020-01-01;2100;576.74;
2020-01-01;2200;279.678;
2020-01-01;2300;37.807;
2020-01-02;0000;-1.57;
2020-01-02;0100;-2.351;
2020-01-02;0200;-.113;
2020-01-02;0300;-1.462;
2020-01-02;0400;-2.914;
2020-01-02;0500;-2.754;
2020-01-02;0600;-.183;
2020-01-02;0700;-1.087;
2020-01-02;0800;-.683;
2020-01-02;0900;10.138;
2020-01-02;1000;123.196;
2020-01-02;1100;340.493;
2020-01-02;1200;728.711;
2020-01-02;1300;1247.219;
2020-01-02;1400;1869.573;
2020-01-02;1500;3402.23;
2020-01-02;1600;3453.27;
2020-01-02;1700;2398.273;
2020-01-02;1800;2928.019;
2020-01-02;1900;2654.651;
2020-01-02;2000;1851.817;
2020-01-02;2100;1264.259;
2020-01-02;2200;635.918;
2020-01-02;2300;22.533;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.338;
2020-01-03;0200;-3.528;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.366;
2020-01-03;0500;-3.483;
2020-01-03;0600;-3.54;
2020-01-03;0700;-3.105;
2020-01-03;0800;-3.192;
2020-01-03;0900;36.268;
2020-01-03;1000;329.612;
2020-01-03;1100;611.621;
2020-01-03;1200;1309.956;
2020-01-03;1300;1570.414;
2020-01-03;1400;1708.63;
2020-01-03;1500;2390.805;
2020-01-03;1600;3659.646;
2020-01-03;1700;3449.457;
2020-01-03;1800;2928.851;
2020-01-03;1900;2626.441;
2020-01-03;2000;1553.555;
2020-01-03;2100;642.609;
2020-01-03;2200;203.709;
2020-01-03;2300;14.135;
2020-01-04;0000;-3.192;
2020-01-04;0100;-3.371;
2020-01-04;0200;-2.545;
2020-01-04;0300;-2.078;
2020-01-04;0400;-2.34;
2020-01-04;0500;-2.983;
2020-01-04;0600;-2.975;
2020-01-04;0700;-2.643;
2020-01-04;0800;-3.378;
2020-01-04;0900;26.622;
2020-01-04;1000;506.148;
2020-01-04;1100;1312.292;
2020-01-04;1200;2175.926;
2020-01-04;1300;2207.721;
2020-01-04;1400;2333.001;
2020-01-04;1500;2822.034;
2020-01-04;1600;3086.792;
2020-01-04;1700;2212.043;
2020-01-04;1800;2483.809;
2020-01-04;1900;1639.172;
2020-01-04;2000;1472.849;
2020-01-04;2100;1144.565;
2020-01-04;2200;474.585;
2020-01-04;2300;34.028;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.54;
2020-01-05;0500;-3.54;
2020-01-05;0600;-3.54;
2020-01-05;0700;-3.54;
2020-01-05;0800;-3.54;
2020-01-05;0900;24.215;
2020-01-05;1000;501.052;
2020-01-05;1100;1314.166;
2020-01-05;1200;2098.222;
2020-01-05;1300;2753.729;
2020-01-05;1400;3259.344;
2020-01-05;1500;3580.364;
2020-01-05;1600;3312.75;
2020-01-05;1700;2824.006;
2020-01-05;1800;2952.876;
2020-01-05;1900;2678.546;
2020-01-05;2000;2266.172;
2020-01-05;2100;1306.912;
2020-01-05;2200;514.686;
2020-01-05;2300;34.817;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.538;
2020-01-06;0800;-3.473;
2020-01-06;0900;19.954;
2020-01-06;1000;478.973;
2020-01-06;1100;1299.158;
2020-01-06;1200;2074.52;
2020-01-06;1300;2739.703;
2020-01-06;1400;3243.086;
2020-01-06;1500;3534.396;
2020-01-06;1600;1913.424;
2020-01-06;1700;2922.782;
2020-01-06;1800;2618.293;
2020-01-06;1900;415.814;
2020-01-06;2000;1881.56;
2020-01-06;2100;835.926;
2020-01-06;2200;307.735;
2020-01-06;2300;6.163;
2020-01-07;0000;-1.383;
2020-01-07;0100;-3.276;
2020-01-07;0200;-3.468;
2020-01-07;0300;-3.373;
2020-01-07;0400;-3.336;
2020-01-07;0500;-3.455;
2020-01-07;0600;-2.867;
2020-01-07;0700;-2.417;
2020-01-07;0800;-2.612;
2020-01-07;0900;21.132;
2020-01-07;1000;368.301;
2020-01-07;1100;1087.357;
2020-01-07;1200;1816.115;
2020-01-07;1300;2583.716;
2020-01-07;1400;3083.655;
2020-01-07;1500;3379.993;
2020-01-07;1600;3605.308;
2020-01-07;1700;3485.702;
2020-01-07;1800;3121.575;
2020-01-07;1900;2493.922;
2020-01-07;2000;1849.449;
2020-01-07;2100;1138.087;
2020-01-07;2200;404.067;
