Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;3.6;1002.691667;21.608333;35.8;27.8625;23.6;71.916667;37;10.2;1.6125;
2020-01-02;.6;1009.141667;18.845833;30.5;24.666667;21.3;71.666667;43;9.3;1.608333;
2020-01-03;.6;1013.733333;17.745833;28.2;23.254167;20.4;72.5;45;10.8;2;
2020-01-04;.4;1011.0625;17.829167;30.2;23.829167;19.2;70.875;44;8.1;1.554167;
2020-01-05;0;1004.925;16.354167;34.7;25.358333;17.6;62.708333;28;8.5;1.275;
2020-01-06;0;1001.608333;18.066667;37.8;27.904167;20.1;59.666667;22;14.2;1.354167;
2020-01-07;3;1004.658333;19.475;32.9;26.316667;22.1;68.833333;37;10.5;1.691667;
2020-01-08;.2;1007.616667;17.7875;34.2;25.825;19.8;63.166667;36;6.4;1.458333;
2020-01-09;0;1005.870833;18.6875;39.9;29.491667;20.5;57.75;24;7.6;1.2;
2020-01-10;.4;1005.666667;20.595833;37.9;29.6;24.7;63.083333;25;9.5;1.279167;
2020-01-11;16;1007.054167;21.883333;30.4;25.8875;22.9;79.833333;53;6.7;1.225;
2020-01-12;.4;1011.2375;18.291667;34.6;27.65;22.8;62.208333;22;7.8;1.258333;
2020-01-13;0;1013.529167;15.7375;32.6;24.729167;17.4;60.291667;32;8.3;1.620833;
2020-01-14;0;1010.104167;17.495833;37.2;26.904167;18.4;62.166667;28;6;1.2375;
2020-01-15;0;1004.866667;19.679167;37;29.6625;22.8;58.208333;33;10.9;1.354167;
2020-01-16;33.6;1011.766667;17.925;28.2;22.808333;22;76.541667;40;7.6;1.225;
2020-01-17;1.6;1018.741667;11.366667;28.2;20.595833;13.2;60.416667;28;6.9;1.441667;
2020-01-18;0;1016.166667;14.116667;31.7;22.7125;14.5;61.916667;32;5.6;1.1875;
2020-01-19;0;1012.116667;17.445833;34.9;26.2;18.5;63.458333;28;5.8;1.083333;
2020-01-20;0;1008.475;18.758333;36.3;28.225;21.6;60.5;29;6.1;1.008333;
2020-01-21;0;1006.320833;20.491667;31.1;26.429167;23.9;71.25;46;9;1.145833;
2020-01-22;3.2;1008.141667;18.241667;29;24.033333;21.4;72.708333;37;10.8;1.6;
2020-01-23;0;1010.608333;16.645833;30.7;24.6375;20.3;63.458333;32;10.7;2.004167;
2020-01-24;.2;1009.383333;16.716667;31.8;24.5375;18.8;66.458333;28;8.5;1.241667;
2020-01-25;0;1006.741667;14.65;33.3;24.85;16.7;60.75;23;7.5;1.333333;
2020-01-26;0;1006.05;16.129167;35.9;27.0125;19.1;56.041667;27;8.2;1.204167;
2020-01-27;0;1006.833333;19.608333;34.6;26.766667;22.4;67.583333;30;10.3;1.395833;
2020-01-28;.8;1009.816667;18.8125;33.3;25.845833;21.9;67.166667;36;7.3;1.575;
2020-01-29;0;1007.245833;20.166667;28.1;23.716667;21;81.083333;58;7;.85;
2020-01-30;18.6;1006.583333;20.925;28.9;24.7625;22.3;80.583333;56;8.2;1.075;
2020-01-31;1.2;1008.6125;21.104167;30.8;24.420833;21.2;83.375;47;11.4;1.145833;
2020-02-01;15.4;1012.05;18.833333;31.8;24.379167;20.1;74.833333;35;6.9;1.133333;
2020-02-02;0;1011.35;18.495833;34;25.725;18.9;68;35;7;1.1125;
2020-02-03;0;1012.408333;19.45;33.5;26.6625;21.2;67.5;38;11;1.308333;
2020-02-04;0;1012.8125;18.0375;33.9;26.195833;18.9;64.458333;32;8.6;1.566667;
2020-02-05;0;1011.095833;18.404167;35.3;27.841667;20.8;59.541667;31;8;2.020833;
2020-02-06;0;1011.070833;19.2;37.3;28.391667;20.8;61.208333;29;8;1.225;
2020-02-07;0;1010.079167;20.275;36.6;28.4875;22.3;64.541667;32;9.7;1.3;
2020-02-08;0;1007.320833;20.745833;34.9;28.216667;23.1;67;35;9.1;1.175;
2020-02-09;19.2;1009.8;20.35;26.6;23.979167;23.1;81.375;55;7.2;1.304167;
2020-02-10;1.4;1014.945833;16.058333;29.4;22.395833;17.1;70.708333;37;7.6;1.033333;
2020-02-11;0;1015.808333;15.591667;30.2;22.254167;15.9;69.25;32;8.6;1.404167;
2020-02-12;0;1013.9125;15.8125;31.4;23.716667;17.4;64.375;32;8.1;1.429167;
2020-02-13;0;1012.241667;15.65;34.7;25.125;17.3;60.791667;26;7;1.133333;
2020-02-14;0;1009.754167;16.6125;32.7;25.929167;18.7;59.958333;32;6.8;.9;
2020-02-15;0;1007.7375;18.904167;35.4;28.895833;23.6;57.916667;28;6.2;1.029167;
2020-02-16;0;1007.058333;19.966667;38.2;29.279167;22.2;61.125;28;11.2;1.033333;
2020-02-17;0;1006.5625;21.016667;39;27.3375;22.8;71.916667;26;14.7;1.4375;
2020-02-18;2.2;1004.604167;21.820833;35.7;26.770833;22.9;76.875;42;14.2;1.445833;
2020-02-19;10.6;1007.054167;19.508333;31.7;26.4;23.1;67.75;39;8.4;1.379167;
2020-02-20;0;1008.5375;18.091667;32.5;25.033333;19.7;69.625;31;7.4;1.2375;
2020-02-21;0;1013.820833;10.954167;26.6;22.104167;19.3;51.708333;27;7.6;1.7375;
2020-02-22;0;1017.608333;8.929167;26.1;19.958333;14;51.166667;28;5.7;1.475;
2020-02-23;0;1016.229167;13.554167;29.4;21.416667;15;64.75;32;9.1;1.366667;
2020-02-24;0;1009.229167;15.954167;35.3;23.675;15.4;67.291667;29;10;1.0125;
2020-02-25;11.8;1005;19.795833;33.2;25.666667;21.1;72.583333;43;9.1;1.05;
2020-02-26;27.4;1007.595833;17.4125;27.1;22.504167;20.3;76.166667;36;8.6;1.429167;
2020-02-27;.2;1012.725;13.0875;28.4;20.358333;13.6;68.458333;29;6.1;.8375;
2020-02-28;0;1014.525;12.495833;31.3;21.9125;13.9;61;21;7.1;1.020833;
2020-02-29;0;1016.1875;14.016667;31.5;22.4375;14.5;63.958333;22;7.5;.983333;
2020-03-01;0;1018.129167;14.6375;31.3;22.466667;14.9;66.125;28;7;1.204167;
2020-03-02;0;1018.025;15.654167;31.2;23.329167;16.4;65.666667;33;10;1.5375;
2020-03-03;0;1015.3625;14.629167;32.2;23.025;15;63.916667;28;7.2;1.041667;
2020-03-04;0;1013.566667;16.004167;30.1;23.079167;17.4;68.041667;26;8.4;1.141667;
2020-03-05;0;1015.791667;14.658333;30.9;22.6;16.1;65.333333;30;7.6;1.25;
2020-03-06;0;1014.795833;15.370833;31.5;22.695833;15.5;67.208333;33;7.2;1.291667;
2020-03-07;0;1010.408333;16.366667;33;23.491667;16.1;68.333333;30;6.1;1.0625;
2020-03-08;0;1009.245833;16.391667;35.3;25.791667;17.6;62.75;21;5.8;.933333;
2020-03-09;0;1011.358333;16.083333;37.6;27.533333;18.5;57.458333;19;5;.925;
2020-03-10;0;1013.208333;17.879167;35.7;26.533333;19.5;63.458333;23;8;1.0875;
2020-03-11;0;1012.079167;18.329167;34.6;26.120833;20.6;66.916667;28;5.8;1.133333;
2020-03-12;0;1010;16.5875;39.2;27.754167;19.4;59.916667;14;4.9;.775;
2020-03-13;0;1011.4625;18.529167;38.7;28.116667;20.3;60.375;24;7;1.129167;
2020-03-14;0;1011.0375;18.141667;39.8;28.120833;20.7;63.583333;20;5.3;1.025;
2020-03-15;0;1010.5875;20.225;33.3;27.4625;21.6;66.375;42;6.3;1.308333;
