Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;19;959.070833;20.683333;31;23.533333;21.2;85;50;15;3.283333;
2020-01-02;2.2;965.020833;15.708333;25.5;20.75;17.3;74.166667;49;15.3;4.95;
2020-01-03;0;969.083333;14.9125;26.8;21;17.4;70.416667;44;11.8;3.454167;
2020-01-04;0;966.2125;16.141667;27.7;21.7875;17.6;72.041667;49;9.8;2.8375;
2020-01-05;0;960.2;15.7375;30.8;23.041667;17;66.583333;35;8.9;2.179167;
2020-01-06;0;957.483333;17.25;33;24.6625;20.7;64.958333;39;14.1;3.620833;
2020-01-07;3.4;960.695833;13.504167;29.2;22.966667;17.9;60.125;22;9.8;3.045833;
2020-01-08;0;963.254167;14.945833;30.3;23.2;17.8;62.791667;37;8.9;2.720833;
2020-01-09;0;962.0125;18.533333;36.2;25.979167;19.6;67.083333;35;12.4;2.6125;
2020-01-10;3.4;961.941667;20.566667;32.6;24.133333;21.2;81.541667;56;11.1;2.483333;
2020-01-11;37.2;963.204167;19.625;29.5;22.983333;18.5;82.791667;58;8.1;2.883333;
2020-01-12;.2;967.108333;16.370833;31.2;24.858333;19.6;64.583333;26;8.1;1.833333;
2020-01-13;0;968.7125;16.983333;29.6;23.058333;18.6;70.541667;46;9.4;2.829167;
2020-01-14;0;965.358333;17.183333;33.4;24.3875;17.1;66.625;40;8.6;2.2625;
2020-01-15;0;960.25;21.329167;32.9;26.004167;22.1;76.416667;55;15.8;3.333333;
2020-01-16;9;966.929167;12.816667;24;20.383333;16.5;66.916667;29;14.5;4.233333;
2020-01-17;0;972.754167;9.458333;25.2;19.070833;12.5;55.625;34;6.6;1.783333;
2020-01-18;0;970.7;13.0625;29.1;20.916667;14.6;63.041667;32;9.1;2.25;
2020-01-19;0;967.333333;16.7625;32.5;24.291667;16.7;65.083333;36;8.1;1.470833;
2020-01-20;0;964.3375;18.8875;32.6;26.404167;21.1;64.583333;46;13;1.2125;
2020-01-21;0;961.925;20.2625;26.9;22.704167;21.3;86.416667;71;10;2.245833;
2020-01-22;14.8;963.675;17.941667;25.6;21.008333;18.9;83.25;58;10;2.416667;
2020-01-23;8;966.445833;17.108333;26.1;21.441667;18.4;77.375;56;11.9;3.266667;
2020-01-24;0;965.183333;15.354167;27.5;21.575;16.8;70.166667;44;9.4;2.1375;
2020-01-25;0;962.116667;16.45;30.1;22.9375;17.2;69.916667;36;8.7;2.029167;
2020-01-26;0;961.7;17.208333;32;26.154167;21.8;58.25;42;9.6;1.691667;
2020-01-27;0;962.783333;17.770833;30.2;24.729167;20.6;67.333333;37;11.9;3.2875;
2020-01-28;0;965.1625;16.25;28.5;21.958333;16.9;71.166667;50;12.2;2.6125;
2020-01-29;0;962.325;18.479167;27.7;22.320833;18.9;79.666667;58;7.3;1.875;
2020-01-30;.4;961.95;19.5625;26.9;22.483333;20.4;83.833333;64;11.1;1.591667;
2020-01-31;19.8;964.445833;19.025;26.3;21.541667;19.7;86.416667;63;9.8;3.133333;
2020-02-01;6.4;967.120833;16.8875;28.3;21.929167;16.7;75.166667;49;9.5;1.5875;
2020-02-02;0;967.083333;16.7375;30;23.475;17.1;68.291667;40;9.3;2.066667;
2020-02-03;0;968.241667;19.079167;29.5;23.554167;19.7;77.041667;57;9.3;2.741667;
2020-02-04;0;968.191667;17.970833;30.9;23.779167;18.9;71.666667;45;9;3.0875;
2020-02-05;0;966.604167;18.608333;32.7;25.091667;20.3;69.541667;33;10.8;2.8625;
2020-02-06;0;966.870833;19.316667;33.6;26.075;21.4;68.375;39;8.7;2.65;
2020-02-07;0;966.2625;20.5375;32.4;25.658333;21.1;74.875;47;9.1;2.029167;
2020-02-08;0;963.4375;20.795833;32.7;25.625;21.3;76.125;49;11;2.208333;
2020-02-09;1.6;965.575;17.191667;27.5;22.145833;18.8;75.416667;46;13.5;4.666667;
2020-02-10;0;970.058333;13.5125;26.2;19.441667;14.6;70.541667;40;11.9;3.341667;
2020-02-11;0;970.875;14.645833;25.3;19.508333;15.7;75.125;51;11.3;2.85;
2020-02-12;.2;969.025;15.708333;26.7;20.775;16.7;74.166667;53;10.3;2.95;
2020-02-13;0;967.054167;15.658333;31.2;22.916667;17.5;66.291667;39;9;2.679167;
2020-02-14;0;964.841667;16.4;26.5;23.020833;20;66.5;58;8.6;2.666667;
2020-02-15;.2;963.770833;18.608333;31.7;25.816667;20.8;65.791667;44;8.6;1.616667;
2020-02-16;0;963.045833;19.704167;35.6;27.329167;21.5;65.666667;37;11;1.279167;
2020-02-17;0;961.991667;20.533333;32.3;26.066667;21.9;73.083333;48;12.7;2.620833;
2020-02-18;0;960.358333;20.2125;27.1;23.295833;23;83.125;68;10.7;3.020833;
2020-02-19;.2;962.7125;14.1625;29.9;22.841667;17;61.916667;32;8.5;1.941667;
2020-02-20;0;964.308333;15.429167;29.2;22.345833;16.5;67.875;37;9.8;2.5875;
2020-02-21;0;968.620833;7.4875;23.2;17.420833;12.4;54.5;30;12;4.575;
2020-02-22;0;971.645833;7.583333;22.3;15.3375;8.8;61.5;39;11;3.004167;
2020-02-23;0;970.470833;12.55;25;18.508333;13.4;70.75;43;8.3;2.479167;
2020-02-24;0;964;14.016667;30.8;22.345833;15.6;62.416667;34;8.3;2.491667;
2020-02-25;0;960.575;15.779167;33.1;25.2375;20;59.791667;27;11.6;2.325;
2020-02-26;.8;963.2625;12.533333;25.8;20.004167;15.9;65.291667;34;12.3;4.495833;
2020-02-27;0;967.041667;10.229167;28;19.795833;13.7;57.75;28;8.2;1.816667;
2020-02-28;0;969;9.583333;30.2;21.879167;16;48.25;25;8.7;1.629167;
2020-02-29;0;971.079167;8.408333;30.6;23.158333;16.7;41.125;22;10.9;1.866667;
2020-03-01;0;972.816667;11.891667;30.2;22.804167;17.8;53.166667;28;10.4;1.933333;
2020-03-02;0;972.954167;14.95;29.5;21.679167;17;68.041667;39;9.2;2.625;
2020-03-03;0;970.241667;13.766667;30;21.8125;16.1;64.166667;31;9;2.170833;
2020-03-04;0;968.7;14.579167;28.1;21.554167;16.9;68.25;36;9;2.429167;
2020-03-05;0;970.595833;12.7625;28.5;20.666667;15.1;63.75;34;9.3;2.204167;
2020-03-06;0;969.35;15.141667;29.8;21.683333;16.9;69.333333;35;8.4;2.1375;
2020-03-07;0;965.191667;14.75;32.3;22.079167;16.2;67.041667;29;8.9;2.266667;
2020-03-08;0;964.6;15.05;33.8;25.0625;16.7;57.791667;29;8.9;2.008333;
2020-03-09;0;967.1;14.491667;36.2;27.941667;22.6;46.333333;22;7;2.241667;
2020-03-10;0;969.0875;17.579167;28.2;23.304167;20.1;70.958333;44;13.8;3;
2020-03-11;0;967.233333;16.904167;33.2;23.804167;17.8;69.791667;34;8.2;2.291667;
2020-03-12;0;965.616667;15.691667;36.4;26.845833;19.7;56.583333;22;10.3;2.220833;
2020-03-13;0;967.429167;18.808333;34.9;27.379167;22.4;62.125;34;9.5;2.683333;
2020-03-14;0;966.725;16.841667;37.7;27.491667;20.8;57.666667;24;11;2.8375;
2020-03-15;.8;966.875;19.0125;27.1;22.591667;21.1;80.458333;56;12;3.504167;
2020-03-16;4;967.6125;16.616667;21.4;18.733333;17;87.666667;74;8.9;3.108333;
2020-03-17;1.2;966.791667;16.458333;29.2;20.975;16.3;77.208333;49;8.9;2.441667;
2020-03-18;20.8;963.020833;19.075;28.5;22.645833;19;81.125;60;11.5;2.3875;
2020-03-19;.2;961.308333;15.8;28.2;22.75;19;68.208333;36;10.2;3.225;
2020-03-20;0;963.25;13.704167;24.3;18.725;14.4;73.666667;49;8.7;3.091667;
2020-03-21;0;966.1125;13.8125;27.1;20.75;16.4;68.666667;34;8;1.708333;
2020-03-22;.2;969.5125;13.895833;28.5;21.391667;16.2;66.5;29;8.6;2.029167;
2020-03-23;.2;970.820833;16.575;30.3;22.254167;17.7;73.208333;38;8.6;2.229167;
2020-03-24;0;969.941667;15.129167;30.8;23.033333;17.7;64.041667;34;8.6;2.408333;
2020-03-25;0;967.55;14.233333;30.9;23.404167;17.2;58.791667;32;6.4;1.879167;
2020-03-26;0;967.629167;12.929167;29.7;23.779167;18.9;52.375;26;11.9;2.5375;
2020-03-27;0;966.8625;16.283333;30.1;22.441667;18.2;71.25;36;11.9;2.441667;
2020-03-28;0;966.4375;15.258333;31.9;24.1375;19.2;61.583333;28;9.3;2.3875;
2020-03-29;1.6;968.095833;17.333333;28.9;24.345833;20.1;65.833333;49;7;1.316667;
2020-03-30;0;968.086364;17.872727;30.9;25.359091;21.7;64.181818;45;9.4;1.2;
2020-03-31;null;967.582609;17.908696;28.9;22.843478;18;75.478261;52;11;2.726087;
