Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;931.2875;20.083333;27.1;23.841667;21.1;79.833333;66;8.3;2.404167;
2020-01-02;.2;932.1;19.370833;26.8;23.358333;21.4;79.083333;62;11.1;3.975;
2020-01-03;0;935.025;15.945833;27.3;22.395833;18.4;67.875;49;11.8;5.0625;
2020-01-04;0;933.795833;15.808333;29.5;23.466667;18.1;63.375;41;9.4;2.954167;
2020-01-05;0;930.620833;15.704167;30;22.933333;17.8;65.5;39;11.1;3.270833;
2020-01-06;.2;930.166667;16.795833;30.6;24.454167;20.3;62.875;44;13.8;3.808333;
2020-01-07;0;931.954167;18.295833;29.8;25.183333;21.2;66.5;47;7.5;2.104167;
2020-01-08;0;932.5625;18.525;33;26.495833;21.2;63.583333;42;7.3;2.25;
2020-01-09;0;933.645833;20.383333;32.5;26.5625;22.3;69.666667;44;10.5;3.479167;
2020-01-10;1.2;933.695833;21.2875;30.2;25.154167;23.2;79.5;58;9.1;2.979167;
2020-01-11;24.6;933.483333;20.658333;28.3;23.683333;20.6;83.833333;63;13.2;2.620833;
2020-01-12;0;935.779167;20.366667;31.6;25.754167;21.2;74.291667;39;8.9;2.958333;
2020-01-13;0;936.7375;17.529167;31.9;26.054167;21.5;60.291667;40;8.5;3.233333;
2020-01-14;0;936.2625;18.954167;29.1;25.129167;21.9;68.75;43;9;3.383333;
2020-01-15;0;934.058333;20.566667;28.9;24.075;21.6;81.083333;65;18.9;3.541667;
2020-01-16;17.4;936.8375;20.55;24.6;21.991667;20.2;91.625;79;17.7;3.220833;
2020-01-17;1.4;939.716667;17.208333;25.7;20.066667;15.8;84.041667;68;10.6;5.025;
2020-01-18;0;939.616667;17.058333;29.6;23.016667;17.4;70.25;51;10.1;2.845833;
2020-01-19;0;937.9;17.379167;30.7;24.75;19.4;64.875;40;7.5;2.854167;
2020-01-20;0;935.475;16.304167;31.3;25.129167;19.5;59.458333;34;7.3;2.6875;
2020-01-21;0;932.4375;17.679167;27.3;23.179167;21.6;71.708333;46;8.6;3.095833;
2020-01-22;.8;931.604167;17.629167;22;19.633333;19.3;88.25;81;13.3;4.320833;
2020-01-23;2.6;932.6375;15.466667;25;20.258333;16.8;74.958333;58;13.3;5.420833;
2020-01-24;0;932.829167;14.091667;27.2;21.483333;16;64.333333;42;10.8;4.483333;
2020-01-25;0;933.033333;14.508333;29.7;23.425;17.7;59.5;35;8.6;3.591667;
2020-01-26;0;933.945833;14.625;30.9;24.733333;18.4;55.083333;33;8.4;2.358333;
2020-01-27;0;934.429167;15.308333;32.1;25.391667;18.9;55.25;30;9.1;2.379167;
2020-01-28;0;933.825;17.375;32.6;25.033333;19.6;64.083333;36;13.5;3.020833;
2020-01-29;6.2;933.8125;18.625;27.8;22.554167;19.5;79.166667;60;23.1;3.983333;
2020-01-30;59.2;934.595833;18.275;24.1;20.1875;18.1;89;69;10.3;3.175;
2020-01-31;1.2;935.995833;18.570833;27.3;22.179167;19.2;81.166667;56;9.4;2.883333;
2020-02-01;0;936.920833;16.945833;28.5;23.470833;17.2;68.875;45;7.8;2.520833;
2020-02-02;0;936.5375;18.35;28.7;22.545833;20.7;78.083333;52;14.3;3;
2020-02-03;48.4;937.458333;17.733333;28.6;22.0375;16.5;78.916667;47;7.5;2.804167;
2020-02-04;.2;937.095833;17.208333;29.9;23.695833;17.9;68.125;48;10.6;3.675;
2020-02-05;0;936.116667;17.995833;29.8;24.591667;20.1;67.416667;51;9.2;3.254167;
2020-02-06;0;936.725;18.216667;30.4;25.25;20.2;66.166667;47;8.9;2.970833;
2020-02-07;0;935.658333;18.829167;28.6;24.291667;19.6;72.25;53;11;3.029167;
2020-02-08;.8;934.320833;19.566667;31;24.220833;20.2;76.458333;51;10.5;2.8875;
2020-02-09;18.8;934.341667;21.104167;28.5;23.620833;20.9;86.25;67;11.2;2.6375;
2020-02-10;5;937.0375;16.8;26.9;21.416667;17.2;75.958333;54;12.5;4.275;
2020-02-11;0;937.970833;15.75;28.2;22.55;17.9;66.708333;41;8.4;2.8;
2020-02-12;0;937.316667;14.929167;28.1;22.25;17.6;64.083333;42;9.4;2.9375;
2020-02-13;0;937.229167;15.075;29.3;22.870833;17;63.041667;42;6.9;2.404167;
2020-02-14;0;936.683333;15.129167;28.8;23.3;18;61.125;39;8.9;3.041667;
2020-02-15;0;935.729167;16.704167;26.4;22.1375;20.2;72.583333;49;9.2;2.6875;
2020-02-16;24.4;935.358333;19.079167;28.8;22.195833;19;83.208333;59;14.1;2.979167;
2020-02-17;3.4;933.704167;20.383333;32.5;25.95;20.2;73.25;46;11.3;3.470833;
2020-02-18;.2;933.85;21.004167;29.9;25.529167;23;76.75;61;18.6;4.066667;
2020-02-19;3;933.729167;20.225;28.4;23.629167;20.1;82.291667;56;8;2.175;
2020-02-20;.2;934.383333;17.3875;29.1;23.383333;16.8;71.666667;43;9;2.233333;
2020-02-21;0;937.0875;13.375;25.4;20.7125;17.1;64.25;42;11.1;3.529167;
2020-02-22;0;939.8625;8.525;23.3;16.816667;11.6;59.25;36;11;3.454167;
2020-02-23;0;938.0125;11.533333;27.7;20.029167;12.9;59;43;10.3;3.375;
2020-02-24;0;934.904167;15.9875;30.9;23.770833;17.5;62.375;43;9.4;3.504167;
2020-02-25;16;933.075;19.829167;26.3;22.05;19.7;87.583333;62;13.1;3.316667;
2020-02-26;38.4;932.220833;17.454167;25;20.533333;18.6;83.916667;58;11.9;3.8375;
2020-02-27;0;936.925;11.079167;24.1;18.708333;13.3;63.708333;35;10.7;3.958333;
2020-02-28;0;938.354167;12.1625;27.7;20.775;14.1;59.75;38;9.6;2.7625;
2020-02-29;0;939.741667;13.495833;28.4;22.283333;16.4;58.791667;40;11.3;2.579167;
2020-03-01;0;940.783333;13.908333;26.6;21.695833;16;63.208333;40;10.8;3.991667;
2020-03-02;0;940.766667;13.566667;27.8;21.016667;15.2;63.333333;45;10.4;3.154167;
2020-03-03;0;938.95;14.879167;26.7;20.816667;15.3;69.791667;48;7.7;2.733333;
2020-03-04;0;937.470833;14.725;28.6;21.954167;16;65.416667;38;8.6;2.629167;
2020-03-05;0;938.2625;13.525;29.1;21.829167;16.1;61.458333;38;8.5;3.291667;
2020-03-06;0;937.783333;13.920833;29.8;22.604167;16.8;59.541667;36;8.2;2.6;
2020-03-07;0;935.325;14.2875;28.7;22.9125;17.8;58.875;45;9.7;3.370833;
2020-03-08;6.2;935.916667;13.5625;30.4;21.933333;15.3;61.291667;34;19.7;2.870833;
2020-03-09;.2;938.354167;14.770833;30.6;24.520833;18.1;56.083333;35;7;2.629167;
2020-03-10;0;938.645833;13.1;31.9;25.208333;18;48.708333;29;12.8;2.4875;
2020-03-11;0;936.604167;13.083333;32.3;25.5375;19;48.208333;27;10.8;2.5375;
2020-03-12;0;937.104167;14.6;33.3;26.120833;19.7;50.375;30;7.8;2.766667;
2020-03-13;0;938.1125;15.0125;34.5;27.408333;21.8;48.25;30;6.5;2.570833;
2020-03-14;0;937.854167;13.429167;34.6;27.670833;21.5;42.916667;27;6.7;2.3625;
2020-03-15;0;936.6;13.266667;33.9;27.233333;20.9;43.083333;28;9.5;2.695833;
2020-03-16;0;935.595833;17.05;33.1;26.420833;20.6;58.958333;31;10.1;3.433333;
2020-03-17;0;935.683333;17.254167;34.2;26.625;20.2;59.75;32;8.7;2.975;
2020-03-18;0;935.220833;18.691667;29.1;22.9125;23.2;78.5;45;11.4;3.416667;
2020-03-19;24;934.079167;18.8375;26.5;21.1125;18.8;87.458333;65;7;2.466667;
2020-03-20;1.6;933.745833;12.791667;25.8;20.533333;15.5;63.375;39;7.2;2.095833;
2020-03-21;0;934.7375;11.616667;27.9;21.141667;15.2;56.875;34;8.6;3.358333;
2020-03-22;0;938.029167;14;30.1;23.204167;16.7;58.25;35;8.8;2.904167;
2020-03-23;0;940.470833;12.933333;29.2;23.029167;17;55.458333;31;7.6;2.658333;
2020-03-24;0;939.975;12.333333;27.9;21.966667;16.2;55.25;36;9.1;2.908333;
2020-03-25;0;937.791667;11.929167;28.5;21.95;16.3;54.833333;31;6.7;2.666667;
2020-03-26;0;937.545833;12.783333;29;22.35;16.5;56.375;36;7.8;2.970833;
2020-03-27;0;936.529167;12.3125;29.8;22.833333;16.6;53.375;31;8.6;3.004167;
2020-03-28;0;937.5125;14.775;27.3;22.370833;18.6;63.041667;46;7.6;2.758333;
2020-03-29;1.2;938.675;17.983333;30.1;23.4;18.8;73.541667;49;11.1;3.220833;
2020-03-30;0;938.959091;18.018182;31.6;23.731818;19.9;71.454545;45;14.4;2.759091;
2020-03-31;null;937.104545;17.263636;31.2;24.8;18.9;66.227273;35;11;2.718182;
2020-04-01;0;936.479167;16.816667;32.2;25.2625;19.3;62;32;9.7;3.225;
2020-04-02;2;935.816667;18.3875;26.4;22.020833;20.3;80.875;50;12.1;3.004167;
2020-04-03;7;936.345833;10.595833;20.4;14.795833;9.5;76.625;57;9.2;3.604167;
2020-04-04;0;935.858333;10.229167;24;16.6;9.5;67.833333;44;7;2.15;
2020-04-05;0;935.9125;9.633333;29.2;20.979167;12.5;52.166667;21;9.5;3.095833;
2020-04-06;7.2;936.658333;14.825;24;19.508333;16.2;77.25;39;19.6;3.1125;
2020-04-07;29.2;940.283333;13.533333;20.6;16.608333;14;83.708333;53;8.2;2.470833;
2020-04-08;0;940.925;5.0125;21.9;14.566667;9.4;54.25;29;7.4;3.058333;
2020-04-09;0;939.4;6.258333;21.2;14.858333;9.4;57.416667;40;10.7;4.275;
2020-04-10;0;938.754167;8.033333;20.8;15.3375;10.7;63.208333;43;10.3;4.108333;
2020-04-11;0;938.05;8.170833;23.1;16.520833;11.2;60.458333;34;10;3.920833;
2020-04-12;0;938.479167;9.516667;26.5;18.75;11.8;58.083333;26;9.2;3.504167;
2020-04-13;0;936.520833;12.75;28.2;20.516667;14.6;62.416667;40;9.6;3.354167;
2020-04-14;42.4;934.241667;12.620833;22.5;15.954167;15;82.333333;51;18.1;3.9625;
2020-04-15;0;938.125;6.3;18.1;12.108333;7.7;70.541667;41;8.6;2.625;
2020-04-16;0;942.566667;5.554167;20.4;14.183333;6.2;57.666667;33;7.3;2.016667;
2020-04-17;0;944.258333;7.733333;22.1;15.683333;9.6;60.375;35;12.1;3.479167;
2020-04-18;0;943.475;11.133333;23.8;17.395833;11.9;68.166667;46;9.1;3.5125;
2020-04-19;0;942.645833;11.445833;25.3;18.241667;12.8;65.666667;43;7.7;3.058333;
2020-04-20;0;941.104167;11.795833;25.5;18.633333;13.3;66.125;43;6.7;2.9;
2020-04-21;0;939.883333;12.520833;25.6;19.954167;14.8;63.875;40;6.5;2.579167;
2020-04-22;0;939.120833;12.566667;26.7;20.1375;13.8;63.083333;43;7.4;2.333333;
2020-04-23;0;938.525;11.716667;27.1;20.283333;14.6;59.916667;36;6.9;2.833333;
2020-04-24;0;938.566667;9.6;26.3;20.320833;15;51.25;33;9.8;3.229167;
2020-04-25;0;939.683333;12.895833;30.7;22.208333;15.3;56.958333;37;10.9;3.483333;
2020-04-26;0;942.054167;15.35;30.4;24.120833;18.3;58.916667;36;7.6;2.908333;
2020-04-27;0;943.029167;14.4;26.9;21.5375;17.4;64.25;51;10.1;3.4875;
2020-04-28;0;941.075;13.3375;28;21.729167;16;60.916667;37;11.5;3.641667;
2020-04-29;0;940.4625;13.8875;28.6;22.104167;16.8;60.708333;41;8.1;2.854167;
2020-04-30;0;940.05;16.308333;27;22.120833;16.9;70.25;52;7.6;1.8;
2020-05-01;0;941.483333;13.225;22.3;17.770833;15.8;76.541667;42;11.5;2.691667;
2020-05-02;4.6;941.075;10.5875;20.9;16.029167;10.4;74.166667;38;9.3;1.8375;
2020-05-03;0;939.7375;7.945833;23.1;15.416667;9.5;63.291667;32;8.5;3.208333;
2020-05-04;0;936.725;9.925;26.2;18.666667;12.8;58.25;37;9.5;3.05;
2020-05-05;15.2;936.270833;13.666667;21.4;15.995833;14;86.958333;55;11.6;3.091667;
2020-05-06;16;939.2875;9.475;15.3;12.695833;10.7;82.041667;51;10.5;3.6375;
2020-05-07;.2;943.9625;5.3125;16;9.825;5.1;74.625;51;9.2;2.491667;
2020-05-08;0;944.233333;5.5625;20.8;12.383333;4.9;67.041667;31;8.8;2.841667;
2020-05-09;0;941.808333;7.954167;23.4;15.55;8.9;63.083333;38;8.8;3.65;
2020-05-10;0;939.1375;10.175;25.6;19.158333;13.2;56.958333;40;13;3.775;
2020-05-11;0;938.175;11.554167;27.8;21.3625;15.7;54.25;41;12.8;4.083333;
2020-05-12;0;936.4875;13.7625;23;19.675;19;69.666667;56;10.7;3.55;
2020-05-13;15;935.329167;16.075;17.8;16.741667;15.8;95.833333;88;9.4;1.775;
2020-05-14;26.2;940.095833;10.879167;18.4;14.858333;13;78.875;50;8.5;3.0125;
2020-05-15;0;940.845833;7.2875;19.4;12.15;5.8;72.708333;58;7.6;2.766667;
2020-05-16;0;940.641667;7.029167;20.7;12.604167;6.4;71.083333;35;4.5;1.595833;
2020-05-17;0;940.595833;5.491667;23.6;15.520833;7.8;54.25;23;6.2;2.904167;
2020-05-18;0;941.995833;9.025;26.6;18.05;9.4;57.541667;32;7.7;3.375;
2020-05-19;0;942.020833;9.691667;25.6;18.816667;13.8;56.583333;36;6.7;2.891667;
2020-05-20;0;940.979167;12.291667;27.1;19.875;13.8;63.5;39;12.3;3.545833;
2020-05-21;0;937.204167;12.795833;25.9;21.804167;17.6;56.75;45;14.6;6.145833;
2020-05-22;77.2;933.341667;16.283333;23.5;18.220833;16.8;89.291667;54;15.1;5;
2020-05-23;25;935.716667;10.270833;16.7;11.379167;8.5;92.875;80;14.9;6.0625;
2020-05-24;5.8;939.758333;10.291667;13.5;11.15;9.4;94.583333;83;11;3.3125;
2020-05-25;.4;937.195833;7.720833;16.5;11.3625;6.9;80;51;12.3;4.2125;
2020-05-26;0;938.966667;7.004167;14.3;10.295833;7.1;80.791667;60;6.7;2.341667;
2020-05-27;0;940.454167;6.9125;18.4;11.658333;5.5;74.666667;29;6.7;2.266667;
2020-05-28;0;940.7375;7.845833;23.5;15.033333;7.4;65.625;31;7.9;3.683333;
2020-05-29;0;940.441667;7.583333;22.5;15.6875;7.8;61.125;31;8.5;2.595833;
2020-05-30;0;939.216667;7.604167;22.8;15.875;7.2;60.041667;38;7.2;3.158333;
2020-05-31;0;938.5875;10.570833;20.6;16.704167;11.1;67.75;52;6;2.558333;
2020-06-01;1.2;939.016667;11.9375;16.1;12.5875;12.2;95.958333;88;6.1;2.025;
2020-06-02;.2;939.779167;7.754167;15.6;10.791667;8.5;83.083333;46;8.3;1.783333;
2020-06-03;.2;940.270833;8.341667;21.2;11.3;5.6;83.416667;52;8.2;3.183333;
2020-06-04;.4;941.9625;12.5875;16.6;14.445833;6.3;88.625;72;9.2;3.220833;
2020-06-05;22;938.275;14.445833;17.4;15.358333;12.7;94.375;87;15.7;3.95;
2020-06-06;35.8;937.691667;8.958333;14.7;10.458333;8.7;90.541667;80;13.8;5.341667;
2020-06-07;.2;940.2375;10.345833;17.7;13.079167;9.2;84.25;66;8.3;3.533333;
2020-06-08;.2;938.9875;11.854167;22.1;14.291667;8.6;85.5;73;5.9;2.770833;
2020-06-09;9;935.883333;17.829167;20.6;18.858333;12;93.75;87;8.5;2.558333;
2020-06-10;54;933.595833;18.154167;21.1;18.895833;17.5;95.75;87;13.3;2.683333;
2020-06-11;118;935.0125;19.333333;25;20.8875;18.2;91.166667;77;14.1;3.004167;
