Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;43.2;895.545833;19.108333;28.9;21.204167;16.1;89.583333;48;10;2.566667;
2020-01-02;34.6;898.433333;17.295833;22.2;18.204167;16.7;94.833333;66;11.7;3.741667;
2020-01-03;11.4;902.408333;15.433333;19.3;15.7375;14.3;98.25;81;11.6;4.2125;
2020-01-04;10;900.75;15.754167;20.2;16.341667;14.5;96.291667;77;10.1;3.783333;
2020-01-05;0;896.541667;16.225;24.5;18.383333;14.9;88.125;54;9;2.883333;
2020-01-06;0;895.220833;16.670833;30.3;21.641667;15.9;77.458333;34;9.1;2.9875;
2020-01-07;0;896.645833;17.608333;27.3;20.879167;19.1;82.625;54;12.9;2.920833;
2020-01-08;37.4;899.116667;17.0625;21.7;17.708333;15.7;96.25;81;8.3;2.7875;
2020-01-09;0;899.366667;18.7375;30.6;22.483333;16.8;82.25;41;8.8;3.2375;
2020-01-10;1.4;898.8875;19.195833;30.3;22.241667;18.5;85.125;44;10;3.195833;
2020-01-11;86.8;898.4;18.933333;24.5;19.454167;17.5;97.166667;71;9.3;2.4875;
2020-01-12;1.8;902.1875;15.779167;26.3;19.483333;14;81.25;48;8;2.125;
2020-01-13;0;903.8875;10.7625;25.5;18.525;11.7;62.333333;29;9.3;2.15;
2020-01-14;0;902.079167;16.5625;28.3;20.3;14.1;81.875;43;7.3;2.375;
2020-01-15;0;898.795833;17.104167;28.6;22.116667;16.1;75.375;43;10.3;3.233333;
2020-01-16;13.8;901.395833;16.55;24.2;17.75;17.9;93.041667;66;15.3;3.816667;
2020-01-17;0;906.633333;9.558333;21;14.070833;8.9;75.75;51;8.2;2.658333;
2020-01-18;0;905.754167;13.495833;23.5;16.375;11.6;84.5;55;12.7;2.854167;
2020-01-19;0;903.583333;15.754167;26.8;19.35;13.1;82.333333;47;8.5;2.241667;
2020-01-20;0;901.0875;17.108333;28.8;20.666667;15.9;82.625;43;8.7;2.383333;
2020-01-21;0;898.5125;17.954167;26.6;20.133333;17.4;88.958333;43;6.8;2.033333;
2020-01-22;10.6;899.333333;14.833333;19.9;16.125;14.8;92.541667;63;10.3;3.279167;
2020-01-23;6.4;900.4125;14.104167;19;15.520833;13.3;91.916667;68;14;4.325;
2020-01-24;7.4;898.895833;15.041667;21.3;16.654167;14;91.291667;57;9.7;3.158333;
2020-01-25;4.4;897.479167;11.433333;26.5;17.420833;10.3;74.708333;27;8;1.854167;
2020-01-26;.2;898.4875;13.679167;27.4;19.516667;13.5;71.875;37;8.2;1.920833;
2020-01-27;0;899.045833;16.05;26.9;19.808333;16.6;80.125;50;15.5;2.791667;
2020-01-28;27.4;900.608333;16.941667;23.9;18.454167;15.6;91.625;69;8.8;2.3875;
2020-01-29;10.4;899.275;17.5125;21.5;18.508333;16;94.125;79;13.5;2.8375;
