Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;2;903.758333;19.1;27.2;21.845833;18.4;84.875;66;7.6;1.804167;
2020-01-02;49.8;904.541667;18.2375;26;22.0375;19.6;80.291667;54;10.2;2.75;
2020-01-03;0;907.9;14.191667;25.2;19.5375;14.7;72.916667;48;9.5;3.808333;
2020-01-04;0;906.808333;15.258333;25.7;18.9625;15.4;80.333333;52;14.5;4.320833;
2020-01-05;40.2;903.716667;14.825;26.3;19.325;13.5;77.291667;36;9.4;3.058333;
2020-01-06;0;903.254167;15.8;28.5;21.283333;14.1;73.333333;42;7.8;2.941667;
2020-01-07;0;904.6375;17.608333;26.6;22.275;19.6;75.333333;59;6.4;1.65;
2020-01-08;0;905.554167;17.529167;29.7;23.416667;17.5;72.625;39;5.9;2.025;
2020-01-09;0;906.604167;19.0625;30.9;23.904167;18.2;76.375;44;9.1;2.65;
2020-01-10;0;906.454167;20.0625;28.3;23.8625;20.6;79.916667;61;9.4;2.704167;
2020-01-11;21.6;905.908333;19.3875;26.4;22.120833;18.9;85.083333;68;8.1;2.125;
2020-01-12;0;908.475;18.108333;29.8;23.3125;18.8;75.541667;41;7.1;2.2875;
2020-01-13;0;909.908333;15.25;28.6;22.791667;17.7;66.791667;26;9.2;3.8125;
2020-01-14;0;909.35;13.158333;28.1;21.125;14.2;63.583333;31;9.1;4.120833;
2020-01-15;0;906.945833;17.929167;27.7;21.745833;16.4;79.458333;50;9.6;3.179167;
2020-01-16;16.8;908.945833;19.145833;23.7;20.079167;18.5;94.291667;81;12.1;2.016667;
2020-01-17;16.8;912.4875;15.245833;19.7;16.779167;14.2;90.791667;80;9.4;4.670833;
2020-01-18;0;912.508333;15;25.6;18.541667;14.1;81;56;10.7;4.475;
2020-01-19;0;910.770833;15.366667;26.7;20.341667;15.6;75.416667;45;8.5;3.529167;
2020-01-20;0;908.445833;15.570833;28;21.041667;15.2;73.333333;37;8.8;2.991667;
2020-01-21;0;905.670833;17.075;24.6;19.7625;17.5;84.75;59;10.1;3.770833;
2020-01-22;7.6;905.475;14.991667;18.3;16.329167;14.9;91.833333;77;13;5.425;
2020-01-23;5.4;905.758333;14.591667;21.5;17.270833;14.5;84.666667;67;13.6;5.154167;
2020-01-24;0;905.245833;13.758333;25.3;17.9875;11.7;78.333333;47;8.9;2.833333;
2020-01-25;.6;905.304348;12.983333;26.3;19.741667;13.2;70.291667;25;7.7;2.2375;
2020-01-26;0;906.4;14.258333;27.7;22.045833;17.6;62.041667;45;7.3;1.770833;
2020-01-27;0;906.891667;14.9375;27.6;22.258333;14.9;64.208333;48;7.3;1.975;
2020-01-28;0;907.016667;16.95;28.6;20.308333;15.7;82.166667;48;10.1;3.65;
2020-01-29;1;907;17.125;21.8;19.195833;18.1;88.041667;77;10.9;3.308333;
2020-01-30;28.6;906.654167;17.845833;22.6;19.504167;16.9;90.416667;80;10.8;2.083333;
2020-01-31;1.2;907.866667;16.9625;25.3;20;16.3;83.708333;58;9.6;2.2375;
2020-02-01;0;909.308333;14.870833;26.5;21.033333;15;70.666667;45;8.2;2.075;
